time,open,high,low,close,volume
2020-01-06,4.59,4.59,4.5,4.54,345360
2020-01-07,4.54,4.58,4.46,4.48,376070
2020-01-08,4.46,4.48,4.33,4.4,463860
2020-01-09,4.42,4.53,4.42,4.51,417940
2020-01-10,4.52,4.62,4.5,4.6,498120
2020-01-13,4.6,4.68,4.55,4.67,492870
2020-01-14,4.68,4.71,4.65,4.71,488230
2020-01-15,4.73,4.86,4.67,4.86,642470
2020-01-16,4.86,4.88,4.78,4.88,370740
2020-01-17,4.88,5.0,4.88,4.98,691710
2020-01-20,5.0,5.01,4.93,4.96,319160
2020-01-21,4.96,5.1,4.96,5.1,491400
2020-01-22,5.12,5.15,5.07,5.1,410400
2020-01-30,5.08,5.08,4.74,4.8,689230
2020-01-31,4.8,4.83,4.67,4.67,489170
2020-02-03,4.63,4.65,4.35,4.58,673260
2020-02-04,4.6,4.72,4.56,4.68,399370
2020-02-05,4.7,4.74,4.66,4.72,362300
2020-02-06,4.72,4.94,4.69,4.91,409720
2020-02-07,4.92,4.97,4.89,4.92,478230
2020-02-10,4.92,5.26,4.91,5.24,854640
2020-02-11,5.26,5.33,5.14,5.29,579800
2020-02-12,5.33,5.41,5.33,5.35,500750
2020-02-13,5.32,5.4,5.3,5.4,563820
2020-02-14,5.42,5.57,5.39,5.52,530810
2020-02-17,5.53,5.63,5.53,5.59,575990
2020-02-18,5.63,5.67,5.5,5.61,425280
2020-02-19,5.6,5.64,5.51,5.55,354270
2020-02-20,5.54,5.54,5.34,5.39,556040
2020-02-21,5.41,5.52,5.27,5.47,513480
2020-02-24,5.45,5.45,5.11,5.13,438750
2020-02-25,5.05,5.43,5.01,5.39,467110
2020-02-26,5.35,5.35,5.18,5.26,317020
2020-02-27,5.27,5.28,5.15,5.26,422380
2020-02-28,5.06,5.17,4.95,4.98,468370
2020-03-02,4.96,4.97,4.88,4.96,492320
2020-03-03,5.02,5.3,5.02,5.3,610740
2020-03-04,5.3,5.43,5.24,5.31,515460
2020-03-05,5.33,5.36,5.2,5.2,412360
2020-03-06,5.17,5.43,5.0,5.4,923730
2020-03-09,5.04,5.14,5.03,5.03,327540
2020-03-10,4.84,5.13,4.72,5.0,824560
2020-03-11,5.14,5.14,4.65,4.65,733130
