time,open,high,low,close,volume
2020-01-06,66.42,67.23,66.34,67.23,12160
2020-01-07,67.08,67.08,65.75,65.75,26000
2020-01-08,65.75,65.75,63.32,63.39,76650
2020-01-09,63.39,66.34,63.39,65.6,12200
2020-01-10,64.87,65.6,63.62,64.87,52270
2020-01-13,64.87,64.87,64.13,64.2,1850
2020-01-14,64.87,66.34,64.87,66.34,13540
2020-01-15,66.34,66.56,65.46,65.6,14520
2020-01-16,65.6,65.6,64.13,64.43,34420
2020-01-17,64.43,64.87,64.43,64.87,6390
2020-01-20,64.13,65.16,63.98,65.16,3620
2020-01-21,65.24,65.24,63.39,65.09,55820
2020-01-22,64.87,65.6,63.54,64.87,56900
2020-01-30,66.05,68.55,65.6,68.55,75960
2020-01-31,73.34,73.34,72.31,73.34,92670
2020-02-03,78.43,78.43,75.19,75.63,152290
2020-02-04,73.71,75.63,71.65,74.45,66370
2020-02-05,71.87,71.87,69.29,71.13,45580
2020-02-06,68.55,70.76,67.67,70.69,82720
2020-02-07,70.69,71.87,68.92,71.8,20330
2020-02-10,70.84,74.45,70.84,74.45,51850
2020-02-11,74.45,74.45,72.76,72.98,51720
2020-02-12,72.98,73.64,72.24,73.34,41690
2020-02-13,73.34,73.49,70.76,70.76,39570
2020-02-14,71.28,71.28,70.03,70.4,26780
2020-02-17,70.32,71.5,69.29,71.5,20260
2020-02-18,71.87,72.68,71.87,72.31,27050
2020-02-19,72.98,72.98,70.76,71.5,16310
2020-02-20,71.5,71.5,70.54,71.13,16930
2020-02-21,71.13,72.61,71.13,71.36,26460
2020-02-24,71.5,74.01,71.5,72.24,88130
2020-02-25,73.57,73.57,72.24,72.24,41790
2020-02-26,72.53,72.53,71.5,71.58,11850
2020-02-27,71.58,72.61,71.06,72.61,59450
2020-02-28,72.61,72.61,70.76,70.76,26240
2020-03-02,70.76,71.13,68.48,70.03,17520
2020-03-03,71.36,71.36,69.07,69.14,35210
2020-03-04,68.55,69.66,67.08,69.14,98630
2020-03-05,69.14,70.03,64.35,69.22,42650
2020-03-06,69.36,70.4,69.22,70.03,14240
2020-03-09,70.03,70.03,65.16,65.38,61430
2020-03-10,61.33,66.93,61.33,65.97,23650
2020-03-11,67.82,67.82,64.87,65.9,29080
2020-03-12,62.66,62.95,61.33,62.58,50940
2020-03-13,58.23,64.13,58.23,63.39,65370
2020-03-16,63.39,63.39,58.97,60.44,65460
2020-03-17,58.97,58.97,56.76,57.5,74390
2020-03-18,57.5,58.97,57.5,58.46,18290
2020-03-19,58.31,58.31,56.76,56.76,20560
2020-03-20,57.13,57.79,56.83,57.5,18720
2020-03-23,53.81,56.76,53.52,55.65,52370
2020-03-24,53.37,55.88,53.37,55.73,9410
2020-03-25,56.69,59.56,56.69,59.56,59610
2020-03-26,59.34,63.32,58.97,60.81,27920
2020-03-27,60.89,63.39,56.76,59.71,60750
2020-03-30,59.63,60.44,56.1,58.16,23160
2020-03-31,61.18,61.18,57.86,58.23,19970
2020-04-01,58.97,59.34,58.23,58.23,21450
2020-04-03,58.23,60.44,58.23,60.3,9340
2020-04-06,60.15,61.92,60.15,61.92,16160
2020-04-07,62.66,62.66,61.18,61.18,22130
2020-04-08,61.18,61.92,60.44,61.55,106210
2020-04-09,61.55,64.13,61.55,64.13,23140
2020-04-10,64.87,66.12,64.72,65.75,36400
2020-04-13,65.83,67.74,65.68,65.75,34710
2020-04-14,65.6,66.34,64.13,64.72,35860
2020-04-15,64.13,65.97,64.13,64.94,17360
2020-04-16,65.24,65.75,64.5,65.6,22040
2020-04-17,65.6,66.34,65.02,65.6,19970
2020-04-20,65.6,66.42,65.46,66.42,35420
2020-04-21,69.29,69.29,66.34,66.42,53130
2020-04-22,64.2,67.3,64.2,67.08,18860
2020-04-23,67.45,68.48,67.08,68.48,42470
2020-04-24,68.92,68.92,67.45,67.6,6380
2020-04-27,67.08,67.82,66.71,67.15,16390
2020-04-28,67.15,69.66,66.42,69.22,38860
2020-04-29,69.22,69.29,68.18,68.78,39160
2020-05-04,69.88,69.95,69.29,69.36,40030
2020-05-05,69.66,69.66,69.14,69.14,7150
2020-05-06,69.29,70.47,69.0,70.1,46810
2020-05-07,72.24,72.24,70.4,71.58,24850
2020-05-08,72.24,72.24,70.69,70.76,46920
2020-05-11,72.28,72.28,70.76,71.52,35220
2020-05-12,71.52,71.52,70.38,71.22,27740
2020-05-13,70.76,71.22,69.7,70.46,16580
2020-05-14,69.7,70.38,69.7,70.0,14080
2020-05-15,70.15,70.61,70.0,70.08,13440
2020-05-18,70.0,70.08,69.62,69.7,14920
2020-05-19,69.7,71.14,69.7,70.0,19750
2020-05-20,71.07,71.07,70.0,70.08,7130
2020-05-21,70.08,71.52,70.0,71.14,75160
