time,open,high,low,close,volume
2020-01-06,3.59,3.59,3.44,3.59,20
2020-01-07,3.59,3.59,3.59,3.59,0
2020-01-08,3.59,3.59,3.59,3.59,0
2020-01-09,3.46,3.73,3.46,3.73,1100
2020-01-10,3.47,3.73,3.47,3.73,2110
2020-01-13,3.73,3.73,3.73,3.73,0
2020-01-14,3.73,3.73,3.73,3.73,0
2020-01-15,3.73,3.73,3.73,3.73,0
2020-01-16,3.47,3.73,3.47,3.73,3020
2020-01-17,3.47,3.73,3.47,3.73,3720
2020-01-20,3.47,3.68,3.47,3.68,4010
2020-01-21,3.68,3.68,3.68,3.68,30
2020-01-22,3.94,3.94,3.68,3.68,80
2020-01-30,3.43,3.64,3.43,3.64,1630
2020-01-31,3.82,3.82,3.82,3.82,20
2020-02-03,3.82,3.82,3.82,3.82,0
2020-02-04,3.82,3.82,3.82,3.82,0
2020-02-05,3.64,3.64,3.64,3.64,50
2020-02-06,3.64,3.64,3.64,3.64,0
2020-02-07,3.64,3.64,3.64,3.64,0
2020-02-10,3.64,3.64,3.38,3.54,30540
2020-02-11,3.54,3.54,3.54,3.54,0
2020-02-12,3.54,3.54,3.54,3.54,0
2020-02-13,3.3,3.76,3.3,3.6,1040
2020-02-14,3.73,3.73,3.64,3.64,20
2020-02-17,3.46,3.64,3.46,3.64,5310
2020-02-18,3.38,3.5,3.38,3.5,5010
2020-02-19,3.26,3.63,3.26,3.63,18050
2020-02-20,3.62,3.73,3.62,3.73,1000
2020-02-21,3.47,3.67,3.47,3.66,2040
2020-02-24,3.66,3.66,3.66,3.66,0
2020-02-25,3.66,3.66,3.66,3.66,0
2020-02-26,3.41,3.41,3.41,3.41,17610
2020-02-27,3.39,3.41,3.39,3.41,210
2020-02-28,3.17,3.4,3.17,3.4,10850
2020-03-02,3.4,3.4,3.4,3.4,0
2020-03-03,3.16,3.39,3.16,3.39,40
2020-03-04,3.16,3.4,3.16,3.4,13110
2020-03-05,3.4,3.4,3.4,3.4,0
2020-03-06,3.16,3.4,3.16,3.4,20
2020-03-09,3.16,3.4,3.16,3.4,2010
2020-03-10,3.4,3.4,3.4,3.4,0
2020-03-11,3.4,3.4,3.4,3.4,0
2020-03-12,3.4,3.4,3.4,3.4,0
2020-03-13,3.4,3.4,3.4,3.4,0
2020-03-16,3.4,3.4,3.4,3.4,0
2020-03-17,3.37,3.37,3.37,3.37,10
2020-03-18,3.54,3.54,3.54,3.54,2000
2020-03-19,3.54,3.54,3.54,3.54,0
2020-03-20,3.79,3.79,3.64,3.79,30
2020-03-23,3.79,3.79,3.79,3.79,0
2020-03-24,3.79,4.06,3.64,3.77,3570
2020-03-25,3.99,3.99,3.64,3.73,1720
2020-03-26,3.9,3.9,3.9,3.9,200
2020-03-27,3.9,3.9,3.9,3.9,0
2020-03-30,3.9,3.9,3.9,3.9,0
2020-03-31,3.9,3.9,3.9,3.9,0
2020-04-01,3.64,3.64,3.63,3.63,650
2020-04-03,3.63,3.63,3.63,3.63,1000
2020-04-06,3.58,3.58,3.58,3.58,450
2020-04-07,3.34,3.57,3.34,3.57,180
2020-04-08,3.33,3.36,3.33,3.33,11900
2020-04-09,3.33,3.33,3.1,3.1,72560
2020-04-10,2.89,3.3,2.89,3.3,302750
2020-04-13,3.23,3.53,3.23,3.53,54050
2020-04-14,3.73,3.77,3.73,3.77,118470
2020-04-15,4.04,4.04,3.77,4.04,354550
2020-04-16,4.27,4.27,3.82,4.04,118100
2020-04-17,3.91,4.31,3.88,4.3,294190
2020-04-20,4.09,4.32,4.0,4.03,84020
2020-04-21,3.83,4.02,3.74,3.74,245740
2020-04-22,3.59,4.0,3.59,4.0,158550
2020-04-23,4.0,4.27,4.0,4.27,239500
2020-04-24,4.56,4.56,4.56,4.56,280070
2020-04-27,4.88,4.88,4.82,4.88,364240
2020-04-28,5.22,5.22,5.0,5.18,113280
2020-04-29,5.46,5.54,5.18,5.54,428700
2020-05-04,5.54,5.91,5.48,5.54,220900
2020-05-05,5.87,5.87,5.46,5.54,198760
2020-05-06,5.47,5.73,5.32,5.64,169680
2020-05-07,5.55,5.82,5.46,5.82,67070
2020-05-08,5.82,6.18,5.58,6.05,334400
2020-05-11,6.36,6.36,6.06,6.18,41760
2020-05-12,6.36,6.36,6.05,6.18,48780
2020-05-13,6.18,6.36,5.91,6.36,473880
2020-05-14,6.64,6.81,6.64,6.81,476010
2020-05-15,7.27,7.28,7.19,7.28,91770
2020-05-18,7.27,7.79,7.27,7.78,204720
2020-05-19,7.78,8.32,7.78,7.78,106170
2020-05-20,7.78,8.27,7.73,7.91,47980
2020-05-21,7.82,8.09,7.68,7.91,116510
2020-05-22,8.18,8.18,7.78,8.18,314860
2020-05-25,8.27,8.27,7.91,8.18,235690
2020-05-26,8.18,8.18,7.61,7.61,374050
2020-05-27,7.08,7.08,7.08,7.08,70290
