time,open,high,low,close,volume
2020-01-06,7.68,7.68,7.52,7.54,470820
2020-01-07,7.49,7.66,7.49,7.52,424110
2020-01-08,7.46,7.46,7.13,7.13,2280630
2020-01-09,7.21,7.35,7.21,7.24,553820
2020-01-10,7.27,7.35,7.21,7.24,553300
2020-01-13,7.24,7.32,7.13,7.13,946160
2020-01-14,7.16,7.21,7.02,7.16,715360
2020-01-15,7.16,7.19,7.1,7.16,270530
2020-01-16,7.16,7.19,7.1,7.13,553400
2020-01-17,7.16,7.16,6.94,6.94,1151600
2020-01-20,6.94,6.99,6.94,6.99,294050
2020-01-21,6.99,7.21,6.99,7.21,497590
2020-01-22,7.21,7.3,7.16,7.16,876300
2020-01-30,7.16,7.16,6.8,6.91,1044820
2020-01-31,6.86,6.94,6.66,6.66,2053420
2020-02-03,6.33,6.53,6.22,6.22,2361500
2020-02-04,6.36,6.36,6.14,6.25,1463880
2020-02-05,6.25,6.3,6.22,6.28,1089750
2020-02-06,6.28,6.33,6.22,6.33,1495560
2020-02-07,6.39,6.58,6.36,6.39,1322960
2020-02-10,6.39,6.53,6.28,6.44,1066490
2020-02-11,6.42,6.58,6.42,6.53,1438680
2020-02-12,6.55,6.97,6.55,6.97,2679770
2020-02-13,6.97,7.13,6.97,7.13,1908600
2020-02-14,7.13,7.21,7.05,7.16,983250
2020-02-17,7.1,7.38,7.1,7.21,1394660
2020-02-18,7.24,7.32,7.19,7.32,1300470
2020-02-19,7.43,7.66,7.43,7.46,1452330
2020-02-20,7.57,7.6,7.43,7.43,925570
2020-02-21,7.27,7.43,7.24,7.27,908390
2020-02-24,6.91,7.05,6.8,6.94,1755640
2020-02-25,6.94,7.08,6.8,7.05,943960
2020-02-26,7.02,7.1,6.91,6.97,557830
2020-02-27,7.05,7.05,6.97,6.99,665060
2020-02-28,6.94,6.99,6.8,6.91,1095910
2020-03-02,6.91,7.02,6.83,6.83,490500
2020-03-03,6.94,7.16,6.91,7.16,806940
2020-03-04,7.21,7.49,7.19,7.49,2211650
2020-03-05,7.49,7.6,7.21,7.3,1144260
2020-03-06,7.24,7.43,7.1,7.43,919740
2020-03-09,7.02,7.1,6.94,6.94,2153190
2020-03-10,6.88,7.05,6.69,6.94,1396790
2020-03-11,6.94,7.05,6.47,6.94,1361650
2020-03-12,6.53,6.91,6.47,6.47,2626960
2020-03-13,6.03,6.47,6.03,6.42,2049070
2020-03-16,6.33,6.44,6.14,6.33,971660
2020-03-17,6.06,6.33,5.98,6.33,2376460
2020-03-18,6.44,6.58,6.36,6.44,1203540
2020-03-19,6.25,6.44,6.17,6.39,1123970
2020-03-20,6.3,6.36,6.17,6.33,1511820
2020-03-23,6.11,6.3,5.89,5.89,2354750
2020-03-24,5.84,5.92,5.53,5.92,1548700
2020-03-25,6.17,6.2,5.95,6.06,906180
2020-03-26,6.17,6.17,5.89,6.06,1294140
2020-03-27,6.06,6.08,5.92,6.06,1606100
2020-03-30,5.95,5.95,5.64,5.81,2410670
2020-03-31,5.7,5.95,5.41,5.7,2440790
2020-04-01,5.7,5.89,5.48,5.89,2103820
2020-04-03,5.78,6.03,5.73,5.95,1998980
2020-04-06,5.98,6.14,5.95,6.08,2045960
2020-04-07,6.08,6.08,5.89,6.0,1466540
