time,open,high,low,close,volume
2025-04-22,11.8,13.6,11.8,12.0,11700
2025-04-23,12.2,12.2,12.2,12.2,0
2025-04-24,10.4,10.4,10.4,10.4,1800
2025-04-25,10.4,11.9,10.4,11.9,1800
2025-04-28,10.1,10.2,10.0,10.2,2400
2025-04-29,10.2,10.2,10.2,10.2,100
2025-05-05,10.2,10.2,10.2,10.2,0
2025-05-06,10.2,10.2,10.2,10.2,0
2025-05-07,10.2,10.2,10.2,10.2,0
2025-05-08,10.2,10.2,10.2,10.2,0
2025-05-09,8.8,8.8,8.8,8.8,100
2025-05-12,8.8,8.8,8.8,8.8,0
2025-05-13,7.5,7.6,7.5,7.6,200
2025-05-14,7.1,7.1,7.1,7.1,100
2025-05-15,8.1,8.1,8.1,8.1,800
2025-05-16,9.3,9.3,8.6,8.6,500
2025-05-19,10.2,10.2,7.6,7.6,1100
2025-05-20,10.3,10.3,8.7,8.7,1100
2025-05-21,8.5,10.0,8.5,8.6,1100
2025-05-22,10.0,10.0,10.0,10.0,800
2025-05-23,8.5,11.0,8.5,11.0,1500
2025-05-26,9.9,9.9,9.9,9.9,0
2025-05-27,8.5,8.5,8.5,8.5,300
2025-05-28,7.4,9.7,7.4,9.7,900
2025-05-29,10.2,10.2,10.2,10.2,200
2025-05-30,8.7,10.7,8.7,10.7,400
2025-06-02,10.2,10.2,10.2,10.2,0
2025-06-03,10.2,10.2,10.2,10.2,0
2025-06-04,10.2,10.2,10.2,10.2,0
2025-06-05,10.2,10.2,10.2,10.2,0
2025-06-06,10.2,10.2,10.2,10.2,0
2025-06-09,8.8,8.8,8.8,8.8,100
2025-06-10,9.5,9.5,9.5,9.5,200
2025-06-11,8.3,10.5,8.3,10.5,300
2025-06-12,9.8,9.8,9.8,9.8,0
2025-06-13,10.5,10.5,10.5,10.5,100
2025-06-16,10.5,10.5,10.5,10.5,0
2025-06-17,10.5,10.5,10.5,10.5,0
2025-06-18,10.5,10.5,10.5,10.5,0
2025-06-19,9.0,10.3,9.0,10.3,300
2025-06-20,9.9,9.9,9.9,9.9,0
2025-06-23,8.5,8.5,8.5,8.5,100
2025-06-24,9.7,9.7,9.7,9.7,500
2025-06-25,10.7,10.7,10.5,10.5,300
2025-06-26,10.5,10.5,10.5,10.5,200
2025-06-27,10.5,10.5,10.5,10.5,0
2025-06-30,10.5,10.5,10.5,10.5,100
2025-07-01,10.5,10.5,10.5,10.5,0
2025-07-02,10.5,10.5,10.5,10.5,0
2025-07-03,10.5,10.5,10.5,10.5,0
2025-07-04,9.1,9.1,9.0,9.0,1600
2025-07-07,10.2,10.2,10.1,10.1,300
2025-07-08,10.2,10.2,10.2,10.2,0
2025-07-09,10.2,10.2,10.2,10.2,0
2025-07-10,10.1,10.1,10.1,10.1,100
2025-07-11,10.1,10.1,10.1,10.1,0
2025-07-14,10.1,10.1,10.1,10.1,0
2025-07-15,10.1,10.1,10.1,10.1,0
2025-07-16,10.1,10.1,10.1,10.1,0
2025-07-17,10.1,10.1,10.1,10.1,0
2025-07-18,10.1,10.1,10.1,10.1,0
2025-07-21,10.1,10.1,10.1,10.1,0
2025-07-22,10.1,10.1,10.1,10.1,0
2025-07-23,11.6,11.6,9.2,9.2,300
2025-07-24,10.3,10.3,10.3,10.3,0
2025-07-25,9.0,9.0,9.0,9.0,404
2025-07-28,8.0,9.8,8.0,9.8,456
2025-07-29,9.4,9.4,9.4,9.4,40
2025-07-30,9.4,9.4,9.4,9.4,0
2025-07-31,8.1,8.1,8.1,8.1,140
