time,open,high,low,close,volume
2020-01-06,28.38,28.38,28.38,28.38,0
2020-01-07,28.38,28.38,28.38,28.38,0
2020-01-08,28.38,28.38,28.38,28.38,0
2020-01-09,28.38,28.38,28.38,28.38,0
2020-01-10,28.38,28.38,28.38,28.38,0
2020-01-13,28.38,28.38,28.38,28.38,0
2020-01-14,28.38,28.38,28.38,28.38,0
2020-01-15,28.38,28.38,28.38,28.38,0
2020-01-16,28.38,28.38,28.38,28.38,0
2020-01-17,28.38,28.38,28.38,28.38,0
2020-01-20,28.38,28.38,28.38,28.38,0
2020-01-21,28.38,28.38,28.38,28.38,0
2020-01-22,29.05,29.05,29.05,29.05,100
2020-01-30,28.76,28.76,28.76,28.76,100
2020-01-31,28.76,28.76,28.76,28.76,0
2020-02-03,28.76,28.76,28.76,28.76,0
2020-02-04,28.76,28.76,28.76,28.76,0
2020-02-05,28.76,28.76,28.76,28.76,0
2020-02-06,28.76,28.76,28.76,28.76,0
2020-02-07,28.76,28.76,28.76,28.76,0
2020-02-10,28.76,28.76,28.76,28.76,0
2020-02-11,28.76,28.76,28.76,28.76,0
2020-02-12,28.76,28.76,28.76,28.76,0
2020-02-13,28.76,28.76,28.76,28.76,0
2020-02-14,28.76,28.76,28.76,28.76,0
2020-02-17,28.76,28.76,28.76,28.76,0
2020-02-18,28.76,28.76,28.76,28.76,0
2020-02-19,28.76,28.76,28.76,28.76,0
2020-02-20,28.76,28.76,28.76,28.76,0
2020-02-21,28.76,28.76,28.76,28.76,0
2020-02-24,28.76,28.76,28.76,28.76,0
2020-02-25,28.76,28.76,28.76,28.76,0
2020-02-26,28.76,28.76,28.76,28.76,0
2020-02-27,28.76,28.76,28.76,28.76,0
2020-02-28,28.76,28.76,28.76,28.76,0
2020-03-02,28.76,28.76,28.76,28.76,0
2020-03-03,28.76,28.76,28.76,28.76,0
2020-03-04,28.76,28.76,28.76,28.76,0
2020-03-05,28.76,28.76,28.76,28.76,0
2020-03-06,28.76,28.76,28.76,28.76,0
2020-03-09,28.76,28.76,28.76,28.76,0
2020-03-10,28.76,28.76,28.76,28.76,0
2020-03-11,28.76,28.76,28.76,28.76,0
2020-03-12,28.76,28.76,28.76,28.76,0
2020-03-13,28.76,28.76,28.76,28.76,0
2020-03-16,28.76,28.76,28.76,28.76,0
2020-03-17,28.76,28.76,28.76,28.76,0
2020-03-18,28.76,28.76,28.76,28.76,0
2020-03-19,28.76,28.76,28.76,28.76,0
2020-03-20,28.76,28.76,28.76,28.76,0
2020-03-23,28.76,28.76,28.76,28.76,0
2020-03-24,28.76,28.76,28.76,28.76,0
2020-03-25,28.76,28.76,28.76,28.76,0
2020-03-26,28.76,28.76,28.76,28.76,0
2020-03-27,28.76,28.76,28.76,28.76,0
2020-03-30,28.76,28.76,28.76,28.76,0
2020-03-31,28.76,28.76,28.76,28.76,0
2020-04-01,28.76,28.76,28.76,28.76,0
2020-04-03,28.76,28.76,28.76,28.76,0
2020-04-06,28.76,28.76,28.76,28.76,0
2020-04-07,28.76,28.76,28.76,28.76,0
2020-04-08,28.76,28.76,28.76,28.76,0
2020-04-09,28.76,28.76,28.76,28.76,0
2020-04-10,28.76,28.76,28.76,28.76,0
