time,open,high,low,close,volume
2020-01-06,2.05,2.2,2.0,2.2,11643910
2020-01-07,2.24,2.35,2.23,2.35,12117690
2020-01-08,2.3,2.48,2.24,2.38,12089860
2020-01-09,2.43,2.45,2.3,2.36,9677500
2020-01-10,2.33,2.42,2.25,2.25,8921930
2020-01-13,2.25,2.28,2.1,2.1,12821760
2020-01-14,1.98,2.06,1.96,1.96,9923840
2020-01-15,1.88,2.03,1.84,1.98,11071300
2020-01-16,2.0,2.03,1.85,1.85,9266450
2020-01-17,1.8,1.87,1.75,1.79,5878850
2020-01-20,1.8,1.85,1.73,1.85,3344920
2020-01-21,1.86,1.97,1.85,1.97,2411940
2020-01-22,2.05,2.09,1.94,1.97,4717620
2020-01-30,1.91,1.93,1.84,1.84,6849810
2020-01-31,1.81,1.88,1.72,1.72,9079960
2020-02-03,1.6,1.66,1.6,1.6,8134330
2020-02-04,1.63,1.71,1.58,1.71,8577330
2020-02-05,1.75,1.82,1.75,1.79,10198390
2020-02-06,1.79,1.87,1.78,1.8,5004080
2020-02-07,1.77,1.8,1.72,1.72,6931420
2020-02-10,1.7,1.84,1.62,1.82,5018120
2020-02-11,1.83,1.83,1.75,1.76,3291420
2020-02-12,1.75,1.85,1.75,1.8,5417650
2020-02-13,1.77,1.82,1.77,1.79,4403190
2020-02-14,1.8,1.87,1.79,1.83,5250400
2020-02-17,1.85,1.95,1.85,1.95,8784900
2020-02-18,2.02,2.06,1.94,1.94,7991400
2020-02-19,1.93,2.04,1.9,2.04,5937150
2020-02-20,2.05,2.09,1.96,2.01,6671160
2020-02-21,2.0,2.03,1.91,1.91,7384300
2020-02-24,1.85,1.87,1.78,1.78,10818870
2020-02-25,1.67,1.88,1.67,1.82,9038540
2020-02-26,1.78,1.84,1.77,1.79,3382850
2020-02-27,1.77,1.84,1.76,1.82,3747670
2020-02-28,1.76,1.78,1.71,1.76,5709240
2020-03-02,1.76,1.83,1.76,1.79,3650190
2020-03-03,1.82,1.91,1.81,1.85,8537380
2020-03-04,1.85,1.97,1.8,1.97,10398070
2020-03-05,2.0,2.07,1.91,1.91,8410980
2020-03-06,1.91,1.97,1.86,1.9,7459730
2020-03-09,1.77,1.81,1.77,1.77,8552000
2020-03-10,1.7,1.85,1.69,1.79,8593850
2020-03-11,1.82,1.85,1.68,1.73,9752290
2020-03-12,1.65,1.72,1.61,1.63,8449560
2020-03-13,1.52,1.72,1.52,1.65,6968130
2020-03-16,1.65,1.73,1.65,1.7,9495860
2020-03-17,1.66,1.81,1.66,1.81,11972080
2020-03-18,1.9,1.93,1.87,1.93,12633480
2020-03-19,1.99,2.0,1.8,1.8,15896840
2020-03-20,1.74,1.9,1.73,1.84,8828660
2020-03-23,1.81,1.81,1.72,1.72,7100330
2020-03-24,1.7,1.8,1.66,1.8,8513590
2020-03-25,1.82,1.85,1.75,1.75,5271040
2020-03-26,1.73,1.78,1.64,1.65,6567610
2020-03-27,1.65,1.7,1.59,1.59,7848280
2020-03-30,1.51,1.57,1.48,1.48,11223910
2020-03-31,1.46,1.54,1.38,1.39,10924970
2020-04-01,1.36,1.48,1.36,1.48,3917550
2020-04-03,1.53,1.58,1.5,1.54,5312270
2020-04-06,1.56,1.62,1.53,1.61,9184480
2020-04-07,1.61,1.61,1.54,1.56,4278330
2020-04-08,1.51,1.57,1.48,1.57,5017370
2020-04-09,1.59,1.63,1.53,1.53,7696330
2020-04-10,1.55,1.58,1.51,1.53,3761920
2020-04-13,1.54,1.58,1.53,1.54,2942850
2020-04-14,1.55,1.57,1.51,1.54,3396950
2020-04-15,1.54,1.64,1.54,1.63,13619720
2020-04-16,1.6,1.66,1.6,1.61,3972360
2020-04-17,1.65,1.65,1.59,1.6,5466240
2020-04-20,1.63,1.66,1.59,1.6,7089190
2020-04-21,1.59,1.59,1.49,1.5,10459190
2020-04-22,1.48,1.54,1.47,1.53,4648650
2020-04-23,1.56,1.57,1.53,1.54,3122480
2020-04-24,1.52,1.55,1.5,1.54,3469110
2020-04-27,1.54,1.57,1.53,1.54,3852070
2020-04-28,1.55,1.55,1.51,1.53,1862430
2020-04-29,1.53,1.55,1.52,1.52,2883800
2020-05-04,1.42,1.46,1.42,1.42,13061830
2020-05-05,1.42,1.51,1.42,1.49,3967240
2020-05-06,1.48,1.49,1.45,1.46,3036290
2020-05-07,1.46,1.46,1.43,1.45,2464600
2020-05-08,1.45,1.48,1.44,1.47,4640620
2020-05-11,1.46,1.48,1.45,1.47,4448460
2020-05-12,1.48,1.48,1.46,1.47,2532060
2020-05-13,1.47,1.57,1.45,1.57,10230890
2020-05-14,1.57,1.6,1.55,1.56,4530700
2020-05-15,1.56,1.57,1.51,1.51,3156790
2020-05-18,1.48,1.52,1.48,1.5,3496560
2020-05-19,1.53,1.54,1.49,1.49,3550210
2020-05-20,1.51,1.51,1.49,1.51,2378770
2020-05-21,1.43,1.5,1.43,1.47,8664040
2020-05-22,1.46,1.5,1.46,1.47,3960880
2020-05-25,1.46,1.48,1.44,1.46,6547230
2020-05-26,1.46,1.46,1.43,1.43,6197780
2020-05-27,1.44,1.48,1.43,1.43,3322180
2020-05-28,1.45,1.45,1.42,1.43,3150000
2020-05-29,1.43,1.53,1.42,1.49,9411280
2020-06-01,1.55,1.59,1.54,1.58,16743490
2020-06-02,1.6,1.61,1.47,1.49,5719600
2020-06-03,1.47,1.52,1.46,1.5,4362480
2020-06-04,1.49,1.53,1.45,1.53,6989550
2020-06-05,1.52,1.58,1.51,1.55,6667250
2020-06-08,1.57,1.65,1.57,1.65,13514580
2020-06-09,1.68,1.68,1.58,1.62,11920560
2020-06-10,1.6,1.73,1.58,1.73,12408470
2020-06-11,1.85,1.85,1.73,1.73,24268220
2020-06-12,1.61,1.78,1.61,1.78,12687240
2020-06-15,1.85,1.9,1.84,1.9,27105970
2020-06-16,2.0,2.01,1.83,1.87,16048510
2020-06-17,1.84,1.86,1.74,1.78,11467980
2020-06-18,1.72,1.9,1.71,1.89,12724680
2020-06-19,1.88,1.98,1.87,1.91,7621230
2020-06-22,1.81,1.92,1.81,1.81,8548300
2020-06-23,1.81,1.83,1.69,1.74,12573040
2020-06-24,1.74,1.79,1.71,1.72,5653100
2020-06-25,1.7,1.8,1.67,1.8,8457270
2020-06-26,1.8,1.81,1.69,1.69,5938700
2020-06-29,1.69,1.69,1.58,1.58,8544830
2020-06-30,1.63,1.64,1.48,1.54,7623620
2020-07-01,1.55,1.64,1.52,1.64,5942570
2020-07-02,1.64,1.65,1.59,1.62,2309310
2020-07-03,1.61,1.62,1.59,1.62,1627260
2020-07-06,1.61,1.66,1.58,1.62,1985400
2020-07-07,1.6,1.64,1.57,1.57,4028300
2020-07-08,1.57,1.6,1.55,1.58,4145000
2020-07-09,1.6,1.65,1.6,1.64,4153950
2020-07-10,1.63,1.64,1.6,1.6,3442050
2020-07-13,1.61,1.62,1.57,1.57,2985970
2020-07-14,1.57,1.6,1.56,1.59,2012850
2020-07-15,1.6,1.61,1.57,1.57,3404170
