time,open,high,low,close,volume
2020-01-06,55.84,55.84,54.82,54.82,250
2020-01-07,54.82,54.82,54.82,54.82,190
2020-01-08,54.82,54.82,54.82,54.82,120
2020-01-09,51.77,54.04,51.69,54.04,530
2020-01-10,54.82,54.82,54.82,54.82,380
2020-01-13,54.82,56.39,54.82,56.39,1470
2020-01-14,56.23,56.23,56.16,56.16,70
2020-01-15,55.29,56.16,55.29,56.16,50
2020-01-16,56.16,56.16,56.16,56.16,0
2020-01-17,56.16,56.16,56.16,56.16,0
2020-01-20,56.16,56.16,56.16,56.16,0
2020-01-21,56.16,56.16,56.16,56.16,0
2020-01-22,54.04,55.92,53.26,55.92,2710
2020-01-30,55.92,55.92,55.92,55.92,30
2020-01-31,55.92,59.76,55.92,59.52,43340
2020-02-03,63.13,63.13,57.17,57.17,21630
2020-02-04,58.74,58.74,56.0,56.0,1540
2020-02-05,52.47,54.75,52.47,53.26,19450
2020-02-06,52.16,52.47,50.91,51.69,11190
2020-02-07,51.69,51.69,50.2,51.69,13300
2020-02-10,51.69,54.04,51.69,52.87,5480
2020-02-11,52.87,52.87,51.38,52.87,4790
2020-02-12,52.08,52.87,51.77,52.79,3640
2020-02-13,52.47,52.47,50.91,51.69,4380
2020-02-14,51.61,51.69,50.91,51.69,1510
2020-02-17,49.73,51.69,49.73,51.69,3880
2020-02-18,51.69,52.16,50.91,52.16,2530
2020-02-19,52.16,52.16,50.12,52.16,3390
2020-02-20,50.91,50.91,50.2,50.91,2980
2020-02-21,50.99,50.99,50.6,50.91,730
2020-02-24,50.91,50.91,47.78,49.97,11800
2020-02-25,49.97,49.97,47.38,49.66,5480
2020-02-26,51.22,51.22,48.17,49.66,710
2020-02-27,49.18,49.58,49.18,49.34,3300
2020-02-28,49.34,49.34,47.07,48.17,2140
2020-03-02,48.17,49.26,46.99,49.26,960
2020-03-03,49.73,49.73,47.85,49.18,4190
2020-03-04,48.56,48.56,46.91,47.46,4740
2020-03-05,47.78,48.48,46.99,48.48,4790
2020-03-06,48.48,48.48,47.78,48.17,1100
2020-03-09,48.01,48.01,44.8,47.07,12930
2020-03-10,46.84,46.84,44.64,46.84,6620
2020-03-11,46.84,46.84,45.9,45.9,4280
2020-03-12,45.03,45.03,43.47,43.47,1430
2020-03-13,41.12,41.12,40.49,40.49,15910
2020-03-16,39.16,40.49,39.16,39.94,2270
2020-03-17,37.67,39.16,37.67,38.46,1420
2020-03-18,40.88,40.88,38.46,39.86,2110
2020-03-19,37.83,39.08,37.59,39.08,12230
2020-03-20,39.08,39.08,37.28,39.08,1440
2020-03-23,39.08,39.16,38.06,38.06,2020
2020-03-24,38.06,38.06,36.89,37.98,3630
2020-03-25,37.98,37.98,36.03,36.81,13260
2020-03-26,37.36,37.36,36.18,36.42,3010
2020-03-27,36.42,36.73,35.24,36.03,310
2020-03-30,34.07,35.24,33.68,35.24,1860
2020-03-31,35.24,35.24,32.97,32.97,3240
2020-04-01,35.01,35.01,32.89,34.42,230
2020-04-03,34.42,34.62,34.15,34.15,12320
2020-04-06,34.23,34.23,33.52,33.68,121920
2020-04-07,34.3,34.3,33.68,34.07,81430
2020-04-08,34.07,36.42,34.07,36.42,859220
2020-04-09,38.96,38.96,38.96,38.96,21090
2020-04-10,41.67,41.67,40.57,41.28,204120
2020-04-13,39.32,40.34,38.61,38.77,677100
2020-04-14,39.32,41.43,39.16,41.43,481400
2020-04-15,43.0,43.31,41.12,41.51,168840
2020-04-16,40.96,42.68,40.41,41.35,250290
2020-04-17,42.29,43.86,41.28,42.29,347250
2020-04-20,42.29,43.47,41.74,41.9,199010
2020-04-21,41.12,41.12,39.0,39.0,407960
2020-04-22,37.04,39.0,36.89,38.38,178850
2020-04-23,39.16,39.55,38.14,39.16,118720
2020-04-24,39.0,39.0,38.18,38.92,87760
2020-04-27,38.92,39.55,38.14,39.55,147280
2020-04-28,39.71,40.96,39.63,40.26,191160
2020-04-29,40.41,41.12,40.34,40.57,108890
2020-05-04,39.94,40.1,38.38,39.16,54870
2020-05-05,38.85,39.63,38.85,39.16,44340
2020-05-06,39.16,39.86,39.08,39.4,74410
2020-05-07,39.4,39.4,38.77,38.85,81020
2020-05-08,39.16,40.34,38.85,39.08,163590
2020-05-11,39.55,39.55,38.92,39.0,72870
2020-05-12,39.08,41.28,39.0,41.2,260800
2020-05-13,42.06,42.92,41.2,41.9,226890
2020-05-14,41.51,41.9,40.96,41.12,79730
2020-05-15,41.12,41.28,39.94,40.41,148070
2020-05-18,40.41,40.49,39.08,40.49,170230
2020-05-19,40.57,41.51,39.86,40.34,104760
2020-05-20,40.34,40.65,39.94,40.65,55400
2020-05-21,40.26,42.61,40.26,42.06,306020
2020-05-22,42.06,42.84,40.8,41.04,180760
2020-05-25,41.67,41.67,40.73,41.51,66850
2020-05-26,41.82,41.82,41.04,41.74,143320
2020-05-27,42.14,43.86,41.82,42.06,273940
2020-05-28,42.06,43.23,42.06,42.68,133570
2020-05-29,42.68,43.62,42.37,43.23,85840
2020-06-01,43.23,45.35,43.23,44.25,193510
2020-06-02,44.25,44.41,42.61,43.0,155100
2020-06-03,43.47,43.86,42.29,42.92,92750
2020-06-04,42.92,43.08,42.29,42.76,154360
2020-06-05,42.76,43.47,42.68,43.08,55350
2020-06-08,43.08,44.17,43.08,43.78,107210
2020-06-09,43.55,43.78,42.84,42.84,126130
2020-06-10,42.92,42.92,41.9,41.9,194340
2020-06-11,41.74,41.74,40.65,40.73,285060
2020-06-12,39.16,40.73,39.16,40.57,99580
2020-06-15,40.57,40.57,39.32,39.4,103330
2020-06-16,39.71,40.34,39.55,40.02,62260
2020-06-17,40.1,40.57,39.71,40.57,43650
2020-06-18,40.57,40.57,39.94,40.26,16180
2020-06-19,40.34,40.41,40.1,40.26,111750
2020-06-22,40.41,40.73,40.1,40.41,97920
2020-06-23,40.65,41.51,40.57,40.65,34670
2020-06-24,40.96,41.04,40.02,40.26,69610
2020-06-25,40.26,40.57,39.94,39.94,45280
2020-06-26,40.18,40.18,39.71,39.94,48130
2020-06-29,39.94,39.94,38.89,39.16,77610
2020-06-30,39.16,39.55,38.77,38.92,33550
2020-07-01,39.24,39.94,39.24,39.55,28850
2020-07-02,39.55,39.94,39.55,39.79,23890
2020-07-03,39.79,40.34,39.79,39.79,49610
2020-07-06,40.18,40.18,39.63,39.63,18720
2020-07-07,40.1,40.1,39.63,39.71,32700
2020-07-08,39.63,40.02,39.63,39.94,15850
2020-07-09,39.94,40.34,39.94,40.26,36480
