time,open,high,low,close,volume
2020-01-06,43.38,43.38,43.38,43.38,0
2020-01-07,36.91,36.91,36.91,36.91,100
2020-01-08,36.91,36.91,36.91,36.91,0
2020-01-09,36.91,36.91,36.91,36.91,0
2020-01-10,36.91,36.91,36.91,36.91,0
2020-01-13,36.91,36.91,36.91,36.91,0
2020-01-14,36.91,36.91,36.91,36.91,0
2020-01-15,36.91,36.91,36.91,36.91,0
2020-01-16,36.91,36.91,36.91,36.91,0
2020-01-17,36.91,36.91,36.91,36.91,0
2020-01-20,36.91,36.91,36.91,36.91,0
2020-01-21,36.91,36.91,36.91,36.91,0
2020-01-22,36.91,36.91,36.91,36.91,0
2020-01-30,36.91,36.91,36.91,36.91,0
2020-01-31,36.91,36.91,36.91,36.91,0
2020-02-03,36.91,36.91,36.91,36.91,0
2020-02-04,36.91,36.91,36.91,36.91,0
2020-02-05,36.91,36.91,36.91,36.91,0
2020-02-06,36.91,36.91,36.91,36.91,0
2020-02-07,36.91,36.91,36.91,36.91,0
2020-02-10,36.91,36.91,36.91,36.91,0
2020-02-11,36.91,36.91,36.91,36.91,0
2020-02-12,36.91,36.91,36.91,36.91,0
2020-02-13,36.91,36.91,36.91,36.91,0
2020-02-14,36.91,36.91,36.91,36.91,0
2020-02-17,36.91,36.91,36.91,36.91,0
2020-02-18,31.9,31.9,31.9,31.9,100
2020-02-19,31.9,31.9,31.9,31.9,0
2020-02-20,31.9,31.9,31.9,31.9,0
2020-02-21,31.9,31.9,31.9,31.9,0
2020-02-24,29.17,29.17,29.17,29.17,100
2020-02-25,29.17,29.17,29.17,29.17,0
2020-02-26,29.17,29.17,29.17,29.17,0
2020-02-27,29.17,29.17,29.17,29.17,0
2020-02-28,29.17,29.17,29.17,29.17,0
2020-03-02,29.17,29.17,29.17,29.17,0
2020-03-03,29.17,29.17,29.17,29.17,0
2020-03-04,29.17,29.17,29.17,29.17,0
2020-03-05,29.17,29.17,29.17,29.17,0
2020-03-06,27.34,27.34,27.34,27.34,100
2020-03-09,27.34,27.34,27.34,27.34,0
2020-03-10,23.24,23.24,23.24,23.24,102
2020-03-11,23.24,23.24,23.24,23.24,0
2020-03-12,23.24,23.24,23.24,23.24,0
2020-03-13,23.24,23.24,23.24,23.24,0
2020-03-16,23.24,23.24,23.24,23.24,0
2020-03-17,23.24,23.24,23.24,23.24,0
2020-03-18,22.79,22.79,22.79,22.79,100
2020-03-19,22.79,22.79,22.79,22.79,0
2020-03-20,22.79,22.79,22.79,22.79,0
2020-03-23,20.05,20.05,19.6,19.6,200
2020-03-24,16.95,16.95,16.95,16.95,200
2020-03-25,19.41,19.41,19.41,19.41,100
2020-03-26,19.41,19.41,19.41,19.41,0
2020-03-27,19.41,19.41,19.41,19.41,0
2020-03-30,19.41,19.41,19.41,19.41,0
2020-03-31,19.41,19.41,19.41,19.41,0
2020-04-01,19.41,19.41,19.41,19.41,0
2020-04-03,19.41,19.41,19.41,19.41,0
2020-04-06,19.41,19.41,19.41,19.41,0
2020-04-07,19.41,19.41,19.41,19.41,0
2020-04-08,19.41,19.41,19.41,19.41,0
2020-04-09,19.41,19.41,19.41,19.41,0
2020-04-10,19.41,19.41,19.41,19.41,0
2020-04-13,19.14,19.14,16.59,19.14,900
2020-04-14,17.41,17.41,17.41,19.14,0
2020-04-15,17.41,17.41,17.41,19.14,0
2020-04-16,17.41,17.41,17.41,19.14,0
2020-04-17,17.32,19.96,17.32,19.96,200
2020-04-20,19.14,19.14,19.14,19.14,400
2020-04-21,19.14,19.14,19.14,19.14,0
2020-04-22,19.14,19.14,19.14,19.14,0
2020-04-23,19.05,19.05,19.05,19.05,100
2020-04-24,19.05,19.05,19.05,19.05,0
2020-04-27,19.05,19.05,19.05,19.05,0
2020-04-28,19.05,19.05,19.05,19.05,0
2020-04-29,19.05,19.05,19.05,19.05,0
2020-05-04,18.23,18.23,18.23,18.23,100
2020-05-05,18.23,18.23,18.23,18.23,0
2020-05-06,18.23,18.23,18.23,18.23,0
2020-05-07,18.23,18.23,18.23,18.23,0
2020-05-08,18.23,18.23,18.23,18.23,0
2020-05-11,18.23,18.23,18.23,18.23,0
2020-05-12,18.23,18.23,18.23,18.23,0
2020-05-13,18.23,18.23,18.23,18.23,0
2020-05-14,18.23,18.23,18.23,18.23,0
2020-05-15,18.23,18.23,18.23,18.23,0
2020-05-18,18.23,18.23,18.23,18.23,0
2020-05-19,18.23,18.23,18.23,18.23,100
2020-05-20,20.96,20.96,20.96,20.96,100
2020-05-21,20.96,20.96,20.96,20.96,0
2020-05-22,20.96,20.96,20.96,20.96,0
2020-05-25,20.96,20.96,20.96,20.96,0
2020-05-26,20.96,20.96,20.96,20.96,0
2020-05-27,20.96,20.96,20.96,20.96,0
2020-05-28,20.96,20.96,20.96,20.96,0
2020-05-29,20.96,21.42,20.96,21.42,10400
2020-06-01,21.24,21.24,21.24,21.42,0
2020-06-02,21.24,21.24,21.24,21.42,0
2020-06-03,21.24,21.24,21.24,21.42,0
2020-06-04,21.24,21.24,21.24,21.42,0
2020-06-05,21.24,21.24,21.24,21.42,0
2020-06-08,21.24,21.24,21.24,21.42,0
2020-06-09,21.24,21.24,21.24,21.42,0
2020-06-10,21.24,21.24,21.24,21.42,0
2020-06-11,21.24,21.24,21.24,21.42,0
2020-06-12,21.24,21.24,21.24,21.42,0
2020-06-15,21.24,21.24,21.24,21.42,0
2020-06-16,21.24,21.24,21.24,21.42,0
2020-06-17,21.24,21.24,21.24,21.42,0
2020-06-18,21.24,21.24,21.24,21.42,0
2020-06-19,21.24,21.24,21.24,21.42,0
2020-06-22,21.24,21.24,21.24,21.42,0
2020-06-23,21.24,21.24,21.24,21.42,0
2020-06-24,21.24,21.24,21.24,21.42,0
2020-06-25,21.24,21.24,21.24,21.42,0
2020-06-26,21.24,21.24,21.24,21.42,0
2020-06-29,21.24,21.24,21.24,21.24,1033
2020-06-30,21.24,21.24,21.24,21.24,0
2020-07-01,21.24,21.24,21.24,21.24,0
2020-07-02,21.24,21.24,21.24,21.24,0
2020-07-03,21.24,21.24,21.24,21.24,0
2020-07-06,21.24,21.24,21.24,21.24,0
2020-07-07,21.24,21.24,21.24,21.24,0
2020-07-08,21.24,21.24,21.24,21.24,0
2020-07-09,24.34,24.34,21.88,24.34,21000
2020-07-10,23.97,24.15,23.97,23.97,3700
2020-07-13,24.06,24.06,24.06,24.06,120
