time,open,high,low,close,volume
2020-01-06,6.23,6.23,6.23,6.23,500
2020-01-07,6.23,6.23,6.23,6.23,0
2020-01-08,6.23,6.23,6.23,6.23,0
2020-01-09,6.23,6.23,6.23,6.23,0
2020-01-10,6.23,6.23,6.23,6.23,0
2020-01-13,6.23,6.23,6.23,6.23,2500
2020-01-14,6.23,6.23,6.23,6.23,500
2020-01-15,6.23,6.23,6.23,6.23,0
2020-01-16,6.23,6.23,6.23,6.23,0
2020-01-17,6.23,6.23,6.23,6.23,0
2020-01-20,6.23,6.23,6.23,6.23,1000
2020-01-21,6.23,6.23,6.23,6.23,0
2020-01-22,6.23,6.23,6.23,6.23,0
2020-01-30,6.23,6.23,6.23,6.23,0
2020-01-31,6.43,6.43,6.43,6.43,300
2020-02-03,5.9,5.9,5.9,5.9,300
2020-02-04,5.9,5.9,5.9,5.9,0
2020-02-05,5.9,5.9,5.9,5.9,0
2020-02-06,5.9,5.9,5.9,5.9,0
2020-02-07,5.9,5.9,5.9,5.9,0
2020-02-10,6.23,6.23,6.23,6.23,500
2020-02-11,6.23,6.23,6.23,6.23,0
2020-02-12,5.9,5.9,5.9,5.9,500
2020-02-13,5.9,5.9,5.9,5.9,0
2020-02-14,6.03,6.03,6.03,6.03,700
2020-02-17,6.03,6.03,6.03,6.03,0
2020-02-18,6.03,6.03,6.03,6.03,0
2020-02-19,6.03,6.03,6.03,6.03,0
2020-02-20,6.03,6.03,6.03,6.03,0
2020-02-21,6.1,6.1,6.1,6.1,300
2020-02-24,6.1,6.1,6.1,6.1,0
2020-02-25,6.1,6.1,6.1,6.1,0
2020-02-26,6.1,6.1,6.1,6.1,900
2020-02-27,6.1,6.1,6.1,6.1,600
2020-02-28,6.1,6.1,6.1,6.1,0
2020-03-02,6.1,6.1,6.1,6.1,0
2020-03-03,6.1,6.1,6.1,6.1,0
2020-03-04,6.1,6.1,6.1,6.1,0
2020-03-05,6.1,6.1,6.1,6.1,0
2020-03-06,6.1,6.1,6.1,6.1,0
2020-03-09,6.1,6.1,6.1,6.1,0
2020-03-10,6.1,6.1,6.1,6.1,0
2020-03-11,6.23,6.23,6.23,6.23,500
2020-03-12,6.23,6.23,6.23,6.23,0
2020-03-13,6.23,6.23,6.23,6.23,0
2020-03-16,6.23,6.23,6.23,6.23,0
2020-03-17,6.23,6.23,6.23,6.23,0
2020-03-18,6.23,6.23,6.23,6.23,0
2020-03-19,6.23,6.23,6.23,6.23,0
2020-03-20,6.23,6.23,6.23,6.23,0
2020-03-23,6.23,6.23,6.23,6.23,0
2020-03-24,6.23,6.23,6.23,6.23,0
2020-03-25,6.23,6.23,6.23,6.23,0
2020-03-26,6.23,6.23,6.23,6.23,0
2020-03-27,6.23,6.23,6.23,6.23,0
2020-03-30,6.23,6.23,6.23,6.23,0
2020-03-31,6.23,6.23,6.23,6.23,0
2020-04-01,6.23,6.23,6.23,6.23,0
2020-04-03,6.23,6.23,6.23,6.23,0
2020-04-06,6.23,6.23,6.23,6.23,0
2020-04-07,6.23,6.23,6.23,6.23,0
2020-04-08,6.23,6.23,6.23,6.23,0
2020-04-09,6.23,6.23,6.23,6.23,0
2020-04-10,6.23,6.23,6.23,6.23,0
2020-04-13,6.23,6.23,6.23,6.23,0
2020-04-14,7.15,7.15,7.15,7.15,4800
2020-04-15,6.1,6.16,6.1,6.16,5600
2020-04-16,6.1,6.1,6.1,6.16,0
2020-04-17,6.1,6.1,6.1,6.16,0
2020-04-20,5.31,6.03,5.25,6.03,1200
2020-04-21,5.77,5.77,5.77,6.03,0
2020-04-22,6.23,6.23,6.1,6.1,1400
2020-04-23,5.9,5.9,5.77,5.77,500
2020-04-24,5.84,5.84,5.84,5.84,100
2020-04-27,5.84,5.84,5.84,5.84,0
2020-04-28,5.84,5.84,5.84,5.84,100
2020-04-29,5.84,5.84,5.84,5.84,0
2020-05-04,5.84,5.84,5.84,5.84,0
2020-05-05,5.84,5.84,5.84,5.84,1000
2020-05-06,5.9,6.03,4.99,6.03,1800
2020-05-07,5.71,5.71,5.71,6.03,0
2020-05-08,5.71,5.71,5.71,6.03,0
2020-05-11,5.71,5.71,5.71,6.03,0
2020-05-12,5.71,5.71,5.71,6.03,0
2020-05-13,5.58,6.3,5.58,6.3,200
2020-05-14,5.97,5.97,5.97,6.3,0
2020-05-15,6.23,6.49,6.23,6.49,600
2020-05-18,6.36,6.36,6.36,6.49,0
2020-05-19,6.36,6.36,6.36,6.49,0
2020-05-20,6.36,6.36,6.36,6.36,900
2020-05-21,6.36,6.36,6.36,6.36,0
2020-05-22,6.36,6.36,6.36,6.36,0
2020-05-25,6.36,6.36,6.36,6.36,0
2020-05-26,6.36,6.36,6.36,6.36,0
2020-05-27,6.36,6.36,6.36,6.36,0
