time,open,high,low,close,volume
2020-01-06,13.22,13.22,13.22,13.15,0
2020-01-07,13.22,13.22,13.22,13.15,0
2020-01-08,13.22,13.22,13.22,13.15,0
2020-01-09,13.22,13.22,13.22,13.15,100
2020-01-10,13.22,13.22,13.22,13.15,0
2020-01-13,13.22,13.22,13.22,13.15,0
2020-01-14,13.22,13.22,13.22,13.15,0
2020-01-15,13.22,13.22,13.22,13.15,0
2020-01-16,13.22,13.22,13.22,13.15,0
2020-01-17,13.22,13.22,13.22,13.15,0
2020-01-20,12.24,12.24,12.24,12.24,110
2020-01-21,12.24,12.24,12.24,12.24,0
2020-01-22,12.24,12.24,12.24,12.24,0
2020-01-30,12.24,12.24,12.24,12.24,0
2020-01-31,12.24,12.24,12.24,12.24,0
2020-02-03,12.24,12.24,12.24,12.24,0
2020-02-04,12.24,12.24,12.24,12.24,0
2020-02-05,12.24,12.24,12.24,12.24,0
2020-02-06,12.24,12.24,12.24,12.24,0
2020-02-07,12.24,12.24,12.24,12.24,0
2020-02-10,12.24,12.24,12.24,12.24,0
2020-02-11,12.24,12.24,12.24,12.24,0
2020-02-12,12.24,12.24,12.24,12.24,0
2020-02-13,12.24,12.24,12.24,12.24,0
2020-02-14,12.24,12.24,12.24,12.24,0
2020-02-17,12.24,12.24,12.24,12.24,0
2020-02-18,12.24,12.24,12.24,12.24,0
2020-02-19,12.24,12.24,12.24,12.24,0
2020-02-20,12.24,12.24,12.24,12.24,10
2020-02-21,12.24,12.24,12.24,12.24,0
2020-02-24,10.49,10.49,10.49,10.49,310
2020-02-25,10.49,10.49,10.49,10.49,0
2020-02-26,10.49,10.49,10.49,10.49,0
2020-02-27,11.54,11.54,11.54,11.54,200
2020-02-28,11.54,11.54,11.54,11.54,0
2020-03-02,11.54,11.54,11.54,11.54,0
2020-03-03,11.54,11.54,11.54,11.54,0
2020-03-04,11.54,11.54,11.54,11.54,0
2020-03-05,11.54,11.54,11.54,11.54,0
2020-03-06,11.54,11.54,11.54,11.54,0
2020-03-09,11.54,11.54,11.54,11.54,0
2020-03-10,9.86,9.86,9.86,9.86,100
2020-03-11,9.86,9.86,9.86,9.86,0
2020-03-12,9.86,9.86,9.86,9.86,0
2020-03-13,8.39,8.39,8.39,8.39,100
2020-03-16,9.65,9.65,9.65,9.65,110
2020-03-17,9.65,9.65,9.65,9.65,0
2020-03-18,10.49,10.49,10.49,10.49,100
2020-03-19,10.49,10.49,10.49,10.49,0
2020-03-20,10.49,10.49,10.49,10.49,0
2020-03-23,10.49,10.49,10.49,10.49,0
