time,open,high,low,close,volume
2020-01-06,17.5,17.6,17.5,17.6,36000
2020-01-07,17.2,17.6,17.2,17.6,4640
2020-01-08,17.5,17.5,17.5,17.5,25000
2020-01-09,17.4,17.6,17.4,17.6,13000
2020-01-10,17.4,17.6,17.4,17.5,9803
2020-01-13,17.5,17.6,17.5,17.6,6600
2020-01-14,17.6,17.7,17.6,17.7,5540
2020-01-15,17.5,17.8,17.5,17.8,7300
2020-01-16,17.8,17.8,17.8,17.8,6040
2020-01-17,17.6,17.8,17.6,17.8,5510
2020-01-20,17.8,17.8,17.8,17.8,0
2020-01-21,17.8,17.9,17.8,17.9,12100
2020-01-22,17.9,18.0,17.9,18.0,14800
2020-01-30,17.9,17.9,17.9,17.9,600
2020-01-31,18.0,18.0,17.8,18.0,20400
2020-02-03,17.5,17.5,17.5,17.5,5003
2020-02-04,18.0,18.3,18.0,18.1,24500
2020-02-05,18.2,18.3,18.2,18.3,11500
2020-02-06,18.4,18.5,18.2,18.5,54000
2020-02-07,18.5,18.5,18.5,18.5,1040
2020-02-10,18.1,18.1,18.0,18.0,11600
2020-02-11,18.2,18.2,18.0,18.0,5400
2020-02-12,18.2,18.5,18.2,18.5,25900
2020-02-13,18.5,18.5,18.5,18.5,10800
2020-02-14,18.5,18.5,18.5,18.5,15250
2020-02-17,18.2,18.4,18.2,18.4,14700
2020-02-18,18.4,18.6,18.4,18.5,26100
2020-02-19,18.5,18.5,18.5,18.5,17000
2020-02-20,18.5,18.5,18.4,18.5,16000
2020-02-21,18.5,18.5,18.5,18.5,18058
2020-02-24,18.5,18.5,18.4,18.4,10000
2020-02-25,18.4,18.4,18.4,18.4,10700
2020-02-26,18.4,18.4,18.0,18.4,16800
2020-02-27,18.3,18.5,18.3,18.5,20300
2020-02-28,18.1,18.5,18.1,18.5,16000
2020-03-02,18.2,18.5,18.2,18.5,7500
2020-03-03,18.4,18.5,18.4,18.5,9565
2020-03-04,18.3,18.3,18.3,18.3,1900
2020-03-05,18.3,18.4,18.3,18.4,5000
2020-03-06,18.4,18.5,18.4,18.5,7000
2020-03-09,18.4,18.4,17.8,18.4,46200
2020-03-10,18.3,18.3,18.2,18.3,19900
2020-03-11,18.0,18.3,18.0,18.3,3500
2020-03-12,18.0,18.2,17.5,18.0,30300
2020-03-13,17.8,18.0,17.3,18.0,43000
2020-03-16,18.0,18.1,18.0,18.1,13400
2020-03-17,18.0,18.1,17.8,18.1,25100
2020-03-18,18.1,18.4,18.0,18.4,26410
2020-03-19,18.3,18.3,18.2,18.3,28200
2020-03-20,18.2,18.3,18.2,18.3,21610
2020-03-23,18.0,18.2,17.5,18.0,45500
2020-03-24,17.8,18.0,17.3,18.0,36713
2020-03-25,18.0,18.1,17.8,18.0,31520
2020-03-26,18.0,18.0,17.3,17.6,43700
2020-03-27,17.7,18.0,17.5,18.0,30554
2020-03-30,17.9,17.9,17.3,17.7,32662
2020-03-31,17.7,17.8,17.5,17.8,31300
2020-04-01,16.5,17.8,16.1,17.8,1581
2020-04-03,17.5,17.5,17.5,17.5,2100
2020-04-06,17.4,17.4,17.0,17.3,16304
2020-04-07,17.0,17.0,17.0,17.0,5000
2020-04-08,17.4,17.4,17.4,17.4,100
2020-04-09,17.4,17.4,16.6,16.6,2920
2020-04-10,16.6,17.4,16.6,17.4,1100
2020-04-13,17.3,17.3,17.3,17.3,1000
2020-04-14,16.5,16.5,16.5,16.5,5620
2020-04-15,16.6,16.6,16.6,16.6,100
2020-04-16,17.0,17.0,17.0,17.0,1500
2020-04-17,16.8,17.0,16.8,17.0,8900
2020-04-20,17.0,17.0,17.0,17.0,0
2020-04-21,17.0,17.0,17.0,17.0,0
2020-04-22,16.5,16.5,16.5,16.5,2400
2020-04-23,16.5,16.5,16.5,16.5,0
2020-04-24,16.5,16.5,16.5,16.5,0
2020-04-27,16.9,16.9,16.9,16.9,600
2020-04-28,16.9,16.9,16.9,16.9,30
2020-04-29,16.9,16.9,16.4,16.4,4600
2020-05-04,17.0,17.0,17.0,17.0,100
2020-05-05,17.0,17.0,17.0,17.0,0
2020-05-06,17.0,17.0,16.3,16.3,1400
2020-05-07,16.4,16.4,16.4,16.4,3611
2020-05-08,16.3,17.4,16.3,17.4,680
2020-05-11,16.5,17.5,16.5,17.5,5100
2020-05-12,17.0,17.0,17.0,17.0,100
2020-05-13,16.9,16.9,16.9,16.9,280
2020-05-14,16.7,16.7,16.3,16.3,6800
2020-05-15,16.3,16.3,16.3,16.3,2600
2020-05-18,16.3,16.3,16.0,16.0,11100
2020-05-19,16.5,17.4,16.5,17.4,10200
2020-05-20,17.4,17.4,17.4,17.4,1
2020-05-21,16.5,17.4,16.5,17.0,20600
2020-05-22,16.2,17.0,16.1,17.0,14615
2020-05-25,17.0,17.0,17.0,17.0,8100
2020-05-26,17.0,17.0,17.0,17.0,2
2020-05-27,16.0,17.0,16.0,17.0,17178
2020-05-28,17.0,17.0,17.0,17.0,0
2020-05-29,17.0,17.0,17.0,17.0,215
2020-06-01,16.8,17.0,16.6,17.0,6800
2020-06-02,16.6,17.0,15.3,17.0,37674
2020-06-03,16.6,16.6,16.5,16.6,6100
2020-06-04,16.6,17.0,16.1,17.0,67700
2020-06-05,17.0,17.0,17.0,17.0,3009
2020-06-08,17.0,17.0,17.0,17.0,5000
2020-06-09,16.2,17.0,16.0,17.0,18600
2020-06-10,17.0,17.0,17.0,17.0,0
2020-06-11,16.2,17.0,16.2,17.0,11000
2020-06-12,16.8,16.9,16.8,16.9,3200
2020-06-15,16.5,16.9,16.5,16.9,20163
2020-06-16,16.9,16.9,16.9,16.9,500
2020-06-17,16.9,16.9,16.9,16.9,49
2020-06-18,16.5,16.5,16.5,16.5,17500
2020-06-19,16.5,16.5,16.5,16.5,0
2020-06-22,16.5,16.5,16.5,16.5,0
2020-06-23,16.4,16.5,16.4,16.5,5300
2020-06-24,16.4,16.4,16.4,16.4,500
2020-06-25,17.0,17.0,17.0,17.0,4000
2020-06-26,16.5,16.9,16.5,16.9,10587
2020-06-29,16.9,16.9,16.9,16.9,0
2020-06-30,16.3,16.9,16.3,16.9,1960
2020-07-01,16.5,16.9,16.5,16.9,11100
2020-07-02,16.7,16.7,16.4,16.4,10549
2020-07-03,16.4,16.4,16.3,16.4,15609
2020-07-06,16.4,17.0,16.4,17.0,76400
2020-07-07,16.5,16.5,16.5,16.5,273
2020-07-08,16.7,17.2,16.7,17.2,163800
2020-07-09,16.6,16.6,16.6,16.6,200
2020-07-10,16.8,17.1,16.8,17.0,115060
2020-07-13,16.8,16.9,16.3,16.9,8349
2020-07-14,16.9,17.5,16.9,17.5,18000
2020-07-15,17.3,17.5,17.3,17.5,45800
2020-07-16,17.5,17.9,17.5,17.8,20900
2020-07-17,18.0,18.5,17.9,18.5,46432
2020-07-20,18.5,18.5,18.2,18.2,30099
2020-07-21,18.2,18.2,18.1,18.1,600
2020-07-22,17.8,18.1,17.8,18.1,31586
2020-07-23,17.9,18.1,17.5,18.1,46010
2020-07-24,17.2,18.0,17.0,18.0,31620
2020-07-27,17.0,17.0,17.0,17.0,100
2020-07-28,17.0,17.9,17.0,17.9,53000
2020-07-29,19.3,19.3,17.5,18.0,24900
2020-07-30,18.0,18.3,17.8,18.3,85100
2020-07-31,18.3,18.3,17.5,18.2,37700
2020-08-03,18.5,18.5,18.2,18.5,4820
2020-08-04,18.2,18.4,18.0,18.3,59710
2020-08-05,17.8,18.3,17.8,18.3,2000
2020-08-06,17.8,18.3,17.8,18.3,30300
2020-08-07,18.2,18.3,18.2,18.3,41800
2020-08-10,17.8,18.3,17.8,18.2,22400
2020-08-11,18.2,18.5,18.2,18.2,13624
2020-08-12,18.5,18.5,18.5,18.5,100
2020-08-13,18.2,18.2,18.2,18.2,2000
2020-08-14,17.4,18.5,17.4,18.5,200
2020-08-17,18.5,18.5,18.5,18.5,0
2020-08-18,18.5,18.5,18.5,18.5,0
2020-08-19,18.5,18.5,18.5,18.5,0
2020-08-20,18.5,18.5,18.5,18.5,0
2020-08-21,18.5,18.5,18.5,18.5,0
2020-08-24,18.4,18.4,18.4,18.4,5500
2020-08-25,18.0,18.0,18.0,18.0,100
2020-08-26,18.9,18.9,18.6,18.6,6100
2020-08-27,18.6,18.6,18.6,18.6,0
2020-08-28,18.6,18.6,18.6,18.6,0
2020-08-31,17.6,18.0,17.6,18.0,26300
2020-09-01,17.8,18.4,17.8,18.4,11000
2020-09-03,18.0,18.6,18.0,18.6,5500
2020-09-04,18.6,18.6,18.6,18.6,0
2020-09-07,17.6,18.4,17.5,18.4,15000
2020-09-08,18.4,18.4,18.4,18.4,0
2020-09-09,17.6,18.4,17.2,18.4,16300
2020-09-10,18.4,18.4,18.4,18.4,7000
2020-09-11,17.4,18.3,17.4,18.3,6200
2020-09-14,18.5,18.5,18.5,18.5,1000
2020-09-15,18.4,18.4,18.4,18.4,17800
2020-09-16,17.8,18.4,17.8,18.4,500
2020-09-17,18.4,18.4,18.4,18.4,1000
2020-09-18,18.4,18.4,18.4,18.4,1
2020-09-21,18.4,18.4,18.2,18.2,210
2020-09-22,17.6,18.2,17.0,18.2,6250
2020-09-23,18.0,18.4,18.0,18.4,13100
2020-09-24,18.2,18.3,17.7,18.3,17602
2020-09-25,17.7,18.3,17.7,18.3,24100
2020-09-28,18.3,18.3,17.7,18.2,1720
2020-09-29,18.2,18.4,18.2,18.4,4110
2020-09-30,18.4,18.4,18.4,18.4,10
2020-10-01,18.4,18.4,18.3,18.3,1048
2020-10-02,17.5,18.6,17.5,18.6,800
2020-10-05,18.6,18.6,18.6,18.6,0
2020-10-06,18.6,18.6,18.6,18.6,0
2020-10-07,18.8,18.8,18.0,18.6,10500
2020-10-08,18.6,18.6,18.6,18.6,0
2020-10-09,18.6,18.6,18.6,18.6,0
2020-10-12,18.6,18.6,18.6,18.6,0
2020-10-13,18.0,18.6,18.0,18.6,600
2020-10-14,18.0,18.4,18.0,18.4,600
