time,open,high,low,close,volume
2020-02-24,10.14,10.14,10.14,10.14,0
2020-02-25,10.14,10.14,10.14,10.14,0
2020-02-26,10.14,10.14,10.14,10.14,0
2020-02-27,14.16,14.16,14.16,14.16,100
2020-02-28,14.16,14.16,14.16,14.16,0
2020-03-02,14.16,14.16,14.16,14.16,0
2020-03-03,14.16,14.16,14.16,14.16,0
2020-03-04,14.16,14.16,14.16,14.16,0
2020-03-05,14.16,14.16,14.16,14.16,0
2020-03-06,14.16,14.16,14.16,14.16,0
2020-03-09,14.16,14.16,14.16,14.16,0
2020-03-10,14.16,14.16,14.16,14.16,0
2020-03-11,14.16,14.16,14.16,14.16,0
2020-03-12,14.16,14.16,14.16,14.16,0
2020-03-13,14.16,14.16,14.16,14.16,0
2020-03-16,14.16,14.16,14.16,14.16,0
2020-03-17,14.16,14.16,14.16,14.16,0
2020-03-18,14.16,14.16,14.16,14.16,0
2020-03-19,14.16,14.16,14.16,14.16,0
2020-03-20,14.16,14.16,14.16,14.16,0
2020-03-23,14.16,14.16,14.16,14.16,0
2020-03-24,14.16,14.16,14.16,14.16,0
2020-03-25,14.16,14.16,14.16,14.16,0
2020-03-26,14.16,14.16,14.16,14.16,0
2020-03-27,14.16,14.16,14.16,14.16,0
2020-03-30,14.16,14.16,14.16,14.16,0
2020-03-31,14.16,14.16,14.16,14.16,0
2020-04-01,14.16,14.16,14.16,14.16,0
2020-04-03,14.16,14.16,14.16,14.16,0
2020-04-06,14.16,14.16,14.16,14.16,0
2020-04-07,14.16,14.16,14.16,14.16,0
2020-04-08,14.16,14.16,14.16,14.16,0
2020-04-09,14.16,14.16,14.16,14.16,0
2020-04-10,14.16,14.16,14.16,14.16,0
2020-04-13,14.16,14.16,14.16,14.16,0
2020-04-14,14.16,14.16,14.16,14.16,0
2020-04-15,14.16,14.16,14.16,14.16,0
2020-04-16,14.16,14.16,14.16,14.16,0
2020-04-17,14.16,14.16,14.16,14.16,0
2020-04-20,14.16,14.16,14.16,14.16,0
2020-04-21,14.16,14.16,14.16,14.16,0
