time,open,high,low,close,volume
2020-01-06,6.12,6.12,6.12,6.12,39
2020-01-07,6.12,6.12,6.12,6.12,0
2020-01-08,6.12,6.12,6.12,6.12,0
2020-01-09,6.57,6.57,6.57,6.57,101
2020-01-10,6.57,6.57,6.57,6.57,0
2020-01-13,6.57,6.57,6.57,6.57,0
2020-01-14,6.57,6.57,6.57,6.57,0
2020-01-15,6.57,6.57,6.57,6.57,0
2020-01-16,5.62,5.62,5.62,5.62,100
2020-01-17,5.62,5.62,5.62,5.62,0
2020-01-20,5.62,5.62,5.62,5.62,0
2020-01-21,4.9,4.9,4.9,4.9,100
2020-01-22,4.9,4.9,4.9,4.9,0
2020-01-30,4.9,4.9,4.9,4.9,0
2020-01-31,4.9,4.9,4.9,4.9,0
2020-02-03,4.9,4.9,4.9,4.9,0
2020-02-04,4.9,4.9,4.9,4.9,0
2020-02-05,4.9,4.9,4.9,4.9,0
2020-02-06,5.62,5.62,5.62,5.62,100
2020-02-07,5.62,5.62,5.62,5.62,0
2020-02-10,5.62,5.62,5.62,5.62,0
2020-02-11,5.62,5.62,5.62,5.62,0
2020-02-12,5.62,5.62,5.62,5.62,14
2020-02-13,6.46,6.46,6.46,6.46,100
2020-02-14,6.46,6.46,6.46,6.46,0
2020-02-17,6.46,6.46,6.46,6.46,0
2020-02-18,7.24,7.24,7.24,7.24,100
2020-02-19,7.24,7.24,7.24,7.24,0
2020-02-20,7.24,7.24,7.24,7.24,0
2020-02-21,7.24,7.24,7.24,7.24,0
2020-02-24,7.24,7.24,7.24,7.24,0
2020-02-25,7.24,7.24,7.24,7.24,0
2020-02-26,7.24,7.24,7.24,7.24,0
2020-02-27,7.24,7.24,7.24,7.24,0
2020-02-28,7.24,7.24,7.24,7.24,0
2020-03-02,7.24,7.24,7.24,7.24,0
2020-03-03,7.24,7.24,7.24,7.24,0
2020-03-04,7.24,7.24,7.24,7.24,0
2020-03-05,7.24,7.24,7.24,7.24,15
2020-03-06,7.24,7.24,7.24,7.24,0
2020-03-09,7.24,7.24,7.24,7.24,0
2020-03-10,7.24,7.24,7.24,7.24,0
2020-03-11,7.24,7.24,7.24,7.24,0
2020-03-12,7.24,7.24,7.24,7.24,0
2020-03-13,7.24,7.24,7.24,7.24,0
2020-03-16,7.24,7.24,7.24,7.24,0
2020-03-17,7.24,7.24,7.24,7.24,0
2020-03-18,7.24,7.24,7.24,7.24,0
2020-03-19,7.24,7.24,7.24,7.24,0
2020-03-20,7.24,7.24,7.24,7.24,0
2020-03-23,7.24,7.24,7.24,7.24,0
2020-03-24,7.24,7.24,7.24,7.24,0
2020-03-25,7.24,7.24,7.24,7.24,0
2020-03-26,7.24,7.24,7.24,7.24,0
2020-03-27,7.24,7.24,7.24,7.24,0
2020-03-30,7.24,7.24,7.24,7.24,0
2020-03-31,7.24,7.24,7.24,7.24,0
2020-04-01,7.24,7.24,7.24,7.24,0
2020-04-03,7.24,7.24,7.24,7.24,0
2020-04-06,7.24,7.24,7.24,7.24,0
2020-04-07,7.24,7.24,7.24,7.24,0
2020-04-08,7.24,7.24,7.24,7.24,0
2020-04-09,7.24,7.24,7.24,7.24,0
2020-04-10,7.24,7.24,7.24,7.24,0
2020-04-13,7.24,7.24,7.24,7.24,0
2020-04-14,7.24,7.24,7.24,7.24,0
2020-04-15,5.57,5.57,5.57,5.57,200
2020-04-16,5.57,5.57,5.57,5.57,0
2020-04-17,5.57,5.57,5.57,5.57,0
2020-04-20,5.57,5.57,5.57,5.57,0
2020-04-21,5.29,5.29,5.29,5.29,200
2020-04-22,6.07,6.07,6.07,6.07,100
2020-04-23,6.07,6.07,6.07,6.07,0
2020-04-24,6.07,6.07,6.07,6.07,0
2020-04-27,6.96,6.96,6.96,6.96,100
2020-04-28,6.96,6.96,6.96,6.96,0
2020-04-29,6.96,6.96,6.96,6.96,0
2020-05-04,6.96,6.96,6.96,6.96,0
2020-05-05,6.96,6.96,6.96,6.96,0
2020-05-06,7.96,7.96,7.96,7.96,100
2020-05-07,7.96,7.96,7.96,7.96,0
2020-05-08,7.96,7.96,7.96,7.96,0
2020-05-11,7.96,7.96,7.96,7.96,0
2020-05-12,7.96,7.96,7.96,7.96,0
2020-05-13,7.96,7.96,7.96,7.96,0
2020-05-14,7.96,7.96,7.96,7.96,0
2020-05-15,7.96,7.96,7.96,7.96,0
2020-05-18,7.96,7.96,7.96,7.96,0
2020-05-19,7.96,7.96,7.96,7.96,0
2020-05-20,7.96,7.96,7.96,7.96,0
2020-05-21,7.96,7.96,7.96,7.96,0
2020-05-22,7.96,7.96,7.96,7.96,0
2020-05-25,7.96,7.96,7.96,7.96,0
2020-05-26,7.96,7.96,7.96,7.96,0
2020-05-27,7.96,7.96,7.96,7.96,0
2020-05-28,7.96,7.96,7.96,7.96,0
2020-05-29,7.96,7.96,7.96,7.96,0
2020-06-01,9.13,9.13,9.13,9.13,100
2020-06-02,9.13,9.13,9.13,9.13,0
2020-06-03,9.13,9.13,9.13,9.13,0
2020-06-04,9.13,9.13,9.13,9.13,0
2020-06-05,9.13,9.13,9.13,9.13,0
2020-06-08,9.13,9.13,9.13,9.13,0
2020-06-09,9.13,9.13,9.13,9.13,0
2020-06-10,9.13,9.13,9.13,9.13,0
2020-06-11,9.13,9.13,9.13,9.13,0
2020-06-12,9.13,9.13,9.13,9.13,0
2020-06-15,9.13,9.13,9.13,9.13,0
2020-06-16,9.13,9.13,9.13,9.13,0
2020-06-17,9.13,9.13,9.13,9.13,0
2020-06-18,9.13,9.13,9.13,9.13,0
2020-06-19,9.13,9.13,9.13,9.13,0
2020-06-22,9.13,9.13,9.13,9.13,0
2020-06-23,9.13,9.13,9.13,9.13,0
2020-06-24,9.13,9.13,9.13,9.13,0
2020-06-25,9.13,9.13,9.13,9.13,0
2020-06-26,9.13,9.13,9.13,9.13,0
2020-06-29,9.13,9.13,9.13,9.13,0
2020-06-30,9.13,9.13,9.13,9.13,0
2020-07-01,9.13,9.13,9.13,9.13,0
2020-07-02,9.13,9.13,9.13,9.13,0
2020-07-03,9.13,9.13,9.13,9.13,0
2020-07-06,9.13,9.13,9.13,9.13,0
2020-07-07,9.13,9.13,9.13,9.13,0
2020-07-08,5.57,5.57,5.57,5.57,1100
2020-07-09,5.34,5.57,5.34,5.57,1312
2020-07-10,5.57,5.57,5.57,5.57,200
2020-07-13,5.57,5.57,5.57,5.57,300
2020-07-14,5.62,5.68,5.62,5.62,2550
2020-07-15,5.62,5.62,5.62,5.62,100
2020-07-16,5.62,5.62,5.62,5.62,0
2020-07-17,5.62,5.62,5.62,5.62,23
2020-07-20,5.62,5.62,5.62,5.62,2
2020-07-21,5.74,5.74,5.74,5.74,282
2020-07-22,5.74,5.74,5.74,5.74,0
2020-07-23,5.79,5.79,5.79,5.79,500
2020-07-24,5.79,5.79,5.79,5.79,0
2020-07-27,5.79,5.79,5.79,5.79,0
2020-07-28,5.79,5.79,5.79,5.79,300
2020-07-29,5.79,5.79,5.79,5.79,0
2020-07-30,5.79,5.79,5.79,5.79,8
2020-07-31,5.79,5.79,5.79,5.79,0
2020-08-03,5.79,5.79,5.79,5.79,0
2020-08-04,5.79,5.79,5.79,5.79,0
2020-08-05,5.73,5.73,5.73,5.73,100
2020-08-06,5.73,5.73,5.73,5.73,0
2020-08-07,5.73,5.73,5.73,5.73,0
2020-08-10,5.73,5.73,5.73,5.73,0
2020-08-11,5.73,5.73,5.73,5.73,0
2020-08-12,5.73,5.73,5.73,5.73,0
2020-08-13,5.73,5.73,5.73,5.73,0
2020-08-14,5.73,5.73,5.73,5.73,0
2020-08-17,5.73,5.73,5.73,5.73,0
2020-08-18,5.73,5.73,5.73,5.73,0
2020-08-19,5.73,5.73,5.73,5.73,0
2020-08-20,6.55,6.55,6.55,6.55,105
2020-08-21,6.55,6.55,6.55,6.55,0
2020-08-24,6.55,6.55,6.55,6.55,0
2020-08-25,6.55,6.55,6.55,6.55,0
2020-08-26,5.79,5.79,5.79,5.79,400
2020-08-27,5.85,5.85,5.79,5.79,500
2020-08-28,5.79,5.79,5.79,5.79,0
2020-08-31,5.79,5.79,5.79,5.79,0
2020-09-01,5.79,5.79,5.79,5.79,0
2020-09-03,6.61,6.61,6.61,6.61,100
2020-09-04,6.61,6.61,6.61,6.61,0
2020-09-07,6.61,6.61,6.61,6.61,0
2020-09-08,6.61,6.61,6.61,6.61,0
2020-09-09,6.61,6.61,6.61,6.61,0
2020-09-10,6.61,6.61,6.61,6.61,0
2020-09-11,6.61,6.61,6.61,6.61,0
2020-09-14,6.61,6.61,6.61,6.61,0
2020-09-15,6.61,6.61,6.61,6.61,0
2020-09-16,6.61,6.61,6.61,6.61,0
2020-09-17,6.61,6.61,6.61,6.61,0
2020-09-18,6.61,6.61,6.61,6.61,0
2020-09-21,6.61,6.61,6.61,6.61,0
2020-09-22,6.61,6.61,6.61,6.61,0
2020-09-23,6.61,6.61,6.61,6.61,0
2020-09-24,6.61,6.61,6.61,6.61,0
2020-09-25,6.61,6.61,6.61,6.61,0
2020-09-28,6.61,6.61,6.61,6.61,0
2020-09-29,5.98,6.61,5.98,6.61,300
2020-09-30,6.17,6.17,6.17,6.61,0
2020-10-01,6.17,6.17,6.17,6.61,0
2020-10-02,6.17,6.17,6.17,6.61,0
2020-10-05,6.17,6.17,6.17,6.61,0
2020-10-06,6.17,6.17,6.17,6.61,0
2020-10-07,6.29,6.29,6.29,6.29,300
2020-10-08,6.29,6.29,6.29,6.29,0
2020-10-09,6.29,6.29,6.29,6.29,0
2020-10-12,6.29,6.29,6.29,6.29,0
2020-10-13,6.29,6.29,6.29,6.29,0
2020-10-14,6.29,6.29,6.29,6.29,0
2020-10-15,6.29,6.29,6.29,6.29,0
2020-10-16,6.29,6.29,6.29,6.29,0
2020-10-19,6.29,6.29,6.29,6.29,0
2020-10-20,6.29,6.29,6.29,6.29,0
2020-10-21,6.29,6.29,6.29,6.29,0
2020-10-22,6.29,6.29,6.29,6.29,0
2020-10-23,6.29,6.29,6.29,6.29,0
2020-10-26,6.29,6.29,6.29,6.29,0
2020-10-27,6.29,6.29,6.29,6.29,0
2020-10-28,6.29,6.29,6.29,6.29,0
2020-10-29,6.29,6.29,6.29,6.29,0
2020-10-30,6.29,6.29,6.29,6.29,0
