time,open,high,low,close,volume
2020-01-06,19.6,19.6,19.6,19.6,0
2020-01-07,20.4,19.88,19.07,19.6,300
2020-01-08,19.6,21.14,20.28,20.43,650
2020-01-09,20.43,20.43,20.43,20.43,2500
2020-01-10,20.43,20.73,20.46,20.7,4500
2020-01-13,19.6,19.6,19.6,19.6,212
2020-01-14,20.56,20.71,20.57,20.7,2000
2020-01-15,20.56,20.71,20.57,20.7,9510
2020-01-16,20.7,20.7,20.7,20.7,100
2020-01-17,21.53,21.45,20.62,20.7,6012
2020-01-20,20.7,20.7,20.7,20.7,10
2020-01-21,20.7,20.48,20.2,20.43,5900
2020-01-22,20.43,20.94,20.66,20.7,14600
2020-01-30,20.7,20.7,20.7,20.7,0
2020-01-31,20.7,20.7,20.7,20.7,0
2020-02-03,20.43,20.43,20.43,20.43,124
2020-02-04,20.7,19.6,18.55,19.6,1121
2020-02-05,19.6,19.6,19.6,19.6,300
2020-02-06,19.6,19.6,19.6,19.6,0
2020-02-07,20.68,20.68,20.68,20.68,127
2020-02-10,20.68,20.68,20.68,20.68,0
2020-02-11,20.68,20.68,20.68,20.68,0
2020-02-12,20.68,20.68,20.68,20.68,0
2020-02-13,20.68,20.68,20.68,20.68,0
2020-02-14,20.65,20.65,20.65,20.65,243
2020-02-17,20.65,20.65,20.65,20.65,10
2020-02-18,20.62,20.62,20.62,20.62,110
2020-02-19,20.43,20.92,20.67,20.68,3600
2020-02-20,20.68,20.68,20.68,20.68,0
2020-02-21,19.32,19.38,19.3,19.32,1602
2020-02-24,19.46,19.46,19.46,19.46,110
2020-02-25,19.6,19.6,19.6,19.6,1900
2020-02-26,19.46,19.46,19.46,19.46,510
2020-02-27,19.46,19.46,19.46,19.46,0
2020-02-28,20.04,20.04,20.04,20.04,100
2020-03-02,20.04,19.77,19.34,19.6,16400
2020-03-03,19.6,19.6,19.6,19.6,7100
2020-03-04,19.6,19.6,19.6,19.6,110
2020-03-05,19.38,19.38,19.38,19.38,100
2020-03-06,19.6,19.6,19.6,19.6,10100
2020-03-09,19.38,19.33,19.27,19.32,1340
2020-03-10,19.05,19.05,19.05,19.05,4351
2020-03-11,19.05,18.91,18.77,18.91,3400
2020-03-12,18.08,18.09,18.06,18.08,800
2020-03-13,17.94,17.92,17.89,17.92,4345
2020-03-16,17.94,17.97,17.91,17.94,5010
2020-03-17,17.94,17.94,17.94,17.94,20
2020-03-18,17.94,17.94,17.94,17.94,0
2020-03-19,18.22,18.58,18.17,18.5,2610
2020-03-20,18.5,18.5,18.5,18.5,16000
2020-03-23,17.67,17.67,17.67,17.67,800
2020-03-24,17.39,17.17,16.9,17.11,5190
2020-03-25,17.94,17.94,17.94,17.94,574
