time,open,high,low,close,volume
2020-01-06,15.31,15.39,14.42,14.54,281160
2020-01-07,14.54,14.54,13.55,13.92,402020
2020-01-08,13.92,14.23,13.92,14.09,119800
2020-01-09,14.11,14.58,14.04,14.46,65770
2020-01-10,14.54,14.54,13.96,13.96,108090
2020-01-13,13.96,14.17,12.99,13.53,338800
2020-01-14,13.69,13.69,13.32,13.42,35490
2020-01-15,13.59,13.59,13.32,13.34,37240
2020-01-16,13.32,13.72,13.3,13.61,74940
2020-01-17,13.22,13.84,13.22,13.49,80370
2020-01-20,12.95,13.22,12.56,12.56,489310
2020-01-21,11.7,11.98,11.7,11.7,455010
2020-01-22,11.21,11.79,10.92,11.68,346720
2020-01-30,11.68,12.18,11.21,11.6,100470
2020-01-31,11.64,11.83,10.79,10.79,176350
2020-02-03,10.07,10.07,10.03,10.03,119450
2020-02-04,9.34,9.67,9.34,9.34,430230
2020-02-05,8.74,9.67,8.74,9.34,741470
2020-02-06,9.34,9.98,9.34,9.98,89060
2020-02-07,10.67,10.67,10.67,10.67,140570
2020-02-10,10.56,11.02,10.05,10.13,571260
2020-02-11,10.13,10.36,10.07,10.28,105490
2020-02-12,10.28,10.69,10.25,10.32,138420
2020-02-13,10.32,11.04,10.25,11.04,350580
2020-02-14,10.83,11.68,10.83,11.48,271890
2020-02-17,11.48,11.77,11.21,11.64,140610
2020-02-18,11.6,11.64,11.14,11.25,178340
2020-02-19,11.29,11.6,11.14,11.6,151630
2020-02-20,11.6,11.68,11.37,11.52,184260
2020-02-21,11.48,12.02,11.29,11.5,233460
2020-02-24,10.83,10.98,10.71,10.71,290680
2020-02-25,9.99,10.44,9.98,10.44,584470
2020-02-26,10.28,11.15,9.99,10.67,164910
2020-02-27,10.67,10.98,10.21,10.83,239300
2020-02-28,10.13,10.59,10.07,10.07,368420
2020-03-02,10.05,10.56,10.03,10.13,280120
2020-03-03,10.44,10.83,10.3,10.83,420560
2020-03-04,10.83,11.52,10.83,11.52,393610
2020-03-05,11.6,11.87,11.02,11.29,517960
2020-03-06,11.06,11.56,10.92,11.56,295850
2020-03-09,10.77,10.77,10.77,10.77,62820
2020-03-10,10.03,10.9,10.03,10.42,490360
2020-03-11,10.44,10.67,9.7,9.74,729150
2020-03-12,9.12,9.28,9.07,9.07,701840
2020-03-13,8.45,9.59,8.45,9.59,470590
2020-03-16,9.36,9.86,9.2,9.36,327950
2020-03-17,9.36,9.99,8.89,9.99,425710
2020-03-18,10.26,10.28,9.74,10.23,314750
2020-03-19,9.74,10.05,9.74,9.94,184880
2020-03-20,9.8,10.11,9.78,9.9,128180
2020-03-23,9.28,9.32,9.22,9.22,250020
2020-03-24,9.09,9.4,8.6,9.14,275610
2020-03-25,9.53,9.55,9.14,9.47,105380
2020-03-26,9.32,9.47,8.82,9.05,395630
2020-03-27,9.16,9.2,8.82,8.93,141130
2020-03-30,8.33,8.82,8.31,8.51,327800
2020-03-31,8.16,8.7,7.93,8.24,323160
2020-04-01,8.24,8.47,8.08,8.31,149640
2020-04-03,8.51,8.51,8.18,8.43,350550
2020-04-06,8.58,9.01,8.56,8.95,412960
2020-04-07,9.16,9.16,8.78,9.03,232250
2020-04-08,8.74,9.09,8.74,9.05,254060
2020-04-09,9.28,9.65,9.1,9.51,414170
2020-04-10,9.51,9.7,9.38,9.63,327830
2020-04-13,9.74,9.74,9.4,9.63,429200
2020-04-14,9.63,9.98,9.43,9.98,559510
2020-04-15,10.05,10.56,10.05,10.36,610600
2020-04-16,10.13,10.32,9.86,10.17,350430
2020-04-17,10.32,10.32,9.47,9.47,926170
2020-04-20,9.09,9.98,9.03,9.78,672730
2020-04-21,9.78,9.82,9.26,9.7,288880
2020-04-22,9.09,9.61,9.09,9.61,201380
2020-04-23,9.51,9.7,9.34,9.55,206380
2020-04-24,9.4,9.63,9.32,9.57,227090
2020-04-27,9.4,9.55,9.24,9.4,251930
2020-04-28,9.47,9.51,9.22,9.47,252570
2020-04-29,9.51,9.51,9.24,9.28,212700
2020-05-04,9.28,9.36,9.09,9.22,156930
2020-05-05,9.14,9.47,8.89,9.28,378290
2020-05-06,9.2,9.32,9.07,9.24,243160
2020-05-07,9.24,9.24,9.07,9.07,164540
2020-05-08,9.07,9.47,9.07,9.28,433590
2020-05-11,9.36,9.92,9.26,9.92,624630
2020-05-12,10.21,10.42,9.92,10.25,497740
2020-05-13,10.05,10.25,9.86,9.9,347980
2020-05-14,9.63,10.19,9.63,10.03,420150
2020-05-15,10.13,10.19,9.86,9.94,384370
2020-05-18,10.01,10.01,9.88,9.99,181720
2020-05-19,10.23,10.63,10.09,10.36,781070
2020-05-20,10.36,10.63,10.34,10.36,422650
2020-05-21,10.36,10.56,10.17,10.21,316330
2020-05-22,10.13,10.37,9.52,9.52,548750
2020-05-25,9.52,9.85,9.52,9.74,282160
2020-05-26,9.74,10.09,9.74,10.05,341820
2020-05-27,10.21,10.21,9.68,9.68,361870
2020-05-28,9.68,9.76,9.5,9.6,244760
2020-05-29,9.58,9.78,9.56,9.64,210530
2020-06-01,9.64,9.82,9.6,9.8,235030
2020-06-02,9.8,10.05,9.72,9.76,316850
2020-06-03,9.93,9.93,9.72,9.72,147260
2020-06-04,9.72,9.8,9.62,9.62,404820
2020-06-05,9.48,9.87,9.48,9.78,208640
2020-06-08,9.91,10.47,9.78,10.47,1362650
2020-06-09,10.67,10.73,10.43,10.49,630660
2020-06-10,10.41,11.09,10.13,11.01,744870
2020-06-11,10.93,11.21,10.25,10.25,885140
2020-06-12,9.6,9.97,9.6,9.97,452280
2020-06-15,9.97,10.23,9.28,9.28,748940
2020-06-16,9.44,9.64,9.28,9.44,541130
2020-06-17,9.56,9.64,9.32,9.44,183790
2020-06-18,9.28,9.56,9.24,9.42,114340
2020-06-19,9.48,9.89,9.44,9.89,313000
2020-06-22,10.05,10.29,9.89,10.05,442490
2020-06-23,10.05,10.21,9.64,9.95,317040
2020-06-24,9.93,10.05,9.64,9.72,294580
2020-06-25,9.56,9.68,9.56,9.6,196910
2020-06-26,9.72,9.76,9.46,9.5,160760
2020-06-29,9.44,9.46,8.84,9.12,434040
2020-06-30,9.12,9.36,8.64,8.94,229580
2020-07-01,8.78,9.2,8.78,9.2,189160
2020-07-02,9.2,9.4,9.2,9.36,120680
2020-07-03,9.36,9.52,9.28,9.28,106270
2020-07-06,9.4,9.46,9.2,9.28,69780
2020-07-07,9.46,9.48,9.32,9.32,99140
2020-07-08,9.28,9.4,9.28,9.36,101770
2020-07-09,9.36,9.64,9.34,9.52,162510
2020-07-10,9.52,9.52,9.32,9.34,111380
2020-07-13,9.34,9.44,9.3,9.32,95840
2020-07-14,9.36,9.44,9.24,9.44,124840
2020-07-15,9.48,9.58,9.4,9.44,121430
2020-07-16,9.5,9.5,9.24,9.24,169860
2020-07-17,9.32,9.44,9.24,9.28,131180
2020-07-20,9.44,9.82,9.44,9.8,509130
2020-07-21,9.87,9.87,9.48,9.6,196530
