time,open,high,low,close,volume
2020-01-06,4.32,4.35,4.32,4.32,334320
2020-01-07,4.32,4.32,4.26,4.26,256060
2020-01-08,4.25,4.3,4.2,4.25,308760
2020-01-09,4.26,4.42,4.25,4.42,109420
2020-01-10,4.32,4.4,4.32,4.33,121630
2020-01-13,4.42,4.42,4.35,4.38,233240
2020-01-14,4.42,4.42,4.32,4.35,427120
2020-01-15,4.42,4.42,4.3,4.33,279990
2020-01-16,4.33,4.35,4.25,4.25,305870
2020-01-17,4.25,4.26,4.21,4.25,142700
2020-01-20,4.26,4.32,4.23,4.28,239160
2020-01-21,4.23,4.32,4.23,4.3,268570
2020-01-22,4.32,4.33,4.25,4.28,282360
2020-01-30,4.26,4.28,4.23,4.23,387190
2020-01-31,4.23,4.25,3.94,3.94,1236470
2020-02-03,3.87,3.91,3.67,3.79,606680
2020-02-04,3.86,4.01,3.77,3.92,404240
2020-02-05,3.96,3.96,3.82,3.87,373200
2020-02-06,3.91,3.99,3.82,3.98,324530
2020-02-07,3.98,4.03,3.92,3.99,216040
2020-02-10,3.99,3.99,3.91,3.96,133730
2020-02-11,3.91,3.99,3.91,3.98,114060
2020-02-12,3.99,4.1,3.98,4.1,313360
2020-02-13,4.1,4.11,4.03,4.08,150190
2020-02-14,4.08,4.11,4.03,4.04,200990
2020-02-17,4.04,4.1,4.04,4.04,112390
2020-02-18,4.08,4.13,4.04,4.08,204090
2020-02-19,4.1,4.15,4.08,4.15,247490
2020-02-20,4.15,4.35,4.11,4.3,570380
2020-02-21,4.3,4.32,4.21,4.21,219270
2020-02-24,4.15,4.18,4.01,4.03,380280
2020-02-25,3.99,4.08,3.99,4.04,168850
2020-02-26,4.08,4.08,4.03,4.06,143120
2020-02-27,4.06,4.1,4.04,4.1,172590
2020-02-28,4.1,4.1,4.01,4.03,175940
2020-03-02,4.03,4.1,4.03,4.08,170650
2020-03-03,4.13,4.21,4.08,4.21,393670
2020-03-04,4.21,4.45,4.15,4.33,1332460
2020-03-05,4.42,4.42,4.28,4.28,583400
2020-03-06,4.28,4.3,4.18,4.23,429230
2020-03-09,3.94,4.15,3.94,3.94,1185490
2020-03-10,3.92,4.16,3.92,4.13,1173300
2020-03-11,4.13,4.15,3.87,4.01,1060630
2020-03-12,3.74,3.91,3.74,3.79,2577980
2020-03-13,3.7,3.86,3.53,3.86,1056700
2020-03-16,3.84,3.87,3.74,3.76,574850
2020-03-17,3.7,3.94,3.64,3.94,871600
2020-03-18,3.92,4.13,3.91,4.03,809770
2020-03-19,3.98,4.2,3.87,4.1,1086000
2020-03-20,4.1,4.15,3.98,3.98,557310
2020-03-23,3.94,3.94,3.76,3.76,918170
2020-03-24,3.76,3.89,3.76,3.87,457940
2020-03-25,3.92,4.01,3.92,3.94,261260
2020-03-26,3.94,3.96,3.87,3.92,331340
2020-03-27,3.96,4.04,3.91,3.96,405990
2020-03-30,3.98,3.98,3.84,3.87,1026330
2020-03-31,3.96,4.03,3.87,3.89,585260
2020-04-01,3.96,4.16,3.96,4.16,1259170
2020-04-03,4.25,4.3,4.16,4.21,1465460
2020-04-06,4.25,4.42,4.25,4.37,1343650
2020-04-07,4.35,4.37,4.15,4.25,1802340
2020-04-08,4.18,4.54,4.13,4.54,2225670
2020-04-09,4.72,4.81,4.62,4.66,3303220
2020-04-10,4.69,4.74,4.55,4.66,1602940
2020-04-13,4.67,4.89,4.64,4.71,2779820
2020-04-14,4.67,4.88,4.59,4.84,2079080
2020-04-15,4.89,4.93,4.81,4.81,1980480
2020-04-16,4.78,4.86,4.71,4.74,1947290
2020-04-17,4.81,4.84,4.67,4.72,2300970
2020-04-20,4.74,5.05,4.71,5.05,4050220
2020-04-21,5.1,5.37,5.01,5.03,7312460
2020-04-22,5.03,5.34,4.96,5.34,3461780
2020-04-23,5.4,5.42,5.2,5.2,2091490
2020-04-24,5.15,5.17,5.03,5.1,2668200
2020-04-27,5.24,5.24,4.8,4.89,6169550
2020-04-28,4.96,5.1,4.96,5.08,1603560
2020-04-29,5.01,5.2,5.01,5.03,1520640
2020-05-04,4.92,4.96,4.75,4.78,2696350
2020-05-05,4.75,4.85,4.69,4.71,2616090
2020-05-06,4.75,4.9,4.75,4.9,1757070
2020-05-07,4.92,4.96,4.87,4.89,1297920
2020-05-08,4.89,4.94,4.85,4.85,3134380
2020-05-11,4.87,4.92,4.82,4.87,2108920
2020-05-12,4.92,5.18,4.87,5.18,4958340
2020-05-13,5.17,5.18,5.03,5.1,2369590
2020-05-14,5.01,5.06,4.94,4.94,2626800
2020-05-15,4.92,4.97,4.8,4.8,4457340
2020-05-18,4.8,4.85,4.71,4.82,2594900
2020-05-19,4.89,4.9,4.8,4.8,2046710
2020-05-20,4.82,5.08,4.76,5.01,5573910
2020-05-21,5.06,5.06,4.96,4.96,2199500
2020-05-22,4.94,5.17,4.92,5.1,4124110
2020-05-25,5.12,5.45,5.12,5.38,6977860
2020-05-26,5.41,5.41,5.26,5.29,3081230
2020-05-27,5.31,5.5,5.24,5.24,5350350
2020-05-28,5.26,5.34,5.17,5.24,3472090
2020-05-29,5.26,5.31,5.2,5.2,1924780
2020-06-01,5.22,5.4,5.2,5.29,3311060
2020-06-02,5.31,5.31,5.06,5.06,4314070
2020-06-03,5.06,5.15,5.03,5.15,3381930
2020-06-04,5.15,5.18,5.08,5.13,3482410
2020-06-05,5.12,5.26,5.12,5.22,2600560
2020-06-08,5.24,5.33,5.17,5.18,5604850
2020-06-09,5.22,5.29,5.17,5.22,3878210
2020-06-10,5.22,5.31,5.13,5.26,3546900
2020-06-11,5.27,5.41,4.92,4.92,6437700
2020-06-12,4.83,5.04,4.8,5.01,3830890
2020-06-15,5.03,5.06,4.78,4.83,3451540
2020-06-16,4.89,5.08,4.83,5.03,3429930
2020-06-17,5.03,5.04,4.89,4.92,1783170
2020-06-18,4.89,5.03,4.87,4.96,1633880
2020-06-19,4.96,5.08,4.96,5.04,1992290
2020-06-22,5.4,5.4,5.08,5.4,8819740
2020-06-23,5.52,5.55,5.26,5.38,5608660
2020-06-24,5.45,5.45,5.24,5.27,3234460
2020-06-25,5.17,5.43,5.17,5.36,3777280
2020-06-26,5.4,5.43,5.17,5.2,2548920
2020-06-29,5.17,5.18,4.96,5.03,3694090
2020-06-30,5.1,5.12,4.85,4.92,3015790
2020-07-01,4.97,5.1,4.92,5.06,1345930
2020-07-02,5.06,5.08,4.94,5.03,1517700
2020-07-03,5.03,5.08,5.03,5.04,1331860
2020-07-06,5.06,5.15,5.04,5.12,1585170
2020-07-07,5.17,5.17,5.04,5.04,2239960
2020-07-08,5.04,5.15,5.01,5.08,1375260
2020-07-09,5.13,5.13,5.08,5.13,1487460
2020-07-10,5.1,5.26,5.1,5.15,2521320
2020-07-13,5.17,5.24,5.13,5.15,1878320
2020-07-14,5.15,5.26,5.13,5.24,1854230
2020-07-15,5.27,5.31,5.17,5.17,2195480
2020-07-16,5.17,5.24,5.15,5.18,1444960
2020-07-17,5.22,5.22,5.13,5.13,1704340
2020-07-20,5.13,5.17,5.06,5.06,1512120
2020-07-21,5.15,5.18,5.06,5.15,2366640
2020-07-22,5.27,5.33,5.18,5.26,3907150
2020-07-23,5.27,5.27,5.15,5.22,1318400
2020-07-24,5.18,5.2,4.87,5.01,4038360
2020-07-27,4.87,4.9,4.68,4.68,5665380
2020-07-28,4.75,4.99,4.73,4.96,2488040
2020-07-29,4.85,4.89,4.66,4.78,2693800
