time,open,high,low,close,volume
2020-01-06,14.84,15.42,14.84,15.42,120600
2020-01-07,15.42,15.45,15.21,15.34,166670
2020-01-08,15.28,15.49,15.09,15.11,92930
2020-01-09,15.23,15.34,14.94,15.34,27010
2020-01-10,15.34,15.34,14.5,15.34,19530
2020-01-13,15.19,15.53,15.19,15.3,3340
2020-01-14,15.42,15.42,15.07,15.3,9650
2020-01-15,15.3,15.45,15.04,15.04,47160
2020-01-16,15.04,15.61,14.66,15.42,49190
2020-01-17,15.68,15.68,15.23,15.42,12200
2020-01-20,15.99,15.99,15.11,15.11,3640
2020-01-21,15.11,15.61,15.11,15.44,33010
2020-01-22,15.61,15.61,14.84,14.84,23330
2020-01-30,14.84,15.84,14.79,14.84,59570
2020-01-31,14.84,15.04,14.52,14.52,32390
2020-02-03,14.46,14.5,13.74,14.46,134200
2020-02-04,14.84,15.04,14.08,14.16,12730
2020-02-05,14.66,14.73,14.12,14.31,21550
2020-02-06,14.81,14.81,14.33,14.81,32860
2020-02-07,14.69,14.69,14.45,14.69,3800
2020-02-10,14.69,15.04,14.27,14.46,33470
2020-02-11,14.46,14.66,14.46,14.64,10200
2020-02-12,14.69,14.73,14.66,14.69,11020
2020-02-13,14.54,14.81,14.5,14.81,7610
2020-02-14,14.54,14.69,14.54,14.69,1710
2020-02-17,14.62,14.66,14.62,14.62,9000
2020-02-18,14.77,14.81,14.69,14.81,8940
2020-02-19,14.84,15.17,14.81,14.81,14750
2020-02-20,15.04,15.04,14.66,14.81,4340
2020-02-21,15.02,15.02,14.6,14.62,7070
2020-02-24,14.39,14.71,14.08,14.27,34380
2020-02-25,14.27,14.81,14.08,14.66,11810
2020-02-26,14.66,14.73,14.46,14.62,88490
2020-02-27,14.69,14.69,14.27,14.27,65120
2020-02-28,14.46,14.54,14.27,14.54,13450
2020-03-02,14.35,14.43,14.27,14.33,23410
2020-03-03,14.83,14.83,14.35,14.35,65180
2020-03-04,14.75,14.75,14.27,14.27,4610
2020-03-05,14.66,14.66,14.26,14.35,48400
2020-03-06,14.62,14.73,14.31,14.31,32450
2020-03-09,14.31,14.31,13.66,13.86,64370
2020-03-10,13.74,14.16,13.74,14.16,98230
2020-03-11,14.12,14.16,14.05,14.08,52830
2020-03-12,14.08,14.08,13.51,13.78,27300
2020-03-13,13.7,13.88,13.4,13.7,124910
2020-03-16,13.51,13.59,13.51,13.51,99420
2020-03-17,13.51,13.51,12.94,13.4,36870
2020-03-18,13.66,13.8,13.55,13.8,27090
2020-03-19,13.7,13.74,13.68,13.74,3330
2020-03-20,13.7,13.74,13.7,13.74,7660
2020-03-23,13.13,13.74,13.13,13.4,13760
2020-03-24,13.44,13.46,13.17,13.36,3270
2020-03-25,14.06,14.06,13.32,13.36,5730
2020-03-26,13.32,13.7,13.32,13.7,4210
2020-03-27,13.51,13.7,13.51,13.7,1470
2020-03-30,13.63,13.63,13.17,13.19,24210
2020-03-31,13.21,13.21,12.94,13.19,31250
2020-04-01,13.13,13.13,12.75,12.87,93070
2020-04-03,12.9,13.28,12.9,13.25,6170
2020-04-06,13.32,13.59,13.32,13.55,14100
2020-04-07,13.55,13.55,13.34,13.34,10730
2020-04-08,13.44,13.44,13.25,13.25,17140
2020-04-09,13.63,13.63,13.32,13.59,8240
2020-04-10,13.59,13.7,13.59,13.63,940
2020-04-13,13.63,13.65,13.4,13.42,13960
2020-04-14,13.36,13.63,13.36,13.61,2180
2020-04-15,13.32,13.59,13.32,13.44,2020
2020-04-16,13.86,13.86,13.44,13.48,7210
2020-04-17,13.55,13.7,13.55,13.7,20300
2020-04-20,13.7,13.76,13.61,13.76,40320
2020-04-21,13.76,13.78,13.55,13.55,45960
2020-04-22,13.57,13.76,13.51,13.76,25430
2020-04-23,13.76,14.39,13.76,14.27,49720
2020-04-24,14.39,14.39,14.08,14.08,4980
2020-04-27,14.03,14.05,13.89,13.95,5680
2020-04-28,14.46,14.46,13.72,13.78,7410
2020-04-29,13.78,14.08,13.78,13.89,7560
2020-05-04,13.7,14.05,13.7,13.93,2060
2020-05-05,13.93,14.06,13.78,14.05,17930
2020-05-06,13.89,14.35,13.89,14.16,15550
2020-05-07,14.46,14.46,14.08,14.1,11390
2020-05-08,14.08,15.06,14.08,14.64,18950
2020-05-11,14.46,14.62,14.35,14.54,17130
2020-05-12,14.33,14.73,14.33,14.54,15600
2020-05-13,14.46,14.54,14.14,14.22,4170
2020-05-14,14.22,14.43,13.25,14.2,25720
2020-05-15,14.22,14.22,14.18,14.22,28900
2020-05-18,14.39,14.41,14.39,14.41,590
2020-05-19,14.46,15.04,14.14,14.14,14960
2020-05-20,14.24,14.39,14.2,14.31,18340
2020-05-21,14.27,14.46,14.08,14.08,6170
2020-05-22,14.2,14.73,14.08,14.46,35250
2020-05-25,14.46,14.62,14.16,14.46,4370
2020-05-26,14.2,14.77,13.7,14.46,21220
2020-05-27,14.46,14.73,14.46,14.5,21300
2020-05-28,14.69,14.73,14.5,14.5,26350
2020-05-29,14.67,14.84,14.5,14.84,37430
2020-06-01,14.79,14.81,14.69,14.73,3610
2020-06-02,14.77,14.81,14.5,14.5,5470
2020-06-03,14.5,14.73,14.5,14.52,7340
2020-06-04,14.52,14.66,14.52,14.52,7690
2020-06-05,14.5,14.66,13.72,14.56,11930
2020-06-08,14.46,14.64,14.46,14.64,24710
2020-06-09,14.58,14.73,14.58,14.73,35120
2020-06-10,14.66,14.69,14.54,14.54,7980
2020-06-11,14.67,14.73,14.46,14.46,32970
2020-06-12,14.08,14.66,14.08,14.66,21340
2020-06-15,14.66,14.71,14.66,14.71,27730
2020-06-16,14.27,14.71,14.27,14.66,1710
2020-06-17,14.66,14.75,14.46,14.46,9310
2020-06-18,14.58,14.73,14.24,14.33,5830
2020-06-19,14.46,14.73,14.46,14.46,17730
2020-06-22,14.54,14.58,14.45,14.54,3170
2020-06-23,14.52,14.62,14.46,14.58,9250
2020-06-24,14.62,15.06,14.62,15.04,36530
2020-06-25,15.04,15.11,14.92,14.92,18150
2020-06-26,14.83,15.17,14.83,15.04,10780
2020-06-29,14.66,15.0,14.46,14.66,11560
2020-06-30,15.0,15.07,14.69,14.92,14230
2020-07-01,15.02,15.11,14.92,15.07,21680
2020-07-02,14.56,15.04,14.56,14.88,55520
2020-07-03,15.04,15.04,14.84,14.84,160080
2020-07-06,14.5,14.84,14.5,14.81,7990
2020-07-07,14.81,14.81,14.62,14.62,5890
2020-07-08,14.5,14.81,14.5,14.62,17290
2020-07-09,14.69,14.69,14.54,14.69,3120
2020-07-10,15.15,15.15,14.69,14.69,1300
2020-07-13,14.77,14.77,14.69,14.71,12120
2020-07-14,15.38,15.38,15.04,15.04,60
2020-07-15,14.66,14.84,14.66,14.84,8320
2020-07-16,14.84,14.84,14.66,14.84,6100
2020-07-17,14.84,14.92,14.84,14.88,7080
2020-07-20,14.88,14.96,14.84,14.96,6350
2020-07-21,14.69,14.96,14.69,14.96,10690
2020-07-22,14.73,14.96,14.73,14.84,240
2020-07-23,14.84,14.84,14.81,14.84,5420
2020-07-24,14.84,14.84,14.46,14.46,6060
2020-07-27,14.39,14.46,14.39,14.39,25970
2020-07-28,14.08,14.73,14.08,14.73,7510
2020-07-29,14.73,14.73,14.16,14.24,7260
2020-07-30,14.46,14.46,14.08,14.08,14180
2020-07-31,14.08,14.54,14.08,14.54,3250
2020-08-03,14.46,14.54,14.43,14.46,14300
2020-08-04,14.5,14.5,14.29,14.46,8590
2020-08-05,14.54,14.54,14.46,14.54,25320
2020-08-06,14.54,15.04,14.54,14.54,18870
2020-08-07,15.19,15.19,14.46,14.84,12060
2020-08-10,14.84,15.04,14.66,14.84,19370
2020-08-11,14.84,14.84,14.81,14.81,1620
2020-08-12,14.81,14.81,14.81,14.81,0
2020-08-13,14.66,14.83,14.66,14.66,2110
2020-08-14,14.66,14.66,14.66,14.66,4800
2020-08-17,14.46,14.66,14.46,14.66,4150
2020-08-18,14.67,14.67,14.66,14.66,710
2020-08-19,14.66,14.81,14.54,14.81,2340
2020-08-20,14.66,14.66,14.58,14.58,1880
2020-08-21,14.77,14.81,14.77,14.77,22550
2020-08-24,14.66,15.8,14.66,15.57,63450
2020-08-25,15.49,15.49,15.04,15.45,10290
2020-08-26,15.06,15.42,15.06,15.42,1550
2020-08-27,15.42,15.45,15.42,15.42,20400
2020-08-28,15.42,15.42,15.23,15.23,10420
2020-08-31,15.42,15.42,15.23,15.23,2980
2020-09-01,15.23,16.18,15.23,15.8,58000
2020-09-03,15.8,15.8,15.61,15.68,20410
2020-09-04,15.68,15.68,15.53,15.53,2400
2020-09-07,15.57,15.57,15.23,15.23,11940
2020-09-08,15.23,15.42,15.23,15.23,7410
2020-09-09,14.46,15.49,14.46,15.23,520
2020-09-10,15.23,15.26,15.17,15.26,3510
2020-09-11,15.23,15.23,15.19,15.19,1260
2020-09-14,15.19,15.23,15.15,15.15,5380
2020-09-15,15.19,15.23,15.04,15.23,6620
2020-09-16,15.21,15.21,15.21,15.21,1760
2020-09-17,15.21,15.38,15.13,15.23,26880
2020-09-18,15.23,15.24,15.23,15.23,16790
2020-09-21,15.23,15.24,15.23,15.23,12500
2020-09-22,15.23,15.61,15.23,15.24,2880
2020-09-23,15.24,15.24,15.13,15.24,1040
2020-09-24,15.23,15.23,15.19,15.19,3740
2020-09-25,15.21,15.42,15.21,15.24,17420
2020-09-28,15.24,15.26,15.07,15.23,4820
2020-09-29,15.26,15.8,15.24,15.55,25950
2020-09-30,15.61,16.27,15.57,16.27,145350
2020-10-01,16.06,16.27,15.99,15.99,42570
2020-10-02,16.02,16.02,15.8,15.99,18700
2020-10-05,15.84,16.01,15.84,15.99,25600
2020-10-06,16.02,16.18,15.91,15.99,18060
2020-10-07,15.99,15.99,15.91,15.91,9070
2020-10-08,15.91,16.37,15.8,16.27,9480
2020-10-09,16.37,16.37,16.06,16.29,29260
2020-10-12,16.37,16.37,15.89,16.29,1380
2020-10-13,16.29,16.29,15.99,16.29,10530
2020-10-14,16.31,16.31,15.99,15.99,11710
2020-10-15,15.99,15.99,15.44,15.44,10890
2020-10-16,15.61,15.99,15.45,15.64,8820
2020-10-19,15.42,16.01,15.42,15.76,3350
2020-10-20,15.72,15.99,15.72,15.95,7100
2020-10-21,15.8,16.1,15.8,16.1,4310
2020-10-22,16.1,16.1,15.93,15.99,1080
2020-10-23,16.14,16.44,16.14,16.44,22250
2020-10-26,16.75,17.59,16.75,17.13,108990
2020-10-27,16.82,17.28,16.82,17.26,23960
2020-10-28,17.4,17.4,16.98,17.2,25270
2020-10-29,16.41,17.2,16.41,17.17,17800
2020-10-30,17.2,17.47,17.09,17.13,8780
2020-11-02,17.89,17.89,17.24,17.51,48010
2020-11-03,17.51,17.62,17.28,17.51,22140
2020-11-04,17.51,17.51,17.32,17.43,27170
2020-11-05,17.4,17.4,16.82,17.2,16710
2020-11-06,17.2,17.2,17.05,17.2,4960
2020-11-09,17.24,17.24,16.86,17.02,13300
2020-11-10,17.02,17.17,16.94,17.13,31340
2020-11-11,17.2,17.34,17.17,17.32,39070
2020-11-12,17.4,17.4,17.22,17.36,23700
2020-11-13,17.36,17.51,17.24,17.51,31110
2020-11-16,17.57,17.57,17.28,17.28,43530
