time,open,high,low,close,volume
2020-01-06,13.07,13.37,12.85,13.31,789060
2020-01-07,13.4,13.89,13.29,13.7,1220030
2020-01-08,13.62,13.75,13.26,13.34,767410
2020-01-09,13.7,13.94,13.59,13.84,1004770
2020-01-10,13.84,14.11,13.56,13.72,800060
2020-01-13,13.72,13.89,13.48,13.56,406620
2020-01-14,13.53,14.08,13.53,13.67,621030
2020-01-15,13.67,13.89,13.62,13.62,417530
2020-01-16,13.7,14.44,13.64,14.41,1276220
2020-01-17,14.41,14.49,14.06,14.25,746440
2020-01-20,14.33,14.33,13.97,13.97,466920
2020-01-21,14.0,14.27,13.89,14.27,459280
2020-01-22,14.06,14.69,14.06,14.3,469760
2020-01-30,13.92,14.16,13.45,13.56,737980
2020-01-31,13.45,13.72,12.63,12.63,854650
2020-02-03,12.24,12.82,11.94,12.57,1189140
2020-02-04,12.57,12.85,12.35,12.35,487330
2020-02-05,12.63,12.79,12.46,12.49,461550
2020-02-06,12.63,13.07,12.57,13.07,432960
2020-02-07,13.18,13.18,12.87,12.96,366340
2020-02-10,12.63,12.9,12.57,12.68,231320
2020-02-11,12.68,13.01,12.68,12.82,269180
2020-02-12,12.96,13.34,12.85,13.12,498190
2020-02-13,13.12,13.34,13.04,13.04,272010
2020-02-14,13.01,13.2,12.82,13.07,287530
2020-02-17,13.07,13.07,12.66,12.66,527690
2020-02-18,12.66,12.85,12.66,12.79,355850
2020-02-19,12.79,13.15,12.68,13.04,444270
2020-02-20,13.04,13.18,12.71,13.01,349110
2020-02-21,13.01,13.01,12.79,12.79,215010
2020-02-24,12.52,12.6,12.27,12.3,895970
2020-02-25,12.24,12.52,12.24,12.52,237350
2020-02-26,12.35,12.49,12.3,12.44,222040
2020-02-27,12.41,12.79,12.35,12.79,303350
2020-02-28,12.32,12.63,12.24,12.32,329010
2020-03-02,12.27,12.38,12.13,12.16,265100
2020-03-03,12.46,12.46,12.16,12.22,154490
2020-03-04,12.16,12.22,12.02,12.08,312680
2020-03-05,12.16,12.3,12.11,12.16,198440
2020-03-06,12.08,12.3,12.02,12.3,202070
2020-03-09,11.47,12.02,11.45,11.45,1154240
2020-03-10,10.98,11.69,10.98,11.53,446900
2020-03-11,11.72,11.72,10.73,10.82,509700
2020-03-12,10.16,10.35,10.07,10.1,872680
2020-03-13,9.5,10.24,9.5,9.8,570520
2020-03-16,9.69,10.27,9.69,9.96,567370
2020-03-17,9.88,10.21,9.69,10.21,274820
2020-03-18,10.21,10.32,9.88,10.05,286810
2020-03-19,9.88,9.96,9.66,9.74,299220
2020-03-20,9.88,10.02,9.72,9.88,420520
2020-03-23,9.58,9.61,9.2,9.2,501740
2020-03-24,9.2,9.31,8.89,9.2,273530
2020-03-25,9.47,9.55,9.36,9.5,305600
2020-03-26,9.5,9.5,9.09,9.11,338030
2020-03-27,9.22,9.28,9.06,9.11,203570
2020-03-30,8.89,8.89,8.48,8.48,509100
2020-03-31,8.78,8.78,7.99,7.99,403580
2020-04-01,7.99,8.37,7.99,8.18,184560
2020-04-03,8.24,8.51,8.24,8.51,505810
2020-04-06,8.51,9.09,8.51,9.09,454460
2020-04-07,9.28,9.33,9.06,9.17,352190
2020-04-08,9.06,9.06,8.7,8.92,383420
2020-04-09,9.06,9.52,8.98,9.52,564670
2020-04-10,9.55,9.55,9.28,9.5,385770
2020-04-13,9.5,9.61,9.28,9.39,219710
2020-04-14,9.39,9.55,9.11,9.39,445170
2020-04-15,9.39,9.99,9.33,9.86,565230
2020-04-16,9.83,10.21,9.8,10.16,471140
2020-04-17,10.27,10.32,9.99,10.18,527970
2020-04-20,10.18,10.68,10.18,10.4,1066950
2020-04-21,9.99,10.4,9.69,9.69,1168550
2020-04-22,9.69,10.24,9.69,10.21,628870
2020-04-23,10.54,10.65,10.27,10.49,1026840
2020-04-24,10.32,10.46,10.24,10.35,631080
2020-04-27,10.43,10.49,10.1,10.18,584390
2020-04-28,10.18,10.18,9.91,10.13,530050
2020-04-29,10.02,10.62,10.02,10.57,1050510
2020-05-04,10.43,11.2,10.32,10.87,1257370
2020-05-05,10.87,10.95,10.43,10.82,430680
2020-05-06,10.87,11.2,10.76,10.98,901360
2020-05-07,10.84,11.12,10.82,10.95,939800
2020-05-08,10.95,10.95,10.6,10.65,1802400
2020-05-11,10.73,10.9,10.57,10.87,596190
2020-05-12,10.87,11.12,10.76,11.04,576880
2020-05-13,10.87,11.06,10.79,10.82,885270
2020-05-14,10.71,10.79,10.6,10.65,616150
2020-05-15,10.65,10.82,10.4,10.4,631940
2020-05-18,10.38,10.4,10.18,10.38,490960
2020-05-19,10.49,10.57,10.38,10.43,565710
2020-05-20,10.49,10.51,10.32,10.4,207580
2020-05-21,10.43,10.68,10.38,10.54,491030
2020-05-22,10.54,10.57,10.35,10.38,503130
2020-05-25,10.51,10.65,10.32,10.65,706890
2020-05-26,10.76,11.36,10.76,11.36,1946620
2020-05-27,11.39,11.42,11.04,11.04,716030
2020-05-28,11.04,11.2,10.84,10.92,520500
2020-05-29,10.9,10.9,10.73,10.84,742080
2020-06-01,10.9,11.17,10.87,11.06,463680
2020-06-02,11.23,11.23,10.82,10.82,668710
2020-06-03,10.82,10.95,10.82,10.87,287830
2020-06-04,10.87,10.92,10.76,10.76,436820
2020-06-05,10.76,10.87,10.71,10.84,414300
2020-06-08,10.95,11.17,10.84,10.95,997750
2020-06-09,10.95,11.23,10.9,11.09,1223720
2020-06-10,11.09,11.53,10.92,11.47,1592850
2020-06-11,11.47,11.75,10.98,10.98,1402310
2020-06-12,10.43,10.82,10.43,10.71,751580
2020-06-15,10.71,10.98,9.99,10.1,1211440
2020-06-16,10.21,10.43,10.18,10.4,532880
2020-06-17,10.49,10.49,10.32,10.46,287520
2020-06-18,10.32,10.71,10.29,10.68,186040
2020-06-19,10.68,10.68,10.51,10.62,124810
2020-06-22,10.95,10.98,10.6,10.95,778320
2020-06-23,10.87,11.09,10.71,10.87,473250
2020-06-24,10.73,10.92,10.68,10.71,198470
2020-06-25,10.54,10.82,10.54,10.65,646830
2020-06-26,10.71,10.82,10.57,10.6,224400
2020-06-29,10.51,10.54,10.16,10.18,431650
2020-06-30,10.21,10.38,9.72,9.77,605100
2020-07-01,9.88,10.21,9.83,10.05,307650
2020-07-02,10.05,10.24,10.05,10.07,175960
2020-07-03,10.1,10.29,10.1,10.18,190580
2020-07-06,10.32,10.32,10.05,10.18,245610
2020-07-07,10.21,10.35,10.18,10.21,341820
2020-07-08,10.21,10.4,10.21,10.35,154400
2020-07-09,10.43,10.49,10.24,10.29,420970
2020-07-10,10.38,10.49,10.29,10.4,461380
2020-07-13,10.4,10.49,10.29,10.32,272430
2020-07-14,10.4,10.46,10.27,10.43,235430
2020-07-15,10.43,10.51,10.38,10.43,274350
2020-07-16,10.6,10.72,10.14,10.26,1234310
2020-07-17,10.26,10.49,10.26,10.4,194930
2020-07-20,10.46,10.46,10.32,10.34,174330
2020-07-21,10.32,10.34,10.11,10.11,383060
2020-07-22,10.11,10.17,10.02,10.02,317950
2020-07-23,10.0,10.02,9.76,9.82,520100
2020-07-24,9.76,9.82,9.27,9.33,752170
2020-07-27,8.87,9.04,8.69,8.69,1015450
2020-07-28,8.69,9.07,8.69,9.04,376210
2020-07-29,8.98,8.98,8.52,8.69,402550
2020-07-30,8.75,8.9,8.75,8.84,283940
2020-07-31,8.81,8.81,8.69,8.75,169250
2020-08-03,8.81,9.04,8.69,9.04,463880
2020-08-04,9.21,9.33,9.1,9.16,461110
2020-08-05,9.1,9.36,9.07,9.36,408730
2020-08-06,9.27,9.42,9.21,9.24,195470
2020-08-07,9.24,9.24,9.04,9.13,472200
2020-08-10,9.16,9.5,9.16,9.45,359080
2020-08-11,9.45,9.53,9.42,9.48,339130
2020-08-12,9.48,9.71,9.45,9.71,427840
2020-08-13,9.68,9.82,9.56,9.68,309500
2020-08-14,9.68,9.68,9.33,9.36,765610
2020-08-17,9.36,9.48,9.27,9.48,280760
2020-08-18,9.48,9.76,9.48,9.71,617130
2020-08-19,9.65,9.71,9.62,9.68,358000
2020-08-20,9.65,9.74,9.56,9.56,277490
2020-08-21,9.65,9.65,9.53,9.59,367620
2020-08-24,9.74,9.82,9.65,9.71,448230
2020-08-25,9.79,10.08,9.79,10.02,1190510
2020-08-26,10.0,10.14,9.94,9.94,429030
2020-08-27,9.94,10.0,9.88,9.97,291690
2020-08-28,9.97,10.08,9.88,9.97,726750
2020-08-31,9.97,10.02,9.79,9.85,519550
2020-09-01,9.85,10.17,9.82,10.17,796280
2020-09-03,10.23,10.4,10.2,10.2,692910
2020-09-04,10.02,10.14,9.97,10.11,322220
2020-09-07,10.2,10.29,10.05,10.05,618680
2020-09-08,10.08,10.26,10.05,10.2,681830
2020-09-09,10.14,10.6,10.08,10.6,1775540
2020-09-10,10.66,10.86,10.66,10.75,921380
2020-09-11,10.78,10.84,10.66,10.75,439440
2020-09-14,10.75,10.86,10.72,10.72,1032840
2020-09-15,10.81,11.18,10.81,11.01,1879560
2020-09-16,11.07,11.18,10.92,11.16,770140
2020-09-17,11.16,11.59,11.16,11.33,1314200
2020-09-18,11.33,11.47,11.21,11.36,593430
2020-09-21,11.36,11.42,11.21,11.24,1033250
2020-09-22,11.13,11.24,11.07,11.07,998710
2020-09-23,11.1,11.3,11.1,11.13,376400
2020-09-24,11.13,11.36,11.07,11.18,792190
2020-09-25,11.21,11.24,11.04,11.1,752440
2020-09-28,11.16,11.27,11.07,11.21,553650
2020-09-29,11.65,11.88,11.36,11.36,2861280
2020-09-30,11.42,12.14,11.36,12.14,3253920
2020-10-01,12.17,12.37,12.08,12.2,850440
2020-10-02,12.28,12.28,11.59,11.94,1682350
2020-10-05,11.88,12.4,11.88,12.08,1293770
2020-10-06,12.23,12.28,11.94,11.94,1448890
2020-10-07,11.88,12.05,11.71,11.74,953180
2020-10-08,11.74,11.85,11.53,11.59,1289900
2020-10-09,11.59,11.71,11.42,11.59,768630
2020-10-12,11.82,11.82,11.42,11.42,999590
2020-10-13,11.47,11.5,11.36,11.42,595380
2020-10-14,11.44,11.44,11.18,11.21,1373620
2020-10-15,11.16,11.36,11.16,11.27,774620
2020-10-16,11.27,11.68,11.21,11.42,701780
2020-10-19,11.47,11.82,11.39,11.71,957430
2020-10-20,11.71,11.94,11.65,11.76,978000
2020-10-21,11.68,11.82,11.53,11.56,639420
2020-10-22,11.47,11.56,11.3,11.56,668220
2020-10-23,11.56,11.59,11.44,11.44,363470
2020-10-26,11.53,11.76,11.39,11.53,1422380
2020-10-27,11.65,11.71,11.16,11.24,1220590
2020-10-28,11.24,11.33,10.86,10.89,1015260
2020-10-29,10.75,10.89,10.34,10.89,1047070
2020-10-30,10.89,11.01,10.69,10.86,612030
2020-11-02,10.86,11.01,10.72,10.84,478150
2020-11-03,11.07,11.07,10.89,11.01,486540
2020-11-04,11.18,11.44,11.07,11.42,665920
2020-11-05,11.36,11.44,11.18,11.36,611130
2020-11-06,11.24,11.3,11.01,11.21,487440
2020-11-09,11.21,11.71,11.18,11.71,1819060
2020-11-10,11.88,11.91,11.68,11.71,781950
2020-11-11,11.71,11.88,11.68,11.82,708210
2020-11-12,11.82,11.85,11.68,11.79,569830
2020-11-13,11.79,12.14,11.79,11.91,2293060
2020-11-16,12.0,12.0,11.65,11.68,947880
2020-11-17,11.65,11.85,11.65,11.85,689690
2020-11-18,11.91,11.94,11.74,11.91,915860
2020-11-19,12.0,12.28,12.0,12.11,2484680
2020-11-20,12.28,12.28,12.0,12.08,599750
2020-11-23,12.17,12.29,11.99,12.11,740160
2020-11-24,12.11,12.17,11.84,12.02,1429340
2020-11-25,12.02,12.32,12.02,12.23,1542880
2020-11-26,12.26,12.65,12.26,12.53,1876940
2020-11-27,12.59,12.65,12.47,12.56,677270
2020-11-30,12.56,12.59,12.32,12.35,728570
2020-12-01,12.05,12.32,12.05,12.26,1380170
2020-12-02,12.29,12.5,12.26,12.44,1122910
2020-12-03,12.53,12.88,12.5,12.76,1694790
2020-12-04,12.8,12.85,12.56,12.59,1096820
2020-12-07,12.59,12.76,12.47,12.47,1077940
2020-12-08,12.62,12.65,12.35,12.44,1941170
2020-12-09,12.47,12.82,12.47,12.56,2283810
2020-12-10,12.56,12.74,12.53,12.53,1638930
2020-12-11,12.59,13.0,12.59,12.91,1920860
2020-12-14,12.97,13.42,12.94,13.3,1440340
2020-12-15,13.39,13.39,13.03,13.18,1887860
2020-12-16,13.12,13.24,12.94,13.12,1579150
2020-12-17,12.94,13.42,12.94,13.15,1314440
2020-12-18,13.3,13.3,13.12,13.21,1044750
2020-12-21,13.21,13.83,13.21,13.57,2074720
2020-12-22,13.54,13.74,13.3,13.63,1062720
2020-12-23,13.66,13.72,13.39,13.39,1131920
2020-12-24,13.48,13.48,12.65,13.03,1346000
2020-12-25,13.03,13.3,12.82,13.24,1000770
2020-12-28,13.48,13.48,13.09,13.24,957370
2020-12-29,13.3,13.66,13.24,13.48,1489420
2020-12-30,13.48,13.95,13.36,13.6,1059300
2020-12-31,13.6,13.78,13.54,13.63,506150
2021-01-04,13.78,13.95,13.6,13.66,1379200
2021-01-05,13.66,13.66,13.51,13.63,1314700
2021-01-06,13.92,13.92,13.51,13.54,931600
2021-01-07,13.54,13.66,13.45,13.48,856600
2021-01-08,13.72,13.86,13.6,13.78,1667500
2021-01-11,13.83,14.72,13.83,14.72,2345100
2021-01-12,15.02,15.44,14.84,15.14,1747600
2021-01-13,15.02,15.32,14.78,14.9,1490100
2021-01-14,14.78,14.93,14.49,14.9,1417700
2021-01-15,14.93,15.05,14.72,14.72,938600
2021-01-18,14.96,15.2,14.9,14.99,1566700
2021-01-19,15.02,15.14,13.95,14.04,1547900
2021-01-20,14.25,14.31,13.18,14.01,930000
2021-01-21,14.37,14.55,14.19,14.52,996200
2021-01-22,14.66,15.53,14.61,15.53,4101500
2021-01-25,15.88,16.6,15.88,16.6,3867000
2021-01-26,16.86,17.58,16.15,17.04,3677800
2021-01-27,16.62,16.92,15.85,16.39,2298300
