time,open,high,low,close,volume
2020-01-06,9.96,9.96,9.96,9.96,0
2020-01-07,9.96,9.96,9.96,9.96,0
2020-01-08,8.5,8.5,8.5,8.5,200
2020-01-09,7.23,7.23,7.23,7.23,200
2020-01-10,6.15,6.15,6.15,6.15,100
2020-01-13,5.28,5.28,5.28,5.28,500
2020-01-14,4.49,4.49,4.49,4.49,500
2020-01-15,4.49,4.49,4.49,4.49,0
2020-01-16,4.49,4.49,4.49,4.49,0
2020-01-17,4.49,4.49,4.49,4.49,0
2020-01-20,5.08,5.08,5.08,5.08,100
2020-01-21,5.76,5.76,5.76,5.76,100
2020-01-22,6.54,6.54,6.54,6.54,200
2020-01-30,7.52,7.52,7.52,7.52,200
2020-01-31,8.6,8.6,8.6,8.6,200
2020-02-03,9.87,9.87,9.87,9.87,100
2020-02-04,9.87,9.87,9.87,9.87,0
2020-02-05,9.87,9.87,9.87,9.87,0
2020-02-06,9.87,9.87,9.87,9.87,0
2020-02-07,8.4,8.4,8.4,8.4,100
2020-02-10,7.23,7.23,7.23,7.23,300
2020-02-11,7.23,7.23,7.23,7.23,0
2020-02-12,7.23,7.23,7.23,7.23,0
2020-02-13,7.23,7.23,7.23,7.23,0
2020-02-14,7.23,7.23,7.23,7.23,0
2020-02-17,7.23,7.23,7.23,7.23,0
2020-02-18,7.23,7.23,7.23,7.23,0
2020-02-19,7.23,7.23,7.23,7.23,0
2020-02-20,7.23,7.23,7.23,7.23,0
2020-02-21,7.23,7.23,7.23,7.23,0
2020-02-24,7.23,7.23,7.23,7.23,0
2020-02-25,7.23,7.23,7.23,7.23,0
2020-02-26,7.23,7.23,7.23,7.23,0
2020-02-27,8.3,8.3,8.3,8.3,100
2020-02-28,8.3,8.3,8.3,8.3,0
2020-03-02,8.3,8.3,8.3,8.3,0
2020-03-03,8.3,8.3,8.3,8.3,0
2020-03-04,8.3,8.3,8.3,8.3,0
2020-03-05,8.3,8.3,8.3,8.3,0
2020-03-06,8.3,8.3,8.3,8.3,0
2020-03-09,8.3,8.3,8.3,8.3,0
2020-03-10,8.3,8.3,8.3,8.3,0
2020-03-11,8.3,8.3,8.3,8.3,0
2020-03-12,8.3,8.3,8.3,8.3,0
2020-03-13,8.3,8.3,8.3,8.3,0
2020-03-16,8.3,8.3,8.3,8.3,0
2020-03-17,8.3,8.3,8.3,8.3,0
2020-03-18,7.13,7.13,7.13,7.13,200
2020-03-19,7.13,7.13,7.13,7.13,0
2020-03-20,7.13,7.13,7.13,7.13,0
2020-03-23,7.13,7.13,7.13,7.13,0
2020-03-24,7.13,7.13,7.13,7.13,0
2020-03-25,7.13,7.13,7.13,7.13,0
2020-03-26,7.13,7.13,7.13,7.13,0
2020-03-27,7.13,7.13,7.13,7.13,0
2020-03-30,7.13,7.13,7.13,7.13,0
2020-03-31,7.13,7.13,7.13,7.13,0
2020-04-01,7.13,7.13,7.13,7.13,0
2020-04-03,7.13,7.13,7.13,7.13,0
2020-04-06,7.13,7.13,7.13,7.13,0
2020-04-07,7.13,7.13,7.13,7.13,0
2020-04-08,7.91,7.91,7.91,7.91,100
2020-04-09,7.91,7.91,7.91,7.91,0
2020-04-10,7.91,7.91,7.91,7.91,0
2020-04-13,7.91,7.91,7.91,7.91,0
2020-04-14,7.91,7.91,7.91,7.91,0
2020-04-15,7.91,7.91,7.91,7.91,0
2020-04-16,6.74,6.74,6.74,6.74,200
2020-04-17,6.74,6.74,6.74,6.74,0
2020-04-20,6.74,6.74,6.74,6.74,0
2020-04-21,7.33,7.33,7.33,7.33,100
2020-04-22,7.33,7.33,7.33,7.33,0
2020-04-23,7.33,7.33,7.33,7.33,0
2020-04-24,8.4,8.4,8.4,8.4,100
2020-04-27,8.4,8.4,8.4,8.4,0
2020-04-28,8.4,8.4,8.4,8.4,0
2020-04-29,8.4,8.4,8.4,8.4,0
2020-05-04,8.4,8.4,8.4,8.4,0
2020-05-05,8.4,8.4,8.4,8.4,0
2020-05-06,7.23,7.23,7.23,7.23,100
2020-05-07,6.15,6.15,6.15,6.15,100
2020-05-08,6.15,6.15,6.15,6.15,0
2020-05-11,5.37,5.37,5.28,5.37,1500
2020-05-12,4.69,4.69,4.69,4.69,100
2020-05-13,4.69,4.69,4.69,4.69,0
2020-05-14,4.1,4.1,4.1,4.1,100
2020-05-15,4.1,4.1,4.1,4.1,0
2020-05-18,3.62,3.62,3.62,3.62,100
2020-05-19,3.22,3.22,3.22,3.22,100
2020-05-20,3.22,3.22,3.22,3.22,0
2020-05-21,3.22,3.22,3.22,3.22,0
2020-05-22,3.22,3.22,3.22,3.22,0
2020-05-25,3.22,3.22,3.22,3.22,0
2020-05-26,3.42,3.42,3.42,3.42,100
2020-05-27,3.91,3.91,3.91,3.91,100
2020-05-28,4.49,4.49,4.49,4.49,100
2020-05-29,5.08,5.08,4.69,4.69,2000
2020-06-01,4.98,5.08,4.98,5.08,200
2020-06-02,5.08,5.08,5.08,5.08,0
2020-06-03,5.76,5.76,5.76,5.76,300
2020-06-04,6.54,6.54,6.54,6.54,300
2020-06-05,7.52,7.52,7.52,7.52,200
2020-06-08,8.6,8.6,8.5,8.5,1200
2020-06-09,9.77,9.77,8.99,9.77,400
2020-06-10,9.38,9.38,9.38,9.77,0
2020-06-11,9.38,9.38,9.38,9.77,0
2020-06-12,9.38,9.38,9.38,9.77,0
2020-06-15,9.38,9.38,9.38,9.77,0
2020-06-16,9.38,9.38,9.38,9.77,0
2020-06-17,9.38,9.38,9.38,9.77,0
2020-06-18,9.38,9.38,9.38,9.77,0
2020-06-19,9.38,9.38,9.38,9.77,0
2020-06-22,9.38,9.38,9.38,9.77,0
2020-06-23,9.38,9.38,9.38,9.77,0
2020-06-24,9.38,9.38,9.38,9.77,0
2020-06-25,9.38,9.38,9.38,9.77,0
2020-06-26,9.38,9.38,9.38,9.77,0
2020-06-29,9.38,9.38,9.38,9.77,0
2020-06-30,9.38,9.38,9.38,9.77,0
2020-07-01,9.38,9.38,9.38,9.77,0
