time,open,high,low,close,volume
2020-01-06,2.87,2.92,2.7,2.7,558850
2020-01-07,2.74,2.74,2.56,2.7,462570
2020-01-08,2.62,2.62,2.51,2.56,676810
2020-01-09,2.56,2.56,2.47,2.47,321520
2020-01-10,2.46,2.53,2.43,2.48,353790
2020-01-13,2.53,2.53,2.42,2.42,268870
2020-01-14,2.45,2.47,2.43,2.43,296940
2020-01-15,2.5,2.5,2.26,2.26,643110
2020-01-16,2.26,2.36,2.12,2.14,580020
2020-01-17,2.04,2.23,2.04,2.15,540390
2020-01-20,2.22,2.3,2.22,2.3,849460
2020-01-21,2.42,2.45,2.39,2.45,526360
2020-01-22,2.56,2.62,2.51,2.62,712550
2020-01-30,2.74,2.8,2.66,2.8,699140
2020-01-31,2.99,2.99,2.6,2.6,1359040
2020-02-03,2.45,2.62,2.43,2.58,1242850
2020-02-04,2.61,2.64,2.42,2.55,350630
2020-02-05,2.46,2.62,2.42,2.43,712630
2020-02-06,2.43,2.6,2.43,2.6,206360
2020-02-07,2.76,2.78,2.66,2.77,1436380
2020-02-10,2.63,2.78,2.63,2.75,917440
2020-02-11,2.77,2.94,2.77,2.94,934360
2020-02-12,3.07,3.14,3.01,3.07,1798040
2020-02-13,3.07,3.24,3.04,3.13,990800
2020-02-14,3.08,3.13,2.92,2.96,1032300
2020-02-17,2.95,3.16,2.92,3.16,832310
2020-02-18,3.27,3.37,3.26,3.37,1433540
2020-02-19,3.4,3.59,3.38,3.44,1999330
2020-02-20,3.47,3.68,3.47,3.68,1385430
2020-02-21,3.85,3.91,3.5,3.62,1998380
2020-02-24,3.47,3.84,3.4,3.54,1690890
2020-02-25,3.62,3.78,3.53,3.77,1999630
2020-02-26,3.62,4.04,3.62,4.02,1421090
2020-02-27,4.02,4.3,4.02,4.3,1484740
2020-02-28,4.35,4.6,4.18,4.43,2756350
2020-03-02,4.43,4.74,4.39,4.74,1489930
2020-03-03,5.01,5.07,4.93,5.07,1806370
2020-03-04,5.07,5.39,4.76,4.78,2202520
2020-03-05,4.77,5.11,4.47,5.11,1503710
2020-03-06,5.11,5.43,5.11,5.31,687650
2020-03-09,4.94,4.94,4.94,4.94,273950
2020-03-10,4.6,4.85,4.6,4.6,1964420
2020-03-11,4.6,4.63,4.28,4.28,1376930
2020-03-12,3.99,3.99,3.99,3.99,13790
2020-03-13,3.71,3.71,3.71,3.71,139690
2020-03-16,3.46,3.46,3.46,3.46,494530
2020-03-17,3.22,3.22,3.22,3.22,345010
2020-03-18,3.43,3.44,3.43,3.44,1166360
2020-03-19,3.68,3.68,3.24,3.67,2156120
2020-03-20,3.58,3.63,3.42,3.42,577730
