time,open,high,low,close,volume
2020-01-06,2.41,2.48,2.33,2.41,42300
2020-01-07,2.41,2.44,2.36,2.41,91500
2020-01-08,2.41,2.4,2.33,2.33,76700
2020-01-09,2.33,2.49,2.41,2.41,93000
2020-01-10,2.41,2.39,2.24,2.33,24200
2020-01-13,2.33,2.4,2.32,2.33,56500
2020-01-14,2.33,2.25,2.18,2.25,45100
2020-01-15,2.33,2.28,2.12,2.17,245800
2020-01-16,2.17,2.23,2.08,2.17,42600
2020-01-17,2.25,2.41,2.25,2.33,72400
2020-01-20,2.25,2.28,2.21,2.25,23900
2020-01-21,2.25,2.42,2.27,2.41,158100
2020-01-22,2.33,2.44,2.28,2.41,4900
2020-01-30,2.41,2.41,2.33,2.33,68000
2020-01-31,2.33,2.33,2.18,2.25,76000
2020-02-03,2.25,2.35,2.19,2.25,34200
2020-02-04,2.25,2.41,2.33,2.33,8100
2020-02-05,2.33,2.4,2.32,2.33,13900
2020-02-06,2.33,2.38,2.31,2.33,66400
2020-02-07,2.25,2.35,2.28,2.33,33000
2020-02-10,2.33,2.5,2.34,2.41,97100
2020-02-11,2.41,2.62,2.39,2.48,279900
2020-02-12,2.48,2.48,2.48,2.48,200
2020-02-13,2.56,2.71,2.33,2.41,57600
2020-02-14,2.41,2.58,2.42,2.48,90100
2020-02-17,2.48,2.54,2.46,2.48,2700
2020-02-18,2.41,2.56,2.48,2.48,41000
2020-02-19,2.48,2.48,2.48,2.48,65100
2020-02-20,2.48,2.5,2.42,2.48,500
2020-02-21,2.48,2.64,2.48,2.56,38700
2020-02-24,2.48,2.62,2.46,2.56,298600
2020-02-25,2.48,2.56,2.48,2.48,21400
2020-02-26,2.41,2.41,2.41,2.41,6800
2020-02-27,2.41,2.42,2.34,2.41,2800
2020-02-28,2.41,2.47,2.39,2.41,24700
2020-03-02,2.33,2.46,2.38,2.41,5800
2020-03-03,2.33,2.57,2.4,2.48,46000
2020-03-04,2.41,2.51,2.43,2.48,40100
2020-03-05,2.48,2.55,2.47,2.48,600
2020-03-06,2.41,2.41,2.33,2.41,156000
2020-03-09,2.41,2.34,2.11,2.25,77200
2020-03-10,2.33,2.41,2.25,2.33,70800
2020-03-11,2.33,2.29,2.21,2.25,107700
2020-03-12,2.25,2.48,2.32,2.33,242900
2020-03-13,2.25,2.41,2.25,2.33,132600
2020-03-16,2.33,2.33,2.33,2.33,5100
2020-03-17,2.25,2.17,2.1,2.17,20400
2020-03-18,2.33,2.33,2.33,2.33,55800
2020-03-19,2.33,2.41,2.33,2.33,6700
2020-03-20,2.33,2.25,2.18,2.25,14800
2020-03-23,2.25,2.26,2.1,2.17,73800
2020-03-24,2.17,2.5,2.33,2.33,9600
2020-03-25,2.25,2.57,2.32,2.33,176700
2020-03-26,2.25,2.17,2.1,2.17,11800
2020-03-27,2.33,2.34,2.1,2.17,9100
2020-03-30,2.17,2.14,1.98,2.02,58400
2020-03-31,2.02,2.14,1.98,2.1,148200
2020-04-01,2.17,2.17,2.17,2.17,16700
2020-04-03,2.17,2.25,2.17,2.17,9100
2020-04-06,2.17,2.17,2.17,2.17,16300
2020-04-07,2.17,2.19,2.12,2.17,31600
2020-04-08,2.25,2.33,2.25,2.25,32500
2020-04-09,2.25,2.25,2.25,2.25,29500
2020-04-10,2.25,2.25,2.25,2.25,14500
2020-04-13,2.25,2.41,2.25,2.33,7100
2020-04-14,2.25,2.41,2.33,2.33,5500
2020-04-15,2.25,2.41,2.33,2.33,48000
2020-04-16,2.25,2.41,2.33,2.33,85600
2020-04-17,2.25,2.25,2.25,2.25,1300
2020-04-20,2.25,2.25,2.25,2.25,11900
2020-04-21,2.25,2.32,2.25,2.25,38700
2020-04-22,2.25,2.25,2.25,2.25,24000
2020-04-23,2.25,2.39,2.31,2.33,34100
2020-04-24,2.33,2.25,2.18,2.25,1600
2020-04-27,2.33,2.33,2.33,2.33,1700
2020-04-28,2.25,2.41,2.33,2.33,6500
2020-04-29,2.25,2.25,2.25,2.25,3600
2020-05-04,2.25,2.4,2.32,2.33,66800
2020-05-05,2.33,2.34,2.26,2.33,8700
2020-05-06,2.25,2.25,2.25,2.25,4100
2020-05-07,2.33,2.41,2.33,2.33,42200
2020-05-08,2.33,2.39,2.31,2.33,8100
2020-05-11,2.33,2.4,2.33,2.33,40600
2020-05-12,2.33,2.48,2.4,2.41,39200
2020-05-13,2.41,2.62,2.37,2.48,31900
2020-05-14,2.41,2.42,2.34,2.41,23700
2020-05-15,2.41,2.53,2.45,2.48,112300
2020-05-18,2.56,2.62,2.46,2.48,17600
2020-05-19,2.48,2.48,2.48,2.48,12300
2020-05-20,2.41,2.41,2.41,2.41,48600
2020-05-21,2.48,2.62,2.54,2.56,31200
2020-05-22,2.48,2.74,2.51,2.56,68300
2020-05-25,2.56,2.57,2.5,2.56,63400
2020-05-26,2.56,2.63,2.55,2.56,53300
2020-05-27,2.48,2.64,2.56,2.56,31900
2020-05-28,2.48,2.64,2.56,2.56,11900
2020-05-29,2.56,2.62,2.54,2.56,91900
2020-06-01,2.56,2.95,2.7,2.8,142900
2020-06-02,2.8,2.8,2.65,2.72,61000
2020-06-03,2.72,2.94,2.78,2.8,102300
2020-06-04,2.8,2.92,2.84,2.87,125600
2020-06-05,2.8,2.8,2.8,2.8,64100
2020-06-08,2.8,2.89,2.81,2.87,108300
2020-06-09,2.87,2.86,2.78,2.8,57420
2020-06-10,2.8,2.94,2.86,2.87,82000
2020-06-11,2.87,2.86,2.71,2.8,100200
2020-06-12,2.8,2.8,2.8,2.8,50200
2020-06-15,2.87,2.99,2.91,2.95,182000
2020-06-16,2.95,2.95,2.95,2.95,95900
2020-06-17,2.95,2.95,2.95,2.95,7500
2020-06-18,2.95,3.14,2.98,3.03,117200
2020-06-19,3.03,3.3,3.06,3.26,433400
2020-06-22,3.5,3.6,3.36,3.57,318700
2020-06-23,3.65,3.87,3.64,3.73,144300
2020-06-24,3.57,3.55,3.32,3.42,86900
2020-06-25,3.34,3.5,3.35,3.42,70800
2020-06-26,3.42,3.45,3.29,3.42,59600
2020-06-29,3.42,3.34,3.12,3.18,102400
2020-06-30,3.18,3.39,3.16,3.26,50900
2020-07-01,3.26,3.47,3.31,3.34,65200
