time,open,high,low,close,volume
2024-07-01,29.37,29.37,23.5,28.0,1250400
2024-07-02,28.0,28.24,27.95,28.1,719857
2024-07-03,28.1,28.39,26.92,27.41,656735
2024-07-04,27.31,27.41,26.14,26.34,556235
2024-07-05,26.29,26.34,25.31,25.31,509995
2024-07-08,25.26,26.43,25.26,26.43,195344
2024-07-09,26.53,26.63,26.38,26.48,299293
2024-07-10,26.48,26.63,26.24,26.24,258228
2024-07-11,26.24,26.58,26.24,26.53,233721
2024-07-12,26.53,26.63,26.34,26.43,208515
2024-07-15,26.43,26.63,26.14,26.29,238385
2024-07-16,26.29,26.43,26.19,26.24,177823
2024-07-17,26.24,26.53,25.7,25.85,315790
2024-07-18,25.85,25.99,24.67,25.11,355001
2024-07-19,25.11,25.21,24.62,24.77,293627
2024-07-22,25.01,25.01,24.18,24.38,324294
2024-07-23,24.38,24.52,24.18,24.23,206874
2024-07-24,24.23,24.87,24.08,24.48,277149
2024-07-25,24.48,24.62,24.23,24.62,273330
2024-07-26,24.62,25.11,24.62,25.11,342522
2024-07-29,25.11,25.31,25.11,25.26,323556
2024-07-30,25.26,25.26,24.92,25.11,225501
2024-07-31,25.11,25.21,24.92,25.06,185454
2024-08-01,25.06,25.06,24.38,24.38,239905
2024-08-02,24.38,24.72,24.28,24.72,300815
2024-08-05,24.72,24.72,23.3,23.3,327038
2024-08-06,23.3,24.18,23.3,24.08,474901
2024-08-07,24.08,24.33,24.03,24.23,218940
2024-08-08,24.23,24.48,24.18,24.18,167042
2024-08-09,24.18,24.87,24.13,24.82,382557
2024-08-12,24.82,25.45,24.82,25.45,405862
2024-08-13,25.45,25.65,25.31,25.45,265539
2024-08-14,25.45,25.55,25.26,25.26,200600
2024-08-15,25.26,25.26,24.77,24.77,189124
2024-08-16,24.77,25.11,24.33,25.11,415545
2024-08-19,25.11,25.16,24.57,24.57,183027
2024-08-20,24.57,25.01,24.57,25.01,211238
2024-08-21,25.01,25.26,24.87,25.16,226112
2024-08-22,25.16,25.16,24.72,25.06,275932
2024-08-23,25.06,25.11,24.87,25.01,140867
2024-08-26,25.01,25.11,24.87,25.01,109439
2024-08-27,25.01,25.01,24.67,24.77,117415
2024-08-28,24.77,24.87,24.62,24.77,118421
2024-08-29,24.67,24.77,24.38,24.48,155051
2024-08-30,24.48,24.48,24.03,24.28,147045
2024-09-04,24.28,24.28,23.94,24.08,107800
2024-09-05,24.08,24.38,23.99,24.23,247837
2024-09-06,24.23,25.9,24.18,25.9,1027990
2024-09-09,25.85,26.19,25.45,26.19,434141
2024-09-10,26.04,26.14,25.21,25.21,206901
2024-09-11,25.21,25.55,24.18,25.55,379794
2024-09-12,25.45,25.94,25.45,25.94,245923
2024-09-13,25.85,26.14,25.85,26.09,256524
2024-09-16,26.09,26.14,25.45,25.8,197337
