time,open,high,low,close,volume
2020-01-06,22.0,22.0,22.0,22.0,0
2020-01-07,22.0,22.0,22.0,22.0,0
2020-01-08,22.0,22.0,22.0,22.0,0
2020-01-09,22.0,22.0,22.0,22.0,0
2020-01-10,22.0,22.0,22.0,22.0,0
2020-01-13,22.0,22.0,22.0,22.0,0
2020-01-14,22.0,22.0,22.0,22.0,0
2020-01-15,22.0,22.0,22.0,22.0,0
2020-01-16,22.0,22.0,22.0,22.0,0
2020-01-17,22.0,22.0,22.0,22.0,0
2020-01-20,22.0,22.0,22.0,22.0,0
2020-01-21,22.0,22.0,22.0,22.0,0
2020-01-22,22.0,22.0,22.0,22.0,0
2020-01-30,22.0,22.0,22.0,22.0,0
2020-01-31,22.0,22.0,22.0,22.0,0
2020-02-03,22.0,22.0,22.0,22.0,0
2020-02-04,22.0,22.0,22.0,22.0,0
2020-02-05,22.0,22.0,22.0,22.0,0
2020-02-06,22.0,22.0,22.0,22.0,0
2020-02-07,22.0,22.0,22.0,22.0,0
2020-02-10,22.0,22.0,22.0,22.0,0
2020-02-11,22.0,22.0,22.0,22.0,0
2020-02-12,22.0,22.0,22.0,22.0,0
2020-02-13,22.0,22.0,22.0,22.0,0
2020-02-14,22.0,22.0,22.0,22.0,0
2020-02-17,22.0,22.0,22.0,22.0,0
2020-02-18,22.0,22.0,22.0,22.0,0
2020-02-19,22.0,22.0,22.0,22.0,0
2020-02-20,22.0,22.0,22.0,22.0,0
2020-02-21,22.0,22.0,22.0,22.0,0
2020-02-24,22.0,22.0,22.0,22.0,0
2020-02-25,22.0,22.0,22.0,22.0,0
2020-02-26,22.0,22.0,22.0,22.0,0
2020-02-27,22.0,22.0,22.0,22.0,0
2020-02-28,22.0,22.0,22.0,22.0,0
2020-03-02,22.0,22.0,22.0,22.0,0
2020-03-03,22.0,22.0,22.0,22.0,0
2020-03-04,22.0,22.0,22.0,22.0,0
2020-03-05,22.0,22.0,22.0,22.0,0
2020-03-06,22.0,22.0,22.0,22.0,0
2020-03-09,22.0,22.0,22.0,22.0,0
2020-03-10,22.0,22.0,22.0,22.0,0
2020-03-11,22.0,22.0,22.0,22.0,0
2020-03-12,22.0,22.0,22.0,22.0,0
2020-03-13,22.0,22.0,22.0,22.0,0
2020-03-16,22.0,22.0,22.0,22.0,0
2020-03-17,22.0,22.0,22.0,22.0,0
2020-03-18,22.0,22.0,22.0,22.0,0
2020-03-19,22.0,22.0,22.0,22.0,0
2020-03-20,22.0,22.0,22.0,22.0,0
2020-03-23,22.0,22.0,22.0,22.0,0
2020-03-24,22.0,22.0,22.0,22.0,0
2020-03-25,22.0,22.0,22.0,22.0,0
2020-03-26,22.0,22.0,22.0,22.0,0
2020-03-27,22.0,22.0,22.0,22.0,0
2020-03-30,22.0,22.0,22.0,22.0,0
2020-03-31,22.0,22.0,22.0,22.0,0
2020-04-01,22.0,22.0,22.0,22.0,0
2020-04-03,22.0,22.0,22.0,22.0,0
2020-04-06,22.0,22.0,22.0,22.0,0
2020-04-07,22.0,22.0,22.0,22.0,0
2020-04-08,22.0,22.0,22.0,22.0,0
2020-04-09,22.0,22.0,22.0,22.0,0
2020-04-10,22.0,22.0,22.0,22.0,0
2020-04-13,22.0,22.0,22.0,22.0,0
2020-04-14,22.0,22.0,22.0,22.0,0
2020-04-15,22.0,22.0,22.0,22.0,0
2020-04-16,22.0,22.0,22.0,22.0,0
2020-04-17,22.0,22.0,22.0,22.0,0
2020-04-20,22.0,22.0,22.0,22.0,0
2020-04-21,22.0,22.0,22.0,22.0,0
2020-04-22,22.0,22.0,22.0,22.0,0
2020-04-23,22.0,22.0,22.0,22.0,0
2020-04-24,22.0,22.0,22.0,22.0,0
2020-04-27,22.0,22.0,22.0,22.0,0
2020-04-28,22.0,22.0,22.0,22.0,0
2020-04-29,22.0,22.0,22.0,22.0,0
2020-05-04,22.0,22.0,22.0,22.0,0
2020-05-05,22.0,22.0,22.0,22.0,0
2020-05-06,22.0,22.0,22.0,22.0,0
2020-05-07,22.0,22.0,22.0,22.0,0
2020-05-08,22.0,22.0,22.0,22.0,0
2020-05-11,22.0,22.0,22.0,22.0,0
2020-05-12,22.0,22.0,22.0,22.0,0
2020-05-13,22.0,22.0,22.0,22.0,0
2020-05-14,22.0,22.0,22.0,22.0,0
2020-05-15,22.0,22.0,22.0,22.0,0
2020-05-18,22.0,22.0,22.0,22.0,0
2020-05-19,22.0,22.0,22.0,22.0,0
2020-05-20,22.0,22.0,22.0,22.0,0
2020-05-21,22.0,22.0,22.0,22.0,0
2020-05-22,22.0,22.0,22.0,22.0,0
2020-05-25,22.0,22.0,22.0,22.0,0
2020-05-26,22.0,22.0,22.0,22.0,0
2020-05-27,22.0,22.0,22.0,22.0,0
2020-05-28,22.0,22.0,22.0,22.0,0
2020-05-29,22.0,22.0,22.0,22.0,0
2020-06-01,22.0,22.0,22.0,22.0,0
2020-06-02,22.0,22.0,22.0,22.0,0
2020-06-03,22.0,22.0,22.0,22.0,0
2020-06-04,22.0,22.0,22.0,22.0,0
2020-06-05,22.0,22.0,22.0,22.0,0
2020-06-08,22.0,22.0,22.0,22.0,0
2020-06-09,22.0,22.0,22.0,22.0,0
2020-06-10,22.0,22.0,22.0,22.0,0
2020-06-11,22.0,22.0,22.0,22.0,0
2020-06-12,22.0,22.0,22.0,22.0,0
2020-06-15,22.0,22.0,22.0,22.0,0
2020-06-16,22.0,22.0,22.0,22.0,0
2020-06-17,22.0,22.0,22.0,22.0,0
2020-06-18,22.0,22.0,22.0,22.0,0
2020-06-19,22.0,22.0,22.0,22.0,0
2020-06-22,22.0,22.0,22.0,22.0,0
2020-06-23,22.0,22.0,22.0,22.0,0
2020-06-24,22.0,22.0,22.0,22.0,0
2020-06-25,22.0,22.0,22.0,22.0,0
2020-06-26,22.0,22.0,22.0,22.0,0
2020-06-29,22.0,22.0,22.0,22.0,0
2020-06-30,22.0,22.0,22.0,22.0,0
2020-07-01,22.0,22.0,22.0,22.0,0
2020-07-02,22.0,22.0,22.0,22.0,0
2020-07-03,22.0,22.0,22.0,22.0,0
2020-07-06,22.0,22.0,22.0,22.0,0
2020-07-07,22.0,22.0,22.0,22.0,0
2020-07-08,22.0,22.0,22.0,22.0,0
2020-07-09,22.0,22.0,22.0,22.0,0
2020-07-10,22.0,22.0,22.0,22.0,0
2020-07-13,22.0,22.0,22.0,22.0,0
2020-07-14,22.0,22.0,22.0,22.0,0
2020-07-15,22.0,22.0,22.0,22.0,0
2020-07-16,22.0,22.0,22.0,22.0,0
2020-07-17,22.0,22.0,22.0,22.0,0
2020-07-20,22.0,22.0,22.0,22.0,0
2020-07-21,22.0,22.0,22.0,22.0,0
2020-07-22,22.0,22.0,22.0,22.0,0
2020-07-23,22.0,22.0,22.0,22.0,0
2020-07-24,22.0,22.0,22.0,22.0,0
2020-07-27,22.0,22.0,22.0,22.0,0
2020-07-28,22.0,22.0,22.0,22.0,0
2020-07-29,22.0,22.0,22.0,22.0,0
2020-07-30,22.0,22.0,22.0,22.0,0
2020-07-31,22.0,22.0,22.0,22.0,0
2020-08-03,22.0,22.0,22.0,22.0,0
2020-08-04,22.0,22.0,22.0,22.0,0
2020-08-05,22.0,22.0,22.0,22.0,0
2020-08-06,22.0,22.0,22.0,22.0,0
2020-08-07,22.0,22.0,22.0,22.0,0
2020-08-10,22.0,22.0,22.0,22.0,0
2020-08-11,22.0,22.0,22.0,22.0,0
2020-08-12,22.0,22.0,22.0,22.0,0
2020-08-13,22.0,22.0,22.0,22.0,0
2020-08-14,22.0,22.0,22.0,22.0,0
2020-08-17,22.0,22.0,22.0,22.0,0
2020-08-18,22.0,22.0,22.0,22.0,0
2020-08-19,22.0,22.0,22.0,22.0,0
2020-08-20,22.0,22.0,22.0,22.0,0
2020-08-21,22.0,22.0,22.0,22.0,0
2020-08-24,22.0,22.0,22.0,22.0,0
2020-08-25,22.0,22.0,22.0,22.0,0
2020-08-26,22.0,22.0,22.0,22.0,0
2020-08-27,22.0,22.0,22.0,22.0,0
2020-08-28,22.0,22.0,22.0,22.0,0
2020-08-31,22.0,22.0,22.0,22.0,0
2020-09-01,22.0,22.0,22.0,22.0,0
2020-09-03,22.0,22.0,22.0,22.0,0
2020-09-04,22.0,22.0,22.0,22.0,0
2020-09-07,22.0,22.0,22.0,22.0,0
2020-09-08,22.0,22.0,22.0,22.0,0
2020-09-09,22.0,22.0,22.0,22.0,0
2020-09-10,22.0,22.0,22.0,22.0,0
2020-09-11,13.3,13.3,13.3,13.3,1000
2020-09-14,13.3,13.3,11.4,11.4,500
2020-09-15,12.9,12.9,12.9,11.4,0
2020-09-16,12.9,12.9,12.9,11.4,0
2020-09-17,12.9,12.9,12.9,11.4,0
2020-09-18,12.9,12.9,12.9,11.4,0
2020-09-21,12.9,12.9,12.9,11.4,0
2020-09-22,12.9,12.9,12.9,11.4,0
2020-09-23,12.9,12.9,12.9,11.4,0
2020-09-24,12.9,12.9,12.9,11.4,0
2020-09-25,12.9,12.9,12.9,11.4,0
2020-09-28,12.9,12.9,12.9,11.4,0
2020-09-29,12.9,12.9,12.9,11.4,0
2020-09-30,12.9,12.9,12.9,11.4,0
2020-10-01,12.9,12.9,12.9,11.4,0
2020-10-02,12.9,12.9,12.9,11.4,0
2020-10-05,12.9,12.9,12.9,11.4,0
2020-10-06,12.5,12.5,11.9,11.9,200
2020-10-07,11.9,11.9,11.9,11.9,200
2020-10-08,11.9,11.9,11.9,11.9,0
2020-10-09,11.9,11.9,11.9,11.9,100
2020-10-12,10.2,10.2,10.2,10.2,2100
2020-10-13,8.7,8.7,8.7,8.7,3100
2020-10-14,7.6,7.6,7.4,7.4,2100
2020-10-15,6.5,6.5,6.4,6.4,1200
2020-10-16,6.4,6.4,6.4,6.4,0
2020-10-19,6.4,6.4,5.5,5.5,4500
2020-10-20,5.1,5.1,5.0,5.0,1000
2020-10-21,5.0,5.0,5.0,5.0,0
2020-10-22,5.0,5.0,5.0,5.0,0
2020-10-23,5.7,5.7,5.7,5.7,100
2020-10-26,5.0,5.0,5.0,5.0,1100
2020-10-27,5.0,5.0,5.0,5.0,0
2020-10-28,5.0,5.0,5.0,5.0,100
2020-10-29,4.5,4.5,4.3,4.3,800
2020-10-30,4.3,4.3,4.3,4.3,0
2020-11-02,4.9,4.9,4.9,4.9,200
2020-11-03,5.6,5.6,5.6,5.6,100
2020-11-04,6.4,6.4,6.3,6.3,1000
2020-11-05,6.3,6.3,6.3,6.3,0
2020-11-06,5.4,5.4,5.4,5.4,100
2020-11-09,4.6,4.6,4.6,4.6,800
2020-11-10,4.2,4.5,4.0,4.5,1400
2020-11-11,4.0,4.0,4.0,4.0,1500
2020-11-12,4.0,4.0,4.0,4.0,0
2020-11-13,4.0,4.0,4.0,4.0,1000
2020-11-16,4.6,4.6,4.6,4.6,100
2020-11-17,4.9,4.9,4.9,4.9,100
2020-11-18,4.2,4.9,4.2,4.9,2000
2020-11-19,4.8,4.8,4.8,4.8,2100
2020-11-20,4.8,4.8,4.8,4.8,0
2020-11-23,4.6,4.6,4.1,4.1,300
2020-11-24,3.7,3.7,3.7,3.7,1400
2020-11-25,4.2,4.2,4.0,4.0,2100
2020-11-26,3.8,3.8,3.7,3.7,4000
2020-11-27,4.0,4.0,4.0,4.0,3000
2020-11-30,4.6,4.6,4.0,4.6,13900
2020-12-01,5.1,5.1,4.5,4.5,7700
2020-12-02,5.1,5.1,5.1,4.5,0
2020-12-03,5.1,5.1,5.1,4.5,0
2020-12-04,4.4,4.6,4.4,4.6,2900
2020-12-07,5.0,5.0,5.0,5.0,100
2020-12-08,5.0,5.0,5.0,5.0,2000
2020-12-09,4.4,4.4,4.4,4.4,1100
2020-12-10,5.0,5.0,4.0,4.0,1300
2020-12-11,4.0,4.0,4.0,4.0,200
2020-12-14,4.0,4.0,4.0,4.0,0
2020-12-15,4.6,4.6,4.6,4.6,8200
2020-12-16,4.5,4.5,4.1,4.1,1000
2020-12-17,4.8,4.8,4.2,4.2,2000
2020-12-18,4.1,4.2,4.1,4.1,1800
2020-12-21,4.2,4.2,4.1,4.1,4300
2020-12-22,4.0,4.2,4.0,4.2,600
2020-12-23,4.2,4.2,4.2,4.2,0
2020-12-24,4.3,4.5,4.3,4.5,700
2020-12-25,4.4,4.4,4.4,4.4,1200
2020-12-28,4.4,4.4,3.9,3.9,6200
2020-12-29,4.0,4.0,3.8,3.8,3600
2020-12-30,3.8,3.8,3.8,3.8,200
2020-12-31,4.2,4.2,4.2,4.2,200
2021-01-04,3.8,4.1,3.8,4.1,2900
2021-01-05,4.2,4.2,4.2,4.2,100
2021-01-06,4.2,4.2,4.2,4.2,0
2021-01-07,4.6,4.6,4.5,4.5,900
2021-01-08,4.4,4.4,4.0,4.2,1511
2021-01-11,4.7,4.7,3.6,3.6,30300
2021-01-12,3.6,3.8,3.6,3.8,44400
2021-01-13,3.9,4.0,3.9,4.0,24100
2021-01-14,4.0,4.0,3.7,3.9,7000
2021-01-15,4.0,4.0,3.8,3.8,28600
2021-01-18,3.9,3.9,3.8,3.8,19100
2021-01-19,3.8,4.0,3.7,3.7,33405
2021-01-20,3.8,4.1,3.6,4.1,68400
2021-01-21,4.1,4.2,4.0,4.0,30200
2021-01-22,4.0,4.1,4.0,4.0,2805
2021-01-25,4.0,4.0,3.9,4.0,10400
2021-01-26,3.9,4.0,3.7,4.0,22500
2021-01-27,4.2,4.3,3.9,4.2,33600
2021-01-28,4.2,4.3,3.6,3.6,18300
2021-01-29,3.7,3.7,3.6,3.7,33300
2021-02-01,4.0,4.0,3.5,3.5,19600
2021-02-02,3.5,4.0,3.5,4.0,28700
2021-02-03,4.0,4.1,3.7,4.1,6800
2021-02-04,3.8,3.9,3.6,3.9,3500
2021-02-05,3.9,3.9,3.6,3.6,14700
2021-02-08,3.4,3.9,3.4,3.8,10100
2021-02-09,3.9,3.9,3.5,3.5,1800
2021-02-17,3.7,3.8,3.5,3.7,9900
2021-02-18,3.8,3.8,3.8,3.8,17600
2021-02-19,3.7,3.7,3.6,3.7,8800
2021-02-22,3.6,3.7,3.6,3.7,8900
2021-02-23,3.6,3.8,3.6,3.8,17410
2021-02-24,3.8,3.8,3.8,3.8,7600
2021-02-25,3.7,3.9,3.7,3.8,14200
2021-02-26,4.0,4.3,3.8,4.3,37134
2021-03-01,4.5,4.8,4.5,4.8,29100
2021-03-02,5.0,5.5,5.0,5.5,37510
2021-03-03,6.3,6.3,5.8,6.3,24334
2021-03-04,7.1,7.1,7.1,7.1,43000
2021-03-05,8.1,8.1,7.9,8.1,50810
2021-03-08,9.3,9.3,9.3,9.3,18534
2021-03-09,10.6,10.6,8.0,8.0,76500
2021-03-10,7.5,7.5,7.5,7.5,14610
2021-03-11,6.4,6.4,6.4,6.4,29700
2021-03-12,5.7,7.3,5.5,7.3,56730
2021-03-15,7.1,7.1,6.9,7.1,16200
2021-03-16,7.5,7.5,6.1,7.1,22900
2021-03-17,6.3,6.4,6.2,6.3,84530
2021-03-18,6.3,6.3,6.2,6.3,44000
2021-03-19,6.3,6.3,5.9,6.2,18200
2021-03-22,6.3,6.3,6.1,6.1,5504
2021-03-23,6.0,6.0,5.6,5.7,8300
2021-03-24,5.3,5.6,5.3,5.6,47000
2021-03-25,5.6,6.3,5.6,6.3,110604
2021-03-26,7.2,7.2,6.4,7.0,115510
2021-03-29,7.2,7.2,6.4,6.9,101405
2021-03-30,6.7,6.7,6.3,6.7,34600
2021-03-31,6.6,6.7,6.5,6.6,41120
2021-04-01,6.5,6.6,6.5,6.5,24600
2021-04-02,6.5,6.7,6.5,6.7,33100
2021-04-05,6.6,7.5,6.5,7.5,211525
2021-04-06,7.8,8.1,7.6,8.1,212400
2021-04-07,8.1,9.2,8.1,9.2,117600
2021-04-08,9.2,10.4,9.0,9.8,158820
2021-04-09,9.2,9.2,8.3,8.8,122100
2021-04-12,8.8,9.2,8.2,8.9,41805
2021-04-13,9.1,9.1,8.0,8.2,103710
2021-04-14,8.2,8.2,7.1,8.2,64300
2021-04-15,8.2,8.5,8.2,8.3,51530
2021-04-16,8.2,8.2,7.7,7.7,29700
