time,open,high,low,close,volume
2025-04-22,18.72,18.72,13.37,14.11,255200
2025-04-23,14.19,14.85,13.81,13.81,2200
2025-04-24,14.04,14.11,12.11,12.11,54100
2025-04-25,12.4,12.63,10.7,10.7,58300
2025-04-28,10.7,11.29,9.43,10.77,59300
2025-04-29,10.55,10.77,9.65,10.4,26702
2025-05-05,10.03,10.18,9.95,10.18,1700
2025-05-06,10.55,11.14,9.8,10.77,28900
2025-05-07,10.99,10.99,10.32,10.4,3700
2025-05-08,10.4,10.77,10.32,10.47,4800
2025-05-09,10.47,11.07,10.32,10.4,4001
2025-05-12,10.1,10.62,9.8,10.4,4300
2025-05-13,9.28,10.32,9.28,9.88,2700
2025-05-14,10.32,11.07,9.43,9.88,10800
2025-05-15,9.58,10.1,9.58,10.03,9602
2025-05-16,10.62,11.07,10.18,10.25,21200
2025-05-19,10.99,11.14,10.4,10.77,3500
2025-05-20,10.99,10.99,10.32,10.4,1400
2025-05-21,10.4,10.55,10.1,10.47,6900
2025-05-22,10.4,10.4,10.4,10.4,400
2025-05-23,10.4,10.4,10.4,10.4,1000
2025-05-26,10.92,10.99,10.4,10.4,14601
2025-05-27,10.77,10.84,10.77,10.77,2500
2025-05-28,10.77,10.77,10.47,10.47,6700
2025-05-29,10.7,10.7,10.7,10.7,0
2025-05-30,9.73,10.7,9.73,10.7,10800
2025-06-02,11.14,11.81,11.07,11.81,46198
2025-06-03,13.29,13.29,11.96,13.15,25000
2025-06-04,11.88,12.63,11.81,11.88,9958
2025-06-05,12.63,12.63,11.88,11.88,6404
2025-06-06,11.88,12.63,11.88,12.63,90826
2025-06-09,13.15,13.22,12.63,13.0,25200
2025-06-10,13.22,13.22,12.55,12.55,19200
2025-06-11,12.4,12.4,12.33,12.4,2500
2025-06-12,12.63,12.77,12.63,12.77,700
2025-06-13,11.51,12.63,11.51,12.63,1200
2025-06-16,12.26,12.63,11.96,12.63,2600
2025-06-17,11.96,12.55,11.96,12.55,2300
2025-06-18,12.26,12.63,12.03,12.63,52200
2025-06-19,12.03,12.4,12.03,12.4,1300
2025-06-20,12.03,12.33,12.03,12.33,1100
2025-06-23,12.33,12.33,12.18,12.26,16200
2025-06-24,12.92,12.92,12.03,12.4,7500
2025-06-25,12.4,12.48,12.4,12.48,6000
2025-06-26,11.88,12.33,10.62,12.26,42600
2025-06-27,12.18,12.18,11.14,12.11,18600
2025-06-30,12.11,12.92,12.11,12.92,1001
2025-07-01,12.63,12.63,11.96,12.03,400
2025-07-02,12.26,12.26,12.26,12.26,3200
2025-07-03,12.48,12.48,12.48,12.48,900
2025-07-04,12.48,12.48,12.48,12.48,300
2025-07-07,12.55,12.55,12.55,12.55,300
2025-07-08,12.48,12.48,12.48,12.48,703
2025-07-09,12.48,12.48,12.26,12.26,2023
2025-07-10,12.4,12.4,12.26,12.26,2200
2025-07-11,12.4,12.4,11.88,12.33,26800
2025-07-14,12.26,12.33,11.14,12.26,7300
2025-07-15,12.26,12.26,12.11,12.11,4900
2025-07-16,12.26,12.26,12.26,12.26,0
2025-07-17,11.88,11.88,11.74,11.88,5300
2025-07-18,11.81,11.81,11.81,11.81,1000
2025-07-21,11.81,11.88,11.44,11.88,4801
2025-07-22,12.55,12.55,11.81,11.81,2901
2025-07-23,11.88,11.88,11.29,11.36,10900
2025-07-24,11.51,11.51,11.51,11.51,2300
2025-07-25,11.81,11.81,11.36,11.36,3910
2025-07-28,11.36,11.59,11.22,11.22,5700
2025-07-29,11.22,11.29,10.84,11.29,10818
2025-07-30,10.92,10.92,10.55,10.62,13500
2025-07-31,10.55,11.66,10.55,10.7,6900
2025-08-01,10.7,10.7,10.7,10.7,3000
2025-08-04,11.14,11.14,11.07,11.14,4202
2025-08-05,11.81,11.81,11.44,11.44,2825
2025-08-06,11.29,11.29,10.84,11.29,3105
2025-08-07,11.07,11.07,10.77,10.77,2800
2025-08-08,10.92,11.22,10.92,10.92,1500
2025-08-11,10.99,11.14,10.92,11.14,1500
2025-08-12,11.29,12.48,10.92,10.92,2700
2025-08-13,11.29,11.88,11.29,11.88,2202
2025-08-14,11.81,11.81,11.51,11.51,6500
2025-08-15,12.26,12.26,12.26,12.26,500
2025-08-18,11.81,11.81,11.81,11.81,600
2025-08-19,11.81,11.81,11.81,11.81,0
2025-08-20,11.81,11.81,11.81,11.81,0
2025-08-21,12.26,12.26,12.18,12.18,5000
2025-08-22,11.29,11.88,11.29,11.29,3400
2025-08-25,11.44,11.44,11.44,11.44,300
2025-08-26,12.48,12.48,11.51,11.51,1800
2025-08-27,12.4,12.4,11.36,11.36,1500
2025-08-28,11.74,11.74,11.36,11.36,7500
2025-08-29,11.74,11.81,11.74,11.81,1000
2025-09-03,11.81,11.81,11.81,11.81,100
2025-09-04,11.81,11.81,11.81,11.81,0
2025-09-05,11.44,11.44,11.29,11.36,8200
2025-09-08,11.36,11.88,11.36,11.74,2101
2025-09-09,11.74,11.74,11.74,11.74,100
2025-09-10,11.81,11.81,11.81,11.81,1400
2025-09-11,11.81,11.81,11.81,11.81,0
2025-09-12,11.81,11.81,11.81,11.81,0
2025-09-15,11.29,11.81,11.29,11.81,203
2025-09-16,11.59,11.59,11.59,11.59,0
2025-09-17,11.59,11.59,11.59,11.59,0
2025-09-18,11.59,11.59,11.59,11.59,0
2025-09-19,11.81,11.81,11.59,11.59,200
2025-09-22,11.29,11.29,11.29,11.29,800
