time,open,high,low,close,volume
2020-01-06,12.66,13.61,12.66,13.61,1500
2020-01-07,13.32,13.61,13.32,13.61,300
2020-01-08,13.42,13.42,13.42,13.61,0
2020-01-09,12.84,13.61,12.84,13.61,3000
2020-01-10,12.37,13.61,12.37,13.61,4600
2020-01-13,13.51,13.7,13.51,13.7,2500
2020-01-14,13.61,13.61,13.61,13.7,0
2020-01-15,12.37,13.8,12.37,13.8,2800
2020-01-16,13.51,13.51,13.51,13.8,0
2020-01-17,14.18,14.18,14.18,14.18,100
2020-01-20,12.66,12.66,12.66,12.66,100
2020-01-21,13.32,13.32,13.32,13.32,100
2020-01-22,13.7,13.7,13.7,13.7,100
2020-01-30,12.37,12.37,12.37,12.37,1920
2020-01-31,12.37,12.37,12.37,12.37,0
2020-02-03,11.51,11.61,11.51,11.61,302
2020-02-04,11.04,11.04,11.04,11.04,100
2020-02-05,11.04,11.04,11.04,11.04,0
2020-02-06,10.94,12.27,10.28,12.27,300
2020-02-07,9.7,12.27,9.7,12.27,400
2020-02-10,9.8,9.8,9.8,9.8,300
2020-02-11,10.47,11.23,9.99,10.56,3200
2020-02-12,10.18,10.18,10.18,10.18,500
2020-02-13,11.7,11.7,10.28,10.47,600
2020-02-14,10.66,12.27,10.18,12.27,1700
2020-02-17,11.89,11.89,10.94,10.94,200
2020-02-18,10.56,10.56,10.56,10.56,100
2020-02-19,10.56,10.56,10.56,10.56,0
2020-02-20,10.56,10.56,10.56,10.56,0
2020-02-21,10.56,10.56,10.56,10.56,0
2020-02-24,10.75,10.75,9.7,9.7,4100
2020-02-25,9.9,9.9,9.9,9.9,300
2020-02-26,11.32,11.32,11.32,11.32,900
2020-02-27,10.09,12.46,10.09,12.46,605
2020-02-28,10.47,10.47,9.7,9.7,1600
2020-03-02,9.61,11.51,9.13,11.51,900
2020-03-03,9.32,11.13,9.32,11.13,1105
2020-03-04,10.94,10.94,10.09,10.09,800
2020-03-05,11.13,11.32,10.56,10.56,300
2020-03-06,10.18,12.08,10.18,11.13,1005
2020-03-09,10.75,11.7,9.42,11.7,1400
2020-03-10,9.23,11.51,8.66,11.42,2000
2020-03-11,11.42,11.42,11.42,11.42,600
2020-03-12,11.42,13.13,11.42,13.13,33800
2020-03-13,11.04,14.84,11.04,14.75,14900
2020-03-16,12.46,16.08,12.46,14.27,1800
2020-03-17,12.46,14.27,12.46,14.27,1300
2020-03-18,12.27,14.46,12.27,14.27,4100
2020-03-19,12.37,14.46,12.37,14.46,900
2020-03-20,14.46,14.46,12.46,12.75,2100
2020-03-23,12.75,14.27,12.75,14.27,3800
2020-03-24,14.27,14.27,12.27,14.18,3700
2020-03-25,13.32,14.27,12.46,14.27,20900
2020-03-26,13.8,14.27,13.32,14.18,2000
2020-03-27,14.08,14.08,14.08,14.08,100
2020-03-30,12.27,13.99,12.27,13.32,4510
2020-03-31,13.23,13.32,11.99,13.32,1213
2020-04-01,11.7,13.8,11.7,13.7,700
2020-04-03,12.94,12.94,12.46,12.46,900
2020-04-06,10.85,13.32,10.85,13.32,400
2020-04-07,13.89,14.27,11.32,13.8,2400
2020-04-08,12.18,13.42,12.18,12.18,900
