time,open,high,low,close,volume
2020-01-06,1.0,1.0,0.8,0.9,62110
2020-01-07,0.9,1.0,0.8,0.9,118800
2020-01-08,0.9,1.0,0.8,0.8,65400
2020-01-09,0.8,0.9,0.8,0.9,17241
2020-01-10,0.9,0.9,0.8,0.8,222000
2020-01-13,0.9,0.9,0.8,0.8,43000
2020-01-14,0.8,0.9,0.8,0.9,235800
2020-01-15,0.8,0.9,0.8,0.8,40200
2020-01-16,0.8,0.9,0.8,0.9,263700
2020-01-17,0.8,1.0,0.8,0.9,150900
2020-01-20,0.9,0.9,0.8,0.9,57800
2020-01-21,0.9,1.0,0.9,1.0,217700
2020-01-22,1.0,1.0,0.9,0.9,266700
2020-01-30,1.0,1.0,0.9,1.0,75320
2020-01-31,1.0,1.0,0.9,0.9,324800
2020-02-03,0.8,0.9,0.8,0.9,995600
2020-02-04,0.9,0.9,0.8,0.9,49101
2020-02-05,0.9,0.9,0.8,0.8,53400
2020-02-06,0.8,0.9,0.8,0.9,139000
2020-02-07,0.9,0.9,0.8,0.8,58500
2020-02-10,0.9,0.9,0.8,0.9,179400
2020-02-11,0.9,0.9,0.8,0.8,430300
2020-02-12,0.9,0.9,0.8,0.8,99200
2020-02-13,0.9,0.9,0.8,0.8,247001
2020-02-14,0.9,0.9,0.8,0.8,99800
2020-02-17,0.8,0.9,0.8,0.8,125000
2020-02-18,0.8,0.9,0.8,0.9,180300
2020-02-19,0.8,0.9,0.8,0.8,208700
2020-02-20,0.8,0.9,0.8,0.9,69400
2020-02-21,0.9,0.9,0.8,0.9,565500
2020-02-24,0.9,1.0,0.8,0.8,2101600
2020-02-25,0.8,0.9,0.8,0.9,91700
2020-02-26,0.8,1.0,0.8,1.0,903600
2020-02-27,1.0,1.1,0.9,0.9,1553000
2020-02-28,0.9,1.0,0.9,1.0,827222
2020-03-02,1.0,1.1,1.0,1.0,154400
2020-03-03,1.0,1.1,1.0,1.1,633157
2020-03-04,1.2,1.2,1.1,1.2,720000
2020-03-05,1.3,1.3,1.1,1.1,547700
2020-03-06,1.1,1.2,1.0,1.1,883720
2020-03-09,1.1,1.2,1.0,1.2,1478540
2020-03-10,1.3,1.3,1.1,1.2,920911
2020-03-11,1.2,1.3,1.2,1.2,713914
2020-03-12,1.3,1.3,1.2,1.3,615861
2020-03-13,1.4,1.4,1.4,1.4,347700
2020-03-16,1.5,1.5,1.5,1.5,834700
2020-03-17,1.6,1.6,1.6,1.6,741321
2020-03-18,1.7,1.7,1.7,1.7,332480
2020-03-19,1.8,1.8,1.8,1.8,1696430
2020-03-20,1.9,1.9,1.7,1.7,2649956
2020-03-23,1.6,1.7,1.6,1.6,81400
2020-03-24,1.5,1.5,1.5,1.5,120
2020-03-25,1.4,1.4,1.4,1.4,27300
2020-03-26,1.3,1.3,1.3,1.3,38639
2020-03-27,1.2,1.2,1.2,1.2,33400
2020-03-30,1.1,1.1,1.1,1.1,35700
2020-03-31,1.0,1.1,1.0,1.0,850789
2020-04-01,0.9,1.1,0.9,1.1,481900
2020-04-03,1.2,1.2,1.2,1.2,472000
2020-04-06,1.3,1.3,1.3,1.3,485180
2020-04-07,1.4,1.4,1.4,1.4,135122
2020-04-08,1.5,1.5,1.3,1.5,1076100
2020-04-09,1.6,1.6,1.5,1.5,584600
2020-04-10,1.5,1.6,1.4,1.4,867211
2020-04-13,1.5,1.5,1.4,1.5,11932
2020-04-14,1.4,1.4,1.4,1.4,124800
2020-04-15,1.4,1.5,1.3,1.5,311400
2020-04-16,1.5,1.6,1.5,1.6,944410
2020-04-17,1.6,1.7,1.6,1.7,293922
2020-04-20,1.7,1.8,1.7,1.8,412650
2020-04-21,1.9,1.9,1.7,1.7,637500
2020-04-22,1.7,1.8,1.6,1.7,29500
2020-04-23,1.7,1.8,1.7,1.8,228740
2020-04-24,1.9,1.9,1.7,1.9,15800
2020-04-27,1.9,2.0,1.8,1.9,179310
2020-04-28,1.9,1.9,1.8,1.8,36194
2020-04-29,1.7,1.8,1.7,1.8,38810
2020-05-04,1.8,1.9,1.7,1.9,138510
2020-05-05,1.9,1.9,1.8,1.9,141900
2020-05-06,1.8,2.0,1.8,2.0,392400
2020-05-07,2.1,2.2,2.1,2.2,262300
2020-05-08,2.4,2.4,2.4,2.4,514089
2020-05-11,2.6,2.6,2.4,2.6,218808
2020-05-12,2.8,2.8,2.7,2.8,283400
2020-05-13,3.0,3.0,2.9,3.0,904120
2020-05-14,3.3,3.3,3.2,3.3,304586
2020-05-15,3.6,3.6,3.2,3.2,1491970
2020-05-18,3.0,3.5,2.9,3.4,1266730
2020-05-19,3.4,3.4,3.1,3.1,383430
2020-05-20,2.8,2.9,2.8,2.8,342891
2020-05-21,2.6,3.0,2.6,3.0,130021
2020-05-22,3.3,3.3,3.3,3.3,75100
2020-05-25,3.6,3.6,3.6,3.6,164200
2020-05-26,3.9,3.9,3.7,3.9,1691658
2020-05-27,3.8,4.2,3.8,4.2,2962577
2020-05-28,4.4,4.6,4.4,4.6,721037
2020-05-29,4.8,5.0,4.2,4.9,676085
2020-06-01,4.9,4.9,4.5,4.5,598553
2020-06-02,4.1,4.9,4.1,4.4,1001952
2020-06-03,4.1,4.8,4.1,4.8,395530
2020-06-04,5.0,5.2,4.8,5.1,268877
2020-06-05,4.8,5.1,4.6,4.6,377847
2020-06-08,4.4,5.0,4.3,5.0,564104
2020-06-09,5.1,5.5,4.6,5.5,506440
2020-06-10,5.5,6.0,5.1,6.0,528405
2020-06-11,6.6,6.6,6.4,6.6,310245
2020-06-12,6.9,7.2,6.2,7.2,153781
2020-06-15,7.4,7.9,6.5,7.9,2118782
2020-06-16,7.9,8.3,7.2,7.7,1712754
2020-06-17,7.7,8.4,7.0,8.4,701690
2020-06-18,8.4,8.5,7.6,7.6,2722310
2020-06-19,7.4,7.4,6.9,6.9,1287264
2020-06-22,6.3,7.5,6.3,7.5,4836351
2020-06-23,7.5,8.1,6.8,6.8,1000560
2020-06-24,7.0,7.1,6.2,6.2,1236270
2020-06-25,5.9,6.2,5.6,5.6,474191
2020-06-26,5.1,5.9,5.1,5.2,4218844
2020-06-29,5.2,5.6,4.8,5.5,609649
2020-06-30,5.5,5.7,5.0,5.0,722251
2020-07-01,4.9,5.5,4.9,5.5,1247754
2020-07-02,5.8,6.0,5.5,6.0,1031162
2020-07-03,6.1,6.5,5.4,5.6,2012435
2020-07-06,5.6,5.6,5.1,5.1,627800
2020-07-07,5.0,5.4,5.0,5.2,416500
2020-07-08,5.1,5.3,4.9,5.2,395900
2020-07-09,5.1,5.7,4.8,5.7,1991046
2020-07-10,5.9,6.2,5.9,6.2,1234831
2020-07-13,6.5,6.8,6.4,6.8,998694
2020-07-14,7.4,7.4,6.2,6.3,1298639
2020-07-15,6.3,6.9,6.3,6.9,954912
2020-07-16,7.2,7.3,6.3,6.3,2653134
2020-07-17,6.2,6.7,5.9,6.3,744055
2020-07-20,6.5,6.5,5.7,6.3,274611
2020-07-21,6.2,6.5,5.8,6.3,387899
2020-07-22,6.3,6.9,5.9,6.9,1784231
2020-07-23,7.0,7.2,6.3,6.3,1403322
2020-07-24,6.2,6.6,5.7,5.7,600230
2020-07-27,5.6,5.6,5.2,5.2,553045
2020-07-28,4.7,5.5,4.7,5.2,775000
2020-07-29,5.2,5.2,4.7,5.2,473840
2020-07-30,5.2,5.5,5.2,5.3,114401
2020-07-31,5.1,5.2,5.0,5.0,142409
2020-08-03,5.0,5.5,5.0,5.5,682950
2020-08-04,5.8,6.0,5.8,6.0,450250
2020-08-05,6.2,6.4,5.8,6.0,245720
2020-08-06,5.7,6.6,5.7,6.6,1211805
2020-08-07,6.9,7.1,6.5,6.8,238873
2020-08-10,6.8,7.0,6.4,7.0,250812
2020-08-11,7.0,7.0,6.3,6.6,559620
2020-08-12,6.2,6.6,6.0,6.2,185273
2020-08-13,6.5,6.8,6.2,6.8,729065
2020-08-14,7.1,7.4,6.8,7.4,1517573
2020-08-17,7.8,8.1,7.1,8.1,1624193
2020-08-18,8.8,8.9,7.3,8.7,2565875
2020-08-19,7.9,9.3,7.9,7.9,553338
2020-08-20,7.8,7.9,7.2,7.8,836560
2020-08-21,7.2,7.5,7.1,7.1,1108540
2020-08-24,7.1,7.4,6.4,6.8,1853253
2020-08-25,6.8,7.0,6.2,6.2,1681238
2020-08-26,5.9,6.4,5.6,5.6,5678770
2020-08-27,5.6,5.6,5.1,5.1,6397950
2020-08-28,4.8,5.6,4.7,5.6,2168120
2020-08-31,5.7,5.7,5.1,5.1,2779660
2020-09-01,5.1,5.4,4.9,5.3,815440
2020-09-03,5.3,5.5,4.9,5.3,2181310
2020-09-04,5.2,5.3,5.0,5.1,784910
2020-09-07,5.1,5.3,5.0,5.1,1219751
2020-09-08,5.0,5.2,5.0,5.2,675900
2020-09-09,5.1,5.1,5.0,5.0,800533
2020-09-10,5.1,5.2,5.0,5.0,871103
2020-09-11,5.0,5.1,4.9,4.9,1138793
2020-09-14,5.0,5.0,4.7,4.8,1337516
2020-09-15,4.8,5.2,4.8,5.2,3168104
2020-09-16,5.2,5.3,4.7,4.7,6026965
2020-09-17,4.3,4.6,4.3,4.3,1580900
2020-09-18,3.9,3.9,3.9,3.9,427848
2020-09-21,3.6,4.2,3.6,4.2,5929651
2020-09-22,4.3,4.5,4.0,4.0,483795
2020-09-23,4.1,4.4,4.1,4.3,1982971
2020-09-24,4.3,4.3,4.0,4.2,728440
2020-09-25,4.2,4.2,4.0,4.1,412450
2020-09-28,4.1,4.2,3.9,4.1,901702
2020-09-29,4.1,4.1,3.7,3.7,2909570
2020-09-30,3.5,3.7,3.4,3.4,1125131
2020-10-01,3.4,3.7,3.3,3.7,1217122
2020-10-02,3.8,3.9,3.5,3.5,652922
2020-10-05,3.5,3.7,3.5,3.6,372300
2020-10-06,3.6,3.6,3.4,3.5,636200
2020-10-07,3.6,3.6,3.4,3.5,412200
2020-10-08,3.7,3.7,3.4,3.4,352100
2020-10-09,3.4,3.6,3.4,3.6,1032600
2020-10-12,3.6,3.6,3.4,3.5,373200
2020-10-13,3.4,3.5,3.3,3.4,246800
2020-10-14,3.4,3.4,3.3,3.4,287100
2020-10-15,3.4,3.4,3.2,3.2,249900
2020-10-16,3.2,3.3,2.9,3.0,968700
2020-10-19,3.0,3.0,2.8,2.8,775200
2020-10-20,2.9,3.0,2.8,3.0,463700
2020-10-21,3.0,3.2,3.0,3.0,135100
2020-10-22,2.9,3.0,2.8,2.9,153600
2020-10-23,2.9,3.0,2.8,2.9,228600
2020-10-26,3.0,3.0,2.8,2.9,332000
2020-10-27,2.9,3.0,2.9,3.0,284600
2020-10-28,2.9,2.9,2.8,2.8,237800
2020-10-29,2.8,2.9,2.7,2.9,598600
