time,open,high,low,close,volume
2020-01-06,5.61,5.99,5.61,5.99,90
2020-01-07,5.9,5.9,5.9,5.9,600
2020-01-08,5.89,5.89,5.89,5.89,10
2020-01-09,5.6,5.88,5.48,5.88,7880
2020-01-10,5.8,6.05,5.79,6.05,166230
2020-01-13,6.0,6.0,5.63,6.0,25070
2020-01-14,5.6,5.98,5.58,5.89,14400
2020-01-15,5.51,5.53,5.51,5.53,560
2020-01-16,5.88,5.88,5.3,5.79,160
2020-01-17,5.39,5.9,5.39,5.9,3510
2020-01-20,5.9,5.9,5.9,5.9,0
2020-01-21,5.5,5.69,5.5,5.69,110
2020-01-22,5.88,5.88,5.32,5.74,540
2020-01-30,5.35,5.35,5.35,5.35,230
2020-01-31,5.67,5.67,5.5,5.5,120
2020-02-03,5.12,5.78,5.12,5.64,18320
2020-02-04,5.25,5.4,5.25,5.3,30840
2020-02-05,5.46,5.46,4.96,5.46,500
2020-02-06,5.08,5.39,5.08,5.39,16110
2020-02-07,5.02,5.02,5.02,5.02,9180
2020-02-10,5.02,5.02,5.02,5.02,0
2020-02-11,5.01,5.09,4.68,5.09,1810
2020-02-12,5.03,5.04,5.03,5.04,1540
2020-02-13,5.04,5.04,5.03,5.04,810
2020-02-14,4.69,5.02,4.69,4.69,37900
2020-02-17,5.0,5.0,4.42,4.6,2030
2020-02-18,4.8,4.8,4.28,4.28,15870
2020-02-19,4.06,4.48,3.99,4.0,16970
2020-02-20,3.86,4.24,3.86,4.01,1450
2020-02-21,4.26,4.26,4.0,4.14,420
2020-02-24,3.86,4.18,3.86,4.04,60820
2020-02-25,3.8,4.18,3.76,4.16,63880
2020-02-26,4.05,4.28,3.87,3.88,59880
2020-02-27,3.92,4.15,3.72,3.95,34520
2020-02-28,3.9,4.15,3.9,3.9,18800
2020-03-02,3.9,4.16,3.9,4.1,17470
2020-03-03,4.27,4.3,4.1,4.28,10220
2020-03-04,4.28,4.28,3.99,4.15,55140
2020-03-05,4.15,4.25,4.15,4.25,70
2020-03-06,4.49,4.49,4.1,4.28,250
2020-03-09,4.1,4.1,3.99,4.09,1570
2020-03-10,4.35,4.35,3.9,4.08,2720
2020-03-11,3.81,4.07,3.8,3.99,2290
2020-03-12,4.08,4.08,3.72,3.72,6120
2020-03-13,3.5,3.9,3.46,3.89,10050
2020-03-16,3.89,4.16,3.63,4.13,21670
2020-03-17,4.0,4.0,3.85,4.0,480
2020-03-18,4.0,4.0,4.0,4.0,820
2020-03-19,3.73,3.89,3.72,3.73,10380
2020-03-20,3.49,3.9,3.47,3.47,16800
2020-03-23,3.56,3.7,3.23,3.69,220
2020-03-24,3.44,3.67,3.44,3.67,2040
2020-03-25,3.43,3.9,3.43,3.85,15720
2020-03-26,3.6,4.05,3.6,4.05,260
2020-03-27,3.77,4.0,3.77,3.77,49580
2020-03-30,3.51,3.51,3.51,3.51,11770
2020-03-31,3.5,3.7,3.45,3.46,13250
2020-04-01,3.26,3.7,3.26,3.69,890
2020-04-03,3.9,3.9,3.6,3.6,8230
2020-04-06,3.6,3.83,3.4,3.79,5820
2020-04-07,3.79,3.94,3.58,3.94,8020
2020-04-08,4.0,4.0,3.71,3.71,1490
2020-04-09,3.9,3.96,3.9,3.96,11410
2020-04-10,4.22,4.23,4.1,4.23,8000
2020-04-13,4.3,4.52,4.0,4.52,14080
2020-04-14,4.83,4.83,4.82,4.83,13480
2020-04-15,5.16,5.16,5.16,5.16,13860
2020-04-16,5.52,5.52,5.52,5.52,8490
2020-04-17,5.89,5.9,5.15,5.88,13920
2020-04-20,5.5,6.19,5.5,6.1,30800
2020-04-21,5.68,6.0,5.68,5.68,20110
2020-04-22,5.29,5.29,5.29,5.29,600
2020-04-23,4.92,5.66,4.92,4.92,14750
2020-04-24,4.92,5.25,4.58,5.19,15510
2020-04-27,5.25,5.39,4.83,5.25,7070
2020-04-28,4.9,5.15,4.89,5.14,2920
2020-04-29,4.81,5.24,4.79,4.79,21590
2020-05-04,4.94,5.12,4.46,5.12,1310
2020-05-05,5.12,5.12,5.12,5.12,30
2020-05-06,4.81,4.81,4.77,4.77,2340
2020-05-07,4.46,4.47,4.44,4.45,24810
