time,open,high,low,close,volume
2020-01-06,4.32,4.36,4.19,4.28,59516
2020-01-07,4.28,4.34,4.26,4.32,48400
2020-01-08,4.28,4.25,4.05,4.11,125830
2020-01-09,4.15,4.5,4.24,4.36,86600
2020-01-10,4.36,4.29,4.17,4.23,62300
2020-01-13,4.23,4.22,4.1,4.15,19900
2020-01-14,4.15,4.21,4.05,4.11,32800
2020-01-15,4.11,4.17,4.09,4.11,34800
2020-01-16,4.11,4.24,4.04,4.11,80210
2020-01-17,4.11,4.18,4.1,4.11,39600
2020-01-20,4.11,4.13,4.05,4.07,62500
2020-01-21,4.07,4.19,4.07,4.11,87190
2020-01-22,4.11,4.32,4.15,4.19,86800
2020-01-30,4.19,4.18,4.01,4.07,42441
2020-01-31,4.07,4.15,4.02,4.07,127300
2020-02-03,4.07,4.11,3.62,3.74,101800
2020-02-04,3.79,3.94,3.69,3.79,81205
2020-02-05,3.87,3.98,3.82,3.91,30734
2020-02-06,3.95,4.08,3.95,4.03,57502
2020-02-07,4.07,4.09,3.97,4.03,26900
2020-02-10,4.03,4.03,3.99,3.99,19400
2020-02-11,3.91,4.08,3.95,4.03,39600
2020-02-12,3.95,4.16,3.99,4.11,41300
2020-02-13,4.07,4.15,4.03,4.07,51500
2020-02-14,4.11,4.12,4.0,4.07,19300
2020-02-17,4.07,4.09,3.92,3.99,47300
2020-02-18,4.11,4.16,3.99,4.03,34950
2020-02-19,3.99,4.49,4.03,4.4,164200
2020-02-20,4.44,4.78,4.41,4.64,106410
2020-02-21,4.68,4.65,4.33,4.48,73390
2020-02-24,4.44,4.49,4.12,4.23,138900
2020-02-25,4.19,4.68,4.34,4.48,75428
2020-02-26,4.44,4.49,4.2,4.4,53900
2020-02-27,4.4,4.9,4.44,4.8,244770
2020-02-28,4.88,5.27,4.77,5.05,241594
2020-03-02,5.13,5.17,4.97,5.09,83500
2020-03-03,5.09,5.38,5.09,5.21,141108
2020-03-04,5.13,5.12,4.96,5.05,144820
2020-03-05,5.05,5.41,5.08,5.21,73640
2020-03-06,5.09,5.11,5.03,5.09,56210
2020-03-09,4.88,4.86,4.58,4.6,117400
2020-03-10,4.19,4.72,4.26,4.4,167000
2020-03-11,4.52,4.59,4.27,4.44,142120
2020-03-12,4.28,4.39,4.03,4.07,269365
2020-03-13,4.07,4.14,3.72,3.83,184775
2020-03-16,3.95,4.03,3.86,3.91,67000
2020-03-17,3.83,4.49,4.05,4.19,30558
2020-03-18,4.07,4.32,4.11,4.19,47035
2020-03-19,4.07,4.14,3.85,4.07,47800
2020-03-20,4.07,4.14,4.02,4.07,55100
2020-03-23,3.99,3.82,3.51,3.66,132811
2020-03-24,3.7,3.85,3.72,3.79,47010
2020-03-25,3.87,4.24,3.9,4.03,96300
2020-03-26,3.99,3.9,3.7,3.83,52000
2020-03-27,3.87,3.9,3.78,3.83,74300
2020-03-30,3.79,3.88,3.75,3.79,50900
2020-03-31,3.91,3.94,3.82,3.87,60640
2020-04-01,3.87,4.05,3.93,3.99,30518
2020-04-03,3.99,4.19,4.06,4.11,26963
2020-04-06,4.11,4.33,4.16,4.23,64750
2020-04-07,4.28,4.41,4.16,4.23,57100
2020-04-08,4.15,4.16,4.08,4.11,106800
2020-04-09,4.11,4.26,4.06,4.19,66120
2020-04-10,4.23,4.26,4.17,4.19,32681
2020-04-13,4.19,4.32,4.16,4.28,79100
2020-04-14,4.32,4.44,4.27,4.32,20781
2020-04-15,4.32,4.38,4.22,4.28,56911
2020-04-16,4.28,4.35,4.27,4.32,41340
2020-04-17,4.32,4.73,4.32,4.72,218818
2020-04-20,4.97,5.1,4.86,4.93,136382
2020-04-21,4.84,4.78,4.45,4.6,98740
2020-04-22,4.56,4.79,4.58,4.68,76300
2020-04-23,4.8,5.01,4.72,4.84,107490
2020-04-24,4.8,5.01,4.84,4.93,106700
2020-04-27,4.97,5.26,5.02,5.17,168860
2020-04-28,5.17,5.16,5.0,5.09,70338
2020-04-29,4.97,4.92,4.56,4.6,364125
2020-05-04,4.23,4.82,4.28,4.56,85204
2020-05-05,4.56,4.78,4.57,4.68,40830
2020-05-06,4.68,4.88,4.72,4.8,157815
2020-05-07,4.8,5.07,4.83,5.01,221507
2020-05-08,5.01,5.1,4.93,5.01,103840
2020-05-11,5.01,4.98,4.82,4.88,53000
2020-05-12,4.88,5.03,4.86,4.93,58163
2020-05-13,4.93,4.94,4.86,4.88,50151
2020-05-14,4.88,4.91,4.83,4.88,49710
2020-05-15,4.88,4.98,4.78,4.84,64260
2020-05-18,4.84,5.18,4.93,5.09,139260
2020-05-19,5.13,5.12,4.92,5.01,135260
2020-05-20,5.01,5.05,4.97,5.01,48395
2020-05-21,5.01,5.0,4.92,4.97,47300
2020-05-22,5.05,4.99,4.83,4.93,81360
2020-05-25,4.93,5.44,5.02,5.25,191978
2020-05-26,5.33,5.36,5.15,5.25,51735
2020-05-27,5.29,5.19,4.91,5.01,41980
2020-05-28,4.88,5.22,4.73,5.05,176949
2020-05-29,5.05,5.08,5.0,5.05,37800
2020-06-01,5.01,5.22,5.1,5.13,78630
2020-06-02,5.13,5.01,4.77,4.88,91366
2020-06-03,4.88,4.95,4.83,4.88,63625
2020-06-04,4.93,5.1,4.89,4.93,51970
2020-06-05,4.93,5.16,4.99,5.09,46051
2020-06-08,5.05,5.11,4.95,5.05,100660
2020-06-09,5.05,5.09,5.01,5.05,49535
2020-06-10,5.01,5.19,5.02,5.09,91900
2020-06-11,5.05,4.86,4.55,4.76,116508
2020-06-12,4.68,4.93,4.72,4.76,147711
2020-06-15,4.76,4.73,4.45,4.56,73115
2020-06-16,4.64,4.73,4.61,4.68,23960
2020-06-17,4.68,4.68,4.68,4.68,38802
2020-06-18,4.68,4.7,4.62,4.68,37900
2020-06-19,4.72,4.78,4.74,4.76,77905
2020-06-22,4.76,4.78,4.74,4.76,24700
2020-06-23,4.76,4.73,4.65,4.68,44400
2020-06-24,4.68,4.73,4.57,4.64,59400
2020-06-25,4.6,4.73,4.65,4.68,10000
2020-06-26,4.68,4.66,4.62,4.64,7000
2020-06-29,4.64,4.64,4.55,4.6,67000
2020-06-30,4.68,4.99,4.71,4.8,177100
2020-07-01,4.8,5.07,4.87,5.01,194100
2020-07-02,5.01,5.43,5.02,5.13,107620
2020-07-03,5.13,5.23,5.11,5.17,161850
