time,open,high,low,close,volume
2022-04-18,15.24,15.24,15.24,15.24,0
2022-04-19,15.24,15.24,15.24,15.24,0
2022-04-20,15.24,15.24,15.24,15.24,0
2022-04-21,14.34,14.34,14.34,14.34,200
2022-04-22,14.34,14.34,14.34,14.34,0
2022-04-25,14.34,14.34,14.34,14.34,0
2022-04-26,14.34,14.34,14.34,14.34,0
2022-04-27,14.34,14.34,14.34,14.34,0
2022-04-28,14.34,14.34,14.34,14.34,0
2022-04-29,14.34,14.34,14.34,14.34,0
2022-05-04,12.19,12.19,12.19,12.19,200
2022-05-05,13.98,13.98,13.98,13.98,57652
2022-05-06,13.98,13.98,13.98,13.98,16
2022-05-09,13.98,13.98,13.98,13.98,0
2022-05-10,13.98,13.98,13.98,13.98,0
2022-05-11,13.98,13.98,13.98,13.98,0
2022-05-12,13.98,13.98,13.98,13.98,0
2022-05-13,13.98,13.98,13.98,13.98,0
2022-05-16,13.98,13.98,13.98,13.98,0
2022-05-17,13.98,13.98,13.98,13.98,0
2022-05-18,13.98,13.98,13.98,13.98,0
2022-05-19,13.98,13.98,13.98,13.98,0
2022-05-20,13.98,13.98,13.98,13.98,0
2022-05-23,13.98,13.98,13.98,13.98,0
2022-05-24,13.98,13.98,13.98,13.98,0
2022-05-25,13.98,13.98,13.98,13.98,0
2022-05-26,13.98,13.98,13.98,13.98,0
2022-05-27,13.98,13.98,13.98,13.98,0
2022-05-30,13.98,13.98,13.98,13.98,0
2022-05-31,13.98,13.98,13.98,13.98,0
2022-06-01,13.98,13.98,13.98,13.98,0
2022-06-02,13.98,13.98,13.98,13.98,0
2022-06-03,13.98,13.98,13.98,13.98,0
2022-06-06,13.98,13.98,13.98,13.98,0
2022-06-07,13.98,13.98,13.98,13.98,0
2022-06-08,13.98,13.98,13.98,13.98,0
2022-06-09,13.98,13.98,13.98,13.98,1
2022-06-10,13.98,13.98,13.98,13.98,0
2022-06-13,13.98,13.98,13.98,13.98,0
2022-06-14,13.98,13.98,13.98,13.98,0
2022-06-15,13.98,13.98,13.98,13.98,0
2022-06-16,13.98,13.98,13.98,13.98,0
2022-06-17,13.98,13.98,13.98,13.98,0
2022-06-20,13.98,13.98,13.98,13.98,0
2022-06-21,13.98,13.98,13.98,13.98,0
2022-06-22,13.98,13.98,13.98,13.98,0
2022-06-23,13.98,13.98,13.98,13.98,0
2022-06-24,13.98,13.98,13.98,13.98,0
2022-06-27,13.98,13.98,13.98,13.98,0
2022-06-28,13.98,13.98,13.98,13.98,0
2022-06-29,13.98,13.98,13.98,13.98,0
2022-06-30,13.98,13.98,13.98,13.98,0
2022-07-01,13.98,13.98,13.98,13.98,0
2022-07-04,13.98,13.98,13.98,13.98,0
2022-07-05,13.98,13.98,13.98,13.98,0
2022-07-06,13.98,13.98,13.98,13.98,0
2022-07-07,13.98,13.98,13.98,13.98,0
2022-07-08,13.98,13.98,13.98,13.98,0
2022-07-11,13.98,13.98,13.98,13.98,0
2022-07-12,13.98,13.98,13.98,13.98,0
2022-07-13,13.98,13.98,13.98,13.98,0
2022-07-14,13.98,13.98,13.98,13.98,0
2022-07-15,13.98,13.98,13.98,13.98,0
2022-07-18,13.98,13.98,13.98,13.98,0
2022-07-19,13.98,13.98,13.98,13.98,0
2022-07-20,13.98,13.98,13.98,13.98,0
2022-07-21,13.98,13.98,13.98,13.98,0
2022-07-22,13.98,13.98,13.98,13.98,0
2022-07-25,13.98,13.98,13.98,13.98,0
2022-07-26,13.98,13.98,13.98,13.98,0
2022-07-27,13.98,13.98,13.98,13.98,0
2022-07-28,13.98,13.98,13.98,13.98,0
2022-07-29,13.98,13.98,13.98,13.98,0
2022-08-01,13.98,13.98,13.98,13.98,0
2022-08-02,13.98,13.98,13.98,13.98,0
