time,open,high,low,close,volume
2020-01-02,6.55,6.55,6.55,6.55,0
2020-01-03,6.55,6.55,6.55,6.55,0
2020-01-06,6.55,6.55,6.55,6.55,0
2020-01-07,6.55,6.55,6.55,6.55,0
2020-01-08,6.55,6.55,6.55,6.55,0
2020-01-09,6.55,6.55,6.55,6.55,0
2020-01-10,6.55,6.55,6.55,6.55,0
2020-01-13,6.55,6.55,6.55,6.55,0
2020-01-14,6.55,6.55,6.55,6.55,0
2020-01-15,6.55,6.55,6.55,6.55,0
2020-01-16,6.55,6.55,6.55,6.55,0
2020-01-17,6.55,6.55,6.55,6.55,0
2020-01-20,6.55,6.55,6.55,6.55,0
2020-01-21,6.18,6.18,6.18,6.18,700
2020-01-22,6.18,6.18,6.18,6.18,0
2020-01-30,6.18,6.18,6.18,6.18,0
2020-01-31,6.18,6.18,6.18,6.18,0
2020-02-03,6.18,6.18,6.18,6.18,11200
2020-02-04,6.18,6.18,6.18,6.18,0
2020-02-05,6.18,6.18,6.18,6.18,0
2020-02-06,6.18,6.18,6.18,6.18,0
2020-02-07,6.18,6.18,6.18,6.18,0
2020-02-10,6.18,6.18,6.18,6.18,0
2020-02-11,6.18,6.18,6.18,6.18,0
2020-02-12,6.18,6.18,6.18,6.18,0
2020-02-13,6.18,6.18,6.18,6.18,0
2020-02-14,6.18,6.18,6.18,6.18,0
2020-02-17,6.18,6.18,6.18,6.18,0
2020-02-18,6.18,6.18,6.18,6.18,100
2020-02-19,6.18,6.18,6.18,6.18,0
2020-02-20,6.18,6.18,6.18,6.18,0
2020-02-21,6.18,6.18,6.18,6.18,0
2020-02-24,6.18,6.18,6.18,6.18,0
2020-02-25,6.18,6.18,6.18,6.18,0
2020-02-26,6.18,6.18,6.18,6.18,0
2020-02-27,6.18,6.18,6.18,6.18,0
2020-02-28,6.18,6.18,6.18,6.18,0
2020-03-02,6.18,6.18,6.18,6.18,100
2020-03-03,6.18,6.18,6.18,6.18,0
2020-03-04,6.18,6.18,6.18,6.18,0
2020-03-05,6.18,6.18,6.18,6.18,0
2020-03-06,6.18,6.18,6.18,6.18,0
2020-03-09,6.18,6.18,6.18,6.18,0
2020-03-10,6.18,6.18,6.18,6.18,0
2020-03-11,6.18,6.18,6.18,6.18,0
2020-03-12,6.18,6.18,6.18,6.18,0
2020-03-13,6.18,6.18,6.18,6.18,0
2020-03-16,6.18,6.18,6.18,6.18,0
2020-03-17,6.18,6.18,6.18,6.18,0
2020-03-18,6.18,6.18,6.18,6.18,0
2020-03-19,6.18,6.18,6.18,6.18,0
2020-03-20,6.18,6.18,6.18,6.18,0
2020-03-23,6.18,6.18,6.18,6.18,0
2020-03-24,6.18,6.18,6.18,6.18,0
2020-03-25,6.18,6.18,6.18,6.18,0
2020-03-26,6.18,6.18,6.18,6.18,0
2020-03-27,6.18,6.18,6.18,6.18,0
2020-03-30,6.18,6.18,6.18,6.18,0
2020-03-31,6.18,6.18,6.18,6.18,0
2020-04-01,6.18,6.18,6.18,6.18,0
2020-04-03,6.18,6.18,6.18,6.18,0
2020-04-06,6.18,6.18,6.18,6.18,0
2020-04-07,6.18,6.18,6.18,6.18,0
2020-04-08,6.18,6.18,6.18,6.18,0
2020-04-09,6.18,6.18,6.18,6.18,0
2020-04-10,6.18,6.18,6.18,6.18,0
2020-04-13,6.18,6.18,6.18,6.18,0
2020-04-14,5.46,6.18,5.46,6.18,4300
2020-04-15,5.46,5.46,5.46,6.18,0
2020-04-16,5.82,5.82,5.82,5.82,3000
2020-04-17,5.82,5.82,5.82,5.82,0
2020-04-20,5.82,5.82,5.82,5.82,0
2020-04-21,5.82,5.82,5.82,5.82,0
2020-04-22,5.82,5.82,5.82,5.82,0
2020-04-23,5.82,5.82,5.82,5.82,0
2020-04-24,5.82,5.82,5.82,5.82,0
2020-04-27,5.82,5.82,5.82,5.82,0
2020-04-28,5.82,5.82,5.82,5.82,0
2020-04-29,5.82,5.82,5.82,5.82,0
2020-05-04,5.82,5.82,5.82,5.82,0
2020-05-05,5.82,5.82,5.82,5.82,0
2020-05-06,5.82,5.82,5.82,5.82,0
2020-05-07,5.82,5.82,5.82,5.82,0
2020-05-08,5.82,5.82,5.82,5.82,0
2020-05-11,5.82,5.82,5.82,5.82,0
2020-05-12,6.18,6.18,6.18,6.18,500
2020-05-13,6.18,6.18,6.18,6.18,0
2020-05-14,6.18,6.18,6.18,6.18,0
2020-05-15,6.18,6.18,6.18,6.18,0
2020-05-18,6.04,6.11,6.04,6.11,1300
2020-05-19,6.04,6.04,6.04,6.04,400
2020-05-20,6.04,6.04,6.04,6.04,1000
2020-05-21,6.04,6.04,5.97,5.97,1100
2020-05-22,6.04,6.04,6.04,5.97,0
2020-05-25,6.04,6.04,6.04,5.97,0
2020-05-26,6.04,6.04,6.04,5.97,0
2020-05-27,6.04,6.04,6.04,5.97,0
2020-05-28,6.04,6.04,6.04,5.97,0
2020-05-29,6.04,6.04,6.04,5.97,0
2020-06-01,6.04,6.04,6.04,5.97,0
2020-06-02,6.04,6.04,6.04,5.97,0
2020-06-03,6.04,6.04,6.04,5.97,0
2020-06-04,6.0,6.0,6.0,6.56,0
2020-06-05,6.0,6.0,6.0,6.56,0
2020-06-08,6.0,6.0,6.0,6.56,0
2020-06-09,6.0,6.0,6.0,6.56,0
2020-06-10,6.0,6.0,6.0,6.56,0
2020-06-11,6.0,6.0,6.0,6.56,0
2020-06-12,6.0,6.0,6.0,6.56,0
2020-06-15,6.0,6.0,6.0,6.56,0
2020-06-16,6.0,6.0,6.0,6.56,0
2020-06-17,6.0,6.0,6.0,6.56,0
2020-06-18,6.0,6.0,6.0,6.56,0
2020-06-19,6.0,6.0,6.0,6.56,0
2020-06-22,6.0,6.0,6.0,6.56,0
2020-06-23,6.0,6.0,6.0,6.56,0
2020-06-24,6.0,6.0,6.0,6.56,0
2020-06-25,6.0,6.0,6.0,6.56,0
2020-06-26,6.0,6.0,6.0,6.56,0
2020-06-29,6.0,6.0,6.0,6.56,0
2020-06-30,6.24,6.24,6.24,6.24,90100
2020-07-01,6.4,6.4,6.4,6.4,1800
2020-07-02,6.4,6.4,6.4,6.4,0
2020-07-03,6.4,6.4,6.4,6.4,0
2020-07-06,6.8,6.8,6.8,6.8,100
2020-07-07,6.8,6.8,6.8,6.8,0
2020-07-08,6.8,6.8,6.8,6.8,0
2020-07-09,6.8,6.8,6.8,6.8,0
2020-07-10,6.8,6.8,6.8,6.8,0
2020-07-13,6.8,6.8,6.8,6.8,0
2020-07-14,6.8,6.8,6.8,6.8,0
2020-07-15,6.8,6.8,6.8,6.8,0
2020-07-16,6.8,6.8,6.8,6.8,0
2020-07-17,6.8,6.8,6.8,6.8,0
2020-07-20,6.8,6.8,6.8,6.8,0
2020-07-21,6.8,6.8,6.8,6.8,0
2020-07-22,6.8,6.8,6.8,6.8,0
2020-07-23,6.24,6.24,6.24,6.24,115000
2020-07-24,6.24,6.24,6.24,6.24,0
2020-07-27,6.24,6.24,6.24,6.24,0
2020-07-28,6.24,6.24,6.24,6.24,0
2020-07-29,6.24,6.24,6.24,6.24,0
2020-07-30,6.24,6.24,6.24,6.24,0
2020-07-31,6.24,6.24,6.24,6.24,0
2020-08-03,6.24,6.24,6.24,6.24,0
2020-08-04,6.24,6.24,6.24,6.24,0
2020-08-05,6.24,6.24,6.24,6.24,0
2020-08-06,6.24,6.24,6.24,6.24,0
2020-08-07,6.24,6.24,6.24,6.24,0
2020-08-10,6.24,6.24,6.24,6.24,0
2020-08-11,6.24,6.24,6.24,6.24,0
2020-08-12,6.24,6.24,6.24,6.24,0
2020-08-13,6.24,6.24,6.24,6.24,0
2020-08-14,6.24,6.24,6.24,6.24,0
2020-08-17,6.24,6.24,6.24,6.24,0
2020-08-18,6.24,6.24,6.24,6.24,0
2020-08-19,6.24,6.24,6.24,6.24,0
2020-08-20,6.24,6.24,6.24,6.24,2200
2020-08-21,6.24,6.24,6.24,6.24,0
2020-08-24,6.4,6.4,6.4,6.4,1000
2020-08-25,6.4,6.4,6.4,6.4,0
2020-08-26,6.4,6.4,6.4,6.4,0
2020-08-27,6.4,6.4,6.4,6.4,0
2020-08-28,6.4,6.4,6.4,6.4,0
2020-08-31,6.4,6.4,6.4,6.4,0
2020-09-01,6.4,6.4,6.4,6.4,0
2020-09-03,6.4,6.4,6.4,6.4,0
2020-09-04,6.4,6.4,6.4,6.4,0
2020-09-07,6.4,6.4,6.4,6.4,0
2020-09-08,6.4,6.4,6.4,6.4,0
2020-09-09,6.4,6.4,6.4,6.4,0
2020-09-10,6.4,6.4,6.4,6.4,0
2020-09-11,6.4,6.4,6.4,6.4,0
2020-09-14,6.4,6.4,6.4,6.4,0
2020-09-15,6.4,6.4,6.4,6.4,0
2020-09-16,6.4,6.4,6.4,6.4,0
2020-09-17,6.4,6.4,6.4,6.4,0
2020-09-18,6.4,6.4,6.4,6.4,0
2020-09-21,6.4,6.4,6.4,6.4,0
2020-09-22,6.0,6.0,5.6,5.6,1300
2020-09-23,5.92,5.92,5.92,5.92,500
2020-09-24,5.92,5.92,5.92,5.92,0
2020-09-25,5.92,5.92,5.92,5.92,0
2020-09-28,5.92,5.92,5.92,5.92,0
2020-09-29,6.0,6.0,6.0,6.0,1000
2020-09-30,6.0,6.0,6.0,6.0,0
2020-10-01,6.0,6.0,6.0,6.0,0
2020-10-02,6.0,6.0,6.0,6.0,0
2020-10-05,6.0,6.0,6.0,6.0,0
2020-10-06,6.4,6.4,6.4,6.4,1000
2020-10-07,6.4,6.4,6.4,6.4,0
2020-10-08,6.4,6.4,6.4,6.4,0
2020-10-09,6.4,6.4,6.4,6.4,0
2020-10-12,6.4,6.4,6.4,6.4,0
