time,open,high,low,close,volume
2020-01-06,21.5,24.7,21.5,24.7,1000
2020-01-07,26.3,26.3,23.0,26.1,30
2020-01-08,27.75,27.75,25.0,25.0,20
2020-01-09,26.65,26.65,23.9,23.9,40
2020-01-10,25.55,25.55,22.7,22.7,50
2020-01-13,24.15,24.15,21.15,21.75,230
2020-01-14,23.25,23.25,21.0,21.0,150
2020-01-15,22.4,22.4,19.75,19.75,30
2020-01-16,20.95,20.95,18.6,18.6,40
2020-01-17,19.9,19.9,19.9,19.9,20
2020-01-20,21.25,21.25,18.7,18.7,90
2020-01-21,20.0,20.0,17.7,17.7,20
2020-01-22,16.6,16.6,16.6,16.6,50
2020-01-30,17.75,17.75,15.5,15.5,160
2020-01-31,16.55,16.55,14.45,14.45,230
2020-02-03,15.45,15.45,13.65,13.65,20
2020-02-04,14.6,14.6,12.8,12.8,20
2020-02-05,13.65,13.65,13.65,13.65,10
2020-02-06,12.8,14.6,12.75,12.75,100
2020-02-07,12.0,12.2,12.0,12.2,190
2020-02-10,13.05,13.05,11.4,11.4,220
2020-02-11,10.7,10.9,10.65,10.9,230
2020-02-12,10.15,10.3,10.15,10.3,40
2020-02-13,10.3,10.3,9.6,9.75,30
2020-02-14,9.2,9.25,9.1,9.1,150
2020-02-17,9.21,9.73,9.1,9.1,1590
2020-02-18,8.55,9.1,8.55,8.61,130
2020-02-19,8.1,9.21,8.1,9.21,70
2020-02-20,8.6,8.7,8.6,8.62,70
2020-02-21,8.59,8.59,8.59,8.59,60
2020-02-24,8.0,9.19,8.0,9.19,870
2020-02-25,9.8,9.8,9.8,9.8,250
2020-02-26,9.8,10.45,9.8,10.45,240
2020-02-27,11.0,11.0,11.0,11.0,10
2020-02-28,11.05,11.05,11.05,11.05,20
2020-03-02,11.1,11.8,11.1,11.8,120
2020-03-03,11.7,11.7,11.6,11.6,30
2020-03-04,12.4,12.4,12.4,12.4,10
2020-03-05,13.25,13.25,13.25,13.25,1760
2020-03-06,14.15,14.15,14.15,14.15,40
2020-03-09,15.1,15.1,14.3,14.3,730
2020-03-10,15.3,15.3,15.3,15.3,60
2020-03-11,16.35,16.35,16.0,16.0,10240
2020-03-12,17.1,17.1,17.0,17.0,360
2020-03-13,18.15,18.15,18.15,18.15,370
2020-03-16,19.4,19.4,19.4,19.4,110
2020-03-17,20.75,20.75,19.4,19.4,2520
2020-03-18,20.7,20.75,18.5,18.5,1860
2020-03-19,19.0,19.0,19.0,19.0,40
2020-03-20,17.7,17.7,17.7,17.7,50
2020-03-23,17.7,17.7,17.7,17.7,0
2020-03-24,17.7,17.7,17.7,17.7,0
2020-03-25,18.85,18.9,17.0,17.0,1020
2020-03-26,16.0,16.0,16.0,16.0,10
2020-03-27,17.0,17.0,17.0,17.0,100
2020-03-30,17.0,17.0,17.0,17.0,0
2020-03-31,18.1,18.1,18.1,18.1,10
2020-04-01,18.1,18.1,18.1,18.1,0
2020-04-03,19.3,19.3,16.85,16.85,60
2020-04-06,16.95,16.95,15.7,15.7,160
2020-04-07,14.65,14.65,14.65,14.65,590
2020-04-08,14.65,15.65,13.65,14.65,400
2020-04-09,15.65,15.65,15.65,15.65,10
2020-04-10,15.95,15.95,15.7,15.9,510
2020-04-13,15.5,16.95,15.0,16.95,880
2020-04-14,18.05,18.05,16.0,16.0,210
2020-04-15,15.0,17.1,15.0,17.0,1080
2020-04-16,18.1,18.1,18.1,18.1,10
2020-04-17,18.1,18.1,18.1,18.1,10
2020-04-20,18.1,18.1,18.1,18.1,0
2020-04-21,18.1,18.1,18.1,18.1,0
2020-04-22,18.1,18.1,18.1,18.1,0
2020-04-23,18.1,18.1,18.1,18.1,0
2020-04-24,18.1,18.1,18.1,18.1,0
2020-04-27,18.1,18.1,18.1,18.1,0
2020-04-28,18.1,18.1,18.1,18.1,0
2020-04-29,18.1,18.1,18.1,18.1,0
2020-05-04,18.1,18.1,18.1,18.1,0
2020-05-05,18.1,18.1,18.1,18.1,0
2020-05-06,16.85,16.85,16.85,16.85,20
2020-05-07,18.0,18.0,18.0,18.0,10
2020-05-08,19.25,19.25,16.75,16.75,110
2020-05-11,15.6,15.6,15.6,15.6,320
2020-05-12,16.65,16.65,15.6,15.6,50
2020-05-13,16.65,16.65,16.2,16.2,2030
2020-05-14,15.5,15.85,15.5,15.85,40
2020-05-15,15.85,15.85,15.85,15.85,0
2020-05-18,15.85,15.85,15.85,15.85,0
2020-05-19,15.8,15.8,14.75,14.75,120
2020-05-20,13.75,13.75,13.75,13.75,220
2020-05-21,12.8,12.8,12.8,12.8,1910
2020-05-22,13.65,13.65,11.95,11.95,370
2020-05-25,11.15,11.15,11.15,11.15,540
2020-05-26,11.9,11.9,10.4,10.4,60
2020-05-27,9.68,9.68,9.68,9.68,350
2020-05-28,9.01,9.67,9.01,9.67,200
2020-05-29,9.0,9.58,9.0,9.58,1130
2020-06-01,9.58,9.58,9.58,9.58,10
2020-06-02,9.58,9.58,9.58,9.58,10
