time,open,high,low,close,volume
2020-01-06,8.54,8.54,8.2,8.29,150000
2020-01-07,8.37,8.45,8.29,8.29,53012
2020-01-08,8.29,8.29,8.12,8.12,26870
2020-01-09,8.29,8.29,8.2,8.29,30300
2020-01-10,8.2,8.29,8.04,8.29,56700
2020-01-13,8.2,8.2,7.96,8.2,33600
2020-01-14,8.04,8.12,7.96,8.12,13400
2020-01-15,8.12,8.12,8.04,8.12,20340
2020-01-16,8.04,8.54,8.04,8.2,19300
2020-01-17,8.45,8.45,8.2,8.2,2640
2020-01-20,8.29,8.29,8.12,8.29,22600
2020-01-21,8.2,8.54,8.2,8.54,28900
2020-01-22,8.37,8.54,8.29,8.45,10500
2020-01-30,8.45,9.61,8.37,9.61,183200
2020-01-31,9.78,10.53,9.78,10.53,277840
2020-02-03,11.94,12.1,11.6,11.94,978941
2020-02-04,11.94,12.85,10.53,10.69,387560
2020-02-05,9.53,10.94,9.53,10.03,172320
2020-02-06,9.78,9.86,9.36,9.86,247585
2020-02-07,9.78,10.44,9.7,10.28,118779
2020-02-10,10.28,11.44,10.28,10.94,334594
2020-02-11,11.19,11.19,10.53,10.61,153527
2020-02-12,10.77,10.77,10.44,10.61,148006
2020-02-13,10.77,10.77,10.28,10.53,150120
2020-02-14,10.36,10.53,10.11,10.11,158910
2020-02-17,10.11,10.28,10.03,10.11,102257
2020-02-18,10.11,10.69,10.11,10.61,197410
2020-02-19,10.61,11.11,10.61,10.61,217100
2020-02-20,10.61,10.61,10.19,10.36,123180
2020-02-21,10.36,10.44,10.19,10.36,95400
2020-02-24,10.44,11.36,10.44,10.94,809110
2020-02-25,11.19,11.19,10.69,10.86,185690
2020-02-26,10.77,11.02,10.69,10.69,185510
2020-02-27,10.77,10.77,10.28,10.53,421180
2020-02-28,10.44,10.44,10.19,10.28,124615
2020-03-02,10.19,10.28,9.86,9.95,205740
2020-03-03,9.95,9.95,9.61,9.78,292045
2020-03-04,9.78,10.19,9.78,9.95,154800
2020-03-05,9.95,10.03,9.86,9.95,172810
2020-03-06,9.86,10.03,9.78,9.95,95140
2020-03-09,10.11,10.61,9.53,9.61,380267
2020-03-10,9.53,9.86,9.53,9.7,90200
2020-03-11,9.7,9.86,8.95,9.28,178620
2020-03-12,8.95,8.95,8.04,8.04,524808
2020-03-13,8.45,8.45,7.13,8.04,335040
2020-03-16,7.87,8.29,7.71,8.2,207910
2020-03-17,8.04,8.2,7.87,8.2,161010
2020-03-18,8.2,8.54,8.2,8.54,186830
2020-03-19,8.54,8.54,8.29,8.37,194600
2020-03-20,8.37,8.54,8.29,8.45,123310
2020-03-23,8.37,8.37,7.96,8.12,300841
2020-03-24,8.12,8.29,8.12,8.2,82300
2020-03-25,8.37,8.54,8.2,8.29,67500
2020-03-26,8.2,8.37,8.12,8.2,105835
2020-03-27,8.2,8.29,8.12,8.2,58900
2020-03-30,8.2,8.2,7.71,7.87,90220
2020-03-31,7.87,8.04,7.71,7.79,103800
2020-04-01,7.79,7.96,7.79,7.96,42300
2020-04-03,8.12,8.12,7.96,8.04,86761
2020-04-06,8.12,8.54,8.12,8.45,125811
2020-04-07,8.37,8.45,8.2,8.37,68147
