time,open,high,low,close,volume
2020-01-06,21.42,21.42,21.25,21.42,6220
2020-01-07,21.42,21.42,21.07,21.34,19780
2020-01-08,21.28,21.28,21.13,21.13,18450
2020-01-09,21.37,21.37,21.07,21.19,11020
2020-01-10,21.19,21.19,21.07,21.13,8610
2020-01-13,21.13,21.13,21.07,21.13,8680
2020-01-14,21.13,21.19,21.13,21.19,2610
2020-01-15,21.19,21.19,21.13,21.16,5330
2020-01-16,21.16,21.16,21.13,21.13,5520
2020-01-17,21.13,21.16,21.07,21.16,6790
2020-01-20,21.13,21.16,21.13,21.13,4110
2020-01-21,21.22,21.46,21.19,21.31,6040
2020-01-22,21.66,21.69,21.37,21.54,5910
2020-01-30,21.46,21.75,21.37,21.72,7010
2020-01-31,21.37,21.72,21.13,21.42,8880
2020-02-03,21.37,21.37,19.96,21.13,25300
2020-02-04,21.13,21.13,20.54,21.04,4040
2020-02-05,20.98,20.98,20.54,20.9,4000
2020-02-06,20.72,20.96,20.6,20.93,17280
2020-02-07,21.07,21.07,20.31,20.93,36460
2020-02-10,20.84,21.42,20.84,21.13,40010
2020-02-11,21.4,21.4,21.19,21.19,2540
2020-02-12,21.22,21.4,21.19,21.37,8020
2020-02-13,21.37,21.37,21.07,21.31,5500
2020-02-14,21.34,21.4,21.13,21.13,3440
2020-02-17,21.37,21.37,21.13,21.13,3720
2020-02-18,21.13,21.42,21.13,21.34,12770
2020-02-19,21.37,21.37,21.16,21.37,180
2020-02-20,20.9,21.6,20.9,21.42,7000
2020-02-21,21.48,21.48,21.13,21.48,3980
2020-02-24,21.48,21.48,20.54,21.04,24310
2020-02-25,20.87,21.13,20.6,21.07,4300
2020-02-26,21.07,21.07,20.66,20.78,12690
2020-02-27,20.72,22.19,20.66,22.19,22110
2020-02-28,21.66,21.98,20.66,20.66,37870
2020-03-02,20.66,20.84,20.13,20.54,3190
2020-03-03,20.63,20.63,20.25,20.43,7180
2020-03-04,20.43,20.52,20.43,20.52,3660
2020-03-05,20.63,20.84,20.54,20.78,6530
2020-03-06,20.78,20.81,20.13,20.57,44210
2020-03-09,19.17,20.25,19.17,19.17,26370
2020-03-10,19.17,19.61,19.17,19.2,28790
2020-03-11,19.96,19.96,19.17,19.17,21260
2020-03-12,19.17,19.17,17.84,18.46,16260
2020-03-13,17.84,18.43,17.26,18.43,20470
2020-03-16,18.67,19.05,17.79,18.76,7880
2020-03-17,18.76,18.84,17.46,18.02,17660
2020-03-18,18.49,18.49,18.05,18.37,28640
2020-03-19,18.08,18.26,17.61,18.2,7400
2020-03-20,17.9,18.2,17.67,18.17,6230
2020-03-23,17.79,18.14,16.96,17.26,15240
2020-03-24,17.26,17.49,17.26,17.46,10600
2020-03-25,17.46,18.02,17.46,17.84,23340
2020-03-26,17.67,18.02,17.61,18.02,6150
2020-03-27,17.67,18.08,17.02,17.61,14600
2020-03-30,17.32,17.32,16.44,17.02,8180
2020-03-31,17.02,17.61,16.32,16.44,34830
2020-04-01,16.73,17.32,16.2,16.61,11900
2020-04-03,17.02,17.02,16.44,16.73,48080
2020-04-06,16.79,17.82,16.73,17.82,15180
2020-04-07,17.82,17.82,17.32,17.73,17840
2020-04-08,17.38,17.73,17.02,17.67,22170
2020-04-09,17.61,17.9,17.43,17.73,15110
2020-04-10,17.73,17.87,17.32,17.79,16850
2020-04-13,17.79,18.49,17.79,18.2,22290
2020-04-14,18.2,18.28,17.9,18.2,15020
2020-04-15,18.14,18.78,18.14,18.76,18970
2020-04-16,18.93,18.93,18.2,18.64,11900
2020-04-17,18.58,19.14,18.58,19.14,26510
2020-04-20,19.37,19.49,19.14,19.49,20390
2020-04-21,19.49,19.49,18.49,19.08,25820
2020-04-22,18.23,18.99,18.23,18.96,11640
2020-04-23,19.28,19.49,18.93,19.37,10910
2020-04-24,19.37,19.49,19.08,19.31,12860
2020-04-27,19.31,19.37,19.2,19.37,21100
2020-04-28,19.55,19.55,18.96,19.43,12800
2020-04-29,19.49,20.54,19.49,20.22,37990
2020-05-04,20.31,20.31,19.78,19.78,35150
2020-05-05,19.61,20.19,19.61,19.78,7590
2020-05-06,19.96,20.69,19.78,20.66,29710
2020-05-07,19.72,20.66,19.72,20.6,6610
2020-05-08,20.6,20.66,19.93,19.93,12480
2020-05-11,19.96,20.34,19.66,20.31,20530
2020-05-12,20.25,20.31,19.9,20.25,49780
2020-05-13,20.19,20.31,19.84,20.31,29500
2020-05-14,20.31,20.31,19.75,20.31,39320
2020-05-15,20.13,20.25,19.72,20.19,29090
2020-05-18,19.84,20.22,19.61,19.96,20630
2020-05-19,19.96,20.08,19.9,20.08,44630
2020-05-20,19.81,20.08,19.61,20.02,16920
2020-05-21,19.69,19.96,19.69,19.96,6230
2020-05-22,19.96,20.02,19.72,19.96,11400
2020-05-25,19.96,20.1,19.84,20.1,17530
2020-05-26,20.13,20.69,20.13,20.66,29230
2020-05-27,21.13,21.13,20.25,20.72,24530
2020-05-28,20.66,20.69,20.37,20.54,12690
2020-05-29,20.43,20.54,20.37,20.37,9220
2020-06-01,20.37,20.37,19.99,20.34,10800
2020-06-02,20.34,20.34,20.08,20.31,14340
2020-06-03,20.05,20.31,20.02,20.28,4430
2020-06-04,20.28,20.28,20.16,20.16,6230
2020-06-05,20.19,20.31,20.19,20.31,8700
2020-06-08,20.37,20.69,20.25,20.54,38410
2020-06-09,20.54,20.54,19.99,20.49,6150
2020-06-10,20.25,20.49,20.22,20.31,3270
2020-06-11,20.54,20.54,20.13,20.16,18150
2020-06-12,19.96,19.96,19.49,19.66,28540
2020-06-15,19.66,20.25,19.55,19.55,21370
2020-06-16,19.66,20.19,19.66,19.96,5820
2020-06-17,19.96,20.02,19.75,19.96,10520
2020-06-18,19.81,19.96,19.81,19.96,1920
2020-06-19,19.96,20.25,19.96,20.13,8710
2020-06-22,20.19,20.19,20.08,20.19,13450
2020-06-23,20.19,20.19,20.05,20.19,9800
2020-06-24,20.19,20.19,20.13,20.13,7350
2020-06-25,19.96,20.19,19.96,20.05,5660
2020-06-26,20.05,20.08,19.99,20.02,9720
2020-06-29,20.02,20.02,19.72,19.72,16710
2020-06-30,20.25,20.25,19.66,19.84,8150
2020-07-01,19.78,20.13,19.78,20.13,4210
2020-07-02,20.13,20.13,19.99,19.99,9880
2020-07-03,19.99,20.13,19.99,20.13,9210
2020-07-06,20.13,20.19,20.08,20.13,11300
2020-07-07,20.13,21.42,20.13,21.42,15880
2020-07-08,20.54,20.66,20.37,20.66,3290
2020-07-09,21.13,21.13,20.69,20.72,2430
2020-07-10,21.02,21.02,20.43,20.78,3590
2020-07-13,20.78,21.1,20.54,20.72,4900
2020-07-14,20.72,20.93,20.72,20.84,7700
2020-07-15,20.84,21.13,20.25,20.84,5530
2020-07-16,20.75,20.9,20.66,20.9,6580
2020-07-17,21.02,21.02,20.84,20.9,670
2020-07-20,20.84,20.84,20.6,20.84,1970
2020-07-21,22.1,22.1,21.48,21.81,42230
2020-07-22,21.81,21.92,21.72,21.84,18260
2020-07-23,21.84,21.92,21.63,21.84,23560
2020-07-24,21.84,21.84,21.13,21.13,11950
2020-07-27,20.54,21.48,20.02,20.31,33160
2020-07-28,20.31,21.42,20.31,21.42,12890
2020-07-29,21.13,21.13,20.54,20.96,16670
2020-07-30,20.84,21.37,20.84,21.25,14610
2020-07-31,20.72,21.13,20.72,21.02,14330
2020-08-03,21.25,21.87,21.13,21.87,62710
2020-08-04,22.07,22.36,22.07,22.07,59730
2020-08-05,23.52,23.52,22.7,23.02,34850
2020-08-06,22.7,23.27,22.39,22.89,22100
2020-08-07,22.76,22.92,22.39,22.83,13950
2020-08-10,22.39,22.64,22.01,22.32,42690
2020-08-11,22.1,22.61,22.04,22.13,27670
2020-08-12,22.17,22.32,22.13,22.26,20390
2020-08-13,22.26,22.32,22.04,22.26,25830
2020-08-14,22.7,22.73,22.1,22.39,38310
2020-08-17,22.45,22.64,22.2,22.45,11360
2020-08-18,22.57,23.58,22.57,23.52,43490
2020-08-19,23.55,23.55,23.14,23.24,35690
2020-08-20,23.24,23.39,23.2,23.36,44660
2020-08-21,23.33,23.49,23.24,23.36,21360
2020-08-24,23.83,23.83,23.27,23.52,65100
2020-08-25,23.58,23.58,23.39,23.52,28240
2020-08-26,23.52,23.64,23.52,23.55,16600
2020-08-27,23.58,23.71,23.55,23.64,31860
2020-08-28,23.64,24.21,23.64,24.08,55050
2020-08-31,24.08,24.34,24.08,24.21,28910
2020-09-01,24.52,24.65,24.27,24.4,28980
2020-09-03,24.71,24.71,23.9,24.4,12300
2020-09-04,23.08,24.27,23.08,24.08,8100
2020-09-07,24.15,24.52,23.77,23.77,39800
2020-09-08,23.9,23.9,23.8,23.83,6440
2020-09-09,23.83,24.34,23.77,24.34,34180
2020-09-10,24.4,24.65,24.21,24.21,35200
2020-09-11,24.21,25.12,24.21,25.12,70760
2020-09-14,25.31,25.47,25.12,25.44,19380
2020-09-15,25.78,25.78,24.84,25.4,30920
2020-09-16,25.72,26.22,25.12,26.1,86600
2020-09-17,26.38,26.41,25.88,26.38,33320
2020-09-18,26.41,26.72,26.1,26.16,16340
2020-09-21,26.19,26.41,26.06,26.1,35830
2020-09-22,26.06,26.06,25.94,25.97,28490
2020-09-23,25.94,26.16,25.91,25.91,29570
2020-09-24,25.91,25.91,25.84,25.88,17820
2020-09-25,26.1,26.1,25.78,25.91,33100
2020-09-28,26.03,26.03,25.84,25.84,11220
2020-09-29,25.84,26.16,25.84,25.91,21310
2020-09-30,25.91,25.97,25.88,25.97,31800
2020-10-01,26.1,27.67,25.97,26.44,82620
2020-10-02,27.64,27.64,26.47,27.29,17510
2020-10-05,27.64,28.3,27.64,27.67,23130
2020-10-06,27.67,29.59,27.67,29.43,105860
2020-10-07,30.18,31.13,29.49,30.5,61570
2020-10-08,30.69,30.81,28.61,29.46,132290
2020-10-09,29.49,29.55,28.92,29.43,30680
2020-10-12,29.43,30.18,29.11,29.24,42370
2020-10-13,29.11,29.3,28.3,28.36,37760
2020-10-14,28.36,29.37,28.36,29.24,42960
2020-10-15,29.24,29.24,28.67,29.18,27890
2020-10-16,29.18,29.18,28.67,28.92,21480
2020-10-19,28.92,28.92,28.67,28.8,8530
2020-10-20,29.52,29.55,28.74,28.89,3630
2020-10-21,28.8,29.21,28.14,28.89,28160
2020-10-22,28.14,28.74,28.14,28.36,31600
2020-10-23,28.36,29.24,28.14,29.18,16180
2020-10-26,29.11,29.18,28.3,28.45,5050
2020-10-27,28.42,28.92,28.42,28.61,4410
2020-10-28,28.42,28.92,26.79,28.42,14150
2020-10-29,27.35,28.23,27.35,27.6,20620
2020-10-30,27.6,29.21,27.42,27.57,15910
2020-11-02,28.92,28.92,27.67,28.3,3010
2020-11-03,28.83,28.83,28.3,28.83,9220
2020-11-04,28.83,29.24,28.61,29.18,16730
2020-11-05,29.43,29.43,28.8,28.8,10890
2020-11-06,28.8,28.92,28.74,28.8,9070
2020-11-09,28.77,29.37,28.77,29.05,5430
2020-11-10,29.05,29.08,28.67,28.67,31970
2020-11-11,29.18,29.18,28.74,28.92,2150
2020-11-12,28.74,29.18,28.74,29.11,5400
2020-11-13,29.11,30.15,28.61,28.8,40990
2020-11-16,28.8,30.18,28.8,29.81,27930
2020-11-17,30.5,30.5,29.87,30.18,23410
2020-11-18,30.06,30.37,29.87,30.06,34890
2020-11-19,30.06,30.06,29.68,29.81,13510
2020-11-20,29.93,29.93,29.55,29.55,21820
2020-11-23,29.87,29.87,29.55,29.74,32860
2020-11-24,29.74,29.74,29.55,29.68,20930
2020-11-25,29.74,29.87,29.55,29.68,21170
2020-11-26,29.68,29.68,29.43,29.68,23110
2020-11-27,29.55,29.87,29.55,29.74,15420
2020-11-30,29.74,29.93,29.68,29.87,64120
2020-12-01,29.81,30.06,29.68,30.06,31970
2020-12-02,31.13,31.88,30.81,31.5,70050
2020-12-03,31.5,32.38,30.72,30.72,66660
2020-12-04,30.69,30.81,30.5,30.69,47540
2020-12-07,30.56,30.56,29.24,29.33,244710
2020-12-08,29.3,29.33,28.86,29.05,198490
2020-12-09,29.52,29.55,29.24,29.49,14700
2020-12-10,29.27,29.49,29.15,29.15,56580
2020-12-11,29.24,29.24,28.8,29.02,122590
2020-12-14,29.05,29.05,28.8,28.86,72210
2020-12-15,28.8,28.8,28.55,28.55,75540
2020-12-16,28.55,28.99,28.55,28.92,42580
2020-12-17,28.92,28.92,28.67,28.74,30780
2020-12-18,28.74,28.92,28.61,28.86,42850
2020-12-21,28.92,29.15,28.92,29.08,35890
2020-12-22,29.08,29.15,28.86,29.05,59300
2020-12-23,29.02,29.02,28.7,28.77,71480
2020-12-24,28.86,28.99,28.55,28.92,55380
2020-12-25,28.92,28.99,28.8,28.99,24200
2020-12-28,29.24,29.24,28.61,28.61,161130
2020-12-29,28.61,28.92,28.61,28.77,34380
2020-12-30,28.86,28.86,28.67,28.77,26510
2020-12-31,28.77,29.43,28.74,29.43,36030
2021-01-04,29.49,29.74,29.4,29.52,103900
2021-01-05,29.93,29.93,29.18,29.24,49300
2021-01-06,29.55,29.55,28.83,29.05,58200
2021-01-07,28.92,28.92,28.77,28.92,86500
2021-01-08,28.92,29.24,28.83,29.08,45600
2021-01-11,29.43,29.81,29.24,29.49,254700
2021-01-12,29.99,30.75,29.81,30.75,547300
2021-01-13,31.06,32.38,30.88,31.57,174800
2021-01-14,31.57,31.76,30.88,31.44,121800
2021-01-15,31.44,31.44,31.03,31.1,171500
2021-01-18,31.03,31.03,30.62,30.69,170000
2021-01-19,30.81,31.1,29.81,29.81,124100
