time,open,high,low,close,volume
2025-07-21,12.0,12.1,12.0,12.0,7000
2025-07-22,13.8,13.8,13.8,13.8,100
2025-07-23,11.8,11.8,11.8,11.8,2000
2025-07-24,10.5,12.0,10.5,11.8,20500
2025-07-25,11.4,11.9,9.8,11.9,5800
2025-07-28,10.0,10.0,10.0,10.0,6000
2025-07-29,10.0,10.0,10.0,10.0,0
2025-07-30,10.5,10.5,10.5,10.5,5000
2025-07-31,10.4,10.4,10.0,10.0,300
2025-08-01,8.9,8.9,8.8,8.9,900
2025-08-04,8.9,8.9,7.9,8.1,2000
2025-08-05,7.5,7.7,7.3,7.5,2100
2025-08-06,8.5,8.6,8.5,8.6,700
2025-08-07,8.6,8.6,8.6,8.6,800
2025-08-08,8.6,8.6,8.6,8.6,0
2025-08-11,8.6,8.6,8.6,8.6,1100
2025-08-12,9.8,9.8,9.8,9.8,800
2025-08-13,9.8,9.8,9.8,9.8,0
2025-08-14,9.8,9.8,9.8,9.8,0
2025-08-15,9.8,9.8,9.8,9.8,0
2025-08-18,9.7,9.7,9.7,9.7,200
2025-08-19,9.7,9.7,9.7,9.7,0
2025-08-20,9.7,9.7,9.7,9.7,0
2025-08-21,9.7,9.7,9.7,9.7,0
2025-08-22,9.7,9.7,9.7,9.7,0
2025-08-25,9.7,9.7,9.7,9.7,100
2025-08-26,9.7,9.7,9.7,9.7,0
2025-08-27,9.7,9.7,9.7,9.7,100
2025-08-28,9.7,9.7,9.7,9.7,600
2025-08-29,9.7,9.7,9.7,9.7,200
2025-09-03,9.7,9.7,9.7,9.7,0
2025-09-04,9.7,9.7,9.7,9.7,100
2025-09-05,9.6,10.1,9.6,10.1,600
2025-09-08,9.7,9.7,9.7,9.7,0
2025-09-09,9.7,9.7,9.7,9.7,0
2025-09-10,8.5,8.5,8.5,8.5,100
2025-09-11,9.7,9.7,9.7,9.7,400
2025-09-12,9.7,9.7,9.7,9.7,0
2025-09-15,9.7,9.7,9.7,9.7,0
2025-09-16,9.7,9.7,9.7,9.7,0
2025-09-17,9.7,9.7,9.7,9.7,0
2025-09-18,9.7,9.7,9.7,9.7,0
2025-09-19,9.7,9.7,9.7,9.7,0
2025-09-22,9.7,9.7,9.7,9.7,0
2025-09-23,9.7,9.7,9.7,9.7,0
2025-09-24,9.0,10.8,9.0,10.8,500
2025-09-25,8.4,8.4,8.4,8.4,100
2025-09-26,8.0,8.0,8.0,8.0,300
2025-09-29,8.0,8.0,8.0,8.0,0
2025-09-30,7.0,7.0,7.0,7.0,100
2025-10-01,7.0,7.0,7.0,7.0,0
2025-10-02,8.0,8.0,6.5,6.5,300
2025-10-03,7.0,7.0,7.0,7.0,0
2025-10-06,7.0,7.0,7.0,7.0,0
2025-10-07,7.0,7.0,7.0,7.0,0
2025-10-08,7.0,7.0,7.0,7.0,0
2025-10-09,7.0,7.0,7.0,7.0,0
2025-10-10,7.0,7.0,7.0,7.0,0
2025-10-13,7.0,7.0,7.0,7.0,0
2025-10-14,6.1,6.1,6.1,6.1,1300
2025-10-15,6.1,6.1,6.1,6.1,0
2025-10-16,6.1,6.1,6.1,6.1,0
2025-10-17,6.1,6.1,6.1,6.1,0
2025-10-20,6.1,6.1,6.1,6.1,0
2025-10-21,6.1,6.1,6.1,6.1,0
2025-10-22,6.1,6.1,6.1,6.1,0
2025-10-23,6.1,6.1,6.1,6.1,0
