time,open,high,low,close,volume
2021-12-22,17.2,17.2,17.2,17.2,0
2021-12-23,17.2,17.2,17.2,17.2,0
2021-12-24,17.2,17.2,17.2,17.2,0
2021-12-27,24.0,24.0,18.3,18.3,13000
2021-12-28,19.5,19.5,19.5,19.5,0
2021-12-29,19.5,19.5,19.5,19.5,0
2021-12-30,22.3,22.4,22.3,22.4,1300
2021-12-31,25.5,25.6,25.5,25.6,1200
2021-12-31,25.5,25.6,25.5,25.6,1200
2022-01-04,29.4,29.4,25.9,29.4,4100
2022-01-05,33.5,33.5,33.5,33.5,2200
2022-01-06,33.5,33.5,33.5,33.5,0
2022-01-07,33.0,33.0,28.5,28.5,3400
2022-01-10,24.4,24.4,24.4,24.4,3700
2022-01-11,20.8,25.0,20.8,25.0,2800
2022-01-12,19.5,22.0,19.4,20.0,900
2022-01-13,23.0,23.0,23.0,23.0,100
2022-01-14,24.0,24.0,24.0,24.0,200
2022-01-17,26.4,26.4,26.4,26.4,100
2022-01-18,22.5,22.5,22.5,22.5,500
2022-01-19,23.9,23.9,19.2,19.2,1200
2022-01-20,20.0,20.0,20.0,20.0,100
2022-01-21,20.0,20.0,20.0,20.0,0
2022-01-24,17.0,17.0,17.0,17.0,100
2022-01-25,17.0,17.0,17.0,17.0,0
2022-01-26,17.0,17.0,17.0,17.0,300
2022-01-27,17.0,17.0,17.0,17.0,0
2022-01-28,14.5,19.3,14.5,19.3,900
2022-02-07,17.1,17.2,17.1,17.2,500
2022-02-08,17.2,17.2,17.2,17.2,300
2022-02-09,17.2,19.5,17.2,19.5,1900
2022-02-10,19.3,19.3,19.3,19.3,0
2022-02-11,19.3,19.3,19.3,19.3,200
2022-02-14,19.3,19.3,19.3,19.3,0
2022-02-15,19.3,19.3,19.3,19.3,0
2022-02-16,19.3,19.3,19.3,19.3,0
2022-02-17,19.3,19.3,19.3,19.3,0
2022-02-18,19.3,19.3,19.3,19.3,0
2022-02-21,19.3,19.3,19.3,19.3,0
2022-02-22,19.3,19.3,19.3,19.3,0
2022-02-23,17.5,17.5,17.5,17.5,100
2022-02-24,17.5,17.5,17.5,17.5,0
2022-02-25,15.1,15.1,15.1,15.1,100
2022-02-28,17.3,17.3,17.3,17.3,200
2022-03-01,17.3,17.3,17.3,17.3,0
2022-03-02,17.3,17.3,17.3,17.3,0
2022-03-03,19.7,19.7,19.6,19.7,700
2022-03-04,22.5,22.5,22.5,22.5,100
2022-03-07,22.3,22.3,22.3,22.3,500
2022-03-08,22.3,22.3,22.3,22.3,0
2022-03-09,22.3,22.3,22.3,22.3,0
2022-03-10,19.1,19.1,19.0,19.0,1000
2022-03-11,16.5,16.5,16.5,16.5,200
2022-03-14,16.9,16.9,16.8,16.8,200
2022-03-15,16.9,16.9,16.9,16.9,0
2022-03-16,16.9,16.9,16.9,16.9,0
2022-03-17,15.8,15.8,15.8,15.8,400
2022-03-18,15.1,15.1,15.0,15.0,3200
2022-03-21,15.1,15.1,15.1,15.1,0
2022-03-22,15.1,15.1,15.1,15.1,0
2022-03-23,15.0,15.5,15.0,15.5,600
2022-03-24,15.2,15.4,15.2,15.4,800
2022-03-25,15.4,15.4,15.4,15.4,100
2022-03-28,16.4,16.4,16.4,16.4,200
2022-03-29,16.4,16.4,16.4,16.4,0
2022-03-30,16.0,16.0,16.0,16.0,200
2022-03-31,16.0,16.0,16.0,16.0,400
2022-04-01,16.0,16.0,16.0,16.0,100
2022-04-04,16.0,16.0,16.0,16.0,0
2022-04-05,16.0,16.0,16.0,16.0,0
2022-04-06,16.0,16.0,16.0,16.0,100
2022-04-07,16.0,16.0,16.0,16.0,0
2022-04-08,16.0,16.0,16.0,16.0,0
2022-04-12,16.0,16.0,16.0,16.0,0
2022-04-13,16.0,16.0,16.0,16.0,200
2022-04-14,16.0,16.0,16.0,16.0,0
2022-04-15,16.0,16.0,16.0,16.0,0
2022-04-18,13.7,15.6,13.7,15.6,200
2022-04-19,14.7,14.7,14.7,14.7,0
2022-04-20,13.7,13.7,13.7,13.7,200
2022-04-21,13.7,13.7,13.7,13.7,0
2022-04-22,13.7,13.7,13.7,13.7,0
2022-04-25,14.0,14.0,14.0,14.0,100
2022-04-26,14.1,14.1,14.1,14.1,100
2022-04-27,14.1,14.1,14.1,14.1,0
2022-04-28,14.1,14.1,14.1,14.1,0
2022-04-29,14.1,14.1,14.1,14.1,0
2022-05-04,14.1,14.1,14.1,14.1,0
2022-05-05,14.1,14.1,14.1,14.1,0
2022-05-06,14.1,14.1,14.1,14.1,0
2022-05-09,14.1,14.1,14.1,14.1,0
2022-05-10,14.1,14.1,14.1,14.1,0
2022-05-11,14.1,14.1,14.1,14.1,0
2022-05-12,12.2,12.2,12.2,12.2,100
2022-05-13,12.2,12.2,12.2,12.2,0
2022-05-16,12.2,12.2,12.2,12.2,0
2022-05-17,12.2,12.2,12.2,12.2,0
2022-05-18,12.3,12.3,12.3,12.3,100
2022-05-19,12.3,12.3,12.3,12.3,0
2022-05-20,12.3,12.3,12.3,12.3,0
2022-05-23,12.3,12.3,12.3,12.3,0
2022-05-24,12.3,12.3,12.3,12.3,0
2022-05-25,12.3,12.3,12.3,12.3,0
2022-05-26,12.3,12.3,12.3,12.3,0
2022-05-27,12.3,12.3,12.3,12.3,0
2022-05-30,12.3,12.3,12.3,12.3,0
2022-05-31,13.7,13.7,13.7,13.7,100
2022-06-01,13.7,13.7,13.7,13.7,0
2022-06-02,13.7,13.7,13.7,13.7,0
2022-06-03,13.7,13.7,13.7,13.7,0
2022-06-06,13.7,13.7,13.7,13.7,0
2022-06-07,13.7,13.7,13.7,13.7,0
2022-06-08,13.7,13.7,13.7,13.7,0
2022-06-09,13.7,13.7,13.7,13.7,0
2022-06-10,13.7,13.7,13.7,13.7,0
2022-06-13,13.7,13.7,13.7,13.7,0
2022-06-14,13.7,13.7,13.7,13.7,0
2022-06-15,13.7,13.7,13.7,13.7,0
2022-06-16,13.7,13.7,13.7,13.7,0
2022-06-17,13.7,13.7,13.7,13.7,0
2022-06-20,13.7,13.7,13.7,13.7,0
2022-06-21,13.7,13.7,13.7,13.7,0
2022-06-22,13.7,13.7,13.7,13.7,0
2022-06-23,13.7,13.7,13.7,13.7,0
2022-06-24,13.7,13.7,13.7,13.7,0
2022-06-27,13.7,13.7,13.7,13.7,0
2022-06-28,11.7,11.8,11.7,11.8,900
2022-06-29,11.7,11.7,11.7,11.7,0
2022-06-30,11.7,11.7,11.7,11.7,0
2022-07-01,11.7,11.7,11.7,11.7,0
2022-07-04,11.7,11.7,11.7,11.7,0
2022-07-05,11.7,11.7,11.7,11.7,0
2022-07-06,11.7,11.7,11.7,11.7,0
2022-07-07,11.7,11.7,11.7,11.7,0
2022-07-08,11.7,11.7,11.7,11.7,0
2022-07-11,11.7,11.7,11.7,11.7,0
2022-07-12,11.7,11.7,11.7,11.7,0
2022-07-13,11.7,11.7,11.7,11.7,0
2022-07-14,11.7,11.7,11.7,11.7,0
2022-07-15,11.7,11.7,11.7,11.7,0
2022-07-18,11.7,11.7,11.7,11.7,0
2022-07-19,11.7,11.7,11.7,11.7,0
2022-07-20,11.7,11.7,11.7,11.7,0
2022-07-21,11.7,11.7,11.7,11.7,0
2022-07-22,11.7,11.7,11.7,11.7,0
2022-07-25,11.7,11.7,11.7,11.7,0
2022-07-26,11.7,11.7,11.7,11.7,0
2022-07-27,11.7,11.7,11.7,11.7,0
2022-07-28,11.7,11.7,11.7,11.7,0
2022-07-29,11.7,11.7,11.7,11.7,0
2022-08-01,11.7,11.7,11.7,11.7,0
2022-08-02,11.7,11.7,11.7,11.7,0
2022-08-03,11.7,11.7,11.7,11.7,0
2022-08-04,11.7,11.7,11.7,11.7,0
2022-08-05,11.7,11.7,11.7,11.7,0
2022-08-08,11.7,11.7,11.7,11.7,0
2022-08-09,11.7,11.7,11.7,11.7,0
2022-08-10,11.7,11.7,11.7,11.7,0
2022-08-11,11.7,11.7,11.7,11.7,0
2022-08-12,11.7,11.7,11.7,11.7,0
2022-08-15,11.7,11.7,11.7,11.7,0
2022-08-16,11.7,11.7,11.7,11.7,0
2022-08-17,11.7,11.7,11.7,11.7,0
2022-08-18,10.1,10.1,10.1,10.1,100
2022-08-19,10.1,10.1,10.1,10.1,0
2022-08-22,10.1,10.1,10.1,10.1,0
2022-08-23,10.1,10.1,10.1,10.1,0
2022-08-24,10.1,10.1,10.1,10.1,0
2022-08-25,10.1,10.1,10.1,10.1,0
2022-08-26,10.1,10.1,10.1,10.1,0
2022-08-29,8.7,9.1,8.7,9.1,500
2022-08-30,8.8,8.8,8.8,8.8,0
2022-08-31,10.1,10.1,10.1,10.1,300
2022-09-05,10.1,10.1,10.1,10.1,200
2022-09-06,10.1,10.1,10.1,10.1,0
2022-09-07,10.1,10.1,10.1,10.1,0
2022-09-08,10.1,10.1,10.1,10.1,0
2022-09-09,10.1,10.1,10.1,10.1,0
2022-09-12,8.6,8.6,8.6,8.6,200
2022-09-13,8.6,8.6,8.6,8.6,0
2022-09-14,8.6,8.6,8.6,8.6,0
2022-09-15,9.8,9.8,9.8,9.8,700
2022-09-16,11.2,11.2,11.2,11.2,800
2022-09-19,12.8,12.8,12.8,12.8,800
2022-09-20,14.7,14.7,14.7,14.7,400
2022-09-21,16.9,16.9,16.9,16.9,400
2022-09-22,19.4,19.4,16.9,16.9,2000
2022-09-23,18.2,18.2,18.2,18.2,0
2022-09-26,18.2,18.2,18.2,18.2,0
2022-09-27,18.2,18.2,18.2,18.2,0
2022-09-28,18.2,18.2,18.2,18.2,0
2022-09-29,18.2,18.2,18.2,18.2,0
2022-09-30,18.2,18.2,18.2,18.2,0
2022-10-03,18.2,18.2,18.2,18.2,0
2022-10-04,18.2,18.2,18.2,18.2,0
2022-10-05,18.2,18.2,18.2,18.2,0
2022-10-06,18.2,18.2,18.2,18.2,0
2022-10-07,18.2,18.2,18.2,18.2,0
2022-10-10,18.2,18.2,18.2,18.2,0
2022-10-11,18.2,18.2,18.2,18.2,0
2022-10-12,18.2,18.2,18.2,18.2,0
2022-10-13,18.2,18.2,18.2,18.2,0
2022-10-14,18.2,18.2,18.2,18.2,0
2022-10-17,18.2,18.2,18.2,18.2,0
2022-10-18,18.2,18.2,18.2,18.2,0
2022-10-19,18.2,18.2,18.2,18.2,0
2022-10-20,18.2,18.2,18.2,18.2,0
2022-10-21,18.2,18.2,18.2,18.2,0
2022-10-24,18.2,18.2,18.2,18.2,0
2022-10-25,18.2,18.2,18.2,18.2,0
2022-10-26,18.2,18.2,18.2,18.2,0
2022-10-27,18.2,18.2,18.2,18.2,0
2022-10-28,18.2,18.2,18.2,18.2,0
2022-10-31,18.2,18.2,18.2,18.2,0
2022-11-01,18.1,18.1,18.1,18.1,100
2022-11-02,18.1,18.1,18.1,18.1,0
2022-11-03,18.1,18.1,18.1,18.1,0
2022-11-04,18.1,18.1,18.1,18.1,0
2022-11-07,18.1,18.1,18.1,18.1,0
2022-11-08,18.1,18.1,18.1,18.1,0
2022-11-09,18.1,18.1,18.1,18.1,0
2022-11-10,18.1,18.1,18.1,18.1,0
2022-11-11,18.1,18.1,18.1,18.1,0
2022-11-14,18.1,18.1,18.1,18.1,0
2022-11-15,18.1,18.1,18.1,18.1,0
2022-11-16,18.1,18.1,18.1,18.1,0
2022-11-17,18.1,18.1,18.1,18.1,0
2022-11-18,18.1,18.1,18.1,18.1,0
2022-11-21,18.1,18.1,18.1,18.1,0
2022-11-22,18.1,18.1,18.1,18.1,0
2022-11-23,18.1,18.1,18.1,18.1,0
2022-11-24,18.1,18.1,18.1,18.1,0
2022-11-25,18.1,18.1,18.1,18.1,0
2022-11-28,18.1,18.1,18.1,18.1,0
2022-11-29,18.1,18.1,18.1,18.1,0
2022-11-30,18.1,18.1,18.1,18.1,0
2022-12-01,18.1,18.1,18.1,18.1,0
2022-12-02,18.1,18.1,18.1,18.1,0
2022-12-05,18.1,18.1,18.1,18.1,0
2022-12-06,18.1,18.1,18.1,18.1,0
2022-12-07,18.1,18.1,18.1,18.1,0
2022-12-08,18.1,18.1,18.1,18.1,0
2022-12-09,15.4,15.4,15.4,15.4,100
2022-12-12,15.4,15.4,15.4,15.4,0
2022-12-13,15.4,15.4,15.4,15.4,0
2022-12-14,15.4,15.4,15.4,15.4,0
2022-12-15,15.4,15.4,15.4,15.4,0
2022-12-16,13.1,13.1,13.1,13.1,100
2022-12-19,13.1,13.1,13.1,13.1,0
2022-12-20,13.1,13.1,13.1,13.1,0
2022-12-21,13.1,13.1,13.1,13.1,0
2022-12-22,13.1,13.1,13.1,13.1,0
2022-12-23,13.1,13.1,13.1,13.1,0
2022-12-26,14.9,14.9,14.9,14.9,100
2022-12-27,14.9,14.9,14.9,14.9,0
2022-12-28,14.9,14.9,14.9,14.9,0
2022-12-29,14.9,14.9,14.9,14.9,0
2022-12-30,14.9,14.9,14.9,14.9,0
2022-12-30,14.9,14.9,14.9,14.9,0
2023-01-03,14.9,14.9,14.9,14.9,0
2023-01-04,14.9,14.9,14.9,14.9,0
2023-01-05,14.9,14.9,14.9,14.9,0
2023-01-06,14.9,14.9,14.9,14.9,0
2023-01-09,14.9,14.9,14.9,14.9,0
2023-01-10,14.9,14.9,14.9,14.9,0
2023-01-11,12.7,12.7,12.7,12.7,300
2023-01-12,10.8,10.8,10.8,10.8,200
2023-01-13,10.8,10.8,10.8,10.8,100
2023-01-16,9.2,9.2,9.2,9.2,200
2023-01-17,9.2,9.2,9.2,9.2,0
2023-01-18,9.2,9.2,9.2,9.2,0
2023-01-19,9.2,9.2,9.2,9.2,0
2023-01-27,7.9,7.9,7.9,7.9,200
2023-01-30,7.9,7.9,7.9,7.9,0
2023-01-31,7.9,7.9,7.9,7.9,100
2023-02-01,9.0,9.0,9.0,9.0,200
2023-02-02,9.0,9.0,9.0,9.0,0
2023-02-03,9.0,9.0,9.0,9.0,0
2023-02-06,9.0,9.0,9.0,9.0,0
2023-02-07,9.0,9.0,9.0,9.0,0
2023-02-08,9.0,9.0,9.0,9.0,0
2023-02-09,9.0,9.0,9.0,9.0,100
2023-02-10,9.0,9.0,9.0,9.0,0
2023-02-13,9.0,9.0,9.0,9.0,0
2023-02-14,9.0,9.0,9.0,9.0,0
2023-02-15,9.0,9.0,9.0,9.0,0
2023-02-16,9.0,9.0,9.0,9.0,0
2023-02-17,9.0,9.0,9.0,9.0,0
2023-02-20,9.0,9.0,9.0,9.0,0
2023-02-21,9.0,9.0,9.0,9.0,0
2023-02-22,9.0,9.0,9.0,9.0,0
2023-02-23,9.0,9.0,9.0,9.0,0
2023-02-24,9.0,9.0,9.0,9.0,0
2023-02-27,9.0,9.0,9.0,9.0,0
2023-02-28,9.0,9.0,9.0,9.0,0
2023-03-01,7.7,7.7,7.7,7.7,100
2023-03-02,8.8,8.8,8.8,8.8,100
2023-03-03,9.0,9.0,9.0,9.0,200
2023-03-06,9.0,9.0,9.0,9.0,0
2023-03-07,9.0,9.0,9.0,9.0,0
2023-03-08,9.1,9.1,9.1,9.1,300
2023-03-09,9.1,9.1,9.1,9.1,0
2023-03-10,9.1,9.1,9.1,9.1,0
2023-03-13,9.1,9.1,9.1,9.1,0
2023-03-14,9.1,9.1,9.1,9.1,0
2023-03-15,9.1,9.1,9.1,9.1,0
2023-03-16,9.1,9.1,9.1,9.1,0
2023-03-17,9.1,9.1,9.1,9.1,0
2023-03-20,9.1,9.1,9.1,9.1,0
2023-03-21,10.4,10.4,10.4,10.4,100
2023-03-22,10.4,10.4,10.4,10.4,0
2023-03-23,10.4,10.4,10.4,10.4,0
2023-03-24,11.9,11.9,11.9,11.9,100
2023-03-27,11.9,11.9,11.9,11.9,0
2023-03-28,11.9,11.9,11.9,11.9,0
2023-03-29,11.9,11.9,11.9,11.9,0
2023-03-30,11.9,11.9,11.9,11.9,0
2023-03-31,11.9,11.9,11.9,11.9,0
2023-04-03,11.9,11.9,11.9,11.9,0
2023-04-04,11.9,11.9,11.9,11.9,0
2023-04-05,11.9,11.9,11.9,11.9,0
2023-04-06,11.9,11.9,11.9,11.9,0
2023-04-07,11.9,11.9,11.9,11.9,0
2023-04-10,11.9,11.9,11.9,11.9,0
2023-04-11,11.9,11.9,11.9,11.9,0
2023-04-12,11.9,11.9,11.9,11.9,0
2023-04-13,11.9,11.9,11.9,11.9,0
2023-04-14,11.9,11.9,11.9,11.9,0
2023-04-17,11.9,11.9,11.9,11.9,0
2023-04-18,13.0,13.0,13.0,13.0,100
2023-04-19,13.0,13.0,13.0,13.0,0
2023-04-20,13.0,13.0,13.0,13.0,0
2023-04-21,13.0,13.0,13.0,13.0,0
2023-04-24,13.0,13.0,13.0,13.0,0
2023-04-25,13.0,13.0,13.0,13.0,0
2023-04-26,13.0,13.0,13.0,13.0,0
2023-04-27,13.9,13.9,13.9,13.9,100
2023-04-28,13.9,13.9,13.9,13.9,0
2023-05-04,13.9,13.9,13.9,13.9,0
2023-05-05,13.9,13.9,13.9,13.9,0
2023-05-08,13.9,13.9,13.9,13.9,0
2023-05-09,13.9,13.9,13.9,13.9,0
2023-05-10,13.9,13.9,13.9,13.9,0
2023-05-11,13.9,13.9,13.9,13.9,0
2023-05-12,13.9,13.9,13.9,13.9,0
2023-05-15,13.9,13.9,13.9,13.9,0
2023-05-16,13.9,13.9,13.9,13.9,0
