time,open,high,low,close,volume
2020-01-06,9.32,9.45,9.18,9.25,1016310
2020-01-07,9.25,9.42,9.25,9.38,754450
2020-01-08,9.25,9.28,8.94,8.98,1847430
2020-01-09,9.18,9.25,9.11,9.15,1716210
2020-01-10,9.15,9.18,9.01,9.05,752260
2020-01-13,9.05,9.25,9.05,9.15,562450
2020-01-14,9.15,9.25,8.98,9.01,1168130
2020-01-15,9.05,9.11,9.01,9.05,460760
2020-01-16,9.05,9.15,8.94,8.98,760470
2020-01-17,9.05,9.05,8.71,8.78,1474240
2020-01-20,8.78,8.98,8.68,8.71,885570
2020-01-21,8.71,8.78,8.57,8.68,1620230
2020-01-22,8.68,8.84,8.68,8.81,986700
2020-01-30,8.64,8.64,8.34,8.37,2769860
2020-01-31,8.37,8.44,7.8,7.8,2915700
2020-02-03,7.43,7.63,7.26,7.32,5598760
2020-02-04,7.39,7.63,7.12,7.22,4152840
2020-02-05,7.26,7.56,7.26,7.36,7330590
2020-02-06,7.6,7.86,7.49,7.86,2480480
2020-02-07,8.1,8.4,8.0,8.4,4683240
2020-02-10,8.17,8.57,8.1,8.34,3611090
2020-02-11,8.34,8.61,8.27,8.54,2036700
2020-02-12,8.57,8.71,8.44,8.64,2159340
2020-02-13,8.64,8.64,8.4,8.57,1300890
2020-02-14,8.54,8.91,8.51,8.81,1638000
2020-02-17,8.78,8.88,8.57,8.61,1104430
2020-02-18,8.61,8.74,8.34,8.57,1225460
2020-02-19,8.54,8.57,8.27,8.3,1282440
2020-02-20,8.44,8.47,8.27,8.37,1312980
2020-02-21,8.37,8.71,8.37,8.57,1792460
2020-02-24,8.03,8.34,8.0,8.0,2358620
2020-02-25,7.63,8.24,7.63,8.17,1584590
2020-02-26,7.97,8.24,7.97,8.1,1261660
2020-02-27,8.03,8.27,7.93,8.24,1525470
2020-02-28,8.0,8.14,7.97,8.0,1148530
2020-03-02,8.1,8.1,7.97,8.0,915620
2020-03-03,8.17,8.44,8.07,8.44,1962140
2020-03-04,8.37,8.84,8.34,8.74,3447470
2020-03-05,8.91,8.98,8.68,8.68,1661480
2020-03-06,8.57,9.25,8.51,9.25,4826760
2020-03-09,8.64,8.91,8.61,8.61,3750780
2020-03-10,8.27,8.68,8.1,8.51,2503550
2020-03-11,8.57,8.64,7.93,7.97,4024740
2020-03-12,7.43,7.56,7.43,7.43,3872830
2020-03-13,6.92,7.49,6.92,7.43,3448410
2020-03-16,7.43,7.56,6.99,7.19,1652890
2020-03-17,6.85,7.53,6.82,7.49,1503100
2020-03-18,7.63,7.63,7.26,7.36,1493770
2020-03-19,7.22,7.22,6.95,7.19,2166850
2020-03-20,7.12,7.19,6.92,7.06,1200570
2020-03-23,6.82,6.82,6.56,6.56,3637850
2020-03-24,6.48,6.57,6.24,6.35,1534020
2020-03-25,6.62,6.65,6.48,6.62,1282610
2020-03-26,6.55,6.55,6.31,6.35,935090
2020-03-27,6.35,6.41,6.04,6.04,1963340
2020-03-30,5.76,5.81,5.62,5.62,429980
2020-03-31,5.33,5.62,5.23,5.23,3790910
2020-04-01,4.87,5.39,4.87,5.25,2405020
2020-04-03,5.44,5.61,5.4,5.61,1613750
2020-04-06,5.98,6.0,5.63,6.0,2477300
2020-04-07,6.01,6.14,5.81,5.89,2278480
2020-04-08,5.67,6.21,5.55,6.14,1438980
2020-04-09,6.35,6.41,6.17,6.19,2446980
2020-04-10,6.11,6.28,6.1,6.1,1531360
2020-04-13,6.08,6.24,6.08,6.11,1323360
2020-04-14,6.11,6.2,5.86,6.04,1768620
2020-04-15,6.09,6.38,6.08,6.35,4435250
2020-04-16,6.35,6.35,6.15,6.24,4792030
2020-04-17,6.35,6.68,6.26,6.68,5622480
2020-04-20,6.95,7.12,6.85,7.12,5850230
2020-04-21,6.89,7.19,6.63,6.63,6581580
2020-04-22,6.31,6.72,6.25,6.58,3015770
2020-04-23,6.75,6.85,6.45,6.45,3163420
2020-04-24,6.45,6.55,6.35,6.45,2073290
2020-04-27,6.51,6.64,6.45,6.58,3443940
2020-04-28,6.63,6.85,6.58,6.72,3231250
2020-04-29,6.75,6.78,6.56,6.68,1700850
2020-05-04,6.52,6.52,6.31,6.31,3433520
2020-05-05,6.35,6.41,6.18,6.35,2413260
2020-05-06,6.35,6.47,6.32,6.41,1936520
2020-05-07,6.48,6.61,6.46,6.56,2215250
2020-05-08,6.6,6.89,6.56,6.6,3773140
2020-05-11,6.74,6.92,6.7,6.89,3206100
2020-05-12,6.89,7.12,6.74,7.02,4155510
2020-05-13,6.95,7.49,6.85,7.39,6033090
2020-05-14,7.32,7.6,7.19,7.43,3325670
2020-05-15,7.46,7.46,7.12,7.16,3059930
2020-05-18,7.16,7.26,6.95,7.16,3536330
2020-05-19,7.32,7.56,7.22,7.43,5133620
2020-05-20,7.36,7.49,7.26,7.36,2829310
2020-05-21,7.36,7.83,7.36,7.7,5877420
2020-05-22,7.76,7.8,7.43,7.49,4647070
2020-05-25,7.49,7.66,7.39,7.63,2928850
2020-05-26,7.63,7.83,7.6,7.8,4142750
2020-05-27,7.86,7.86,7.53,7.53,4709960
2020-05-28,7.56,7.8,7.46,7.63,4669830
2020-05-29,7.6,7.63,7.53,7.63,2691620
2020-06-01,7.73,7.8,7.63,7.66,4008630
2020-06-02,7.73,7.93,7.66,7.7,4904190
2020-06-03,7.73,7.86,7.66,7.83,2993870
2020-06-04,7.9,8.2,7.9,8.03,5967690
2020-06-05,8.03,8.1,7.9,8.1,2954610
2020-06-08,8.3,8.44,8.24,8.37,5098320
2020-06-09,8.4,8.44,8.24,8.27,4151720
2020-06-10,8.24,8.34,7.9,8.24,4746980
2020-06-11,8.17,8.81,7.8,7.8,10571010
2020-06-12,7.43,8.1,7.43,8.1,4571130
2020-06-15,8.44,8.44,7.8,7.9,5548940
2020-06-16,8.07,8.3,8.03,8.27,5277160
2020-06-17,8.3,8.37,8.03,8.1,3035560
2020-06-18,8.03,8.2,7.97,8.14,2007040
2020-06-19,8.17,8.61,8.17,8.57,7431150
2020-06-22,8.51,8.74,8.47,8.51,3918460
2020-06-23,8.47,8.68,8.4,8.54,4732200
2020-06-24,8.54,8.57,8.17,8.17,5056370
2020-06-25,8.03,8.3,7.97,8.2,4732980
2020-06-26,8.34,8.37,8.03,8.1,2600700
2020-06-29,7.86,8.07,7.6,7.63,4362820
2020-06-30,7.73,7.83,7.22,7.56,3477890
2020-07-01,7.49,7.9,7.43,7.9,2602810
2020-07-02,7.97,7.97,7.63,7.73,2103310
2020-07-03,7.76,7.76,7.6,7.76,2188290
2020-07-06,7.86,7.93,7.7,7.9,2941680
2020-07-07,7.93,7.97,7.76,7.76,3868060
2020-07-08,7.76,7.86,7.73,7.76,1765920
2020-07-09,7.8,7.9,7.73,7.83,1872260
2020-07-10,7.8,7.9,7.76,7.83,2449670
2020-07-13,7.93,7.93,7.66,7.7,2384140
2020-07-14,7.7,7.76,7.63,7.7,1386070
2020-07-15,7.76,7.86,7.7,7.7,1689550
2020-07-16,7.7,7.76,7.43,7.53,5227230
2020-07-17,7.56,7.6,7.43,7.53,4123490
2020-07-20,7.53,7.53,7.22,7.22,5272010
2020-07-21,7.09,7.16,6.78,6.85,8196660
2020-07-22,6.82,7.19,6.82,6.99,4087310
2020-07-23,7.02,7.06,6.85,6.85,1871430
2020-07-24,6.82,6.92,6.37,6.37,11411250
2020-07-27,6.01,6.08,5.93,5.93,7351080
2020-07-28,5.94,6.16,5.87,6.16,3753640
2020-07-29,5.91,6.08,5.74,5.96,3655750
2020-07-30,5.97,6.1,5.97,6.0,1778370
2020-07-31,5.8,6.03,5.79,5.93,2382190
2020-08-03,5.91,6.12,5.91,6.12,3073400
2020-08-04,6.21,6.48,6.14,6.48,3696020
2020-08-05,6.48,6.6,6.38,6.48,3165320
2020-08-06,6.42,6.49,6.37,6.38,2409130
2020-08-07,6.41,6.41,6.28,6.36,2739810
2020-08-10,6.37,6.62,6.36,6.51,2498210
2020-08-11,6.48,6.56,6.42,6.43,2344220
2020-08-12,6.48,6.5,6.38,6.41,2941140
2020-08-13,6.41,6.54,6.41,6.41,4541550
2020-08-14,6.41,6.66,6.41,6.54,8018820
2020-08-17,6.41,6.52,6.22,6.37,5601570
2020-08-18,6.33,6.37,6.21,6.21,5120300
2020-08-19,6.08,6.2,5.98,6.11,8475830
2020-08-20,6.11,6.31,6.02,6.27,6230810
2020-08-21,6.27,6.32,6.22,6.24,3636930
2020-08-24,6.28,6.45,6.26,6.41,5507820
2020-08-25,6.45,6.85,6.45,6.85,8210100
2020-08-26,7.09,7.12,6.85,6.85,7224410
2020-08-27,6.85,6.89,6.74,6.78,5019040
2020-08-28,6.85,6.89,6.75,6.75,4156640
2020-08-31,6.74,6.82,6.48,6.54,8034040
2020-09-01,6.62,6.71,6.55,6.67,2184340
2020-09-03,6.75,6.85,6.72,6.85,4453810
2020-09-04,6.68,6.78,6.67,6.75,3548600
2020-09-07,6.75,6.78,6.59,6.59,3418190
2020-09-08,6.62,6.65,6.54,6.6,2495520
2020-09-09,6.54,6.62,6.52,6.62,1996420
2020-09-10,6.64,6.78,6.63,6.7,2740380
2020-09-11,6.68,6.74,6.65,6.73,2200080
2020-09-14,6.82,6.92,6.75,6.85,4634430
2020-09-15,6.89,6.95,6.78,6.82,3257410
2020-09-16,6.82,6.89,6.74,6.89,4385570
2020-09-17,6.95,7.12,6.89,6.99,6899280
2020-09-18,6.99,7.16,6.95,7.16,4736790
2020-09-21,7.16,7.36,7.09,7.12,4993360
2020-09-22,7.06,7.16,7.02,7.09,2771550
2020-09-23,7.12,7.19,7.02,7.09,4116900
2020-09-24,7.09,7.12,6.99,7.02,4128990
2020-09-25,7.09,7.09,6.89,6.92,3816130
2020-09-28,6.95,7.09,6.95,7.02,3231740
2020-09-29,7.06,7.09,6.75,6.78,5110180
2020-09-30,6.78,6.92,6.78,6.82,3825560
2020-10-01,6.85,7.06,6.82,6.99,2928090
2020-10-02,6.99,7.06,6.78,6.95,3661860
2020-10-05,6.99,7.43,6.99,7.39,11928320
2020-10-06,7.56,7.7,7.36,7.7,7630010
2020-10-07,7.63,7.9,7.6,7.7,6639440
2020-10-08,7.66,7.7,7.46,7.53,7008310
2020-10-09,7.56,7.66,7.53,7.56,3533190
2020-10-12,7.63,7.7,7.29,7.32,6563040
2020-10-13,7.36,7.6,7.26,7.46,3564950
2020-10-14,7.46,7.53,7.43,7.49,1800370
2020-10-15,7.49,7.7,7.46,7.53,5082640
2020-10-16,7.49,8.03,7.43,8.03,13617210
2020-10-19,8.03,8.24,7.97,8.24,7954440
2020-10-20,8.14,8.27,8.03,8.27,6227250
2020-10-21,8.24,8.27,7.97,7.97,9070740
2020-10-22,7.86,8.24,7.86,8.24,5693450
2020-10-23,8.24,8.37,8.2,8.24,3599520
2020-10-26,8.24,8.27,7.97,7.97,3918830
2020-10-27,7.97,8.03,7.83,7.9,4049310
2020-10-28,7.83,7.97,7.66,7.7,4863550
2020-10-29,7.56,7.83,7.53,7.7,4112320
2020-10-30,7.7,7.8,7.56,7.76,7742800
2020-11-02,7.83,8.2,7.83,7.93,2130420
2020-11-03,7.97,8.03,7.9,7.97,2440160
2020-11-04,8.03,8.44,7.97,8.34,10720570
2020-11-05,8.24,8.51,8.24,8.27,4292580
2020-11-06,8.3,8.57,8.24,8.51,8963860
2020-11-09,8.64,8.91,8.54,8.71,9824290
2020-11-10,8.84,8.88,8.61,8.61,7255800
2020-11-11,8.61,8.81,8.57,8.61,5525070
2020-11-12,8.68,9.11,8.61,9.11,8413880
2020-11-13,9.18,9.45,9.11,9.25,8878500
2020-11-16,9.25,9.32,8.94,8.98,9891530
2020-11-17,9.08,9.45,8.98,9.45,6485300
2020-11-18,9.55,9.55,9.32,9.55,7384800
2020-11-19,9.45,9.52,9.32,9.52,4951700
2020-11-20,9.45,9.69,9.35,9.62,5216160
2020-11-23,9.62,9.62,9.38,9.38,5916270
2020-11-24,9.38,9.49,9.11,9.32,7042600
2020-11-25,9.35,9.42,9.22,9.28,3669890
2020-11-26,9.18,9.28,9.11,9.25,4353330
2020-11-27,9.28,9.62,9.28,9.59,8728300
2020-11-30,9.69,9.76,9.38,9.38,6700920
2020-12-01,9.25,9.62,9.25,9.55,8775790
2020-12-02,9.52,9.92,9.52,9.76,6318020
2020-12-03,9.79,9.79,9.65,9.72,3070720
2020-12-04,9.72,10.3,9.72,10.03,11123290
2020-12-07,10.06,10.16,9.99,10.03,4251900
2020-12-08,10.03,10.19,9.96,10.09,4550090
2020-12-09,10.13,10.3,10.09,10.13,5632390
2020-12-10,10.19,10.19,9.92,9.92,7412550
2020-12-11,9.96,10.06,9.86,9.99,6130320
2020-12-14,10.19,10.23,9.99,10.09,4377700
2020-12-15,10.06,10.46,9.99,10.06,10177630
2020-12-16,10.13,10.36,10.06,10.09,4876270
2020-12-17,9.99,10.06,9.82,9.89,10969150
2020-12-18,9.89,10.09,9.76,9.99,10482090
2020-12-21,10.13,10.26,9.96,10.03,9004520
2020-12-22,10.03,10.7,9.92,10.6,13874520
2020-12-23,10.67,10.67,10.36,10.43,8194840
2020-12-24,10.4,10.4,9.79,10.13,7374950
2020-12-25,9.99,10.26,9.92,10.26,6045550
2020-12-28,10.43,10.43,10.09,10.26,7610500
2020-12-29,10.23,10.97,10.13,10.94,15654280
2020-12-30,10.97,11.11,10.74,10.77,6654540
2020-12-31,10.84,10.84,10.67,10.77,4722720
2021-01-04,11.07,11.41,10.8,11.07,9625600
2021-01-05,11.07,11.61,10.97,11.48,8214400
2021-01-06,11.61,11.85,11.41,11.51,9526300
2021-01-07,11.68,11.82,11.51,11.71,6674900
2021-01-08,11.82,11.82,11.44,11.58,11163500
2021-01-11,11.61,12.25,11.44,11.85,9155000
2021-01-12,11.98,12.08,11.78,11.92,6723000
2021-01-13,11.98,12.12,11.82,11.88,6410600
2021-01-14,11.88,12.39,11.88,12.32,11958900
2021-01-15,12.36,12.42,11.48,11.75,33157400
2021-01-18,11.61,12.46,11.51,12.25,10474200
2021-01-19,12.08,12.29,11.41,11.68,8471400
2021-01-20,11.68,11.88,11.07,11.82,11099200
2021-01-21,12.02,12.62,11.82,12.62,14684200
2021-01-22,12.96,13.5,12.9,13.5,14537000
2021-01-25,13.7,14.45,13.64,14.45,6780500
2021-01-26,15.16,15.43,14.04,14.85,18918700
2021-01-27,14.72,15.09,13.84,14.18,11974500
2021-01-28,13.2,13.77,13.2,13.2,8491100
2021-01-29,12.56,13.64,12.56,13.23,10873600
2021-02-01,13.03,13.23,12.32,12.32,9771800
2021-02-02,12.02,13.16,12.02,13.16,5720500
2021-02-03,13.77,14.08,13.37,14.08,9236800
2021-02-04,14.04,14.45,13.81,14.38,6704500
2021-02-05,14.38,15.36,14.28,15.19,9873900
2021-02-08,15.12,15.32,14.14,14.48,9398500
2021-02-09,14.52,15.49,14.18,15.49,9518700
2021-02-17,16.1,16.57,15.87,16.57,6760600
2021-02-18,16.47,16.71,16.14,16.41,7658600
2021-02-19,16.2,16.54,16.14,16.3,7848700
2021-02-22,16.24,17.08,16.24,16.81,8427900
2021-02-23,16.81,16.95,16.57,16.71,4761700
2021-02-24,16.71,17.15,15.56,16.1,10849800
2021-02-25,16.2,16.34,15.26,15.53,16649900
2021-02-26,15.06,16.0,15.06,15.87,8867000
2021-03-01,16.03,16.2,15.87,16.1,4363700
2021-03-02,16.14,16.2,15.6,15.6,6508300
