time,open,high,low,close,volume
2020-01-06,8.16,8.46,8.16,8.38,3865
2020-01-07,8.38,8.38,8.38,8.38,0
2020-01-08,8.38,8.38,8.38,8.38,0
2020-01-09,8.31,8.31,8.23,8.23,800
2020-01-10,8.23,8.23,8.23,8.23,0
2020-01-13,8.83,8.83,8.83,8.83,100
2020-01-14,8.83,8.83,8.83,8.83,0
2020-01-15,8.83,8.83,8.83,8.83,0
2020-01-16,8.83,8.83,8.83,8.83,0
2020-01-17,8.83,8.83,8.83,8.83,0
2020-01-20,8.83,8.83,8.83,8.83,0
2020-01-21,8.83,8.83,8.83,8.83,0
2020-01-22,8.83,8.83,8.83,8.83,0
2020-01-30,8.6,8.75,8.6,8.68,5000
2020-01-31,8.68,8.68,8.68,8.68,100
2020-02-03,7.94,8.53,7.94,8.53,4700
2020-02-04,7.94,8.38,7.94,8.38,4800
2020-02-05,7.79,8.31,7.79,8.16,1700
2020-02-06,7.79,8.16,7.79,8.09,5800
2020-02-07,8.09,8.09,8.09,8.09,105
2020-02-10,8.09,8.75,8.09,8.68,12740
2020-02-11,8.68,8.68,8.53,8.53,1105
2020-02-12,8.53,8.53,8.53,8.53,1
2020-02-13,8.16,8.53,8.16,8.38,1800
2020-02-14,8.38,8.38,8.38,8.38,805
2020-02-17,8.01,9.2,8.01,9.05,5160
2020-02-18,9.05,9.05,8.68,8.9,3600
2020-02-19,8.83,8.83,8.83,8.83,2100
2020-02-20,8.83,8.83,8.83,8.83,10
2020-02-21,8.83,9.64,8.83,9.64,1100
2020-02-24,9.64,9.64,9.64,9.64,10
2020-02-25,9.57,10.31,9.57,10.31,1110
2020-02-26,10.31,10.31,10.31,10.31,0
2020-02-27,10.31,10.31,10.31,10.31,0
2020-02-28,9.35,10.09,9.35,10.09,1200
2020-03-02,10.09,10.09,10.09,10.09,0
2020-03-03,10.09,10.09,10.09,10.09,0
2020-03-04,9.42,9.42,9.42,9.42,100
2020-03-05,8.68,9.27,8.68,9.27,1600
2020-03-06,8.9,9.27,8.6,8.6,1245
2020-03-09,8.9,8.9,8.01,8.23,3750
2020-03-10,8.23,8.23,8.23,8.23,100
2020-03-11,8.01,8.23,7.49,8.23,3300
