time,open,high,low,close,volume
2020-01-06,4.82,4.82,4.82,4.82,7
2020-01-07,4.64,4.64,4.64,4.64,584
2020-01-08,4.64,4.64,4.64,4.64,3700
2020-01-09,4.64,4.64,4.64,4.64,0
2020-01-10,4.82,4.82,4.82,4.82,100
2020-01-13,4.82,4.82,4.82,4.82,0
2020-01-14,4.82,4.82,4.82,4.82,0
2020-01-15,4.82,4.82,4.82,4.82,0
2020-01-16,4.82,4.82,4.82,4.82,0
2020-01-17,4.82,4.82,4.82,4.82,0
2020-01-20,4.82,4.82,4.82,4.82,0
2020-01-21,4.82,4.82,4.82,4.82,1900
2020-01-22,4.82,4.82,4.82,4.82,5700
2020-01-30,4.82,4.82,4.82,4.82,2700
2020-01-31,4.82,4.82,4.82,4.82,0
2020-02-03,4.82,4.82,4.7,4.7,2300
2020-02-04,4.7,4.7,4.7,4.7,0
2020-02-05,4.7,4.7,4.7,4.7,0
2020-02-06,4.7,4.7,4.7,4.7,0
2020-02-07,4.7,4.7,4.7,4.7,0
2020-02-10,4.76,4.76,4.76,4.76,202
2020-02-11,4.76,4.76,4.76,4.76,0
2020-02-12,4.76,4.76,4.76,4.76,0
2020-02-13,4.76,4.76,4.76,4.76,0
2020-02-14,4.82,4.82,4.82,4.82,900
2020-02-17,4.82,4.82,4.46,4.46,2100
2020-02-18,4.7,4.7,4.7,4.7,100
2020-02-19,4.7,4.7,4.7,4.7,0
2020-02-20,4.82,5.06,4.82,5.06,1600
2020-02-21,4.82,4.82,4.82,4.82,22200
2020-02-24,4.82,4.82,4.82,4.82,0
2020-02-25,4.7,4.7,4.7,4.7,4000
2020-02-26,4.46,4.46,4.28,4.28,22744
2020-02-27,4.52,4.7,4.52,4.7,5300
2020-02-28,4.4,4.82,4.4,4.82,922
2020-03-02,4.82,4.82,4.82,4.82,14424
2020-03-03,4.82,4.82,4.82,4.82,0
2020-03-04,4.82,4.94,4.82,4.94,1320
2020-03-05,4.88,4.94,4.88,4.88,4550
2020-03-06,4.88,5.36,4.88,5.0,10800
2020-03-09,5.0,5.18,5.0,5.06,3312
2020-03-10,5.06,5.12,5.0,5.06,7500
2020-03-11,5.06,5.06,4.88,4.88,2640
2020-03-12,4.82,4.88,4.82,4.88,2812
2020-03-13,4.88,4.94,4.82,4.94,4748
2020-03-16,4.88,4.88,4.82,4.82,7400
2020-03-17,4.88,4.88,4.88,4.88,2200
2020-03-18,4.82,4.82,4.82,4.82,2848
2020-03-19,4.82,4.82,4.82,4.82,1102
2020-03-20,4.82,4.82,4.82,4.82,6000
2020-03-23,4.82,4.82,4.64,4.64,2200
