time,open,high,low,close,volume
2020-01-06,11.1,11.46,11.1,11.36,56180
2020-01-07,11.36,11.46,11.1,11.33,52990
2020-01-08,11.14,11.36,11.14,11.23,148340
2020-01-09,11.3,11.36,11.17,11.33,187500
2020-01-10,11.36,11.82,11.36,11.69,489560
2020-01-13,11.69,11.75,11.23,11.69,35660
2020-01-14,11.23,11.69,11.2,11.69,30350
2020-01-15,11.69,11.69,11.36,11.69,57900
2020-01-16,11.33,11.69,11.3,11.4,76990
2020-01-17,11.36,11.69,11.36,11.56,751480
2020-01-20,11.4,11.59,11.33,11.56,86230
2020-01-21,11.56,11.56,11.17,11.36,34150
2020-01-22,11.36,11.36,11.17,11.33,47520
2020-01-30,11.23,11.95,11.04,11.66,275370
2020-01-31,11.66,11.69,11.23,11.59,63460
2020-02-03,11.27,11.56,10.81,11.49,113880
2020-02-04,11.3,11.53,11.1,11.4,91610
2020-02-05,11.17,11.4,11.14,11.17,138670
2020-02-06,11.07,11.49,11.04,11.49,70610
2020-02-07,11.49,11.49,11.2,11.36,46160
2020-02-10,11.36,11.36,11.14,11.33,82270
2020-02-11,11.33,11.4,11.17,11.4,245700
2020-02-12,11.46,11.46,11.23,11.33,105970
2020-02-13,11.23,11.36,11.23,11.3,47470
2020-02-14,11.23,11.36,11.17,11.23,55680
2020-02-17,11.3,11.33,11.2,11.27,34290
2020-02-18,11.36,11.4,11.23,11.3,154820
2020-02-19,11.23,11.3,11.2,11.23,25140
2020-02-20,11.33,11.33,11.17,11.17,63830
2020-02-21,11.23,11.23,10.97,11.23,395070
2020-02-24,11.23,11.23,10.72,11.17,80590
2020-02-25,10.72,11.27,10.72,11.17,27960
2020-02-26,11.17,11.23,11.04,11.2,55470
2020-02-27,11.04,11.23,11.04,11.23,41090
2020-02-28,11.07,11.23,10.97,11.17,140490
2020-03-02,11.01,11.56,11.01,11.49,364250
2020-03-03,11.2,11.53,11.2,11.36,120610
2020-03-04,11.46,11.46,11.17,11.36,135790
2020-03-05,11.27,11.49,10.88,11.23,835990
2020-03-06,11.3,11.3,10.94,11.17,405560
2020-03-09,10.46,11.14,10.46,11.04,136890
2020-03-10,10.52,11.04,10.52,11.01,126130
2020-03-11,11.01,11.01,10.32,10.91,198680
2020-03-12,10.46,10.88,10.16,10.84,244060
2020-03-13,10.1,10.81,10.1,10.65,855780
2020-03-16,10.65,10.65,9.97,10.39,312960
2020-03-17,9.81,10.52,9.81,10.46,371710
2020-03-18,10.46,10.62,10.32,10.62,848880
2020-03-19,10.13,10.62,10.13,10.16,135020
2020-03-20,10.16,10.39,9.94,10.36,31860
2020-03-23,10.39,10.58,9.64,10.39,398180
2020-03-24,9.81,10.46,9.81,10.39,139440
2020-03-25,10.2,10.42,10.03,10.39,68370
2020-03-26,10.39,10.39,9.84,10.0,184520
2020-03-27,9.87,10.2,9.42,10.2,358450
2020-03-30,9.61,10.2,9.51,10.2,381240
2020-03-31,9.94,10.16,9.51,9.51,625330
2020-04-01,9.09,9.87,9.09,9.87,532880
2020-04-03,9.64,9.87,9.25,9.87,1313270
2020-04-06,9.87,10.06,9.55,10.06,203550
2020-04-07,9.74,10.06,9.74,10.06,1373070
2020-04-08,9.61,10.03,9.61,9.87,263460
2020-04-09,9.87,9.94,9.77,9.87,259700
2020-04-10,9.77,9.84,9.51,9.84,499740
2020-04-13,9.84,9.87,9.64,9.87,101110
2020-04-14,9.87,9.97,9.71,9.84,138290
2020-04-15,9.84,9.87,9.68,9.84,121970
2020-04-16,9.74,9.87,9.71,9.84,217150
2020-04-17,9.87,10.13,9.74,9.87,874840
2020-04-20,9.94,10.06,9.81,9.87,841910
2020-04-21,9.87,9.94,9.64,9.84,248790
2020-04-22,9.71,10.13,9.71,10.0,821030
2020-04-23,10.13,10.2,9.94,9.94,221620
2020-04-24,9.84,10.0,9.84,9.94,191720
2020-04-27,9.81,9.94,9.64,9.81,438480
2020-04-28,9.74,9.84,9.64,9.84,223530
2020-04-29,9.68,9.84,9.68,9.74,443860
2020-05-04,9.61,9.81,9.61,9.77,284550
2020-05-05,9.77,9.77,9.55,9.74,490590
2020-05-06,9.74,9.74,9.61,9.74,823590
2020-05-07,9.84,9.84,9.64,9.81,222720
2020-05-08,9.77,10.1,9.77,9.9,463060
2020-05-11,9.9,10.06,9.84,10.0,186110
2020-05-12,9.97,10.03,9.74,9.9,209410
2020-05-13,9.9,9.94,9.22,9.9,500730
2020-05-14,9.77,10.03,9.77,9.97,739600
2020-05-15,9.94,10.13,9.9,10.06,436860
2020-05-18,10.0,10.23,9.94,10.23,518890
2020-05-19,10.26,10.68,10.26,10.55,430260
2020-05-20,10.52,10.78,10.42,10.58,363970
2020-05-21,10.65,11.3,10.58,11.3,968450
2020-05-22,10.84,11.36,10.75,10.97,641700
2020-05-25,10.84,11.14,10.72,10.97,389240
2020-05-26,10.91,11.1,10.91,10.97,382380
2020-05-27,11.04,11.43,11.04,11.17,471440
2020-05-28,11.17,11.43,10.97,10.97,502180
2020-05-29,11.04,11.43,11.04,11.23,362450
2020-06-01,11.33,11.75,11.1,11.33,229560
2020-06-02,11.33,11.69,11.33,11.43,425640
2020-06-03,11.49,11.79,11.43,11.46,213440
2020-06-04,11.43,11.66,11.43,11.46,328350
2020-06-05,11.56,11.69,11.46,11.49,447980
2020-06-08,11.62,11.82,11.49,11.53,453800
2020-06-09,11.53,11.88,11.53,11.75,139250
2020-06-10,11.79,11.79,11.56,11.75,95310
2020-06-11,11.75,11.79,11.59,11.69,185650
2020-06-12,11.4,11.82,11.4,11.62,197860
2020-06-15,11.62,11.95,11.56,11.82,126000
2020-06-16,11.62,11.79,11.59,11.62,51160
2020-06-17,11.82,11.82,11.49,11.75,72320
2020-06-18,11.75,11.75,11.56,11.75,269880
2020-06-19,11.62,11.85,11.62,11.85,106470
2020-06-22,11.82,11.85,11.56,11.82,105170
2020-06-23,11.85,11.85,11.66,11.69,35830
2020-06-24,11.82,11.82,11.62,11.69,20030
2020-06-25,11.62,11.85,11.4,11.53,108130
2020-06-26,11.53,11.59,11.36,11.53,20400
2020-06-29,11.43,11.69,11.2,11.69,52920
2020-06-30,11.4,11.72,11.2,11.56,110790
2020-07-01,11.43,11.56,11.36,11.53,25700
2020-07-02,11.53,11.53,11.17,11.49,47700
2020-07-03,11.36,11.59,11.14,11.59,79070
2020-07-06,11.59,11.59,11.17,11.56,93840
2020-07-07,11.56,11.56,11.3,11.56,68870
2020-07-08,11.49,11.49,11.33,11.46,70930
2020-07-09,11.36,11.59,11.23,11.46,186240
2020-07-10,11.36,11.46,11.23,11.43,98500
2020-07-13,11.43,11.49,10.97,11.3,220130
2020-07-14,11.23,11.33,10.91,11.04,379910
2020-07-15,11.04,11.23,11.01,11.23,204760
2020-07-16,11.23,11.43,11.04,11.43,223630
2020-07-17,11.2,11.4,11.14,11.33,166430
2020-07-20,11.27,11.27,11.17,11.27,93730
2020-07-21,11.14,11.43,11.14,11.23,99530
2020-07-22,11.14,11.3,11.04,11.27,151480
2020-07-23,11.14,11.23,11.01,11.23,139830
2020-07-24,11.23,11.3,10.62,10.91,287290
2020-07-27,10.65,11.07,10.23,10.65,206050
2020-07-28,10.29,10.72,10.13,10.72,500170
2020-07-29,10.16,11.46,10.16,11.46,683290
2020-07-30,10.75,11.3,10.75,11.1,146710
2020-07-31,10.65,10.81,10.49,10.75,146150
2020-08-03,10.55,10.78,10.52,10.78,115010
2020-08-04,10.78,10.94,10.62,10.94,238180
2020-08-05,10.94,11.04,10.75,11.04,199360
