time,open,high,low,close,volume
2020-01-06,4.19,4.19,4.19,4.19,0
2020-01-07,4.19,4.19,4.19,4.19,0
2020-01-08,4.19,4.19,4.19,4.19,0
2020-01-09,4.19,4.19,4.19,4.19,0
2020-01-10,4.19,4.19,4.19,4.19,0
2020-01-13,4.19,4.19,4.19,4.19,0
2020-01-14,4.79,4.79,4.79,4.79,100
2020-01-15,4.79,4.79,4.79,4.79,0
2020-01-16,4.79,4.79,4.79,4.79,0
2020-01-17,4.79,4.79,4.79,4.79,0
2020-01-20,4.79,4.79,4.79,4.79,0
2020-01-21,4.79,4.79,4.79,4.79,0
2020-01-22,4.79,4.79,4.79,4.79,5
2020-01-30,4.79,4.79,4.79,4.79,0
2020-01-31,4.79,4.79,4.79,4.79,0
2020-02-03,4.79,4.79,4.79,4.79,0
2020-02-04,4.79,4.79,4.79,4.79,0
2020-02-05,4.79,4.79,4.79,4.79,0
2020-02-06,4.79,4.79,4.79,4.79,0
2020-02-07,5.5,5.5,5.5,5.5,100
2020-02-10,5.5,5.5,5.5,5.5,0
2020-02-11,5.5,5.5,5.5,5.5,0
2020-02-12,5.5,5.5,5.5,5.5,0
2020-02-13,5.5,5.5,5.5,5.5,0
2020-02-14,6.28,6.28,6.28,6.28,100
2020-02-17,6.28,6.28,6.28,6.28,0
2020-02-18,6.28,6.28,6.28,6.28,0
2020-02-19,6.28,6.28,6.28,6.28,0
2020-02-20,6.28,6.28,6.28,6.28,0
2020-02-21,6.28,6.28,6.28,6.28,0
2020-02-24,6.28,6.28,6.28,6.28,0
2020-02-25,6.28,6.28,6.28,6.28,0
2020-02-26,6.28,6.28,6.28,6.28,0
2020-02-27,6.28,6.28,6.28,6.28,0
2020-02-28,6.28,6.28,6.28,6.28,0
2020-03-02,6.28,6.28,6.28,6.28,0
2020-03-03,6.28,6.28,6.28,6.28,0
2020-03-04,6.28,6.28,6.28,6.28,0
2020-03-05,6.28,6.28,6.28,6.28,0
2020-03-06,6.28,6.28,6.28,6.28,0
2020-03-09,6.28,6.28,6.28,6.28,0
2020-03-10,6.28,6.28,6.28,6.28,0
2020-03-11,6.28,6.28,6.28,6.28,0
2020-03-12,6.28,6.28,6.28,6.28,0
2020-03-13,6.28,6.28,6.28,6.28,0
2020-03-16,6.28,6.28,6.28,6.28,0
2020-03-17,6.28,6.28,6.28,6.28,0
2020-03-18,6.28,6.28,6.28,6.28,0
2020-03-19,6.28,6.28,6.28,6.28,0
2020-03-20,6.28,6.28,6.28,6.28,0
2020-03-23,6.28,6.28,6.28,6.28,0
2020-03-24,6.28,6.28,6.28,6.28,0
2020-03-25,6.28,6.28,6.28,6.28,0
2020-03-26,6.28,6.28,6.28,6.28,0
2020-03-27,6.28,6.28,6.28,6.28,0
2020-03-30,6.28,6.28,6.28,6.28,0
2020-03-31,6.28,6.28,6.28,6.28,0
2020-04-01,6.28,6.28,6.28,6.28,0
2020-04-03,5.98,5.98,5.98,5.98,1000
2020-04-06,5.98,5.98,5.98,5.98,0
2020-04-07,5.98,5.98,5.98,5.98,0
2020-04-08,5.98,5.98,5.98,5.98,0
2020-04-09,5.98,5.98,5.98,5.98,0
2020-04-10,5.98,5.98,5.98,5.98,0
2020-04-13,5.98,5.98,5.98,5.98,0
2020-04-14,5.98,5.98,5.98,5.98,0
2020-04-15,5.98,5.98,5.98,5.98,0
2020-04-16,5.98,5.98,5.98,5.98,0
2020-04-17,5.98,5.98,5.98,5.98,0
2020-04-20,5.98,5.98,5.98,5.98,0
2020-04-21,5.98,5.98,5.98,5.98,0
2020-04-22,5.98,5.98,5.98,5.98,0
2020-04-23,5.98,5.98,5.98,5.98,0
2020-04-24,5.98,5.98,5.98,5.98,0
2020-04-27,6.04,6.04,5.38,5.38,600
2020-04-28,5.38,5.98,5.38,5.98,500
2020-04-29,5.5,5.5,5.5,5.98,0
2020-05-04,5.5,5.5,5.5,5.98,0
2020-05-05,5.5,5.5,5.5,5.98,0
2020-05-06,5.5,5.5,5.5,5.98,0
2020-05-07,5.92,5.92,5.92,5.92,100
2020-05-08,5.92,5.92,5.92,5.92,85
2020-05-11,5.92,5.92,5.92,5.92,0
2020-05-12,5.92,5.92,5.92,5.92,0
2020-05-13,5.92,5.92,5.92,5.92,0
2020-05-14,5.92,5.92,5.92,5.92,0
2020-05-15,5.92,5.92,5.92,5.92,0
2020-05-18,5.92,5.92,5.92,5.92,0
2020-05-19,5.92,5.92,5.92,5.92,0
2020-05-20,5.86,5.86,5.86,5.86,900
2020-05-21,5.86,5.86,5.86,5.86,0
2020-05-22,5.86,5.86,5.86,5.86,0
2020-05-25,5.03,5.03,5.03,5.03,300
2020-05-26,4.67,4.67,4.67,4.67,500
2020-05-27,4.67,4.67,4.37,4.37,3400
2020-05-28,5.03,5.03,5.03,5.03,100
2020-05-29,5.03,5.03,5.03,5.03,0
2020-06-01,4.49,4.49,4.49,4.49,535
