time,open,high,low,close,volume
2020-01-06,4.5,4.5,4.5,4.0,20
2020-01-07,4.1,5.1,4.1,5.1,41400
2020-01-08,5.0,5.0,5.0,5.1,20
2020-01-09,5.0,5.0,5.0,5.1,0
2020-01-10,4.3,4.3,4.3,4.3,200
2020-01-13,4.3,4.3,4.3,4.3,1512
2020-01-14,4.3,4.3,4.3,4.3,0
2020-01-15,4.9,4.9,4.9,4.9,5400
2020-01-16,4.9,4.9,4.9,4.9,1700
2020-01-17,4.9,4.9,4.9,4.9,11800
2020-01-20,4.9,4.9,4.9,4.9,0
2020-01-21,4.9,4.9,4.9,4.9,10050
2020-01-22,4.9,4.9,4.9,4.9,0
2020-01-30,5.0,5.0,5.0,5.0,100
2020-01-31,5.0,5.0,5.0,5.0,1000
2020-02-03,5.0,5.0,5.0,5.0,11600
2020-02-04,5.0,5.0,5.0,5.0,0
2020-02-05,5.0,5.0,5.0,5.0,0
2020-02-06,5.0,5.0,5.0,5.0,0
2020-02-07,5.0,5.0,5.0,5.0,0
2020-02-10,5.0,5.0,5.0,5.0,150
2020-02-11,5.0,5.0,5.0,5.0,0
2020-02-12,5.0,5.0,5.0,5.0,4222
2020-02-13,5.0,5.0,5.0,5.0,3302
2020-02-14,5.0,5.0,5.0,5.0,154
2020-02-17,5.0,5.0,5.0,5.0,2558
2020-02-18,5.0,5.0,5.0,5.0,0
2020-02-19,5.0,5.0,5.0,5.0,0
2020-02-20,5.0,5.0,5.0,5.0,2
2020-02-21,5.0,5.0,5.0,5.0,0
2020-02-24,5.0,5.0,5.0,5.0,50
2020-02-25,5.0,5.0,5.0,5.0,100
2020-02-26,5.0,5.0,5.0,5.0,1220
2020-02-27,5.0,5.0,5.0,5.0,1550
2020-02-28,5.0,5.0,5.0,5.0,0
2020-03-02,5.0,5.0,4.9,4.9,2000
2020-03-03,4.9,4.9,4.9,4.9,2596
2020-03-04,4.9,4.9,4.9,4.9,0
2020-03-05,4.9,4.9,4.9,4.9,3046
2020-03-06,4.9,5.0,4.9,5.0,1100
2020-03-09,5.5,5.5,5.0,5.0,7500
2020-03-10,4.3,4.3,4.3,4.3,100
2020-03-11,4.5,4.9,4.5,4.9,7463
2020-03-12,4.2,4.2,4.2,4.2,100
2020-03-13,3.6,4.0,3.6,4.0,600
2020-03-16,3.4,3.7,3.4,3.4,158104
2020-03-17,3.9,3.9,3.9,3.9,2306
2020-03-18,3.4,3.4,3.4,3.4,156
2020-03-19,3.9,3.9,3.9,3.9,500
2020-03-20,3.6,4.4,3.6,4.4,1360
2020-03-23,4.3,4.9,4.3,4.9,9903
2020-03-24,4.2,4.2,4.2,4.2,100
2020-03-25,4.2,4.2,4.2,4.2,52
2020-03-26,4.0,4.0,4.0,4.0,100
2020-03-27,3.7,3.7,3.7,3.7,100
2020-03-30,4.2,4.2,4.2,4.2,100
2020-03-31,4.2,4.2,4.2,4.2,0
2020-04-01,3.9,3.9,3.9,3.9,100
2020-04-03,4.0,4.3,4.0,4.3,1164
2020-04-06,4.1,4.6,4.1,4.6,200
2020-04-07,4.4,4.4,4.4,4.6,0
2020-04-08,4.1,4.1,4.1,4.1,120
2020-04-09,3.9,4.6,3.9,4.6,300
2020-04-10,4.4,4.4,4.4,4.6,0
2020-04-13,4.4,4.4,4.4,4.6,0
2020-04-14,4.4,4.4,4.4,4.6,21
2020-04-15,4.4,4.4,4.4,4.6,0
2020-04-16,4.1,4.1,4.1,4.1,100
2020-04-17,3.9,3.9,3.9,3.9,100
2020-04-20,3.6,3.6,3.5,3.5,1100
2020-04-21,4.1,4.1,4.1,4.1,110
2020-04-22,4.1,4.1,4.1,4.1,0
2020-04-23,4.1,4.1,4.1,4.1,1019
2020-04-24,4.1,4.1,4.1,4.1,20
2020-04-27,3.8,3.8,3.8,3.8,104
2020-04-28,3.8,3.8,3.5,3.5,1290
2020-04-29,4.1,4.1,4.1,4.1,500
2020-05-04,3.8,3.8,3.8,3.8,139
2020-05-05,4.1,4.1,4.1,4.1,1506
2020-05-06,4.1,4.1,4.1,4.1,0
2020-05-07,3.8,4.1,3.8,4.1,400
2020-05-08,4.1,4.1,4.1,4.1,300
2020-05-11,4.1,4.3,3.8,4.3,14809
2020-05-12,4.2,4.4,4.2,4.4,3900
2020-05-13,4.2,4.2,4.2,4.4,0
2020-05-14,4.2,4.2,3.9,4.2,3009
2020-05-15,4.2,4.3,4.2,4.3,5900
2020-05-18,4.3,4.3,4.3,4.3,1400
2020-05-19,4.4,4.4,4.4,4.4,700
2020-05-20,4.5,4.5,4.0,4.0,2100
2020-05-21,4.3,4.5,4.0,4.0,6000
2020-05-22,4.0,4.7,4.0,4.7,200
2020-05-25,4.1,4.4,4.1,4.4,200
2020-05-26,4.1,4.1,4.1,4.1,1020
2020-05-27,3.8,4.5,3.8,4.3,820
2020-05-28,4.5,4.5,4.5,4.5,100
2020-05-29,4.7,4.7,4.2,4.2,1200
2020-06-01,4.1,4.2,4.1,4.1,3600
2020-06-02,4.1,4.1,4.1,4.1,0
2020-06-03,4.3,4.3,4.0,4.0,4300
2020-06-04,4.0,4.0,4.0,4.0,0
2020-06-05,4.0,4.0,4.0,4.0,2418
2020-06-08,3.9,4.0,3.6,4.0,2302
2020-06-09,4.0,4.1,4.0,4.1,3842
2020-06-10,4.0,4.0,3.7,4.0,3296
2020-06-11,3.9,4.0,3.9,3.9,3792
2020-06-12,3.9,3.9,3.9,3.9,5
2020-06-15,3.9,4.0,3.9,4.0,1700
2020-06-16,3.8,3.9,3.8,3.9,1600
2020-06-17,3.9,3.9,3.9,3.9,4840
2020-06-18,3.9,3.9,3.9,3.9,100
2020-06-19,3.9,3.9,3.9,3.9,1001
2020-06-22,3.9,3.9,3.9,3.9,500
2020-06-23,4.0,4.0,4.0,4.0,2120
2020-06-24,4.0,4.0,4.0,4.0,1000
2020-06-25,4.0,4.0,3.8,3.8,7300
2020-06-26,3.9,3.9,3.9,3.8,0
2020-06-29,3.8,3.8,3.8,3.8,7300
2020-06-30,3.9,3.9,3.9,3.9,19508
2020-07-01,3.9,3.9,3.9,3.9,0
2020-07-02,3.9,3.9,3.9,3.9,6060
2020-07-03,3.9,3.9,3.9,3.9,0
2020-07-06,3.9,3.9,3.9,3.9,0
2020-07-07,3.8,3.8,3.8,3.8,1996
2020-07-08,3.8,3.8,3.8,3.8,1288
2020-07-09,3.9,3.9,3.9,3.9,100
2020-07-10,4.0,4.0,3.7,3.8,4900
2020-07-13,3.8,3.8,3.8,3.8,400
2020-07-14,3.8,3.8,3.8,3.8,1200
2020-07-15,3.8,3.8,3.8,3.8,3500
2020-07-16,3.8,3.8,3.8,3.8,0
2020-07-17,3.8,3.8,3.8,3.8,0
2020-07-20,3.8,3.8,3.8,3.8,0
2020-07-21,3.8,3.8,3.8,3.8,1263
2020-07-22,3.7,3.7,3.7,3.7,100
2020-07-23,3.7,3.7,3.7,3.7,1900
2020-07-24,3.6,3.7,3.6,3.6,2100
2020-07-27,3.5,3.5,3.4,3.4,3000
2020-07-28,3.4,3.4,3.4,3.4,0
2020-07-29,3.4,3.5,3.4,3.5,200
2020-07-30,3.5,3.5,3.5,3.5,0
2020-07-31,3.4,3.4,3.2,3.2,4000
2020-08-03,3.4,3.4,3.4,3.4,400
2020-08-04,3.5,3.5,3.5,3.5,100
2020-08-05,3.5,3.5,3.5,3.5,0
2020-08-06,3.5,3.5,3.5,3.5,0
2020-08-07,3.5,3.5,3.5,3.5,0
2020-08-10,3.1,3.6,3.1,3.6,700
2020-08-11,3.2,3.5,3.2,3.5,200
2020-08-12,3.3,3.5,3.3,3.5,200
2020-08-13,3.4,3.4,3.4,3.5,0
2020-08-14,3.4,3.4,3.4,3.4,5000
2020-08-17,3.4,3.4,3.4,3.4,0
2020-08-18,3.4,3.4,3.4,3.4,0
2020-08-19,3.4,3.4,3.4,3.4,0
2020-08-20,3.1,3.3,3.1,3.3,1980
2020-08-21,3.3,3.3,3.3,3.3,3612
2020-08-24,3.4,3.4,3.3,3.3,4706
2020-08-25,3.4,3.5,3.4,3.5,1100
