time,open,high,low,close,volume
2020-01-06,3.05,3.13,3.05,3.13,27210
2020-01-07,3.13,3.17,3.1,3.17,15430
2020-01-08,3.1,3.37,3.1,3.17,50230
2020-01-09,3.27,3.32,3.13,3.32,20760
2020-01-10,3.36,3.36,3.22,3.36,12800
2020-01-13,3.36,3.36,3.28,3.28,65420
2020-01-14,3.28,3.34,3.28,3.33,23570
2020-01-15,3.33,3.33,3.32,3.33,14200
2020-01-16,3.27,3.33,3.27,3.33,22820
2020-01-17,3.29,3.3,3.28,3.28,41900
2020-01-20,3.13,3.32,3.13,3.31,5320
2020-01-21,3.31,3.31,3.27,3.3,47820
2020-01-22,3.3,3.3,3.28,3.29,46290
2020-01-30,3.37,3.37,3.27,3.31,18090
2020-01-31,3.28,3.31,3.25,3.31,21700
2020-02-03,3.27,3.32,3.25,3.32,2590
2020-02-04,3.32,3.33,3.13,3.31,13820
2020-02-05,3.29,3.29,3.17,3.27,3440
2020-02-06,3.1,3.27,3.1,3.17,23660
2020-02-07,3.13,3.22,3.13,3.2,6280
2020-02-10,3.13,3.17,2.98,3.17,5100
2020-02-11,3.17,3.37,3.17,3.24,51720
2020-02-12,3.18,3.32,3.18,3.29,96790
2020-02-13,3.32,3.32,3.29,3.29,33170
2020-02-14,3.34,3.52,3.28,3.52,778790
2020-02-17,3.76,3.76,3.71,3.76,858500
2020-02-18,3.84,4.0,3.71,3.71,155030
2020-02-19,3.59,3.64,3.49,3.51,459310
2020-02-20,3.51,3.66,3.4,3.42,601000
2020-02-21,3.4,3.56,3.37,3.4,263990
2020-02-24,3.27,3.36,3.17,3.17,180370
2020-02-25,3.02,3.07,2.95,2.98,498280
2020-02-26,2.86,3.08,2.78,2.94,155920
2020-02-27,2.94,3.03,2.9,3.03,109630
2020-02-28,2.94,2.96,2.88,2.88,108190
2020-03-02,2.88,2.88,2.82,2.82,46730
2020-03-03,2.82,2.88,2.82,2.84,70000
2020-03-04,2.84,3.0,2.83,3.0,122850
2020-03-05,3.03,3.13,2.89,3.0,145100
2020-03-06,3.0,3.0,2.88,2.89,61850
2020-03-09,2.69,2.79,2.69,2.69,220020
2020-03-10,2.69,2.78,2.69,2.72,73910
2020-03-11,2.72,2.78,2.6,2.6,33560
2020-03-12,2.47,2.59,2.42,2.42,194400
2020-03-13,2.26,2.37,2.26,2.26,148230
2020-03-16,2.26,2.27,2.11,2.2,141250
2020-03-17,2.2,2.25,2.15,2.25,70370
2020-03-18,2.3,2.37,2.25,2.32,16700
2020-03-19,2.25,2.32,2.25,2.25,33400
2020-03-20,2.32,2.32,2.25,2.25,53700
2020-03-23,2.25,2.25,2.09,2.09,133290
2020-03-24,2.09,2.11,1.97,2.1,32640
2020-03-25,2.1,2.25,2.1,2.25,91340
