time,open,high,low,close,volume
2020-01-06,16.03,16.03,14.18,14.18,1546
2020-01-07,15.96,15.96,14.54,14.54,300
2020-01-08,14.18,14.18,14.18,14.18,2000
2020-01-09,14.18,14.18,14.18,14.18,0
2020-01-10,14.18,14.18,14.18,14.18,200
2020-01-13,15.23,15.23,15.23,15.23,100
2020-01-14,15.23,15.23,15.23,15.23,36
2020-01-15,14.18,15.23,14.18,15.23,200
2020-01-16,13.89,13.89,13.81,13.81,1500
2020-01-17,14.18,14.18,13.81,13.81,851
2020-01-20,13.89,13.89,13.89,13.89,600
2020-01-21,13.89,13.89,13.89,13.89,0
2020-01-22,13.89,13.89,13.89,13.89,0
2020-01-30,13.89,13.89,13.89,13.89,0
2020-01-31,13.45,14.07,13.45,13.81,1675
2020-02-03,13.81,13.81,13.81,13.81,4400
2020-02-04,13.81,13.81,13.81,13.81,2300
2020-02-05,13.81,13.81,13.81,13.81,200
2020-02-06,13.85,13.85,13.81,13.81,854
2020-02-07,13.85,13.85,13.85,13.85,1000
2020-02-10,13.85,13.85,13.85,13.85,0
2020-02-11,13.85,13.85,13.85,13.85,0
2020-02-12,13.85,13.85,13.85,13.85,0
2020-02-13,13.85,13.85,13.85,13.85,0
2020-02-14,13.85,13.85,13.85,13.85,0
2020-02-17,13.81,13.81,13.81,13.81,600
2020-02-18,13.81,13.81,13.81,13.81,0
2020-02-19,15.85,15.85,15.85,15.85,100
2020-02-20,14.54,15.85,14.54,15.27,1501
2020-02-21,13.7,13.7,13.7,13.7,100
2020-02-24,13.7,13.7,13.7,13.7,0
2020-02-25,13.7,13.7,13.7,13.7,0
2020-02-26,13.7,13.7,13.7,13.7,0
2020-02-27,13.7,13.7,13.7,13.7,0
2020-02-28,13.7,13.7,13.7,13.7,0
2020-03-02,13.7,13.7,13.7,13.7,0
2020-03-03,13.7,13.7,13.7,13.7,0
2020-03-04,13.81,13.81,13.81,13.81,200
2020-03-05,12.03,12.03,12.03,12.03,100
2020-03-06,12.03,12.03,12.03,12.03,0
2020-03-09,13.12,13.12,13.12,13.12,200
2020-03-10,13.81,13.81,13.81,13.81,110
2020-03-11,13.81,13.81,13.81,13.81,1000
2020-03-12,13.81,13.81,13.81,13.81,5
2020-03-13,15.89,15.89,15.89,15.89,100
2020-03-16,13.81,13.81,13.81,13.81,1000
2020-03-17,13.81,13.81,13.81,13.81,0
2020-03-18,13.81,13.81,13.81,13.81,0
2020-03-19,13.81,13.81,13.81,13.81,600
2020-03-20,13.81,13.81,13.81,13.81,0
2020-03-23,13.81,13.81,13.81,13.81,1300
2020-03-24,13.81,13.81,13.81,13.81,0
2020-03-25,13.81,13.81,13.81,13.81,0
2020-03-26,13.81,13.81,13.81,13.81,0
2020-03-27,13.81,13.81,13.81,13.81,10
2020-03-30,13.81,13.81,13.81,13.81,0
2020-03-31,13.81,13.81,13.81,13.81,0
2020-04-01,13.81,13.81,13.81,13.81,0
2020-04-03,13.85,13.85,13.85,13.85,100
2020-04-06,14.0,14.0,14.0,14.0,400
2020-04-07,14.0,14.0,14.0,14.0,10
2020-04-08,14.0,14.0,14.0,14.0,0
2020-04-09,14.0,14.0,14.0,14.0,0
2020-04-10,14.0,14.0,14.0,14.0,0
2020-04-13,14.0,14.0,14.0,14.0,0
2020-04-14,14.0,14.0,14.0,14.0,0
2020-04-15,14.18,14.18,13.81,13.81,1050
2020-04-16,14.03,14.03,14.03,13.81,0
2020-04-17,14.03,14.03,14.03,13.81,0
2020-04-20,14.03,14.03,14.03,13.81,0
2020-04-21,14.18,14.18,14.14,14.14,600
2020-04-22,14.03,14.03,14.03,14.03,110
2020-04-23,14.03,14.03,14.03,14.03,0
2020-04-24,13.81,13.81,13.81,13.81,300
2020-04-27,13.81,13.81,13.81,13.81,0
2020-04-28,13.81,13.81,13.81,13.81,0
2020-04-29,13.81,13.81,13.81,13.81,0
2020-05-04,13.81,13.81,13.81,13.81,0
2020-05-05,13.81,13.81,13.81,13.81,0
2020-05-06,13.81,13.81,13.81,13.81,0
2020-05-07,13.81,13.81,13.81,13.81,0
2020-05-08,14.54,14.54,14.54,14.54,500
2020-05-11,14.54,14.54,14.54,14.54,0
2020-05-12,14.9,14.9,14.9,14.9,300
2020-05-13,14.9,14.9,14.9,14.9,0
2020-05-14,14.9,14.9,14.9,14.9,60
2020-05-15,14.9,14.9,14.9,14.9,0
2020-05-18,14.9,14.9,14.9,14.9,0
2020-05-19,14.9,14.9,14.9,14.9,0
2020-05-20,14.54,14.54,14.54,14.54,300
2020-05-21,14.54,14.54,14.54,14.54,0
2020-05-22,15.27,15.27,15.27,15.27,100
2020-05-25,15.27,15.27,14.9,15.27,633
2020-05-26,15.16,15.16,15.16,15.27,0
2020-05-27,15.16,15.16,15.16,15.16,200
2020-05-28,15.16,15.16,15.16,15.16,27
2020-05-29,15.16,15.16,15.16,15.16,0
2020-06-01,15.16,15.16,15.16,15.16,0
2020-06-02,15.16,15.16,15.16,15.16,0
2020-06-03,15.27,15.27,15.27,15.27,400
2020-06-04,13.85,15.27,13.85,15.27,404
2020-06-05,14.21,14.21,14.21,15.27,0
2020-06-08,14.21,14.21,14.21,15.27,0
2020-06-09,15.6,15.6,15.6,15.6,115
2020-06-10,15.45,15.45,15.45,15.45,200
2020-06-11,15.45,15.45,15.45,15.45,0
2020-06-12,15.45,15.45,15.45,15.45,0
2020-06-15,15.27,15.27,15.27,15.27,100
2020-06-16,15.27,15.27,15.27,15.27,0
2020-06-17,13.92,13.92,13.92,13.92,100
2020-06-18,13.92,13.92,13.92,13.92,0
2020-06-19,13.92,13.92,13.92,13.92,0
2020-06-22,14.54,14.54,14.54,14.54,100
2020-06-23,14.0,14.0,14.0,14.0,100
2020-06-24,12.76,12.76,12.76,12.76,100
2020-06-25,12.76,12.76,12.76,12.76,0
2020-06-26,12.76,12.76,12.76,12.76,0
2020-06-29,14.65,14.65,12.94,12.94,310
2020-06-30,13.52,13.52,13.52,12.94,23
2020-07-01,13.89,13.89,13.27,13.27,1839
2020-07-02,13.34,13.34,13.34,13.27,0
2020-07-03,13.34,13.34,13.34,13.27,20
2020-07-06,15.3,15.3,14.9,14.9,500
2020-07-07,15.05,15.05,14.9,14.9,2772
2020-07-08,15.05,15.05,15.05,14.9,0
2020-07-09,15.05,15.05,15.05,14.9,0
2020-07-10,13.41,13.41,13.41,13.41,130
2020-07-13,13.41,13.41,13.41,13.41,0
2020-07-14,13.41,13.41,13.41,13.41,0
2020-07-15,14.9,14.9,14.9,14.9,100
2020-07-16,14.9,14.9,14.9,14.9,0
2020-07-17,14.9,14.9,14.9,14.9,300
2020-07-20,13.45,13.45,13.45,13.45,100
2020-07-21,13.45,13.45,13.45,13.45,0
2020-07-22,13.45,13.45,13.45,13.45,185
2020-07-23,13.45,13.45,13.45,13.45,0
2020-07-24,13.45,13.45,13.45,13.45,0
2020-07-27,13.45,13.45,13.45,13.45,0
2020-07-28,13.45,13.45,13.45,13.45,0
2020-07-29,13.45,13.45,13.45,13.45,0
2020-07-30,13.45,13.45,13.45,13.45,0
2020-07-31,13.45,13.45,13.45,13.45,0
2020-08-03,14.9,15.27,14.9,15.27,300
2020-08-04,15.16,15.16,15.16,15.27,0
2020-08-05,15.16,15.16,15.16,15.27,85
2020-08-06,15.16,15.16,15.16,15.27,0
2020-08-07,15.16,15.16,15.16,15.27,0
2020-08-10,15.16,15.16,15.16,15.27,0
2020-08-11,15.16,15.16,15.16,15.27,0
2020-08-12,15.16,15.16,15.16,15.27,0
2020-08-13,15.16,15.16,15.16,15.27,0
2020-08-14,15.27,15.27,15.27,15.27,2146
2020-08-17,15.27,15.27,15.27,15.27,0
2020-08-18,15.27,15.27,15.27,15.27,0
2020-08-19,15.27,15.27,15.27,15.27,0
