time,open,high,low,close,volume
2020-01-06,3.48,3.48,3.42,3.48,48936
2020-01-07,3.48,3.86,3.48,3.79,429204
2020-01-08,3.73,3.79,3.54,3.73,132184
2020-01-09,3.67,3.86,3.61,3.79,71500
2020-01-10,3.79,4.04,3.79,3.92,247702
2020-01-13,3.79,3.86,3.36,3.73,141146
2020-01-14,3.61,3.86,3.54,3.86,181901
2020-01-15,3.86,3.98,3.86,3.98,87200
2020-01-16,3.92,4.04,3.79,4.04,218810
2020-01-17,3.98,4.1,3.92,4.1,94035
2020-01-20,4.04,4.23,3.98,4.23,89400
2020-01-21,4.17,4.42,3.98,3.98,259900
2020-01-22,4.04,4.23,3.92,4.17,29913
2020-01-30,4.04,4.1,3.98,4.04,56900
2020-01-31,3.98,4.17,3.98,4.17,140754
2020-02-03,3.98,3.98,3.48,3.92,174185
2020-02-04,3.73,4.29,3.73,4.29,471825
2020-02-05,4.29,4.85,4.23,4.42,707263
2020-02-06,4.73,4.85,4.23,4.35,293939
2020-02-07,4.29,4.42,4.23,4.29,118965
2020-02-10,4.29,4.91,4.29,4.91,495066
2020-02-11,4.79,5.04,4.73,5.04,489288
2020-02-12,4.85,4.97,4.79,4.91,165306
2020-02-13,4.85,5.35,4.85,5.28,553713
2020-02-14,5.1,5.28,4.97,5.28,318610
2020-02-17,5.22,5.28,4.97,5.28,265092
2020-02-18,5.4,5.67,5.08,5.67,407664
2020-02-19,5.4,5.73,5.4,5.4,350014
2020-02-20,5.47,5.67,5.4,5.54,237009
2020-02-21,5.47,5.47,5.14,5.27,75879
2020-02-24,5.27,5.67,4.81,5.4,474444
2020-02-25,5.34,5.8,5.34,5.73,426017
2020-02-26,5.67,5.67,5.54,5.6,408959
2020-02-27,5.47,5.47,5.27,5.27,99960
2020-02-28,5.34,5.34,5.01,5.08,66876
2020-03-02,4.94,5.21,4.88,4.94,67093
2020-03-03,5.01,5.14,4.88,4.94,87062
2020-03-04,4.88,5.01,4.81,5.01,39308
2020-03-05,4.94,5.01,4.94,5.01,66814
2020-03-06,4.94,5.08,4.75,5.01,72956
2020-03-09,4.94,4.94,4.55,4.68,163305
2020-03-10,4.28,4.81,4.15,4.68,203820
2020-03-11,4.61,4.81,4.48,4.68,92700
2020-03-12,4.55,4.61,4.42,4.61,92275
2020-03-13,4.42,4.68,4.42,4.68,83419
2020-03-16,4.55,4.88,4.55,4.81,98995
2020-03-17,4.68,4.81,4.68,4.81,59010
2020-03-18,4.75,4.88,4.75,4.88,57289
2020-03-19,4.81,4.81,4.61,4.75,98646
2020-03-20,4.61,4.94,4.61,4.94,91919
2020-03-23,4.81,4.81,4.68,4.75,37624
2020-03-24,4.68,4.75,4.61,4.61,5355
2020-03-25,4.68,4.68,4.61,4.68,39435
2020-03-26,4.55,4.61,4.22,4.61,23223
2020-03-27,4.55,4.55,4.42,4.42,29146
2020-03-30,4.42,4.48,4.35,4.35,11978
2020-03-31,4.28,4.75,3.76,4.42,55180
2020-04-01,4.09,4.35,4.09,4.28,29009
2020-04-03,4.15,4.48,4.15,4.42,29140
2020-04-06,4.22,4.55,4.22,4.55,17505
2020-04-07,4.42,4.42,4.35,4.35,27897
2020-04-08,4.28,4.42,4.28,4.42,13375
2020-04-09,4.35,4.48,4.35,4.35,42666
2020-04-10,4.35,4.42,4.35,4.42,21369
2020-04-13,4.35,4.48,4.35,4.42,14858
2020-04-14,4.35,4.42,4.28,4.35,15238
2020-04-15,4.35,4.42,4.28,4.35,15095
2020-04-16,4.35,4.42,4.28,4.35,48697
2020-04-17,4.35,4.55,4.35,4.42,63823
2020-04-20,4.42,4.94,4.42,4.75,116612
2020-04-21,4.81,4.81,4.48,4.48,54130
2020-04-22,4.61,4.68,4.48,4.61,39319
2020-04-23,4.68,5.01,4.68,4.81,95875
2020-04-24,4.81,4.81,4.61,4.81,24759
2020-04-27,4.81,4.81,4.61,4.75,29862
2020-04-28,4.75,4.75,4.55,4.68,31177
2020-04-29,4.61,4.75,4.61,4.61,9895
2020-05-04,4.68,4.68,4.42,4.61,62740
2020-05-05,4.61,4.68,4.55,4.55,12891
2020-05-06,4.61,4.68,4.55,4.61,22499
2020-05-07,4.61,4.68,4.48,4.68,69672
2020-05-08,4.68,4.88,4.68,4.75,155422
2020-05-11,4.88,4.88,4.75,4.88,57788
2020-05-12,4.81,4.88,4.75,4.88,77128
2020-05-13,4.75,4.81,4.68,4.75,85558
2020-05-14,4.68,4.88,4.68,4.68,70247
2020-05-15,4.68,4.68,4.61,4.68,54164
2020-05-18,4.61,4.61,4.61,4.61,59490
2020-05-19,4.61,5.21,4.61,5.01,1015977
2020-05-20,5.08,5.4,5.08,5.14,212270
2020-05-21,5.14,5.14,4.94,5.01,54303
2020-05-22,5.01,5.08,4.94,4.94,82106
2020-05-25,4.94,4.94,4.88,4.94,124863
2020-05-26,4.94,5.14,4.88,5.08,69802
2020-05-27,5.01,5.14,4.88,4.94,80432
2020-05-28,5.01,5.01,4.88,4.88,39090
2020-05-29,4.88,4.94,4.88,4.88,45442
2020-06-01,4.88,4.94,4.81,4.88,130430
2020-06-02,4.81,5.01,4.81,4.94,110747
2020-06-03,4.88,5.01,4.88,5.01,73056
2020-06-04,4.94,5.01,4.88,4.94,171569
2020-06-05,4.94,4.94,4.88,4.94,161479
2020-06-08,4.94,5.14,4.88,5.08,497621
2020-06-09,5.08,5.14,5.01,5.01,178601
2020-06-10,5.08,5.54,5.01,5.34,521056
2020-06-11,5.34,5.54,5.01,5.08,407992
2020-06-12,5.01,5.01,4.68,4.94,174619
2020-06-15,4.88,4.88,4.68,4.75,393506
2020-06-16,4.75,4.81,4.68,4.81,167331
2020-06-17,4.81,4.81,4.68,4.75,165072
2020-06-18,4.75,4.81,4.68,4.75,89546
2020-06-19,4.75,4.88,4.68,4.81,77316
2020-06-22,4.81,4.81,4.75,4.81,90573
2020-06-23,4.75,4.81,4.68,4.81,264459
2020-06-24,4.75,4.81,4.68,4.75,129258
2020-06-25,4.75,4.75,4.55,4.61,189578
2020-06-26,4.61,4.61,4.48,4.55,166547
2020-06-29,4.55,4.55,4.15,4.28,159911
2020-06-30,4.15,4.35,4.15,4.22,103905
2020-07-01,4.22,4.48,4.22,4.48,71767
