time,open,high,low,close,volume
2020-01-06,1.74,1.78,1.74,1.75,459770
2020-01-07,1.74,1.76,1.74,1.74,228680
2020-01-08,1.74,1.75,1.71,1.74,534470
2020-01-09,1.71,1.75,1.69,1.71,245920
2020-01-10,1.72,1.72,1.67,1.71,357900
2020-01-13,1.7,1.76,1.64,1.71,928170
2020-01-14,1.71,1.75,1.69,1.71,354740
2020-01-15,1.71,1.73,1.68,1.71,444000
2020-01-16,1.71,1.72,1.66,1.71,429090
2020-01-17,1.66,1.71,1.66,1.71,549110
2020-01-20,1.7,1.7,1.66,1.68,157610
2020-01-21,1.68,1.79,1.66,1.76,1489720
2020-01-22,1.76,1.78,1.68,1.74,440670
2020-01-30,1.77,1.77,1.68,1.72,311440
2020-01-31,1.72,1.76,1.64,1.71,1999240
2020-02-03,1.61,1.7,1.59,1.7,470200
2020-02-04,1.62,1.71,1.62,1.7,393920
2020-02-05,1.7,1.7,1.64,1.65,319580
2020-02-06,1.67,1.73,1.64,1.69,1117450
2020-02-07,1.69,1.71,1.67,1.68,168780
2020-02-10,1.68,1.69,1.66,1.68,111750
2020-02-11,1.68,1.68,1.66,1.66,236660
2020-02-12,1.66,1.68,1.61,1.66,578560
2020-02-13,1.66,1.68,1.62,1.66,426230
2020-02-14,1.64,1.66,1.61,1.64,366540
2020-02-17,1.64,1.64,1.59,1.62,245090
2020-02-18,1.62,1.63,1.57,1.61,265620
2020-02-19,1.5,1.57,1.5,1.53,1213850
2020-02-20,1.54,1.64,1.54,1.64,2066280
2020-02-21,1.66,1.74,1.66,1.74,1626550
2020-02-24,1.71,1.76,1.63,1.74,730780
2020-02-25,1.64,1.71,1.64,1.66,426450
2020-02-26,1.65,1.69,1.57,1.64,607140
2020-02-27,1.64,1.74,1.64,1.73,1612610
2020-02-28,1.74,1.85,1.7,1.76,791670
2020-03-02,1.68,1.83,1.68,1.76,1027980
2020-03-03,1.76,1.85,1.75,1.76,1202740
2020-03-04,1.74,1.78,1.73,1.74,321820
2020-03-05,1.75,1.85,1.75,1.78,1549130
2020-03-06,1.78,1.78,1.71,1.76,414060
2020-03-09,1.67,1.72,1.64,1.66,407180
2020-03-10,1.64,1.66,1.57,1.66,279710
2020-03-11,1.66,1.74,1.62,1.67,684440
2020-03-12,1.59,1.64,1.57,1.58,186630
2020-03-13,1.52,1.59,1.48,1.58,200480
2020-03-16,1.58,1.63,1.5,1.61,370960
2020-03-17,1.61,1.64,1.61,1.64,475110
2020-03-18,1.64,1.68,1.64,1.68,480120
2020-03-19,1.68,1.68,1.61,1.65,250090
2020-03-20,1.64,1.66,1.63,1.64,211620
2020-03-23,1.63,1.64,1.53,1.55,247500
