time,open,high,low,close,volume
2020-01-06,5.69,5.69,5.69,5.69,100
2020-01-07,5.56,5.69,5.5,5.69,400
2020-01-08,5.62,5.62,5.62,5.62,100
2020-01-09,5.62,5.62,5.62,5.62,100
2020-01-10,5.62,5.62,5.62,5.62,100
2020-01-13,5.56,5.56,5.56,5.56,100
2020-01-14,5.56,5.56,5.56,5.56,100
2020-01-15,5.56,5.56,5.56,5.56,100
2020-01-16,5.56,5.56,5.56,5.56,100
2020-01-17,5.44,5.5,5.06,5.5,1400
2020-01-20,5.44,5.5,5.44,5.5,900
2020-01-21,5.44,5.44,5.44,5.44,100
2020-01-22,5.38,5.38,5.38,5.38,100
2020-01-30,5.62,5.62,5.62,5.62,100
2020-01-31,6.19,6.19,6.19,6.19,4600
2020-02-03,5.88,5.88,5.62,5.62,200
2020-02-04,5.62,5.62,5.62,5.62,100
2020-02-05,5.62,5.62,5.62,5.62,100
2020-02-06,5.5,5.5,5.5,5.5,100
2020-02-07,5.5,5.5,5.5,5.5,100
2020-02-10,5.62,5.62,5.62,5.62,100
2020-02-11,5.62,5.62,5.62,5.62,100
2020-02-12,5.5,5.5,5.5,5.5,100
2020-02-13,5.56,5.56,5.56,5.56,100
2020-02-14,5.5,5.5,5.25,5.5,310
2020-02-17,5.44,5.44,5.44,5.44,100
2020-02-18,5.5,5.5,5.5,5.5,100
2020-02-19,5.5,5.5,5.5,5.5,100
2020-02-20,5.5,5.56,5.0,5.56,10400
2020-02-21,5.56,5.56,5.06,5.06,2300
2020-02-24,5.0,5.0,5.0,5.0,100
2020-02-25,5.0,5.0,5.0,5.0,100
2020-02-26,5.19,5.19,5.19,5.19,100
2020-02-27,5.12,5.12,5.12,5.12,43600
2020-02-28,5.06,5.06,5.06,5.06,100
2020-03-02,5.0,5.0,4.62,4.62,800
2020-03-03,4.62,5.0,4.62,5.0,200
2020-03-04,5.06,5.31,5.06,5.31,300
2020-03-05,5.5,5.5,5.5,5.5,100
2020-03-06,5.56,5.56,5.56,5.56,100
2020-03-09,5.44,5.44,5.06,5.06,200
2020-03-10,5.0,5.0,4.56,5.0,1100
2020-03-11,5.19,5.19,5.19,5.19,100
2020-03-12,5.19,5.19,5.19,5.19,400
2020-03-13,5.19,5.56,5.19,5.56,6300
2020-03-16,5.44,5.56,5.44,5.56,1500
2020-03-17,5.56,5.62,5.56,5.62,3000
2020-03-18,5.62,5.62,5.62,5.62,600
2020-03-19,5.62,5.62,5.06,5.06,1100
2020-03-20,5.38,5.44,4.56,5.0,1800
2020-03-23,5.38,5.38,5.38,5.38,300
2020-03-24,5.44,5.44,5.44,5.44,100
2020-03-25,5.44,5.44,5.44,5.44,100
2020-03-26,5.44,5.44,4.94,5.31,300
2020-03-27,5.56,5.56,5.56,5.56,100
2020-03-30,5.69,5.69,5.69,5.69,100
2020-03-31,5.62,5.62,5.62,5.62,100
2020-04-01,5.62,5.62,5.62,5.62,100
2020-04-03,5.62,5.62,5.62,5.62,100
2020-04-06,5.62,5.62,5.62,5.62,100
2020-04-07,5.62,5.62,5.62,5.62,100
2020-04-08,5.62,5.62,5.62,5.62,100
2020-04-09,5.94,5.94,5.06,5.06,200
2020-04-10,5.5,5.5,5.5,5.5,100
2020-04-13,5.5,5.5,5.5,5.5,100
2020-04-14,5.5,5.5,5.0,5.0,200
2020-04-15,5.38,5.38,4.5,4.5,5000
2020-04-16,4.5,4.75,4.06,4.75,12900
2020-04-17,4.88,4.88,4.88,4.88,1100
2020-04-20,5.25,5.25,5.25,5.25,100
2020-04-21,5.06,5.06,5.06,5.06,100
2020-04-22,4.75,4.75,4.75,4.75,100
2020-04-23,4.31,4.94,4.31,4.69,4200
2020-04-24,4.69,4.69,4.69,4.69,110
2020-04-27,4.69,4.69,4.69,4.69,0
2020-04-28,4.62,4.62,4.62,4.62,100
2020-04-29,4.19,5.0,4.19,5.0,4700
2020-05-04,5.0,5.0,5.0,5.0,100
2020-05-05,5.0,5.0,5.0,5.0,100
2020-05-06,5.0,5.0,5.0,5.0,100
2020-05-07,5.0,5.25,5.0,5.25,1100
2020-05-08,5.25,5.25,5.25,5.25,101
2020-05-11,5.25,5.25,5.25,5.25,100
2020-05-12,5.25,5.25,4.75,4.75,600
2020-05-13,4.88,4.88,4.75,4.88,489
2020-05-14,4.88,5.0,4.88,5.0,600
2020-05-15,5.0,5.0,5.0,5.0,200
2020-05-18,5.38,5.38,4.5,5.0,5500
2020-05-19,5.44,5.44,5.44,5.44,100
2020-05-20,5.44,5.44,5.44,5.44,6
2020-05-21,5.12,5.19,5.12,5.19,300
2020-05-22,5.0,5.0,4.69,4.94,31100
2020-05-25,4.69,4.88,4.5,4.69,1500
2020-05-26,4.81,4.81,4.69,4.69,200
2020-05-27,4.88,5.12,4.88,5.12,2400
2020-05-28,5.12,5.12,5.12,5.12,300
2020-05-29,5.12,5.12,4.62,5.0,300
2020-06-01,5.44,5.44,5.44,5.44,100
2020-06-02,5.44,5.44,5.44,5.44,200
2020-06-03,5.38,5.38,5.38,5.38,600
2020-06-04,5.19,5.19,5.19,5.19,200
2020-06-05,5.06,5.06,5.06,5.06,500
2020-06-08,5.06,5.06,4.56,4.56,9300
2020-06-09,4.69,4.69,4.38,4.69,16400
2020-06-10,4.69,4.69,4.38,4.69,3800
2020-06-11,4.69,4.69,4.31,4.69,20000
2020-06-12,4.69,4.69,4.44,4.69,5300
2020-06-15,4.69,4.69,4.69,4.69,500
2020-06-16,4.69,4.69,4.31,4.69,1200
2020-06-17,4.69,4.69,4.69,4.69,200
2020-06-18,4.69,4.69,4.69,4.69,0
2020-06-19,4.56,4.56,4.56,4.56,100
2020-06-22,4.56,4.56,4.56,4.56,100
2020-06-23,4.56,4.56,4.5,4.5,3900
2020-06-24,4.5,4.56,4.5,4.5,2900
2020-06-25,4.5,4.56,4.5,4.5,2500
2020-06-26,4.31,4.5,4.31,4.5,3400
2020-06-29,4.5,4.5,4.38,4.5,2300
2020-06-30,4.38,4.5,4.38,4.5,1100
2020-07-01,4.5,4.5,4.44,4.44,2700
2020-07-02,4.5,4.5,4.44,4.44,3200
2020-07-03,4.44,4.44,4.38,4.38,2200
2020-07-06,4.38,4.38,4.38,4.38,200
2020-07-07,4.38,4.44,4.38,4.38,62504
2020-07-08,4.44,4.5,4.44,4.5,10500
2020-07-09,4.5,4.5,4.38,4.38,1100
2020-07-10,4.44,4.44,4.44,4.44,100
2020-07-13,4.5,4.5,4.5,4.5,500
2020-07-14,4.5,4.5,4.5,4.5,100
2020-07-15,4.5,4.5,4.5,4.5,100
2020-07-16,4.5,4.5,4.38,4.38,1700
2020-07-17,4.44,4.81,4.44,4.81,5500
2020-07-20,4.81,4.81,4.81,4.81,200
2020-07-21,4.81,4.81,4.81,4.81,104
2020-07-22,4.81,4.81,4.5,4.5,1100
2020-07-23,4.44,4.44,4.38,4.38,3000
2020-07-24,4.38,4.38,4.38,4.38,100
2020-07-27,4.5,4.5,4.5,4.5,200
2020-07-28,4.5,4.5,4.5,4.5,0
2020-07-29,4.5,4.5,4.19,4.19,5200
2020-07-30,4.38,4.38,4.38,4.38,200
2020-07-31,4.44,4.62,4.44,4.62,7500
2020-08-03,4.62,4.62,4.31,4.31,2700
2020-08-04,4.5,4.5,4.5,4.5,6100
2020-08-05,4.5,4.69,4.5,4.69,10000
2020-08-06,4.69,4.69,4.62,4.62,3100
2020-08-07,4.62,4.62,4.62,4.62,200
2020-08-10,4.62,4.62,4.5,4.62,2200
2020-08-11,4.62,4.62,4.62,4.62,500
2020-08-12,4.62,4.62,4.62,4.62,500
2020-08-13,4.44,4.44,4.44,4.44,200
2020-08-14,4.44,4.44,4.44,4.44,200
