time,open,high,low,close,volume
2025-08-08,888.8,888.8,888.8,888.8,400
2025-08-11,1022.1,1022.1,1022.1,1022.1,3067
2025-08-12,1175.4,1175.4,1133.0,1175.4,45229
2025-08-13,1250.0,1250.0,1160.0,1180.0,15165
2025-08-14,1190.0,1224.0,1120.0,1150.0,28633
2025-08-15,1157.3,1170.0,1150.0,1162.4,10685
2025-08-18,1125.0,1150.0,1050.0,1100.0,10095
2025-08-19,990.0,1112.3,990.0,1050.0,5834
2025-08-20,1042.2,1042.2,1000.1,1038.9,6489
2025-08-21,1099.0,1099.0,1001.0,1038.0,3053
2025-08-22,1001.2,1025.0,1001.1,1007.0,1233
2025-08-25,1000.1,1050.1,1000.1,1014.9,2275
2025-08-26,1014.9,1038.0,1014.9,1038.0,4591
2025-08-27,1028.1,1040.0,1028.0,1040.0,3439
2025-08-28,1030.0,1070.0,1030.0,1055.0,2271
2025-08-29,1058.0,1066.0,1054.0,1060.0,3956
2025-09-03,1057.0,1075.0,1057.0,1068.0,2989
2025-09-04,1068.0,1100.0,1068.0,1087.8,7127
2025-09-05,1088.0,1149.9,1081.0,1101.0,12220
2025-09-08,1100.0,1147.0,1100.0,1125.9,1890
2025-09-09,1118.7,1130.0,1110.0,1110.3,1463
2025-09-10,1129.0,1129.0,1110.4,1111.1,3176
2025-09-11,1111.1,1118.6,1100.1,1100.1,2241
2025-09-12,1115.0,1115.8,1111.1,1114.8,2141
2025-09-15,1051.4,1116.0,1051.4,1108.8,2967
2025-09-16,1100.6,1105.0,1085.0,1095.0,4907
2025-09-17,1115.0,1115.0,1099.0,1099.0,1473
2025-09-18,1100.0,1100.0,1070.0,1071.3,2988
2025-09-19,1090.0,1090.0,1080.0,1080.0,1633
2025-09-22,1082.5,1082.5,1066.0,1075.0,2162
2025-09-23,1075.0,1080.0,1070.0,1080.0,2033
2025-09-24,1080.0,1080.0,1076.0,1077.5,1052
2025-09-25,1077.4,1079.0,1076.0,1076.0,1359
2025-09-26,1077.5,1079.0,1068.0,1070.0,2626
2025-09-29,1070.1,1071.0,1070.0,1070.0,887
2025-09-30,1070.0,1071.0,1066.2,1070.0,2066
2025-10-01,1069.0,1070.0,1068.0,1070.0,1464
2025-10-02,1068.6,1068.6,1060.0,1060.0,1523
2025-10-03,1059.5,1059.9,1052.0,1053.0,3252
2025-10-06,1052.0,1099.0,1052.0,1058.0,1005
2025-10-07,1069.3,1069.3,1063.0,1065.0,667
2025-10-08,1064.0,1065.0,1058.0,1061.0,1400
2025-10-09,1130.0,1130.0,1071.0,1073.0,2965
2025-10-10,1094.9,1094.9,1069.1,1069.1,513
2025-10-13,1061.0,1079.8,1061.0,1068.0,1501
2025-10-14,1099.0,1099.0,1073.0,1073.0,403
2025-10-15,1071.0,1071.0,1056.0,1056.1,1202
2025-10-16,1062.0,1064.9,1045.0,1064.9,937
2025-10-17,1070.0,1070.0,1052.0,1061.9,3228
2025-10-20,1051.0,1063.0,1050.0,1050.0,2235
2025-10-21,1053.0,1063.0,1050.0,1063.0,2510
2025-10-22,1060.0,1060.0,1045.0,1050.0,8717
2025-10-23,1026.0,1069.0,1026.0,1069.0,5372
