time,open,high,low,close,volume
2020-01-06,9.0,9.05,8.96,8.96,175250
2020-01-07,8.96,8.96,8.87,8.92,173070
2020-01-08,8.83,8.83,8.56,8.74,413820
2020-01-09,8.77,8.83,8.7,8.7,123650
2020-01-10,8.7,8.78,8.7,8.78,162440
2020-01-13,8.78,8.78,8.73,8.78,102200
2020-01-14,8.78,8.78,8.71,8.78,105360
2020-01-15,8.78,8.78,8.71,8.77,414730
2020-01-16,8.77,8.77,8.7,8.77,534730
2020-01-17,8.77,8.78,8.71,8.78,116340
2020-01-20,8.74,8.78,8.74,8.74,53810
2020-01-21,8.74,8.83,8.74,8.76,257720
2020-01-22,8.76,9.05,8.76,9.05,293000
2020-01-30,8.96,9.0,8.74,8.78,270410
2020-01-31,8.78,8.78,8.26,8.52,182030
2020-02-03,7.93,8.52,7.93,8.52,945060
2020-02-04,8.28,8.52,8.28,8.51,306760
2020-02-05,8.48,8.48,8.17,8.17,322240
2020-02-06,8.17,8.42,8.17,8.38,159480
2020-02-07,8.39,8.39,8.26,8.35,241770
2020-02-10,8.35,8.35,8.18,8.33,299730
2020-02-11,8.33,8.41,8.26,8.33,409230
2020-02-12,8.35,8.61,8.28,8.56,466670
2020-02-13,8.56,8.67,8.48,8.5,348610
2020-02-14,8.5,8.64,8.43,8.54,285560
2020-02-17,8.56,8.56,8.43,8.43,112360
2020-02-18,8.48,8.61,8.42,8.44,162290
2020-02-19,8.44,8.59,8.44,8.5,85040
2020-02-20,8.5,8.6,8.5,8.56,328050
2020-02-21,8.56,9.0,8.56,8.77,1238870
2020-02-24,8.72,8.72,8.16,8.25,327760
2020-02-25,8.18,8.38,8.16,8.38,200260
2020-02-26,8.2,8.28,8.04,8.18,316420
2020-02-27,8.26,8.26,8.16,8.26,431560
2020-02-28,8.2,8.2,7.91,8.08,269260
2020-03-02,8.08,8.17,8.02,8.03,211180
2020-03-03,8.08,8.22,8.08,8.08,110760
2020-03-04,8.07,8.19,8.07,8.17,243010
2020-03-05,8.25,8.4,8.25,8.37,448810
2020-03-06,8.37,8.37,8.18,8.35,49050
2020-03-09,7.77,8.26,7.76,7.76,744690
2020-03-10,7.23,7.77,7.23,7.42,1121920
2020-03-11,7.42,7.73,6.9,7.18,1279870
2020-03-12,6.68,6.87,6.68,6.69,739450
2020-03-13,6.24,6.46,6.23,6.24,2158430
2020-03-16,6.24,6.39,6.11,6.15,1481970
2020-03-17,5.88,6.15,5.88,6.15,307060
2020-03-18,6.41,6.58,6.41,6.58,869770
2020-03-19,6.63,6.68,6.41,6.54,337580
2020-03-20,6.76,6.76,6.45,6.64,123940
2020-03-23,6.32,6.41,6.18,6.18,400320
2020-03-24,6.06,6.28,5.88,6.16,466070
2020-03-25,6.35,6.46,6.24,6.33,322370
2020-03-26,6.32,6.46,6.15,6.15,330900
2020-03-27,6.15,6.32,6.12,6.15,416020
2020-03-30,6.1,6.13,5.85,5.96,287020
2020-03-31,5.96,6.14,5.71,5.96,365790
2020-04-01,6.06,6.38,6.04,6.38,620370
2020-04-03,6.5,6.71,6.49,6.66,696770
2020-04-06,6.81,6.98,6.78,6.9,667780
2020-04-07,6.9,7.0,6.81,6.98,358900
2020-04-08,6.9,7.02,6.76,6.98,274120
2020-04-09,6.97,7.18,6.97,7.18,1609630
2020-04-10,7.18,7.2,7.07,7.12,179150
2020-04-13,7.12,7.3,7.12,7.29,857200
2020-04-14,7.29,7.31,7.12,7.2,714020
2020-04-15,7.2,7.34,7.18,7.21,666920
2020-04-16,7.16,7.27,7.13,7.19,564210
2020-04-17,7.25,7.34,7.19,7.2,956520
2020-04-20,7.3,7.68,7.19,7.56,2311420
2020-04-21,7.47,7.47,7.1,7.1,1398170
2020-04-22,7.03,7.23,6.85,7.16,753970
2020-04-23,7.34,7.44,7.22,7.26,749490
2020-04-24,7.22,7.26,7.12,7.2,548810
2020-04-27,7.38,7.49,7.26,7.38,1165000
2020-04-28,7.64,7.89,7.55,7.89,2144380
