time,open,high,low,close,volume
2020-01-06,14.55,16.65,14.55,16.65,20180
2020-01-07,16.65,16.65,16.65,16.65,0
2020-01-08,16.65,16.65,16.65,16.65,0
2020-01-09,17.0,17.0,15.6,15.6,90
2020-01-10,16.55,16.55,16.55,16.55,10
2020-01-13,15.4,15.4,15.4,15.4,10
2020-01-14,14.35,14.35,14.35,14.35,10
2020-01-15,13.35,14.0,13.35,13.35,1170
2020-01-16,12.65,12.65,12.45,12.45,8410
2020-01-17,13.3,13.3,12.45,12.45,2010
2020-01-20,13.2,13.2,13.2,13.2,10
2020-01-21,12.35,12.35,12.3,12.3,1520
2020-01-22,12.0,13.0,11.5,13.0,7030
2020-01-30,12.1,13.8,12.1,13.8,6430
2020-01-31,13.7,13.8,13.7,13.8,1610
2020-02-03,13.8,13.8,13.8,13.8,0
2020-02-04,13.1,13.1,13.1,13.1,1030
2020-02-05,12.3,12.3,12.2,12.2,840
2020-02-06,12.2,12.8,12.2,12.8,680
2020-02-07,12.2,12.2,12.2,12.2,200
2020-02-10,13.0,13.0,12.0,12.0,370
2020-02-11,12.2,12.2,12.0,12.0,1890
2020-02-12,12.7,12.8,12.5,12.7,2500
2020-02-13,12.0,12.7,12.0,12.7,10630
2020-02-14,12.1,12.1,12.1,12.1,10
2020-02-17,11.6,12.7,11.6,12.7,40
2020-02-18,12.7,12.7,12.7,12.7,0
2020-02-19,12.7,12.7,12.7,12.7,0
2020-02-20,12.5,12.5,12.5,12.5,60
2020-02-21,12.5,12.5,12.5,12.5,110
2020-02-24,12.5,12.5,12.5,12.5,10
2020-02-25,12.3,12.3,12.3,12.3,150
2020-02-26,13.0,13.0,13.0,13.0,10
2020-02-27,12.15,12.7,12.15,12.7,50
2020-02-28,13.0,13.45,13.0,13.3,2060
2020-03-02,12.4,12.7,12.4,12.7,2170
2020-03-03,12.25,12.95,12.25,12.95,50
2020-03-04,12.95,12.95,12.95,12.95,0
2020-03-05,12.95,12.95,12.95,12.95,10
2020-03-06,12.1,12.1,12.1,12.1,1440
2020-03-09,12.85,12.9,12.0,12.0,9230
2020-03-10,12.0,12.0,12.0,12.0,0
2020-03-11,11.2,12.7,11.2,12.7,1610
2020-03-12,11.85,12.65,11.85,12.65,870
2020-03-13,12.65,12.65,12.65,12.65,0
2020-03-16,12.65,12.65,11.8,12.0,2090
2020-03-17,11.35,11.35,11.35,11.35,10
2020-03-18,11.35,11.9,10.6,10.75,300
2020-03-19,11.0,11.0,10.6,10.6,20
2020-03-20,10.0,11.25,9.86,9.86,6240
2020-03-23,9.17,9.17,9.17,9.17,4100
2020-03-24,8.53,9.17,8.53,9.17,140
2020-03-25,9.5,9.5,8.53,8.53,3150
2020-03-26,8.53,8.53,8.53,8.53,0
2020-03-27,9.0,9.0,9.0,9.0,30
2020-03-30,8.4,8.98,8.4,8.98,510
2020-03-31,8.98,8.98,8.98,8.98,0
2020-04-01,8.36,8.36,8.36,8.36,1280
2020-04-03,8.92,8.92,8.92,8.92,20
2020-04-06,9.49,9.49,8.39,9.37,4830
2020-04-07,9.37,9.37,9.37,9.37,0
2020-04-08,9.37,9.37,9.37,9.37,0
2020-04-09,8.72,9.29,8.72,9.29,120
2020-04-10,9.29,9.29,9.29,9.29,0
2020-04-13,9.29,9.29,9.29,9.29,0
2020-04-14,8.64,9.24,8.64,9.24,230
2020-04-15,8.65,8.65,8.65,8.65,10
2020-04-16,8.99,9.25,8.8,9.25,2790
2020-04-17,9.49,9.5,9.0,9.48,2080
2020-04-20,10.0,10.0,9.5,9.9,1320
2020-04-21,9.21,9.89,9.21,9.89,880
2020-04-22,9.99,9.99,9.99,9.99,10
2020-04-23,9.99,9.99,9.3,9.98,80
