time,open,high,low,close,volume
2020-01-06,10.43,10.43,10.43,10.43,0
2020-01-07,10.43,10.43,10.43,10.43,0
2020-01-08,10.43,10.43,10.43,10.43,0
2020-01-09,10.43,10.43,10.43,10.43,0
2020-01-10,10.43,10.43,10.43,10.43,0
2020-01-13,10.43,10.43,10.43,10.43,0
2020-01-14,10.43,10.43,10.43,10.43,0
2020-01-15,10.43,10.43,10.43,10.43,0
2020-01-16,10.43,10.43,10.43,10.43,0
2020-01-17,10.43,10.43,10.43,10.43,0
2020-01-20,10.43,10.43,10.43,10.43,0
2020-01-21,10.43,10.43,10.43,10.43,0
2020-01-22,10.43,10.43,10.43,10.43,0
2020-01-30,10.43,10.43,10.43,10.43,0
2020-01-31,10.43,10.43,10.43,10.43,0
2020-02-03,10.43,10.43,10.43,10.43,0
2020-02-04,10.43,10.43,10.43,10.43,0
2020-02-05,10.43,10.43,10.43,10.43,0
2020-02-06,8.92,8.92,8.92,8.92,500
2020-02-07,8.92,8.92,8.92,8.92,0
2020-02-10,8.92,8.92,8.92,8.92,0
2020-02-11,8.92,8.92,8.92,8.92,0
2020-02-12,8.92,8.92,8.92,8.92,0
2020-02-13,8.92,8.92,8.92,8.92,0
2020-02-14,8.92,8.92,8.92,8.92,0
2020-02-17,8.92,8.92,8.92,8.92,0
2020-02-18,8.92,8.92,8.92,8.92,0
2020-02-19,8.92,8.92,8.92,8.92,0
2020-02-20,8.92,8.92,8.92,8.92,0
2020-02-21,8.92,8.92,8.92,8.92,0
2020-02-24,8.92,8.92,8.92,8.92,0
2020-02-25,8.92,8.92,8.92,8.92,0
2020-02-26,8.92,8.92,8.92,8.92,0
2020-02-27,8.92,8.92,8.92,8.92,0
2020-02-28,8.92,8.92,8.92,8.92,0
2020-03-02,8.92,8.92,8.92,8.92,0
2020-03-03,8.92,8.92,8.92,8.92,0
2020-03-04,8.92,8.92,8.92,8.92,0
2020-03-05,10.16,10.16,10.16,10.16,100
2020-03-06,10.16,10.16,10.16,10.16,0
2020-03-09,10.16,10.16,10.16,10.16,0
2020-03-10,10.16,10.16,10.16,10.16,0
2020-03-11,10.16,10.16,10.16,10.16,0
2020-03-12,10.16,10.16,10.16,10.16,0
2020-03-13,10.16,10.16,10.16,10.16,0
2020-03-16,10.16,10.16,10.16,10.16,0
2020-03-17,8.75,8.75,8.75,8.75,2000
2020-03-18,7.51,7.51,7.51,7.51,2000
2020-03-19,7.51,7.51,7.51,7.51,2000
2020-03-20,7.51,7.51,7.51,7.51,0
2020-03-23,7.51,7.51,7.51,7.51,0
2020-03-24,7.51,7.51,7.51,7.51,0
2020-03-25,7.51,7.51,7.51,7.51,0
2020-03-26,7.51,7.51,7.51,7.51,0
2020-03-27,7.51,7.51,7.51,7.51,0
2020-03-30,7.51,7.51,7.51,7.51,0
2020-03-31,7.51,7.51,7.51,7.51,0
2020-04-01,7.51,7.51,7.51,7.51,0
2020-04-03,7.51,7.51,7.51,7.51,0
2020-04-06,7.51,7.51,7.51,7.51,0
