time,open,high,low,close,volume
2020-01-06,4.57,4.6,4.33,4.33,14558890
2020-01-07,4.38,4.55,4.33,4.46,7071080
2020-01-08,4.39,4.4,4.28,4.28,8294610
2020-01-09,4.38,4.42,4.31,4.31,5811070
2020-01-10,4.32,4.37,4.2,4.2,6384520
2020-01-13,4.29,4.29,4.03,4.04,6896010
2020-01-14,4.02,4.2,4.02,4.2,4686600
2020-01-15,4.2,4.26,4.13,4.15,3078640
2020-01-16,4.18,4.19,4.09,4.11,3494960
2020-01-17,4.1,4.22,4.09,4.12,4414520
2020-01-20,4.16,4.17,4.1,4.15,3512190
2020-01-21,4.15,4.28,4.15,4.25,3562810
2020-01-22,4.26,4.41,4.24,4.41,5033450
2020-01-30,4.32,4.33,4.13,4.15,6557840
2020-01-31,4.1,4.27,3.98,3.98,9982620
2020-02-03,3.75,3.93,3.71,3.8,15302200
2020-02-04,3.81,3.91,3.76,3.81,5540230
2020-02-05,3.88,3.88,3.8,3.82,4966070
2020-02-06,3.82,3.94,3.8,3.92,7613800
2020-02-07,3.91,4.12,3.86,4.03,6082670
2020-02-10,4.0,4.03,3.92,3.93,4803870
2020-02-11,3.94,4.06,3.94,3.97,4596290
2020-02-12,4.06,4.08,3.99,4.03,4528700
2020-02-13,4.02,4.05,3.99,4.0,5307540
2020-02-14,4.02,4.09,3.99,3.99,5459080
2020-02-17,4.1,4.15,4.02,4.05,5148850
2020-02-18,4.07,4.07,4.0,4.01,3124910
2020-02-19,4.01,4.18,4.01,4.12,7728720
2020-02-20,4.14,4.22,4.1,4.1,4594060
2020-02-21,4.09,4.1,4.0,4.01,6104610
2020-02-24,3.91,3.93,3.73,3.73,19077270
2020-02-25,3.55,3.83,3.55,3.83,7204230
2020-02-26,3.75,3.82,3.74,3.76,3789960
2020-02-27,3.75,3.85,3.75,3.85,3799380
2020-02-28,3.82,3.83,3.74,3.76,7780890
2020-03-02,3.8,3.84,3.75,3.76,3776140
2020-03-03,3.86,3.99,3.84,3.87,9910350
2020-03-04,3.94,4.14,3.93,4.14,19548210
2020-03-05,4.41,4.42,4.15,4.21,24978040
2020-03-06,4.1,4.14,4.05,4.06,7950870
2020-03-09,3.78,3.81,3.78,3.78,15069720
2020-03-10,3.52,3.91,3.52,3.82,16532910
2020-03-11,3.85,3.92,3.62,3.65,12052170
