time,open,high,low,close,volume
2020-01-06,66.18,66.18,66.18,66.18,100
2020-01-07,66.18,66.18,66.18,66.18,0
2020-01-08,63.69,63.69,60.99,61.2,1300
2020-01-09,62.44,62.44,62.44,61.2,0
2020-01-10,62.44,62.81,62.44,62.81,200
2020-01-13,62.65,62.65,62.65,62.81,41
2020-01-14,62.65,62.65,62.65,62.81,5
2020-01-15,62.65,62.65,62.65,62.81,0
2020-01-16,65.87,65.87,64.89,64.89,200
2020-01-17,65.4,65.4,65.4,64.89,0
2020-01-20,65.4,65.4,65.4,64.89,6
2020-01-21,65.4,65.4,65.4,64.89,0
2020-01-22,66.44,75.21,64.42,75.16,700
2020-01-30,74.49,74.49,64.37,72.15,600
2020-01-31,70.08,75.27,70.08,75.27,300
2020-02-03,71.79,71.79,71.79,75.27,0
2020-02-04,64.62,64.62,64.62,64.62,100
2020-02-05,64.42,64.42,60.78,62.34,1120
2020-02-06,62.13,62.13,62.13,62.34,0
2020-02-07,69.5,69.5,63.33,63.33,4610
2020-02-10,63.07,63.07,62.81,62.81,7720
2020-02-11,62.03,62.44,62.03,62.29,900
2020-02-12,62.29,62.29,62.29,62.29,842
2020-02-13,61.3,62.55,61.3,61.41,780
2020-02-14,60.99,62.24,60.99,62.24,300
2020-02-17,69.24,69.24,69.24,69.24,140
2020-02-18,69.24,69.24,69.24,69.24,0
2020-02-19,69.24,69.24,69.24,69.24,0
2020-02-20,63.33,67.06,62.86,67.06,700
2020-02-21,61.87,62.24,61.87,62.13,5300
2020-02-24,62.08,62.08,62.08,62.13,0
2020-02-25,61.77,61.77,61.25,61.25,10700
2020-02-26,65.56,65.56,65.56,65.56,100
2020-02-27,65.2,65.2,65.2,65.2,100
2020-02-28,62.29,62.29,62.29,62.29,200
2020-03-02,62.24,62.24,61.77,61.77,2000
2020-03-03,61.77,61.77,61.77,61.77,0
2020-03-04,60.89,61.04,60.89,61.04,200
2020-03-05,62.24,62.24,62.24,62.24,200
2020-03-06,62.24,62.24,62.24,62.24,0
2020-03-09,62.29,62.29,61.51,62.24,900
2020-03-10,62.03,62.29,61.51,61.51,2100
2020-03-11,61.61,61.93,61.25,61.77,3100
2020-03-12,61.41,61.41,61.41,61.41,110
2020-03-13,57.1,58.66,57.1,58.66,1015
2020-03-16,57.15,61.77,57.15,61.77,520
2020-03-17,54.61,60.84,54.61,60.84,200
2020-03-18,57.72,57.72,57.72,57.72,600
2020-03-19,61.67,61.77,54.66,54.66,600
2020-03-20,54.76,57.1,54.76,57.1,340
2020-03-23,54.35,54.35,54.35,54.35,600
2020-03-24,52.38,54.56,52.38,54.5,600
2020-03-25,57.1,57.1,51.75,52.79,705
2020-03-26,53.26,55.23,53.26,55.23,500
2020-03-27,53.15,54.76,53.15,54.5,801
2020-03-30,54.09,54.24,54.09,54.24,300
2020-03-31,55.54,55.54,54.09,54.09,1200
2020-04-01,57.1,57.1,57.1,57.1,100
2020-04-03,57.1,57.1,57.1,57.1,0
2020-04-06,61.25,61.77,61.25,61.77,405
2020-04-07,61.72,62.29,61.72,62.29,700
2020-04-08,58.14,59.69,58.14,59.18,400
2020-04-09,58.81,58.81,58.81,59.18,0
2020-04-10,58.81,58.81,58.81,59.18,0
2020-04-13,60.26,64.89,60.26,64.37,500
2020-04-14,62.81,62.81,61.77,61.77,501
2020-04-15,64.89,64.89,62.29,63.9,3315
2020-04-16,63.33,63.33,62.29,62.44,3002
2020-04-17,63.28,63.28,60.78,60.78,2600
2020-04-20,62.24,62.24,60.84,60.84,305
2020-04-21,61.77,61.77,61.77,60.84,0
2020-04-22,63.33,64.37,63.33,64.37,2008
2020-04-23,64.89,65.4,63.33,65.4,1710
2020-04-24,65.4,66.44,65.4,66.44,1872
2020-04-27,67.48,67.48,65.4,65.4,2910
2020-04-28,66.44,67.48,66.44,67.48,1500
2020-04-29,66.96,67.48,66.96,67.48,700
2020-05-04,67.48,67.48,67.48,67.48,1020
2020-05-05,64.89,64.89,64.89,64.89,101
2020-05-06,69.04,69.04,69.04,69.04,107
2020-05-07,69.04,69.04,69.04,69.04,52
2020-05-08,69.04,69.04,68.52,68.52,1122
2020-05-11,68.57,68.57,68.57,68.52,7
2020-05-12,65.14,65.14,64.89,64.89,300
2020-05-13,64.99,64.99,64.99,64.89,3
2020-05-14,64.89,64.89,64.89,64.89,700
2020-05-15,66.44,66.44,66.44,66.44,405
2020-05-18,66.96,67.48,66.44,67.48,1800
2020-05-19,66.96,66.96,66.44,66.96,716
2020-05-20,66.96,66.96,66.96,66.96,210
2020-05-21,68.52,68.52,67.48,67.48,1200
2020-05-22,69.56,74.75,68.62,73.19,4341
2020-05-25,73.45,80.46,73.45,80.46,7500
2020-05-26,83.0,83.0,80.46,82.01,2000
2020-05-27,79.42,82.12,78.12,78.38,3107
2020-05-28,80.2,80.2,78.38,78.43,1745
2020-05-29,77.83,87.09,77.7,87.09,3000
2020-06-01,82.53,84.54,82.53,84.54,1420
2020-06-02,84.54,88.57,84.54,84.54,3020
2020-06-03,86.22,86.22,84.54,84.54,814
2020-06-04,84.54,85.08,84.54,84.54,3215
2020-06-05,84.88,84.88,80.92,82.8,2549
2020-06-08,81.19,83.2,80.52,80.59,3064
2020-06-09,81.86,81.86,81.19,81.19,1420
2020-06-10,81.86,81.86,80.52,80.52,2801
2020-06-11,80.52,80.52,79.85,79.85,1100
2020-06-12,77.83,77.9,77.83,77.83,1100
2020-06-15,78.84,78.84,78.71,78.71,200
2020-06-16,79.58,79.58,79.51,79.58,400
2020-06-17,79.85,84.54,79.85,83.87,2410
2020-06-18,83.2,83.2,83.2,83.2,110
2020-06-19,82.8,82.87,82.8,82.87,200
2020-06-22,79.92,79.92,78.71,78.77,1100
2020-06-23,79.51,79.51,79.51,78.77,20
2020-06-24,79.85,79.85,79.85,79.85,120
2020-06-25,79.85,79.85,79.85,79.85,1410
2020-06-26,79.85,80.18,79.85,80.18,600
2020-06-29,79.85,79.85,79.85,79.85,731
2020-06-30,79.24,79.24,79.24,79.24,500
2020-07-01,79.24,79.24,79.24,79.24,20
2020-07-02,79.24,79.24,79.24,79.24,101
2020-07-03,80.32,80.32,80.32,80.32,120
2020-07-06,80.32,80.32,80.32,80.32,0
2020-07-07,80.32,80.32,80.32,80.32,10
2020-07-08,80.05,80.12,80.05,80.05,800
2020-07-09,80.18,80.18,79.58,79.58,2000
2020-07-10,79.71,79.71,79.58,79.58,2000
2020-07-13,79.65,79.65,79.58,79.58,2500
2020-07-14,80.85,80.85,80.85,80.85,123
2020-07-15,81.19,81.19,79.85,80.52,2230
2020-07-16,80.79,80.79,80.79,80.52,10
2020-07-17,80.52,80.52,80.52,80.52,800
2020-07-20,80.52,80.52,80.52,80.52,213
2020-07-21,80.52,80.52,80.52,80.52,109
2020-07-22,80.52,80.52,80.52,80.52,0
2020-07-23,79.98,80.05,79.98,80.05,300
2020-07-24,80.05,80.18,79.85,79.85,700
2020-07-27,79.18,79.18,73.14,73.14,1802
2020-07-28,73.81,74.48,73.14,74.48,6359
2020-07-29,70.45,70.45,70.45,70.45,670
2020-07-30,70.45,70.45,70.45,70.45,75
2020-07-31,71.53,71.6,70.45,70.45,4413
2020-08-03,71.12,71.12,71.12,70.45,86
2020-08-04,71.8,71.8,71.8,71.8,125
2020-08-05,73.81,76.63,73.81,73.81,2375
2020-08-06,74.88,74.88,74.48,74.48,1070
2020-08-07,71.86,72.47,71.26,71.8,3570
2020-08-10,71.8,71.8,71.19,71.19,1420
2020-08-11,72.47,72.47,71.8,71.8,946
2020-08-12,72.13,72.13,71.8,71.93,1600
2020-08-13,72.13,72.13,72.13,72.13,100
2020-08-14,71.93,71.93,71.46,71.46,2500
2020-08-17,71.46,71.46,71.19,71.19,4375
2020-08-18,71.19,71.19,70.52,71.12,4610
2020-08-19,70.45,70.59,70.32,70.52,5555
2020-08-20,69.85,69.85,69.45,69.85,660
2020-08-21,71.8,71.86,71.8,71.8,1600
2020-08-24,72.8,72.8,72.8,72.8,110
2020-08-25,71.8,72.47,71.8,72.47,443
2020-08-26,71.93,71.93,71.8,71.8,708
2020-08-27,70.52,70.52,70.12,70.45,2012
2020-08-28,70.12,71.8,70.12,71.12,3835
2020-08-31,70.45,74.48,70.45,70.45,4000
2020-09-01,70.45,71.19,70.45,71.12,5355
2020-09-03,71.8,72.8,71.8,72.13,409
2020-09-04,71.8,72.47,71.8,72.47,5264
2020-09-07,73.81,73.81,73.81,73.81,1912
2020-09-08,73.81,75.15,72.8,75.15,5488
2020-09-09,74.82,75.15,74.82,75.15,1865
2020-09-10,75.15,77.1,75.15,77.1,2660
2020-09-11,75.82,77.83,75.82,77.83,6120
2020-09-14,79.71,80.52,79.71,80.52,2122
2020-09-15,77.5,80.52,77.36,80.52,3020
2020-09-16,81.19,81.86,81.19,81.66,2408
2020-09-17,77.57,77.83,77.57,77.83,455
2020-09-18,77.7,77.7,77.7,77.7,800
2020-09-21,66.09,79.58,66.09,77.7,912
2020-09-22,77.16,77.16,77.16,77.16,540
2020-09-23,75.69,75.69,75.69,75.69,285
2020-09-24,75.82,77.16,75.82,77.16,2785
2020-09-25,78.37,78.37,77.5,77.5,700
2020-09-28,77.83,77.83,77.5,77.5,3195
2020-09-29,77.77,77.83,77.43,77.43,5630
2020-09-30,77.16,77.16,75.82,77.16,738
2020-10-01,76.49,76.49,76.16,76.49,1700
2020-10-02,76.49,76.49,70.79,70.79,5000
2020-10-05,71.19,71.46,71.12,71.46,1500
2020-10-06,71.26,71.26,71.26,71.46,0
2020-10-07,74.48,75.49,73.81,73.81,800
2020-10-08,74.48,74.48,73.81,74.48,300
2020-10-09,73.81,73.81,73.81,73.81,100
2020-10-12,73.81,73.81,73.81,73.81,0
2020-10-13,63.74,71.8,63.74,69.45,4000
2020-10-14,70.32,72.13,70.32,72.13,1000
2020-10-15,70.45,71.26,70.45,71.12,9400
2020-10-16,70.99,71.12,70.92,70.99,3900
2020-10-19,70.99,71.26,70.99,71.19,4100
2020-10-20,70.99,70.99,70.99,70.99,200
2020-10-21,70.99,70.99,70.52,70.79,6000
2020-10-22,70.79,70.79,70.72,70.72,3500
2020-10-23,70.79,70.99,70.79,70.99,3300
2020-10-26,70.79,72.47,70.79,70.79,1700
2020-10-27,64.42,70.52,64.42,70.45,1100
2020-10-28,70.45,70.45,70.45,70.45,300
2020-10-29,70.45,70.45,70.45,70.45,200
2020-10-30,69.45,70.32,69.45,69.45,2200
2020-11-02,69.72,69.72,69.72,69.45,0
2020-11-03,70.39,70.39,69.18,70.12,3600
2020-11-04,70.05,70.05,70.05,70.05,200
2020-11-05,69.78,69.78,69.18,69.78,500
2020-11-06,69.65,69.78,69.65,69.78,300
2020-11-09,69.78,70.12,69.78,70.12,1100
2020-11-10,70.18,70.18,69.78,70.12,2200
2020-11-11,70.12,70.12,70.12,70.12,200
2020-11-12,70.32,70.32,68.78,68.78,2300
2020-11-13,69.58,69.58,68.44,68.44,2800
2020-11-16,69.11,69.11,67.84,68.44,2500
2020-11-17,68.37,68.37,67.77,67.77,2900
2020-11-18,67.77,67.97,67.77,67.84,4200
