time,open,high,low,close,volume
2020-01-06,11.66,11.66,11.66,11.66,1710
2020-01-07,11.13,11.13,11.13,11.13,1100
2020-01-08,11.13,11.13,11.13,11.13,100
2020-01-09,11.13,11.13,11.13,11.13,0
2020-01-10,11.13,11.13,11.13,11.13,0
2020-01-13,11.13,11.13,11.13,11.13,0
2020-01-14,11.13,11.13,11.13,11.13,0
2020-01-15,11.13,11.13,11.13,11.13,0
2020-01-16,11.13,11.13,11.13,11.13,1
2020-01-17,11.13,11.13,11.13,11.13,0
2020-01-20,11.13,11.13,11.13,11.13,0
2020-01-21,11.66,11.66,11.66,11.66,1700
2020-01-22,10.76,10.76,10.76,10.76,320
2020-01-30,10.76,10.76,10.76,10.76,49
2020-01-31,10.76,11.93,10.39,11.93,33342
2020-02-03,10.07,10.6,10.07,10.6,1240
2020-02-04,10.6,10.66,10.58,10.63,14344
2020-02-05,10.87,10.9,10.87,10.9,5620
2020-02-06,11.0,11.0,10.92,10.92,9253
2020-02-07,11.0,11.27,10.98,11.27,21200
2020-02-10,11.11,11.88,10.87,10.92,63500
2020-02-11,11.13,11.13,11.13,11.13,1100
2020-02-12,11.4,11.85,11.4,11.85,6304
2020-02-13,11.53,11.9,11.53,11.9,2800
2020-02-14,11.93,11.93,11.66,11.72,2600
2020-02-17,12.25,12.25,12.06,12.06,916
2020-02-18,11.98,11.98,11.98,11.98,200
2020-02-19,12.17,12.17,12.17,12.17,100
2020-02-20,12.17,13.92,11.98,12.46,64005
2020-02-21,12.43,12.56,12.19,12.56,47710
2020-02-24,12.46,12.46,12.46,12.46,47070
2020-02-25,12.46,12.46,12.46,12.46,2316
2020-02-26,12.46,12.64,12.46,12.64,67010
2020-02-27,12.8,13.23,12.59,12.72,3740
2020-02-28,13.2,13.2,13.2,13.2,101
2020-03-02,13.2,13.2,12.46,12.46,6000
2020-03-03,11.93,12.06,11.93,12.06,225
2020-03-04,12.19,12.19,12.19,12.19,2130
2020-03-05,13.25,13.25,12.72,12.72,214
2020-03-06,12.78,12.78,12.25,12.46,13500
2020-03-09,12.46,12.46,12.38,12.38,900
2020-03-10,12.35,12.35,12.35,12.35,100
2020-03-11,12.35,12.35,12.3,12.3,1600
2020-03-12,12.06,12.06,11.64,11.66,16730
2020-03-13,11.66,11.72,11.4,11.72,12018
2020-03-16,11.64,11.64,11.53,11.53,4000
2020-03-17,11.5,11.93,11.5,11.93,9000
2020-03-18,11.69,11.69,11.66,11.66,1710
2020-03-19,11.16,11.16,11.16,11.16,100
2020-03-20,11.16,11.16,11.16,11.16,0
2020-03-23,9.81,11.8,9.81,11.8,300
2020-03-24,9.86,11.93,9.84,11.4,21401
2020-03-25,11.4,11.4,10.36,10.36,4200
2020-03-26,11.37,11.37,11.37,10.36,0
2020-03-27,10.6,10.9,10.6,10.87,6101
2020-03-30,10.87,10.87,10.87,10.87,1000
2020-03-31,10.87,11.13,10.87,10.87,3100
2020-04-01,10.68,10.68,10.6,10.6,12050
2020-04-03,10.66,11.0,10.6,11.0,18000
2020-04-06,11.66,11.66,11.27,11.53,10200
2020-04-07,11.27,11.27,11.13,11.27,8400
2020-04-08,11.27,11.27,11.27,11.27,6500
2020-04-09,11.27,11.27,11.27,11.27,1
2020-04-10,11.27,11.27,11.27,11.27,0
2020-04-13,11.66,11.93,11.13,11.27,21300
2020-04-14,11.29,11.66,11.24,11.53,8128
2020-04-15,11.93,11.96,11.64,11.66,21823
2020-04-16,11.93,11.93,11.69,11.72,4100
2020-04-17,11.93,12.59,11.9,12.19,29626
2020-04-20,12.09,12.49,12.09,12.49,4051
2020-04-21,12.46,12.49,11.93,12.19,19395
2020-04-22,11.96,12.19,11.74,12.19,18700
2020-04-23,12.19,12.43,12.09,12.22,8300
2020-04-24,12.22,12.22,11.93,12.22,16641
2020-04-27,12.22,12.46,12.19,12.46,24900
2020-04-28,12.43,12.43,12.22,12.41,10119
2020-04-29,12.51,12.51,12.43,12.46,17000
2020-05-04,12.54,12.99,12.54,12.86,25550
2020-05-05,12.72,12.99,12.62,12.96,14450
2020-05-06,12.72,13.02,12.72,12.86,4840
2020-05-07,12.86,12.86,12.59,12.78,13300
2020-05-08,12.72,12.99,12.72,12.78,10920
2020-05-11,12.86,12.96,12.8,12.86,2800
2020-05-12,12.8,12.86,12.46,12.46,16540
2020-05-13,12.59,12.86,12.56,12.86,31650
2020-05-14,12.59,12.72,12.59,12.72,11300
2020-05-15,12.86,13.52,12.86,13.33,53791
2020-05-18,13.15,13.39,13.15,13.36,5425
2020-05-19,13.52,13.65,13.39,13.52,6028
2020-05-20,13.25,13.47,13.15,13.18,9810
2020-05-21,13.57,13.57,13.15,13.15,19600
2020-05-22,13.2,13.2,12.99,13.15,25407
2020-05-25,13.52,13.52,13.18,13.18,9530
2020-05-26,13.25,13.36,13.18,13.36,30564
2020-05-27,13.39,13.44,13.39,13.39,7566
2020-05-28,13.39,13.39,12.94,13.25,15203
2020-05-29,13.04,13.25,13.04,13.15,3950
2020-06-01,13.15,13.25,13.12,13.23,4200
2020-06-02,13.25,13.25,12.99,13.02,8786
2020-06-03,13.12,13.28,13.04,13.2,11200
2020-06-04,13.2,13.39,13.2,13.31,11420
2020-06-05,13.52,13.86,13.52,13.86,56175
2020-06-08,13.89,14.53,13.89,14.29,56747
2020-06-09,14.29,14.32,14.05,14.05,36545
2020-06-10,14.08,14.16,14.02,14.05,30690
2020-06-11,14.05,14.32,13.94,13.94,51120
2020-06-12,13.92,13.92,13.68,13.78,28860
2020-06-15,13.78,13.86,13.76,13.76,9210
2020-06-16,14.26,14.26,13.78,13.78,7405
2020-06-17,14.26,14.26,13.84,13.84,3114
2020-06-18,13.86,14.55,13.86,14.45,86203
2020-06-19,14.55,15.11,14.55,15.11,112118
2020-06-22,15.38,15.38,15.22,15.27,15247
2020-06-23,15.27,15.27,14.9,14.92,22845
2020-06-24,14.92,14.92,14.71,14.71,29620
2020-06-25,14.71,14.92,14.71,14.92,7600
2020-06-26,14.92,14.92,14.71,14.74,21868
2020-06-29,16.03,16.03,15.62,15.62,930
2020-06-30,13.57,14.85,13.57,14.64,6200
2020-07-01,14.73,14.79,14.61,14.79,46826
2020-07-02,14.76,14.79,14.61,14.64,12641
2020-07-03,14.55,14.7,14.55,14.7,10120
2020-07-06,14.64,14.79,14.61,14.79,6420
2020-07-07,14.76,14.85,14.76,14.76,10610
2020-07-08,14.79,14.79,14.79,14.79,510
2020-07-09,14.7,14.85,14.7,14.85,14100
2020-07-10,14.82,14.82,14.82,14.85,10
2020-07-13,14.64,14.64,14.64,14.64,1260
2020-07-14,13.96,14.55,13.96,14.25,4220
2020-07-15,13.98,14.55,13.98,14.31,12642
2020-07-16,14.49,14.52,14.49,14.49,11770
2020-07-17,14.52,14.55,14.52,14.55,1690
2020-07-20,14.52,14.55,14.25,14.37,10110
2020-07-21,14.25,14.25,14.25,14.25,385
2020-07-22,14.34,14.37,14.31,14.31,5121
2020-07-23,14.34,14.34,14.34,14.34,5600
2020-07-24,14.28,14.28,13.96,14.04,14000
2020-07-27,13.81,13.96,13.81,13.81,19826
2020-07-28,13.69,13.87,13.66,13.81,46300
2020-07-29,13.66,13.66,13.24,13.33,29350
2020-07-30,13.66,13.78,13.66,13.78,2900
2020-07-31,13.54,13.54,13.54,13.54,300
2020-08-03,13.75,13.81,13.72,13.72,16050
2020-08-04,13.96,14.07,13.96,14.07,8100
2020-08-05,13.98,14.1,13.98,14.07,4165
2020-08-06,14.07,14.07,14.01,14.04,3342
2020-08-07,14.1,14.1,13.75,13.75,15225
2020-08-10,13.75,14.1,13.75,14.1,4030
2020-08-11,14.04,14.04,13.96,13.96,2647
2020-08-12,13.96,13.96,13.96,13.96,4030
2020-08-13,13.96,14.1,13.96,14.1,2006
2020-08-14,14.07,14.07,14.07,14.07,230
2020-08-17,13.96,14.04,13.9,13.9,14640
2020-08-18,14.01,14.1,14.01,14.07,13645
2020-08-19,14.04,14.1,14.04,14.1,9006
2020-08-20,14.1,14.1,13.98,14.1,5895
2020-08-21,14.1,14.1,13.98,14.1,11739
2020-08-24,14.1,14.61,14.1,14.46,32220
2020-08-25,14.43,14.55,14.43,14.49,2905
2020-08-26,15.11,15.11,14.52,14.52,3351
2020-08-27,14.43,14.61,14.43,14.61,26035
2020-08-28,15.16,15.16,14.76,14.76,6830
2020-08-31,15.0,15.06,14.79,14.79,2165
2020-09-01,14.73,14.94,14.64,14.88,7991
2020-09-03,14.91,14.91,14.76,14.76,11491
2020-09-04,14.7,14.7,14.55,14.7,5650
2020-09-07,14.7,14.76,14.61,14.61,7647
2020-09-08,14.67,14.67,14.58,14.61,1069
2020-09-09,14.55,14.7,14.55,14.7,2280
2020-09-10,14.85,14.85,14.61,14.73,10055
2020-09-11,14.76,14.97,14.7,14.97,9425
2020-09-14,14.79,14.79,14.73,14.76,13797
2020-09-15,14.76,14.76,14.61,14.7,7800
2020-09-16,14.7,14.85,14.7,14.73,5017
2020-09-17,14.7,14.85,14.61,14.85,5410
2020-09-18,14.73,15.12,14.73,15.06,2740
2020-09-21,15.31,15.4,15.12,15.16,1606
2020-09-22,15.16,15.16,14.73,14.73,4055
2020-09-23,14.88,14.88,14.85,14.85,1130
2020-09-24,14.91,14.91,14.85,14.85,4120
2020-09-25,14.7,15.16,14.7,15.12,15400
2020-09-28,15.0,15.0,15.0,15.0,410
2020-09-29,15.0,15.0,14.85,14.85,2846
2020-09-30,14.94,14.94,14.7,14.73,1420
2020-10-01,14.85,14.85,14.79,14.79,1292
2020-10-02,14.79,14.79,14.73,14.73,6310
2020-10-05,14.85,14.85,14.73,14.76,8000
2020-10-06,14.73,14.73,14.73,14.73,1300
2020-10-07,14.76,14.76,14.25,14.73,8400
2020-10-08,14.67,15.16,14.64,15.16,10800
2020-10-09,14.97,15.43,14.97,15.03,40000
2020-10-12,15.16,15.16,14.91,14.94,11700
2020-10-13,15.09,15.09,15.09,15.09,10400
2020-10-14,15.06,15.16,15.06,15.09,20500
2020-10-15,15.16,15.16,14.88,15.16,26900
2020-10-16,15.16,15.73,15.0,15.61,49800
2020-10-19,15.76,15.79,15.61,15.67,28700
2020-10-20,15.67,15.73,15.67,15.67,2200
2020-10-21,15.67,15.67,15.46,15.46,3300
2020-10-22,15.31,15.58,15.25,15.55,24800
2020-10-23,15.46,15.46,15.46,15.46,9500
2020-10-26,15.49,15.61,15.46,15.46,16800
2020-10-27,15.49,15.76,15.49,15.49,3900
2020-10-28,15.49,15.52,15.31,15.31,7500
2020-10-29,15.43,15.49,15.43,15.49,13900
2020-10-30,15.49,15.49,15.46,15.46,1100
2020-11-02,15.46,15.61,14.85,15.09,13600
2020-11-03,15.16,15.16,15.16,15.16,100
2020-11-04,15.16,15.22,15.16,15.18,4100
2020-11-05,15.0,15.25,15.0,15.22,8800
2020-11-06,15.43,15.43,15.4,15.4,200
2020-11-09,15.43,15.43,15.34,15.43,5400
2020-11-10,15.46,15.61,15.46,15.61,7900
2020-11-11,15.52,15.61,15.46,15.49,10700
2020-11-12,15.46,15.61,15.46,15.61,27100
2020-11-13,15.55,15.58,15.52,15.58,2000
2020-11-16,15.55,15.61,15.55,15.55,10200
2020-11-17,15.46,15.76,15.46,15.76,2500
2020-11-18,15.55,15.73,15.55,15.73,2800
2020-11-19,15.52,15.73,15.52,15.64,3700
2020-11-20,15.91,15.91,15.76,15.76,3300
2020-11-23,15.64,16.06,15.61,16.06,8900
2020-11-24,15.91,16.06,15.91,15.91,24600
2020-11-25,16.06,16.12,15.97,16.06,8600
2020-11-26,16.06,16.22,16.06,16.22,19200
2020-11-27,16.37,16.52,16.37,16.52,14900
2020-11-30,16.49,16.58,16.37,16.49,1900
2020-12-01,16.52,16.67,16.37,16.67,6000
2020-12-02,16.64,17.12,16.64,17.0,43500
2020-12-03,16.82,17.12,16.82,17.03,31900
2020-12-04,17.12,17.28,17.0,17.25,29800
2020-12-07,17.25,17.55,17.12,17.55,23400
2020-12-08,17.55,17.79,17.43,17.67,14300
2020-12-09,17.82,17.88,17.7,17.79,12400
2020-12-10,18.19,18.19,17.79,17.85,4400
2020-12-11,17.76,17.76,17.43,17.58,8531
2020-12-14,17.43,17.64,17.28,17.58,15950
2020-12-15,17.55,17.82,17.52,17.79,3527
2020-12-16,17.58,17.67,17.58,17.58,22590
2020-12-17,17.58,17.58,17.52,17.52,16800
2020-12-18,17.58,17.61,17.58,17.58,60291
2020-12-21,17.61,17.76,17.58,17.67,15032
2020-12-22,17.67,17.79,17.67,17.79,6526
2020-12-23,17.76,17.82,17.76,17.76,21362
2020-12-24,17.76,17.89,17.57,17.89,15900
2020-12-25,17.76,17.76,17.57,17.76,2463
2020-12-28,17.57,17.67,17.51,17.64,17102
2020-12-29,17.57,17.89,17.26,17.73,25361
2020-12-30,17.57,17.64,17.57,17.6,4186
2020-12-31,17.6,17.7,17.6,17.6,3698
2021-01-04,17.7,17.79,17.64,17.79,9259
2021-01-05,17.89,18.58,17.76,18.58,31639
2021-01-06,18.36,19.14,18.36,19.08,36510
2021-01-07,19.14,19.14,18.8,18.83,11430
2021-01-08,19.3,19.3,18.58,18.83,13026
2021-01-11,18.83,18.95,18.8,18.95,27515
2021-01-12,18.83,19.45,18.83,19.17,16090
2021-01-13,19.3,19.45,19.08,19.08,9641
2021-01-14,19.39,19.45,19.08,19.45,19407
2021-01-15,19.45,19.77,19.42,19.42,2540
2021-01-18,19.42,19.42,19.02,19.3,12783
2021-01-19,19.2,19.2,17.6,18.2,20507
2021-01-20,18.23,18.8,18.2,18.8,5300
2021-01-21,18.8,19.52,18.8,19.45,7210
2021-01-22,19.49,19.49,19.14,19.14,3915
2021-01-25,19.3,19.3,18.98,18.98,12406
2021-01-26,19.45,19.45,18.26,18.83,9530
2021-01-27,18.67,18.83,18.51,18.64,6514
2021-01-28,18.83,18.83,15.88,17.82,31310
2021-01-29,17.57,18.83,17.57,18.55,8500
2021-02-01,18.23,18.8,17.89,18.8,11600
2021-02-02,18.14,18.67,18.14,18.51,7380
2021-02-03,18.83,19.14,18.39,19.14,16201
2021-02-04,19.14,19.45,19.14,19.36,42503
2021-02-05,19.39,19.45,19.3,19.3,8168
2021-02-08,19.45,19.45,18.83,19.14,3800
2021-02-09,19.11,19.14,18.86,19.14,24610
2021-02-17,18.67,20.24,18.67,20.21,72317
2021-02-18,19.45,20.68,19.45,20.43,58128
2021-02-19,20.55,20.68,20.08,20.4,26500
2021-02-22,20.4,20.52,20.3,20.3,7549
2021-02-23,20.36,20.36,20.02,20.02,9162
2021-02-24,20.21,20.27,19.55,20.15,16913
2021-02-25,20.24,20.4,20.08,20.27,26000
2021-02-26,20.24,20.36,20.15,20.21,13688
2021-03-01,20.4,20.46,20.27,20.4,13014
2021-03-02,20.43,20.55,20.24,20.3,6339
2021-03-03,20.43,20.96,20.4,20.71,19552
2021-03-04,20.46,20.58,20.43,20.58,7200
2021-03-05,20.8,20.8,20.43,20.8,21535
2021-03-08,20.77,20.96,20.77,20.87,12150
2021-03-09,20.87,20.87,20.77,20.84,18410
2021-03-10,20.71,20.99,20.71,20.84,4900
2021-03-11,20.74,21.02,20.74,21.02,11430
2021-03-12,21.02,21.31,21.02,21.31,26500
2021-03-15,21.31,24.35,21.18,24.16,63186
2021-03-16,24.16,24.79,24.13,24.32,60131
2021-03-17,24.35,25.42,24.35,25.1,21637
