time,open,high,low,close,volume
2020-01-06,11.06,11.06,11.06,11.46,0
2020-01-07,11.06,11.06,11.06,11.46,0
2020-01-08,9.94,9.94,9.94,9.94,100
2020-01-09,11.38,11.38,11.22,11.22,1700
2020-01-10,11.3,11.3,11.3,11.22,0
2020-01-13,12.42,12.42,11.22,11.22,1100
2020-01-14,11.3,11.3,11.3,11.22,0
2020-01-15,11.3,11.3,11.3,11.22,0
2020-01-16,10.1,11.22,10.02,11.22,2000
2020-01-17,10.18,10.18,10.18,11.22,5
2020-01-20,10.18,10.18,10.18,11.22,0
2020-01-21,10.18,10.18,10.18,11.22,0
2020-01-22,10.18,10.18,10.18,11.22,0
2020-01-30,10.18,10.18,10.18,11.22,0
2020-01-31,11.14,11.14,10.82,11.14,1300
2020-02-03,9.78,9.78,9.61,9.61,1500
2020-02-04,9.7,9.7,9.7,9.61,0
2020-02-05,9.7,9.7,9.7,9.61,0
2020-02-06,11.06,11.14,11.06,11.14,1500
2020-02-07,12.02,12.02,12.02,12.02,1300
2020-02-10,12.02,12.02,12.02,12.02,0
2020-02-11,12.02,12.02,12.02,12.02,0
2020-02-12,12.02,12.02,12.02,12.02,0
2020-02-13,12.02,12.02,12.02,12.02,0
2020-02-14,12.02,12.02,12.02,12.02,0
2020-02-17,12.02,12.02,12.02,12.02,0
2020-02-18,12.02,12.02,12.02,12.02,0
2020-02-19,12.02,12.02,12.02,12.02,0
2020-02-20,12.02,12.02,12.02,12.02,0
2020-02-21,12.02,12.02,12.02,12.02,0
2020-02-24,12.02,12.02,12.02,12.02,0
2020-02-25,13.3,13.3,13.3,13.3,1500
2020-02-26,13.3,13.3,13.3,13.3,0
2020-02-27,13.3,13.3,13.3,13.3,31
2020-02-28,13.3,13.3,13.3,13.3,0
2020-03-02,13.3,13.3,13.3,13.3,0
2020-03-03,13.3,13.3,13.3,13.3,0
2020-03-04,13.3,13.3,13.3,13.3,0
2020-03-05,13.3,13.3,13.3,13.3,0
2020-03-06,13.3,13.3,13.3,13.3,0
2020-03-09,13.3,13.3,13.3,13.3,0
2020-03-10,13.3,13.3,13.3,13.3,0
2020-03-11,13.3,13.3,13.3,13.3,0
2020-03-12,13.3,13.3,13.3,13.3,0
2020-03-13,13.3,13.3,13.3,13.3,0
2020-03-16,13.3,13.3,13.3,13.3,0
2020-03-17,11.38,11.38,11.38,11.38,200
2020-03-18,9.78,9.78,9.78,9.78,500
2020-03-19,11.22,11.22,8.49,8.49,4300
2020-03-20,9.94,9.94,9.94,9.94,500
2020-03-23,11.38,11.38,11.38,11.38,100
2020-03-24,11.38,11.38,11.38,11.38,0
2020-03-25,11.38,11.38,11.38,11.38,0
2020-03-26,11.38,11.38,11.38,11.38,0
2020-03-27,11.38,11.38,11.38,11.38,0
2020-03-30,11.38,11.38,11.38,11.38,0
2020-03-31,11.38,11.38,11.38,11.38,0
2020-04-01,11.38,11.38,11.38,11.38,0
2020-04-03,11.38,11.38,11.38,11.38,0
2020-04-06,12.82,12.82,12.82,12.82,1600
2020-04-07,12.82,12.82,12.82,12.82,0
