time,open,high,low,close,volume
2020-01-06,2.27,2.27,2.06,2.06,500910
2020-01-07,2.06,2.1,1.93,2.06,230010
2020-01-08,2.06,2.06,1.92,1.99,248680
2020-01-09,1.91,2.0,1.91,1.93,190680
2020-01-10,1.98,1.99,1.9,1.96,131470
2020-01-13,1.96,1.97,1.93,1.97,85390
2020-01-14,1.94,1.97,1.9,1.93,218960
2020-01-15,1.95,1.95,1.9,1.91,200240
2020-01-16,1.89,1.91,1.84,1.84,196030
2020-01-17,1.84,1.85,1.8,1.83,173540
2020-01-20,1.83,1.83,1.72,1.77,127740
2020-01-21,1.74,1.89,1.74,1.89,223540
2020-01-22,1.8,1.98,1.8,1.89,134090
2020-01-30,1.88,1.88,1.83,1.84,221520
2020-01-31,1.81,1.84,1.76,1.76,240240
2020-02-03,1.67,1.76,1.64,1.65,362450
2020-02-04,1.56,1.66,1.54,1.55,335510
2020-02-05,1.49,1.64,1.49,1.61,50710
2020-02-06,1.61,1.72,1.61,1.72,194030
2020-02-07,1.84,1.84,1.82,1.84,629060
2020-02-10,1.89,1.89,1.78,1.85,246480
2020-02-11,1.85,1.87,1.82,1.85,156300
2020-02-12,1.85,1.97,1.85,1.97,405150
2020-02-13,2.1,2.1,2.07,2.1,776530
2020-02-14,2.24,2.24,2.04,2.24,1335890
2020-02-17,2.09,2.2,2.09,2.15,830780
2020-02-18,2.15,2.15,2.0,2.15,517710
2020-02-19,2.15,2.18,2.01,2.05,941540
2020-02-20,2.05,2.19,2.05,2.18,868030
2020-02-21,2.17,2.2,2.06,2.12,608320
2020-02-24,2.03,2.09,1.98,2.05,662520
2020-02-25,1.98,2.0,1.91,1.95,604490
2020-02-26,1.83,2.07,1.83,1.99,192010
2020-02-27,1.99,2.04,1.99,2.0,159710
2020-02-28,2.0,2.1,2.0,2.03,720960
2020-03-02,2.09,2.09,2.02,2.04,171160
2020-03-03,2.08,2.08,2.0,2.03,294920
2020-03-04,2.03,2.03,1.9,2.02,858110
2020-03-05,2.03,2.04,1.99,2.0,384580
2020-03-06,2.0,2.02,1.96,2.0,126870
2020-03-09,1.86,1.92,1.86,1.86,397410
2020-03-10,1.73,1.9,1.73,1.84,378860
2020-03-11,1.86,1.91,1.74,1.8,236230
2020-03-12,1.68,1.76,1.68,1.68,412740
2020-03-13,1.68,1.68,1.57,1.57,647460
2020-03-16,1.48,1.57,1.48,1.51,640560
2020-03-17,1.53,1.61,1.48,1.61,280230
2020-03-18,1.71,1.72,1.7,1.72,362870
2020-03-19,1.76,1.76,1.61,1.68,332280
2020-03-20,1.67,1.69,1.6,1.68,89540
2020-03-23,1.57,1.58,1.57,1.57,212850
2020-03-24,1.47,1.58,1.47,1.5,228030
2020-03-25,1.5,1.57,1.5,1.52,113910
2020-03-26,1.55,1.55,1.48,1.51,85970
2020-03-27,1.51,1.52,1.41,1.41,420430
2020-03-30,1.32,1.32,1.32,1.32,139630
2020-03-31,1.24,1.3,1.23,1.23,532770
2020-04-01,1.23,1.31,1.2,1.3,191190
2020-04-03,1.3,1.39,1.3,1.38,130590
2020-04-06,1.42,1.47,1.39,1.45,223600
2020-04-07,1.49,1.49,1.38,1.42,123520
2020-04-08,1.36,1.43,1.33,1.37,134230
2020-04-09,1.37,1.43,1.28,1.37,438960
2020-04-10,1.41,1.41,1.32,1.33,90290
2020-04-13,1.37,1.37,1.32,1.34,130030
2020-04-14,1.32,1.38,1.32,1.38,207330
2020-04-15,1.38,1.47,1.37,1.47,447430
2020-04-16,1.52,1.57,1.47,1.57,338180
2020-04-17,1.64,1.65,1.57,1.6,307150
2020-04-20,1.5,1.6,1.5,1.53,275710
2020-04-21,1.5,1.5,1.43,1.43,255450
2020-04-22,1.4,1.48,1.34,1.43,136710
2020-04-23,1.45,1.48,1.42,1.44,65040
2020-04-24,1.48,1.48,1.4,1.45,257880
2020-04-27,1.45,1.47,1.38,1.38,190950
2020-04-28,1.38,1.43,1.36,1.42,113230
2020-04-29,1.42,1.43,1.35,1.41,115000
2020-05-04,1.43,1.43,1.36,1.37,86790
2020-05-05,1.35,1.39,1.35,1.38,111610
2020-05-06,1.36,1.41,1.36,1.38,109130
2020-05-07,1.37,1.41,1.36,1.36,104560
2020-05-08,1.39,1.39,1.36,1.38,203730
2020-05-11,1.38,1.4,1.37,1.39,123180
2020-05-12,1.4,1.4,1.36,1.39,153410
2020-05-13,1.37,1.39,1.35,1.38,194580
2020-05-14,1.4,1.44,1.37,1.41,331700
2020-05-15,1.41,1.5,1.4,1.5,418800
2020-05-18,1.6,1.6,1.56,1.6,371700
2020-05-19,1.62,1.62,1.5,1.5,507040
2020-05-20,1.5,1.58,1.47,1.56,193530
2020-05-21,1.56,1.56,1.51,1.54,95050
2020-05-22,1.54,1.54,1.47,1.48,126560
2020-05-25,1.48,1.48,1.39,1.46,147830
2020-05-26,1.45,1.45,1.41,1.45,210570
2020-05-27,1.48,1.48,1.43,1.44,90100
2020-05-28,1.44,1.44,1.4,1.41,200060
2020-05-29,1.4,1.49,1.37,1.46,212460
2020-06-01,1.47,1.55,1.47,1.53,547560
2020-06-02,1.53,1.63,1.53,1.58,551490
2020-06-03,1.55,1.59,1.5,1.58,136280
2020-06-04,1.6,1.6,1.5,1.54,306540
2020-06-05,1.47,1.55,1.46,1.53,350320
2020-06-08,1.53,1.63,1.53,1.63,1204700
2020-06-09,1.74,1.74,1.74,1.74,266320
2020-06-10,1.86,1.86,1.75,1.86,1895840
2020-06-11,1.98,1.99,1.88,1.88,1721330
2020-06-12,1.75,1.93,1.75,1.91,607430
2020-06-15,1.92,2.0,1.8,1.8,582720
2020-06-16,1.85,1.88,1.71,1.72,905720
2020-06-17,1.8,1.84,1.75,1.84,713970
2020-06-18,1.92,1.93,1.8,1.8,426390
2020-06-19,1.76,1.89,1.76,1.84,338060
2020-06-22,1.85,1.89,1.79,1.85,613810
2020-06-23,1.86,1.86,1.77,1.82,419560
2020-06-24,1.79,1.85,1.76,1.76,448760
2020-06-25,1.67,1.75,1.67,1.71,354050
2020-06-26,1.7,1.75,1.66,1.69,454630
2020-06-29,1.7,1.7,1.58,1.58,873660
2020-06-30,1.58,1.6,1.47,1.47,514760
2020-07-01,1.45,1.57,1.45,1.57,225860
2020-07-02,1.58,1.65,1.58,1.6,182890
2020-07-03,1.6,1.6,1.56,1.57,67310
2020-07-06,1.57,1.59,1.51,1.55,177290
2020-07-07,1.54,1.59,1.5,1.54,104240
2020-07-08,1.56,1.56,1.5,1.54,52520
2020-07-09,1.54,1.64,1.53,1.64,533640
2020-07-10,1.64,1.7,1.6,1.6,309800
2020-07-13,1.71,1.71,1.6,1.63,149320
2020-07-14,1.63,1.63,1.52,1.58,369450
2020-07-15,1.6,1.63,1.57,1.6,67600
2020-07-16,1.55,1.6,1.55,1.6,48010
2020-07-17,1.6,1.6,1.56,1.56,125570
2020-07-20,1.59,1.59,1.5,1.54,235250
2020-07-21,1.54,1.55,1.5,1.53,77740
2020-07-22,1.53,1.53,1.45,1.49,230350
2020-07-23,1.48,1.5,1.4,1.44,211180
2020-07-24,1.44,1.44,1.34,1.34,381050
2020-07-27,1.25,1.3,1.25,1.25,435670
2020-07-28,1.21,1.3,1.21,1.29,137210
2020-07-29,1.29,1.29,1.2,1.23,231950
2020-07-30,1.23,1.28,1.21,1.22,96580
2020-07-31,1.2,1.22,1.19,1.22,94670
2020-08-03,1.22,1.3,1.22,1.28,132300
2020-08-04,1.33,1.34,1.28,1.3,135010
2020-08-05,1.33,1.33,1.29,1.31,95900
2020-08-06,1.26,1.33,1.26,1.29,80820
2020-08-07,1.25,1.29,1.25,1.29,57610
2020-08-10,1.24,1.32,1.24,1.32,169130
2020-08-11,1.34,1.34,1.3,1.3,65790
2020-08-12,1.33,1.33,1.3,1.31,68310
2020-08-13,1.3,1.34,1.3,1.3,57170
2020-08-14,1.3,1.32,1.29,1.3,65530
2020-08-17,1.3,1.31,1.27,1.31,42480
2020-08-18,1.34,1.34,1.3,1.3,90200
2020-08-19,1.33,1.34,1.3,1.3,31440
2020-08-20,1.31,1.31,1.28,1.3,53520
2020-08-21,1.3,1.31,1.27,1.3,79360
2020-08-24,1.32,1.34,1.3,1.34,108330
2020-08-25,1.35,1.37,1.33,1.36,110290
2020-08-26,1.34,1.37,1.31,1.34,52180
2020-08-27,1.36,1.36,1.31,1.34,49430
2020-08-28,1.35,1.37,1.31,1.37,160650
2020-08-31,1.37,1.38,1.35,1.36,114830
2020-09-01,1.31,1.38,1.31,1.32,93500
2020-09-03,1.36,1.36,1.31,1.32,94120
2020-09-04,1.25,1.35,1.25,1.31,85990
2020-09-07,1.33,1.33,1.3,1.3,138480
2020-09-08,1.33,1.33,1.29,1.31,88820
2020-09-09,1.31,1.31,1.28,1.31,120320
2020-09-10,1.31,1.4,1.3,1.4,663540
2020-09-11,1.41,1.48,1.38,1.46,416510
2020-09-14,1.46,1.56,1.46,1.56,537710
2020-09-15,1.56,1.62,1.46,1.47,559940
2020-09-16,1.47,1.52,1.4,1.47,359000
2020-09-17,1.47,1.51,1.4,1.48,313020
2020-09-18,1.49,1.5,1.48,1.48,280970
2020-09-21,1.41,1.48,1.41,1.46,138940
2020-09-22,1.46,1.46,1.41,1.42,167370
2020-09-23,1.48,1.48,1.42,1.45,195370
2020-09-24,1.47,1.47,1.4,1.43,279270
2020-09-25,1.45,1.45,1.4,1.41,51730
2020-09-28,1.41,1.44,1.37,1.37,229510
2020-09-29,1.37,1.46,1.37,1.45,346160
2020-09-30,1.47,1.47,1.41,1.42,87380
2020-10-01,1.42,1.44,1.41,1.41,121820
2020-10-02,1.42,1.42,1.39,1.4,127190
2020-10-05,1.42,1.42,1.38,1.39,190450
2020-10-06,1.38,1.45,1.38,1.44,179310
2020-10-07,1.46,1.46,1.4,1.44,90200
2020-10-08,1.44,1.45,1.41,1.43,119410
2020-10-09,1.42,1.44,1.4,1.41,190850
2020-10-12,1.4,1.44,1.4,1.4,110410
2020-10-13,1.4,1.41,1.39,1.39,137260
2020-10-14,1.39,1.4,1.36,1.39,135810
2020-10-15,1.39,1.41,1.39,1.39,120690
2020-10-16,1.42,1.42,1.37,1.39,78080
2020-10-19,1.4,1.4,1.37,1.38,79390
2020-10-20,1.4,1.4,1.35,1.38,158190
2020-10-21,1.4,1.4,1.33,1.36,219920
2020-10-22,1.36,1.36,1.32,1.36,106770
2020-10-23,1.35,1.36,1.33,1.35,203010
2020-10-26,1.35,1.36,1.29,1.34,566010
2020-10-27,1.34,1.35,1.31,1.32,68010
2020-10-28,1.32,1.34,1.3,1.3,81580
2020-10-29,1.29,1.31,1.27,1.29,191660
2020-10-30,1.3,1.3,1.22,1.24,136440
2020-11-02,1.25,1.29,1.21,1.24,212310
2020-11-03,1.28,1.28,1.22,1.25,96990
2020-11-04,1.25,1.29,1.25,1.27,62780
2020-11-05,1.27,1.27,1.23,1.27,60680
2020-11-06,1.27,1.27,1.23,1.26,116960
2020-11-09,1.26,1.26,1.22,1.25,92010
2020-11-10,1.27,1.28,1.23,1.26,115780
2020-11-11,1.26,1.26,1.23,1.24,26350
2020-11-12,1.23,1.24,1.2,1.24,135790
2020-11-13,1.24,1.25,1.23,1.25,63340
2020-11-16,1.25,1.25,1.23,1.24,50980
2020-11-17,1.23,1.24,1.21,1.23,154860
2020-11-18,1.23,1.24,1.21,1.24,120440
2020-11-19,1.25,1.29,1.25,1.27,154510
2020-11-20,1.27,1.28,1.24,1.25,93860
2020-11-23,1.25,1.26,1.23,1.26,110780
2020-11-24,1.27,1.27,1.23,1.24,166820
2020-11-25,1.24,1.26,1.24,1.26,166190
2020-11-26,1.26,1.28,1.25,1.27,63360
2020-11-27,1.27,1.27,1.24,1.25,81970
2020-11-30,1.25,1.25,1.24,1.25,88720
2020-12-01,1.22,1.25,1.21,1.24,158980
2020-12-02,1.25,1.26,1.24,1.25,84920
2020-12-03,1.25,1.26,1.24,1.26,154580
2020-12-04,1.26,1.27,1.25,1.25,214710
2020-12-07,1.25,1.27,1.25,1.27,91480
2020-12-08,1.27,1.28,1.26,1.27,97820
2020-12-09,1.27,1.31,1.27,1.3,226660
2020-12-10,1.3,1.31,1.29,1.29,153200
2020-12-11,1.3,1.3,1.25,1.29,148440
2020-12-14,1.3,1.3,1.26,1.27,75890
2020-12-15,1.28,1.28,1.25,1.27,89720
2020-12-16,1.28,1.31,1.26,1.3,170330
2020-12-17,1.29,1.39,1.28,1.38,457460
2020-12-18,1.4,1.44,1.3,1.38,437130
2020-12-21,1.39,1.42,1.35,1.36,136770
2020-12-22,1.37,1.4,1.32,1.4,347730
2020-12-23,1.4,1.49,1.4,1.49,563560
2020-12-24,1.49,1.58,1.39,1.45,336150
2020-12-25,1.45,1.45,1.37,1.43,343790
2020-12-28,1.48,1.48,1.41,1.43,176890
2020-12-29,1.42,1.43,1.36,1.41,301460
2020-12-30,1.41,1.44,1.4,1.42,215140
2020-12-31,1.4,1.45,1.38,1.42,273140
2021-01-04,1.44,1.51,1.44,1.51,561500
2021-01-05,1.57,1.61,1.5,1.61,523800
2021-01-06,1.72,1.72,1.7,1.72,786000
2021-01-07,1.84,1.84,1.84,1.84,463500
2021-01-08,1.96,1.96,1.96,1.96,453800
2021-01-11,2.09,2.09,2.09,2.09,306300
2021-01-12,2.23,2.23,1.95,2.07,2205900
2021-01-13,2.07,2.07,1.93,1.94,790100
2021-01-14,1.95,1.95,1.82,1.91,810200
2021-01-15,1.88,2.04,1.83,2.04,1065500
2021-01-18,2.18,2.18,2.1,2.18,302400
2021-01-19,2.33,2.33,2.03,2.05,1699300
2021-01-20,2.15,2.15,1.92,2.06,588400
2021-01-21,2.06,2.14,2.0,2.14,810300
