time,open,high,low,close,volume
2020-01-06,4.06,4.07,3.95,3.95,20860
2020-01-07,4.0,4.0,3.95,4.0,2000
2020-01-08,3.99,3.99,3.8,3.88,47420
2020-01-09,3.88,3.9,3.87,3.87,13670
2020-01-10,3.97,3.97,3.8,3.9,26040
2020-01-13,3.9,3.9,3.85,3.85,6290
2020-01-14,3.87,3.88,3.81,3.81,39670
2020-01-15,3.83,3.83,3.8,3.81,42120
2020-01-16,3.83,3.83,3.78,3.8,22880
2020-01-17,3.83,3.83,3.8,3.8,3600
2020-01-20,3.8,3.97,3.8,3.87,156160
2020-01-21,3.87,4.12,3.87,4.12,347860
2020-01-22,4.37,4.4,4.19,4.28,296140
2020-01-30,4.28,4.57,4.28,4.45,265130
2020-01-31,4.45,4.49,4.18,4.18,69610
2020-02-03,4.11,4.31,3.9,4.26,81900
2020-02-04,4.06,4.28,4.06,4.18,99350
2020-02-05,4.14,4.18,4.11,4.18,69780
2020-02-06,4.26,4.26,4.11,4.18,46000
2020-02-07,4.18,4.18,4.07,4.18,78760
2020-02-10,4.18,4.3,4.12,4.24,184530
2020-02-11,4.28,4.43,4.28,4.31,204440
2020-02-12,4.38,4.54,4.35,4.45,141240
2020-02-13,4.45,4.62,4.45,4.62,158500
2020-02-14,4.59,4.76,4.59,4.66,144900
2020-02-17,4.76,4.76,4.59,4.59,64410
2020-02-18,4.56,4.59,4.33,4.33,111600
2020-02-19,4.33,4.52,4.33,4.45,47740
2020-02-20,4.49,4.56,4.38,4.47,48150
2020-02-21,4.4,4.52,4.4,4.43,46690
2020-02-24,4.35,4.37,4.26,4.31,52020
2020-02-25,4.31,4.42,4.28,4.4,22670
2020-02-26,4.4,4.45,4.4,4.4,780
2020-02-27,4.4,4.43,4.35,4.35,29710
2020-02-28,4.35,4.35,4.26,4.35,62830
2020-03-02,4.38,4.52,4.35,4.4,31130
2020-03-03,4.43,4.69,4.43,4.62,273600
2020-03-04,4.62,4.69,4.56,4.66,99690
2020-03-05,4.59,4.85,4.59,4.69,120260
2020-03-06,4.73,4.73,4.59,4.62,60830
2020-03-09,4.38,4.49,4.31,4.31,194280
2020-03-10,4.07,4.38,4.07,4.35,30620
2020-03-11,4.42,4.64,4.38,4.45,518020
2020-03-12,4.4,4.62,4.14,4.54,150560
2020-03-13,4.26,4.49,4.23,4.26,156540
2020-03-16,4.37,4.38,4.26,4.26,31720
2020-03-17,4.14,4.24,3.97,4.24,159130
2020-03-18,4.45,4.45,4.24,4.24,40530
2020-03-19,4.07,4.24,4.07,4.07,34970
2020-03-20,4.11,4.14,4.07,4.14,14440
2020-03-23,3.97,3.97,3.87,3.87,88190
2020-03-24,3.62,3.95,3.62,3.87,5760
2020-03-25,3.9,4.06,3.9,4.02,40610
2020-03-26,3.81,4.0,3.74,3.74,38860
2020-03-27,3.8,3.8,3.62,3.74,41000
2020-03-30,3.57,3.62,3.49,3.49,70750
2020-03-31,3.24,3.56,3.24,3.49,44520
2020-04-01,3.54,3.54,3.49,3.52,19910
2020-04-03,3.45,3.57,3.45,3.56,22950
2020-04-06,3.56,3.73,3.52,3.66,94900
2020-04-07,3.64,3.74,3.56,3.56,105740
2020-04-08,3.62,3.68,3.56,3.62,37020
2020-04-09,3.64,3.71,3.62,3.62,102460
2020-04-10,3.66,3.66,3.59,3.62,60600
2020-04-13,3.66,3.69,3.66,3.69,33860
2020-04-14,3.73,3.76,3.69,3.76,51760
2020-04-15,3.76,4.02,3.76,4.02,183900
2020-04-16,4.11,4.11,3.95,3.95,39050
2020-04-17,3.92,4.07,3.92,4.02,54190
2020-04-20,4.02,4.06,3.92,3.97,69490
2020-04-21,3.83,3.88,3.73,3.73,86540
2020-04-22,3.73,3.8,3.61,3.8,30480
2020-04-23,3.81,3.99,3.81,3.95,22640
2020-04-24,3.9,3.95,3.83,3.95,7090
2020-04-27,3.85,3.94,3.85,3.94,23580
2020-04-28,3.85,3.95,3.85,3.9,9240
2020-04-29,3.94,3.95,3.9,3.95,23300
2020-05-04,3.95,3.95,3.8,3.92,28300
2020-05-05,3.92,3.92,3.83,3.9,9920
2020-05-06,3.94,4.0,3.9,3.97,89030
2020-05-07,4.04,4.04,3.94,3.99,24200
2020-05-08,4.04,4.09,4.0,4.04,29990
2020-05-11,4.06,4.11,4.06,4.11,77860
2020-05-12,4.14,4.3,4.11,4.3,122130
2020-05-13,4.4,4.59,4.31,4.42,186360
2020-05-14,4.42,4.45,4.35,4.4,99990
2020-05-15,4.42,4.42,4.28,4.3,99790
2020-05-18,4.28,4.3,4.19,4.28,77600
2020-05-19,4.42,4.47,4.38,4.42,287720
2020-05-20,4.33,4.56,4.33,4.5,139570
2020-05-21,4.56,4.56,4.37,4.42,53140
2020-05-22,4.42,4.48,4.4,4.48,20500
2020-05-25,4.48,4.48,4.37,4.37,72090
2020-05-26,4.35,4.48,4.35,4.46,122100
2020-05-27,4.52,4.64,4.46,4.48,139270
2020-05-28,4.48,4.48,4.42,4.46,19630
2020-05-29,4.4,4.46,4.4,4.46,39360
2020-06-01,4.46,4.5,4.39,4.39,82380
2020-06-02,4.42,4.46,4.39,4.42,142490
2020-06-03,4.42,4.72,4.42,4.72,217980
2020-06-04,5.04,5.04,4.9,5.04,319360
2020-06-05,5.37,5.37,5.33,5.37,818090
2020-06-08,5.37,5.39,5.18,5.35,300240
2020-06-09,5.29,5.29,5.14,5.14,257980
2020-06-10,5.18,5.2,5.06,5.2,244860
2020-06-11,5.31,5.31,4.86,4.88,208650
2020-06-12,4.78,4.88,4.64,4.88,207260
2020-06-15,4.88,4.9,4.7,4.7,95490
2020-06-16,4.88,4.88,4.66,4.74,20840
2020-06-17,4.74,4.88,4.72,4.8,131310
2020-06-18,4.82,5.0,4.76,4.9,149940
2020-06-19,4.94,5.1,4.94,5.04,77380
2020-06-22,5.06,5.12,4.96,5.06,166310
2020-06-23,5.02,5.31,5.02,5.26,456500
2020-06-24,5.35,5.35,5.24,5.26,281100
2020-06-25,5.22,5.61,5.16,5.61,695260
2020-06-26,5.77,5.81,5.61,5.61,503790
2020-06-29,5.61,5.85,5.57,5.81,641350
2020-06-30,5.93,6.06,5.77,5.93,438480
2020-07-01,5.97,5.99,5.81,5.93,288260
2020-07-02,5.89,6.16,5.89,6.02,435160
2020-07-03,6.12,6.12,5.93,5.93,421540
2020-07-06,6.01,6.01,5.81,5.81,520250
2020-07-07,5.79,5.81,5.49,5.49,835710
2020-07-08,5.41,5.73,5.41,5.73,365600
2020-07-09,5.73,5.73,5.57,5.69,334410
2020-07-10,5.69,6.06,5.69,6.01,700540
