time,open,high,low,close,volume
2020-01-06,59.93,60.74,59.62,60.61,431090
2020-01-07,60.55,60.55,59.68,60.18,142800
2020-01-08,61.11,61.36,60.12,60.12,439260
2020-01-09,59.5,59.99,58.75,59.0,320980
2020-01-10,59.18,59.5,58.88,59.43,160820
2020-01-13,59.43,59.43,58.69,59.06,355190
2020-01-14,59.0,59.5,58.81,58.81,166850
2020-01-15,58.88,58.88,57.7,58.26,201400
2020-01-16,58.26,58.44,57.64,57.82,508390
2020-01-17,57.82,58.38,57.45,57.76,281760
2020-01-20,57.76,58.01,57.57,57.88,134180
2020-01-21,57.88,58.81,57.88,58.81,180960
2020-01-22,58.81,59.12,58.44,58.81,162790
2020-01-30,56.4,58.13,56.4,57.02,379940
2020-01-31,56.46,56.83,53.3,53.61,551680
2020-02-03,52.68,53.24,49.95,51.56,565980
2020-02-04,52.62,52.68,50.82,50.82,376400
2020-02-05,51.44,52.06,49.95,50.57,290230
2020-02-06,50.57,53.24,50.57,53.24,253870
2020-02-07,53.24,53.92,52.68,53.3,299430
2020-02-10,52.68,53.86,52.06,53.79,282460
2020-02-11,53.36,53.79,52.93,53.05,235700
2020-02-12,53.67,53.67,53.05,53.3,175490
2020-02-13,53.17,54.6,53.17,54.23,272240
2020-02-14,54.23,55.1,53.92,54.85,162870
2020-02-17,54.85,55.34,54.1,54.1,180040
2020-02-18,53.92,54.17,53.17,53.3,215600
2020-02-19,53.3,53.36,52.86,52.86,166790
2020-02-20,54.54,54.54,52.8,52.86,198200
2020-02-21,53.3,53.42,52.93,52.93,171440
2020-02-24,52.68,52.68,51.75,52.0,348150
2020-02-25,51.13,52.0,51.13,51.44,348890
2020-02-26,51.13,51.13,49.33,49.52,478410
2020-02-27,49.46,49.52,48.4,48.96,359090
2020-02-28,46.54,48.28,46.54,46.98,449640
2020-03-02,46.85,49.27,46.73,48.96,255710
2020-03-03,51.38,51.38,49.58,49.58,270460
2020-03-04,49.27,49.27,48.22,48.4,307460
2020-03-05,48.4,49.58,48.4,48.4,262610
2020-03-06,48.34,48.4,47.78,48.03,208460
2020-03-09,44.68,44.68,44.68,44.68,226330
2020-03-10,41.58,43.94,41.58,42.45,1377350
2020-03-11,43.69,44.06,39.54,39.54,1022830
2020-03-12,36.81,37.74,36.81,36.81,832050
2020-03-13,34.27,36.26,34.27,35.33,975880
2020-03-16,35.2,37.31,34.71,36.75,664400
2020-03-17,34.83,37.12,34.83,37.06,531530
2020-03-18,37.18,37.18,35.82,35.94,1111270
2020-03-19,34.71,35.02,34.02,34.27,897780
2020-03-20,35.33,36.01,34.71,35.88,563530
2020-03-23,34.21,34.71,33.4,33.4,779860
2020-03-24,34.71,34.95,33.78,34.83,769350
2020-03-25,36.75,37.25,36.07,37.25,1074610
2020-03-26,37.18,37.43,36.26,36.38,564130
2020-03-27,36.38,36.63,35.39,36.07,484150
2020-03-30,34.02,34.33,33.78,33.84,556090
2020-03-31,35.76,35.76,33.47,33.96,414540
2020-04-01,33.9,35.7,33.9,34.77,577930
2020-04-03,37.18,37.18,35.64,36.69,1147360
2020-04-06,38.42,39.04,37.8,39.04,1513290
2020-04-07,39.6,39.6,38.3,38.98,945030
2020-04-08,37.99,38.92,37.68,38.86,869540
2020-04-09,39.29,41.52,39.11,41.52,1506780
2020-04-10,40.9,41.83,40.28,41.58,944260
2020-04-13,42.27,43.07,41.83,42.14,1048800
2020-04-14,41.52,41.71,40.53,41.52,1273310
2020-04-15,40.78,41.71,40.59,41.28,645240
2020-04-16,41.28,42.14,40.78,41.77,717400
2020-04-17,41.83,42.76,41.83,41.96,811680
2020-04-20,42.14,42.76,41.58,42.64,1227520
2020-04-21,40.9,41.65,39.97,39.97,1557070
2020-04-22,37.8,40.03,37.8,39.35,760590
2020-04-23,40.28,40.9,40.16,40.34,620260
2020-04-24,40.78,40.9,40.1,40.34,583010
2020-04-27,40.34,40.84,39.66,39.79,476510
2020-04-28,38.8,39.66,38.67,38.92,775610
2020-04-29,39.04,39.79,39.04,39.29,623860
2020-05-04,40.28,40.66,39.42,39.54,410240
2020-05-05,40.03,40.59,39.66,40.59,652830
2020-05-06,41.34,42.64,41.34,42.51,1540630
2020-05-07,42.51,43.07,41.96,42.58,705710
2020-05-08,42.58,43.88,42.58,43.13,1700680
2020-05-11,43.38,45.24,43.38,45.24,1084850
2020-05-12,45.18,45.86,44.0,45.36,1145720
2020-05-13,45.24,45.8,44.62,44.87,991060
2020-05-14,44.37,44.87,44.13,44.31,688000
2020-05-15,45.18,45.24,43.94,43.94,904360
2020-05-18,44.37,45.55,44.37,45.55,1071380
2020-05-19,46.73,46.73,45.92,46.36,1144660
2020-05-20,45.24,46.36,45.24,45.98,548540
2020-05-21,46.17,46.85,45.86,46.48,952810
2020-05-22,46.42,46.42,45.61,45.8,982700
2020-05-25,45.8,45.92,45.49,45.68,554990
2020-05-26,46.17,46.42,45.74,46.42,615970
2020-05-27,46.79,47.29,46.36,46.48,1141480
2020-05-28,46.48,46.73,45.8,45.8,551210
2020-05-29,46.17,46.17,45.68,46.11,372610
2020-06-01,46.42,47.1,46.23,46.67,596060
2020-06-02,46.67,48.22,46.48,47.35,1452270
2020-06-03,48.03,48.53,47.53,48.34,633960
2020-06-04,48.4,49.27,48.34,48.34,848030
2020-06-05,47.72,48.34,47.41,47.72,881330
2020-06-08,49.27,49.27,48.53,48.96,659450
2020-06-09,48.46,48.9,48.34,48.59,481610
2020-06-10,48.34,48.59,48.03,48.34,426400
2020-06-11,48.03,48.4,44.99,44.99,1251510
2020-06-12,43.44,46.42,43.44,46.23,878600
2020-06-15,46.23,46.73,44.68,44.68,554870
2020-06-16,45.55,45.55,44.93,45.3,454210
2020-06-17,45.55,45.8,44.99,45.18,330300
2020-06-18,44.99,45.24,44.62,44.74,317660
2020-06-19,45.36,45.43,44.99,44.99,303720
2020-06-22,45.3,45.68,45.24,45.3,227680
2020-06-23,45.36,46.05,45.24,45.8,349770
2020-06-24,45.61,45.98,44.62,44.99,240120
