time,open,high,low,close,volume
2020-01-06,5.0,5.0,5.0,5.0,0
2020-01-07,5.0,5.0,5.0,5.0,0
2020-01-08,5.0,5.0,5.0,5.0,0
2020-01-09,5.0,5.0,5.0,5.0,0
2020-01-10,5.0,5.0,5.0,5.0,0
2020-01-13,5.0,5.0,5.0,5.0,0
2020-01-14,5.0,5.0,5.0,5.0,0
2020-01-15,5.0,5.0,5.0,5.0,0
2020-01-16,5.0,5.0,5.0,5.0,0
2020-01-17,5.0,5.0,5.0,5.0,0
2020-01-20,4.56,4.56,4.56,4.56,3900
2020-01-21,4.56,4.56,4.56,4.56,0
2020-01-22,4.56,4.56,4.56,4.56,60
2020-01-30,4.56,4.56,4.56,4.56,0
2020-01-31,4.56,4.56,4.56,4.56,0
2020-02-03,4.56,4.56,4.56,4.56,0
2020-02-04,4.56,4.56,4.56,4.56,0
2020-02-05,4.56,4.56,4.56,4.56,0
2020-02-06,4.56,4.56,4.56,4.56,0
2020-02-07,4.56,4.56,4.56,4.56,0
2020-02-10,4.56,4.56,4.56,4.56,0
2020-02-11,4.56,4.56,4.56,4.56,0
2020-02-12,4.56,4.56,4.56,4.56,0
2020-02-13,4.56,4.56,4.56,4.56,0
2020-02-14,4.56,4.56,4.56,4.56,0
2020-02-17,4.56,4.56,4.56,4.56,0
2020-02-18,4.56,4.56,4.56,4.56,0
2020-02-19,4.56,4.56,4.56,4.56,0
2020-02-20,4.56,4.56,4.56,4.56,0
2020-02-21,4.56,4.56,4.56,4.56,0
2020-02-24,4.56,4.56,4.56,4.56,0
2020-02-25,4.56,4.56,4.56,4.56,0
2020-02-26,5.17,5.17,5.17,5.17,4320
2020-02-27,5.88,5.88,5.88,5.88,1000
2020-02-28,5.88,5.88,5.88,5.88,0
2020-03-02,5.88,5.88,5.88,5.88,0
2020-03-03,5.88,5.88,5.88,5.88,0
2020-03-04,5.88,5.88,5.88,5.88,0
2020-03-05,5.88,5.88,5.88,5.88,0
2020-03-06,5.88,5.88,5.88,5.88,0
2020-03-09,5.88,5.88,5.88,5.88,0
2020-03-10,5.88,5.88,5.88,5.88,0
2020-03-11,5.88,5.88,5.88,5.88,0
2020-03-12,5.88,5.88,5.88,5.88,0
2020-03-13,5.88,5.88,5.88,5.88,0
2020-03-16,5.88,5.88,5.88,5.88,0
2020-03-17,5.88,5.88,5.88,5.88,0
2020-03-18,6.75,6.75,6.75,6.75,300
2020-03-19,6.75,6.75,6.75,6.75,0
2020-03-20,6.75,6.75,6.75,6.75,0
2020-03-23,6.75,6.75,6.75,6.75,0
2020-03-24,6.75,6.75,6.75,6.75,0
2020-03-25,5.79,5.79,5.79,5.79,100
2020-03-26,5.79,5.79,5.79,5.79,0
2020-03-27,5.0,5.0,5.0,5.0,100
2020-03-30,4.3,4.3,4.3,4.3,300
2020-03-31,4.3,4.3,4.3,4.3,0
2020-04-01,3.68,3.68,3.68,3.68,100
2020-04-03,3.68,3.68,3.68,3.68,0
2020-04-06,3.68,3.68,3.68,3.68,0
2020-04-07,3.68,3.68,3.68,3.68,0
2020-04-08,3.24,3.24,3.24,3.24,200
2020-04-09,3.24,3.24,3.24,3.24,0
2020-04-10,3.24,3.24,3.24,3.24,0
2020-04-13,3.24,3.24,3.24,3.24,0
2020-04-14,3.24,3.24,3.24,3.24,0
2020-04-15,3.24,3.24,3.24,3.24,0
2020-04-16,3.24,3.24,3.24,3.24,0
2020-04-17,3.24,3.24,3.24,3.24,0
2020-04-20,3.24,3.24,3.24,3.24,0
2020-04-21,3.24,3.24,3.24,3.24,0
2020-04-22,3.24,3.24,3.24,3.24,0
2020-04-23,3.24,3.24,3.24,3.24,0
2020-04-24,3.24,3.24,3.24,3.24,0
2020-04-27,3.24,3.24,3.24,3.24,0
2020-04-28,3.24,3.24,3.24,3.24,0
2020-04-29,3.24,3.24,3.24,3.24,0
2020-05-04,3.24,3.24,3.24,3.24,0
2020-05-05,3.24,3.24,3.24,3.24,0
2020-05-06,3.24,3.24,3.24,3.24,0
2020-05-07,3.24,3.24,3.24,3.24,0
2020-05-08,3.24,3.24,3.24,3.24,0
2020-05-11,3.24,3.24,3.24,3.24,0
2020-05-12,3.24,3.24,3.24,3.24,0
2020-05-13,3.24,3.24,3.24,3.24,0
2020-05-14,3.24,3.24,3.24,3.24,0
2020-05-15,3.24,3.24,3.24,3.24,0
2020-05-18,3.24,3.24,3.24,3.24,0
2020-05-19,3.24,3.24,3.24,3.24,0
2020-05-20,3.24,3.24,3.24,3.24,0
2020-05-21,3.24,3.24,3.24,3.24,0
2020-05-22,3.24,3.24,3.24,3.24,0
2020-05-25,3.24,3.24,3.24,3.24,0
2020-05-26,3.24,3.24,3.24,3.24,0
2020-05-27,3.24,3.24,3.24,3.24,0
2020-05-28,3.24,3.24,3.24,3.24,0
2020-05-29,3.24,3.24,3.24,3.24,0
2020-06-01,3.24,3.24,3.24,3.24,0
2020-06-02,2.19,4.38,2.19,4.38,700
2020-06-03,2.63,2.63,2.63,4.38,0
2020-06-04,2.63,2.63,2.63,4.38,0
2020-06-05,2.63,2.63,2.63,4.38,0
2020-06-08,2.63,2.63,2.63,4.38,0
2020-06-09,2.63,2.63,2.63,4.38,0
2020-06-10,2.63,2.63,2.63,4.38,0
2020-06-11,2.63,2.63,2.63,4.38,0
2020-06-12,2.63,2.63,2.63,4.38,0
2020-06-15,2.63,2.63,2.63,4.38,0
2020-06-16,2.63,2.63,2.63,4.38,0
2020-06-17,2.63,2.63,2.63,4.38,0
2020-06-18,2.63,2.63,2.63,4.38,0
2020-06-19,2.63,2.63,2.63,4.38,0
2020-06-22,2.98,2.98,2.98,2.98,1400
2020-06-23,3.42,3.42,3.42,3.42,100
2020-06-24,3.42,3.42,3.42,3.42,0
2020-06-25,3.42,3.42,3.42,3.42,0
