time,open,high,low,close,volume
2020-01-06,13.9,13.9,13.49,13.85,2660
2020-01-07,13.85,13.9,13.71,13.9,4700
2020-01-08,13.85,14.04,13.85,14.04,9240
2020-01-09,14.34,14.34,13.73,14.18,2580
2020-01-10,13.78,14.42,13.78,14.18,4140
2020-01-13,14.23,14.23,14.23,14.23,500
2020-01-14,13.73,13.99,13.71,13.99,5300
2020-01-15,13.99,13.99,13.71,13.71,7740
2020-01-16,13.92,13.92,13.71,13.92,3620
2020-01-17,13.99,13.99,13.85,13.85,770
2020-01-20,13.71,14.13,13.71,14.13,780
2020-01-21,13.73,14.79,13.73,14.42,4810
2020-01-22,14.42,14.65,14.42,14.65,850
2020-01-30,14.79,14.79,14.18,14.6,3020
2020-01-31,14.6,14.6,13.61,13.75,9550
2020-02-03,13.61,13.61,13.23,13.52,3960
2020-02-04,13.47,13.66,13.0,13.23,16970
2020-02-05,13.71,13.71,12.52,13.23,4690
2020-02-06,13.71,13.71,13.47,13.71,2220
2020-02-07,13.94,13.94,13.33,13.82,19220
2020-02-10,13.82,13.82,13.23,13.66,12750
2020-02-11,13.54,13.66,13.54,13.66,2630
2020-02-12,13.42,13.66,13.28,13.66,21080
2020-02-13,13.47,13.94,13.47,13.56,1900
2020-02-14,13.47,13.47,13.47,13.47,1980
2020-02-17,13.85,13.85,13.33,13.42,3000
2020-02-18,13.33,13.42,13.33,13.38,2800
2020-02-19,13.66,13.66,13.33,13.61,1130
2020-02-20,13.38,13.68,13.38,13.61,5390
2020-02-21,13.61,14.13,13.56,13.71,7730
2020-02-24,13.33,13.61,13.23,13.33,6510
2020-02-25,13.23,13.47,12.95,13.47,3100
2020-02-26,13.23,13.47,13.23,13.47,1020
2020-02-27,13.23,13.47,12.83,13.47,600
2020-02-28,13.33,13.33,13.14,13.14,3070
2020-03-02,13.02,13.23,13.0,13.23,2410
2020-03-03,13.02,13.47,13.02,13.47,1600
2020-03-04,13.38,13.38,13.23,13.26,7850
2020-03-05,13.47,13.47,13.16,13.16,8760
2020-03-06,13.14,13.14,13.04,13.04,13790
2020-03-09,13.04,13.04,12.38,12.76,14880
2020-03-10,12.52,12.71,12.08,12.08,48840
2020-03-11,12.08,12.69,11.65,11.77,21800
2020-03-12,11.01,12.19,10.96,12.05,11620
2020-03-13,11.22,11.22,11.22,11.22,16770
2020-03-16,11.79,11.79,10.87,11.53,1390
2020-03-17,11.25,11.25,10.73,10.73,44820
2020-03-18,10.73,11.34,10.73,10.78,2570
2020-03-19,10.87,11.11,10.73,10.78,27990
2020-03-20,10.87,11.01,10.73,10.78,31440
2020-03-23,10.73,10.73,10.04,10.04,16810
2020-03-24,10.07,10.16,9.97,10.02,11270
2020-03-25,10.07,10.63,10.02,10.16,8590
2020-03-26,10.63,10.63,9.97,10.35,5200
2020-03-27,10.4,10.82,10.35,10.37,22170
2020-03-30,10.35,10.75,9.78,10.59,6830
2020-03-31,10.78,10.78,9.85,10.28,26320
2020-04-01,10.63,10.63,10.16,10.4,2820
2020-04-03,10.82,10.82,10.07,10.78,18140
2020-04-06,10.82,10.85,10.59,10.82,10030
2020-04-07,11.34,11.34,10.87,11.11,110270
2020-04-08,11.01,11.53,10.63,11.25,25340
2020-04-09,11.48,11.77,11.34,11.74,58750
2020-04-10,11.15,11.74,11.15,11.44,9230
2020-04-13,11.67,11.67,11.34,11.34,17620
2020-04-14,11.34,11.67,11.34,11.58,28670
2020-04-15,11.56,11.58,11.44,11.58,34110
2020-04-16,11.41,11.72,11.39,11.72,16730
2020-04-17,11.67,12.1,11.58,11.82,53130
2020-04-20,11.77,11.82,11.58,11.82,33990
2020-04-21,11.82,12.1,11.72,11.96,71760
2020-04-22,11.72,12.52,11.72,12.5,22160
2020-04-23,12.52,12.52,12.29,12.52,3600
2020-04-24,12.52,12.76,12.52,12.57,23450
2020-04-27,12.67,13.23,12.57,13.23,21870
2020-04-28,13.0,13.21,12.67,13.19,6820
2020-04-29,13.21,13.21,12.9,12.93,10850
2020-05-04,12.76,12.93,12.52,12.76,4990
2020-05-05,12.81,12.81,12.67,12.71,1630
2020-05-06,13.07,13.07,12.52,12.67,6590
2020-05-07,12.67,12.71,12.55,12.67,8500
2020-05-08,12.67,12.76,12.67,12.76,7440
2020-05-11,13.0,13.0,12.76,12.86,5780
2020-05-12,12.86,12.95,12.76,12.86,7520
2020-05-13,12.81,12.9,12.71,12.86,11950
2020-05-14,12.76,12.86,12.76,12.86,5260
2020-05-15,12.86,12.88,12.76,12.76,5140
2020-05-18,12.76,13.47,12.76,12.76,7090
2020-05-19,13.23,13.23,13.09,13.14,550
