time,open,high,low,close,volume
2020-01-06,13.64,13.69,13.55,13.55,2400
2020-01-07,13.32,13.36,13.32,13.36,7100
2020-01-08,13.5,13.5,13.5,13.5,2500
2020-01-09,13.55,13.64,13.55,13.64,1001
2020-01-10,13.6,13.74,13.6,13.74,1800
2020-01-13,13.55,13.55,13.55,13.55,200
2020-01-14,13.74,13.74,13.74,13.74,100
2020-01-15,13.92,14.48,13.92,14.48,1200
2020-01-16,14.02,14.02,14.02,14.02,1000
2020-01-17,14.02,14.02,14.02,14.02,0
2020-01-20,13.74,14.02,13.74,13.92,5600
2020-01-21,13.83,13.83,13.83,13.83,4500
2020-01-22,13.88,13.88,13.88,13.88,2800
2020-01-30,14.02,14.02,14.02,14.02,200
2020-01-31,14.02,14.02,14.02,14.02,200
2020-02-03,14.02,14.02,14.02,14.02,1000
2020-02-04,14.02,14.02,14.02,14.02,300
2020-02-05,13.97,14.25,13.92,14.25,4100
2020-02-06,14.25,14.62,14.25,14.62,5900
2020-02-07,14.02,14.02,13.97,13.97,6000
2020-02-10,14.81,14.9,14.81,14.9,4000
2020-02-11,14.9,14.95,14.9,14.95,1500
2020-02-12,15.32,15.42,15.18,15.18,5600
2020-02-13,14.25,15.32,14.25,15.32,3900
2020-02-14,14.81,14.81,14.81,15.32,0
2020-02-17,14.81,15.65,14.81,15.65,4000
2020-02-18,15.23,15.23,15.23,15.23,700
2020-02-19,15.23,15.23,15.23,15.23,0
2020-02-20,15.23,15.23,15.23,15.23,0
2020-02-21,15.23,15.23,15.23,15.23,0
2020-02-24,15.23,15.23,15.0,15.0,2600
2020-02-25,14.06,14.06,14.02,14.02,700
2020-02-26,14.3,14.3,14.3,14.3,100
2020-02-27,14.3,14.3,14.3,14.3,0
2020-02-28,14.3,14.3,14.3,14.3,0
2020-03-02,14.02,14.02,14.02,14.02,600
2020-03-03,14.06,14.67,14.06,14.67,2700
2020-03-04,14.86,14.86,14.86,14.86,4300
2020-03-05,14.95,15.18,14.02,14.02,4600
2020-03-06,14.11,15.42,14.11,15.42,10700
2020-03-09,14.48,14.58,14.48,14.58,2000
2020-03-10,14.25,14.25,14.16,14.16,300
2020-03-11,14.3,14.3,14.02,14.02,7200
2020-03-12,13.74,14.02,13.55,13.55,8900
2020-03-13,13.13,14.67,13.13,14.67,7205
2020-03-16,13.55,14.02,13.41,13.97,27700
2020-03-17,13.78,13.78,13.78,13.97,0
2020-03-18,14.67,15.37,14.67,15.37,5600
2020-03-19,14.02,14.02,13.92,13.92,4700
2020-03-20,13.92,13.92,13.92,13.92,0
2020-03-23,14.48,14.72,14.48,14.67,2700
2020-03-24,14.62,14.62,14.62,14.67,0
2020-03-25,14.39,14.86,14.39,14.86,3600
2020-03-26,14.76,14.76,14.76,14.86,0
2020-03-27,14.76,14.76,14.76,14.86,0
2020-03-30,14.76,14.76,14.76,14.86,0
2020-03-31,14.76,14.76,14.76,14.86,5
2020-04-01,13.55,14.44,13.55,14.44,2400
2020-04-03,14.44,14.48,14.25,14.25,2000
2020-04-06,14.39,14.44,14.39,14.44,305
2020-04-07,14.25,14.44,14.02,14.44,2700
2020-04-08,14.34,14.72,14.34,14.72,3000
2020-04-09,14.53,14.53,14.53,14.72,0
2020-04-10,13.08,13.08,13.08,13.08,1300
2020-04-13,13.08,13.08,13.08,13.08,0
2020-04-14,14.02,14.06,14.02,14.06,2000
2020-04-15,14.06,14.06,14.06,14.06,0
2020-04-16,14.06,14.06,14.06,14.06,0
2020-04-17,13.92,14.02,13.92,14.02,1600
2020-04-20,14.02,14.48,14.02,14.44,12800
2020-04-21,14.25,14.62,14.25,14.58,11000
2020-04-22,14.62,14.67,14.62,14.62,11100
2020-04-23,14.62,14.62,14.48,14.48,4900
2020-04-24,14.48,14.48,14.3,14.48,1300
2020-04-27,14.39,14.39,14.39,14.48,0
2020-04-28,14.44,14.44,14.44,14.44,400
2020-04-29,14.25,14.39,14.25,14.39,1100
2020-05-04,14.02,14.02,14.02,14.02,200
2020-05-05,14.02,14.02,14.02,14.02,2000
2020-05-06,14.02,14.72,14.02,14.25,1700
2020-05-07,14.72,14.72,14.62,14.62,2100
2020-05-08,14.62,14.62,14.53,14.53,4900
2020-05-11,14.58,14.58,14.58,14.58,1300
2020-05-12,14.48,14.48,14.25,14.48,5400
2020-05-13,14.39,14.39,14.34,14.34,6300
2020-05-14,14.72,14.72,14.34,14.34,606
2020-05-15,14.67,14.67,14.44,14.44,6902
2020-05-18,14.72,14.72,14.72,14.72,18100
2020-05-19,14.48,14.48,14.48,14.48,1400
2020-05-20,14.95,14.95,14.16,14.9,3100
2020-05-21,14.95,14.95,14.48,14.48,3500
2020-05-22,14.72,14.72,14.72,14.72,500
2020-05-25,14.72,14.72,14.48,14.48,6400
2020-05-26,14.72,14.72,14.72,14.72,100
2020-05-27,14.72,14.72,14.72,14.72,300
2020-05-28,14.72,14.72,14.72,14.72,100
2020-05-29,14.72,14.72,14.72,14.72,0
2020-06-01,14.72,14.72,14.67,14.72,7500
2020-06-02,14.58,14.58,14.3,14.48,6100
2020-06-03,14.48,14.72,14.48,14.72,2600
2020-06-04,14.62,14.62,14.62,14.62,1100
2020-06-05,14.62,14.62,14.62,14.62,0
2020-06-08,14.72,14.81,14.48,14.48,5700
2020-06-09,14.48,14.76,14.48,14.76,4500
2020-06-10,14.76,14.86,14.76,14.76,2000
2020-06-11,14.81,14.81,14.76,14.81,700
2020-06-12,14.81,14.81,14.72,14.72,900
2020-06-15,16.58,16.58,14.76,14.76,300
2020-06-16,14.72,15.0,14.72,15.0,482
2020-06-17,14.81,14.81,14.81,14.81,4300
2020-06-18,14.81,14.81,14.81,14.81,600
2020-06-19,14.81,14.81,14.81,14.81,2532
2020-06-22,14.81,14.81,14.81,14.81,0
2020-06-23,14.95,14.95,14.95,14.95,100
2020-06-24,14.95,14.95,14.95,14.95,0
2020-06-25,14.81,14.81,14.81,14.81,653
2020-06-26,14.81,14.81,14.81,14.81,900
2020-06-29,14.9,14.9,14.9,14.9,100
2020-06-30,16.12,16.12,16.12,16.12,110
2020-07-01,16.12,16.12,16.12,16.12,0
2020-07-02,14.95,14.95,14.95,14.95,5000
2020-07-03,15.18,15.18,15.18,15.18,2000
2020-07-06,14.95,15.18,14.95,15.0,5000
2020-07-07,15.0,15.0,14.86,14.9,11610
2020-07-08,15.37,15.42,14.95,14.95,2503
2020-07-09,14.95,14.95,14.95,14.95,7000
2020-07-10,14.95,14.95,14.95,14.95,100
2020-07-13,15.18,15.42,15.18,15.42,8400
2020-07-14,15.42,15.42,15.42,15.42,5000
2020-07-15,15.6,15.6,15.6,15.6,300
2020-07-16,15.65,16.35,15.65,15.88,10500
2020-07-17,15.88,15.98,15.88,15.98,1300
2020-07-20,16.35,16.35,15.88,15.98,700
2020-07-21,15.18,15.56,15.18,15.56,3500
2020-07-22,16.12,16.12,16.12,15.56,0
2020-07-23,15.65,15.65,15.65,15.65,1100
2020-07-24,15.42,15.42,15.42,15.42,1500
2020-07-27,15.65,15.65,15.42,15.42,6700
2020-07-28,15.56,15.56,15.56,15.56,100
2020-07-29,14.67,14.67,14.67,14.67,300
2020-07-30,15.04,15.04,15.04,15.04,500
2020-07-31,15.04,15.04,15.04,15.04,48
2020-08-03,15.04,15.04,15.04,15.04,0
2020-08-04,15.04,15.04,15.04,15.04,0
2020-08-05,15.04,15.04,15.04,15.04,0
2020-08-06,15.65,15.65,15.65,15.65,1040
2020-08-07,15.88,15.88,15.65,15.65,3730
2020-08-10,13.32,15.84,13.32,15.42,2700
2020-08-11,15.65,15.65,15.42,15.42,5310
2020-08-12,15.46,15.51,15.46,15.51,1900
2020-08-13,16.12,16.12,15.51,15.51,2100
2020-08-14,15.79,15.79,15.79,15.51,0
2020-08-17,15.79,15.79,15.79,15.51,20
2020-08-18,15.79,15.79,15.79,15.51,10
2020-08-19,15.79,15.79,15.79,15.51,0
2020-08-20,15.79,15.79,15.79,15.51,0
2020-08-21,15.79,15.79,15.79,15.79,3510
2020-08-24,15.79,15.88,15.79,15.88,4202
2020-08-25,15.79,15.79,15.79,15.79,6400
2020-08-26,15.79,15.79,15.79,15.79,8760
2020-08-27,15.79,15.79,15.56,15.79,7401
2020-08-28,15.79,15.79,15.79,15.79,8700
2020-08-31,15.79,15.79,15.79,15.79,8130
2020-09-01,15.79,15.79,15.79,15.79,0
2020-09-03,15.84,15.88,15.84,15.88,2035
2020-09-04,15.88,15.88,15.88,15.88,3000
2020-09-07,15.88,15.88,15.88,15.88,900
2020-09-08,15.88,15.88,15.88,15.88,100
2020-09-09,15.88,16.12,15.88,16.12,4300
2020-09-10,16.12,16.12,16.12,16.12,3600
2020-09-11,16.12,16.12,16.12,16.12,3000
2020-09-14,17.24,17.24,16.35,16.35,2600
2020-09-15,16.26,16.35,16.26,16.35,6800
2020-09-16,16.58,16.58,16.58,16.58,1500
2020-09-17,16.4,16.4,16.35,16.35,5000
2020-09-18,16.35,16.35,16.35,16.35,6929
2020-09-21,16.4,16.4,16.4,16.4,100
2020-09-22,16.35,16.35,16.35,16.35,800
2020-09-23,16.58,16.58,16.58,16.58,9201
2020-09-24,16.58,16.58,16.58,16.58,0
2020-09-25,16.54,16.58,16.54,16.58,200
2020-09-28,16.54,16.58,16.54,16.58,2700
2020-09-29,16.58,16.58,16.4,16.58,10900
2020-09-30,16.58,16.58,16.49,16.49,700
2020-10-01,16.54,16.54,16.54,16.97,0
2020-10-02,16.4,16.4,16.35,16.35,1900
2020-10-05,16.97,16.97,16.97,16.97,100
2020-10-06,16.97,16.97,16.97,16.97,0
2020-10-07,16.68,16.78,16.68,16.78,700
2020-10-08,16.59,16.59,16.59,16.59,4400
2020-10-09,16.78,16.78,16.78,16.78,100
2020-10-12,16.59,16.59,16.59,16.59,100
2020-10-13,17.02,17.02,17.02,17.02,100
2020-10-14,16.59,16.59,16.59,16.59,700
2020-10-15,16.35,16.35,15.38,15.87,2100
