time,open,high,low,close,volume
2020-01-06,12.0,12.07,12.0,12.07,7620
2020-01-07,12.07,12.2,11.91,12.2,3120
2020-01-08,12.4,12.4,12.0,12.33,240
2020-01-09,12.33,12.33,11.97,12.17,1970
2020-01-10,12.0,12.2,12.0,12.2,4900
2020-01-13,12.4,12.4,12.2,12.24,3240
2020-01-14,12.24,12.33,12.2,12.3,90
2020-01-15,12.27,12.4,12.14,12.4,8870
2020-01-16,12.2,12.4,12.2,12.4,2200
2020-01-17,12.2,12.37,12.2,12.37,1850
2020-01-20,12.24,12.86,12.24,12.53,3790
2020-01-21,12.53,12.6,12.53,12.6,4340
2020-01-22,12.6,13.19,12.6,13.19,5570
2020-01-30,13.06,13.19,12.83,12.83,18600
2020-01-31,12.53,12.53,12.27,12.33,2060
2020-02-03,12.2,12.2,11.74,11.87,20260
2020-02-04,11.87,11.87,11.81,11.81,2230
2020-02-05,12.4,12.4,11.81,12.14,2040
2020-02-06,11.91,11.94,11.87,11.94,6770
2020-02-07,11.87,12.2,11.87,12.2,120
2020-02-10,12.07,12.37,12.07,12.33,180
2020-02-11,12.2,12.37,12.2,12.37,1200
2020-02-12,12.37,12.96,12.37,12.96,7070
2020-02-13,12.96,13.52,12.96,13.19,44310
2020-02-14,13.52,14.05,13.13,13.32,19270
2020-02-17,13.32,13.39,12.8,13.19,9210
2020-02-18,12.66,12.99,12.66,12.96,3870
2020-02-19,12.86,13.09,12.86,13.09,4810
2020-02-20,13.19,13.19,13.03,13.09,300
2020-02-21,13.06,13.19,12.99,13.09,1700
2020-02-24,12.8,12.99,12.63,12.99,790
2020-02-25,12.4,12.93,12.4,12.83,4460
2020-02-26,12.8,12.83,12.47,12.53,6300
2020-02-27,12.93,12.93,12.43,12.83,2920
2020-02-28,12.76,12.76,11.94,12.07,21320
2020-03-02,12.07,12.07,11.54,11.81,7970
2020-03-03,11.81,12.07,11.74,12.07,29590
2020-03-04,11.54,11.87,11.54,11.77,16310
2020-03-05,11.41,11.71,11.41,11.71,8850
2020-03-06,11.71,11.81,11.71,11.74,9950
2020-03-09,11.21,11.21,10.95,11.02,31920
2020-03-10,10.29,11.34,10.29,10.95,16520
2020-03-11,11.28,11.28,10.55,10.55,25620
2020-03-12,10.55,10.59,10.09,10.45,24680
2020-03-13,9.89,10.29,9.89,10.29,9830
2020-03-16,10.29,10.62,9.89,10.62,12610
2020-03-17,10.55,10.55,10.03,10.29,6870
2020-03-18,10.26,10.55,10.22,10.26,4720
2020-03-19,10.55,10.55,10.26,10.26,2800
2020-03-20,10.03,10.09,9.89,9.89,8290
2020-03-23,9.23,9.76,9.2,9.2,14050
2020-03-24,8.67,9.2,8.67,9.2,1270
2020-03-25,9.23,9.43,9.23,9.43,4430
2020-03-26,9.23,9.4,9.2,9.2,7770
2020-03-27,9.04,9.07,9.04,9.04,3460
2020-03-30,8.41,8.57,8.41,8.41,6690
2020-03-31,8.41,8.71,8.11,8.11,7620
2020-04-01,8.24,8.51,8.24,8.44,3970
2020-04-03,8.51,8.84,8.51,8.81,9080
2020-04-06,9.23,9.23,8.81,9.2,10550
2020-04-07,9.23,9.37,9.1,9.37,6340
2020-04-08,9.37,9.89,9.04,9.89,27070
2020-04-09,9.89,10.59,9.89,9.96,27930
2020-04-10,10.49,10.59,10.22,10.42,29000
2020-04-13,10.55,10.68,10.49,10.68,17720
2020-04-14,10.68,10.82,10.36,10.55,4640
2020-04-15,10.55,10.68,10.22,10.68,24440
2020-04-16,10.22,10.88,10.22,10.88,13910
2020-04-17,10.95,11.64,10.95,11.64,12730
2020-04-20,11.87,11.87,11.48,11.64,12280
2020-04-21,10.98,11.21,10.85,11.21,13780
2020-04-22,10.88,11.08,10.88,10.88,2610
2020-04-23,11.02,11.31,10.88,10.88,4280
2020-04-24,10.55,10.88,10.22,10.82,12680
2020-04-27,10.82,10.82,10.29,10.75,150
2020-04-28,10.55,11.21,10.49,10.78,2950
2020-04-29,10.95,10.95,10.72,10.85,6520
2020-05-04,10.36,10.85,10.36,10.55,1770
2020-05-05,10.98,10.98,10.55,10.62,1600
2020-05-06,10.75,10.95,10.09,10.62,29740
2020-05-07,10.68,11.08,10.68,10.95,7650
2020-05-08,10.65,11.18,10.65,10.95,7640
2020-05-11,10.88,10.95,10.75,10.95,3460
2020-05-12,10.95,11.71,10.95,11.71,64530
2020-05-13,11.71,12.5,11.71,12.5,254270
2020-05-14,12.5,13.36,12.5,12.86,44740
2020-05-15,12.86,12.86,12.4,12.47,38860
2020-05-18,12.24,12.33,11.71,12.0,37020
2020-05-19,12.0,12.27,11.94,11.97,47580
2020-05-20,11.87,12.27,11.87,12.2,13750
2020-05-21,12.5,12.53,12.17,12.17,23990
