time,open,high,low,close,volume
2020-01-06,16.08,16.15,15.72,15.76,193970
2020-01-07,15.76,15.83,15.37,15.4,348050
2020-01-08,15.37,15.37,14.87,14.87,320710
2020-01-09,15.09,15.4,15.09,15.37,253950
2020-01-10,15.4,15.58,14.7,15.58,631400
2020-01-13,15.51,15.51,15.16,15.23,109300
2020-01-14,15.4,15.4,15.02,15.23,149040
2020-01-15,15.09,15.23,14.94,15.12,219200
2020-01-16,15.16,15.16,14.87,15.02,425730
2020-01-17,15.02,15.16,14.87,15.16,208740
2020-01-20,15.09,15.16,14.98,15.09,199720
2020-01-21,15.09,15.26,14.98,15.16,395000
2020-01-22,15.16,15.26,15.12,15.26,474460
2020-01-30,15.16,15.16,14.2,14.52,517710
2020-01-31,14.24,14.52,13.53,13.53,2241720
2020-02-03,13.24,13.42,12.61,13.42,974650
2020-02-04,13.32,13.42,12.86,13.32,392420
2020-02-05,13.32,13.53,13.1,13.39,473070
2020-02-06,13.46,13.88,13.24,13.81,418210
2020-02-07,13.88,13.88,13.6,13.78,263280
2020-02-10,13.56,13.78,13.32,13.67,379700
2020-02-11,13.7,13.7,13.46,13.53,272250
2020-02-12,13.46,13.6,13.42,13.56,297530
2020-02-13,13.56,13.88,13.56,13.81,790710
2020-02-14,13.81,14.16,13.67,14.09,351460
2020-02-17,14.16,14.48,14.09,14.48,507890
2020-02-18,14.48,14.48,14.06,14.16,480470
2020-02-19,13.95,14.16,13.95,14.16,265310
2020-02-20,14.02,14.41,14.02,14.16,353490
2020-02-21,14.31,14.34,14.06,14.06,248170
2020-02-24,13.88,13.95,13.1,13.39,507460
2020-02-25,12.96,13.56,12.96,13.56,299060
2020-02-26,13.39,13.39,13.0,13.39,305720
2020-02-27,13.39,13.56,13.17,13.56,138150
2020-02-28,13.14,13.46,13.1,13.42,302040
2020-03-02,13.14,13.67,13.14,13.46,377990
2020-03-03,13.74,13.74,13.46,13.56,146770
2020-03-04,13.53,13.67,13.46,13.56,270000
2020-03-05,13.6,13.74,13.53,13.6,231490
2020-03-06,13.53,13.6,13.46,13.49,84780
2020-03-09,12.75,13.17,12.57,12.64,728440
2020-03-10,12.25,12.78,12.18,12.75,356930
2020-03-11,12.75,12.89,11.86,12.54,447460
2020-03-12,12.08,12.32,11.69,11.69,607800
2020-03-13,10.87,11.19,10.87,11.19,917640
2020-03-16,11.08,11.37,10.98,11.19,455770
2020-03-17,11.05,11.62,10.91,11.62,485340
2020-03-18,11.83,12.18,11.76,12.0,663440
2020-03-19,11.9,12.11,11.62,11.97,340320
2020-03-20,11.97,11.97,11.37,11.65,287940
2020-03-23,11.05,11.33,10.84,10.84,786690
2020-03-24,11.12,11.12,10.62,11.12,385850
2020-03-25,11.3,11.54,11.16,11.54,271200
2020-03-26,11.33,11.47,11.19,11.26,177230
2020-03-27,11.33,11.33,11.05,11.26,176920
2020-03-30,10.8,10.8,10.48,10.7,247430
2020-03-31,10.62,10.98,9.99,10.59,255840
2020-04-01,10.52,10.76,10.52,10.59,225870
2020-04-03,10.59,10.84,10.59,10.76,348250
2020-04-06,10.91,11.51,10.91,11.51,419790
2020-04-07,11.69,11.69,11.33,11.51,229600
2020-04-08,10.98,11.51,10.98,11.51,308590
2020-04-09,11.54,11.83,11.47,11.69,442690
2020-04-10,11.76,11.83,11.33,11.62,302240
2020-04-13,11.83,12.04,11.69,11.83,389230
2020-04-14,11.83,11.9,11.54,11.83,261590
2020-04-15,11.76,12.04,11.76,12.0,339960
2020-04-16,11.97,12.46,11.83,12.32,1059740
2020-04-17,12.68,13.03,12.61,13.0,975490
2020-04-20,13.03,13.1,12.61,12.71,594640
2020-04-21,12.5,12.57,11.9,11.97,862080
2020-04-22,11.97,12.46,11.69,12.39,446280
2020-04-23,12.61,12.75,12.43,12.46,559470
2020-04-24,12.46,12.46,12.25,12.36,337120
2020-04-27,12.46,12.57,12.32,12.39,255570
2020-04-28,12.39,12.89,12.39,12.89,783490
2020-04-29,13.07,13.39,13.03,13.17,568850
2020-05-04,13.17,13.17,12.57,12.75,404050
2020-05-05,12.75,12.75,12.5,12.75,199960
2020-05-06,12.75,12.89,12.61,12.75,371930
2020-05-07,12.93,13.1,12.71,12.96,424580
2020-05-08,12.93,13.14,12.86,12.89,413560
2020-05-11,12.96,13.53,12.78,13.46,733410
2020-05-12,13.56,13.74,13.35,13.67,549130
2020-05-13,13.67,13.95,13.39,13.81,676310
2020-05-14,13.56,13.99,13.46,13.85,575970
2020-05-15,13.92,13.92,13.46,13.78,540940
2020-05-18,13.78,13.78,13.56,13.67,211940
2020-05-19,13.74,13.88,13.7,13.85,460510
2020-05-20,13.85,13.85,13.67,13.81,256160
2020-05-21,13.81,13.88,13.7,13.74,238910
2020-05-22,13.81,13.81,13.63,13.67,308830
2020-05-25,13.67,13.78,13.56,13.74,240930
2020-05-26,13.88,14.34,13.88,14.27,580970
2020-05-27,14.52,14.52,13.88,13.88,384870
2020-05-28,13.95,14.09,13.74,13.88,196260
2020-05-29,13.95,13.99,13.74,13.88,330870
2020-06-01,14.06,14.06,13.85,13.95,320680
2020-06-02,14.09,14.09,13.6,13.6,471480
2020-06-03,13.6,14.09,13.56,13.95,595720
2020-06-04,14.02,14.06,13.88,14.06,406150
2020-06-05,14.06,14.77,13.88,14.77,802660
2020-06-08,14.8,15.05,14.52,14.94,995290
2020-06-09,14.87,15.09,14.66,14.7,289650
2020-06-10,14.52,14.8,14.45,14.8,444990
2020-06-11,14.8,14.87,13.78,13.78,738480
2020-06-12,13.1,14.02,13.1,14.02,593750
2020-06-15,14.34,14.34,13.46,13.46,214760
2020-06-16,13.6,13.88,13.53,13.85,180310
2020-06-17,13.85,13.95,13.56,13.74,93350
2020-06-18,13.6,13.78,13.53,13.74,181850
2020-06-19,13.67,13.92,13.67,13.92,229200
2020-06-22,14.02,14.02,13.88,14.02,377800
2020-06-23,14.13,14.52,14.02,14.16,455710
2020-06-24,14.31,14.38,13.88,14.16,226780
2020-06-25,13.78,14.09,13.7,13.99,123090
2020-06-26,13.99,14.09,13.74,13.88,198940
2020-06-29,13.74,13.74,13.14,13.46,385800
2020-06-30,13.46,13.53,13.14,13.17,264890
2020-07-01,13.17,13.46,13.17,13.39,110530
2020-07-02,13.39,13.46,13.32,13.39,42850
2020-07-03,13.39,13.46,13.35,13.39,94940
2020-07-06,13.46,13.6,13.46,13.56,142180
2020-07-07,13.6,13.67,13.53,13.56,161710
2020-07-08,13.56,13.6,13.46,13.53,77840
2020-07-09,13.49,13.74,13.46,13.67,284050
2020-07-10,13.67,13.67,13.53,13.6,107920
2020-07-13,13.78,13.78,13.6,13.67,190260
2020-07-14,13.67,13.7,13.6,13.67,86810
