time,open,high,low,close,volume
2020-01-06,6.0,6.0,6.0,6.0,120
2020-01-07,6.0,6.0,6.0,6.0,0
2020-01-08,6.08,6.08,6.08,6.08,1930
2020-01-09,6.24,6.24,5.71,6.08,210
2020-01-10,6.08,6.08,6.08,6.08,1060
2020-01-13,5.71,6.05,5.71,6.05,30
2020-01-14,5.68,6.08,5.68,6.05,400
2020-01-15,6.08,6.08,5.87,5.87,420
2020-01-16,5.87,5.87,5.6,5.6,13000
2020-01-17,5.84,5.87,5.84,5.87,1230
2020-01-20,6.27,6.27,5.92,6.11,570
2020-01-21,5.87,6.11,5.68,6.11,3340
2020-01-22,6.11,6.11,6.11,6.11,0
2020-01-30,6.53,6.53,6.51,6.51,540
2020-01-31,6.51,6.51,6.51,6.51,0
2020-02-03,6.51,6.51,6.51,6.51,0
2020-02-04,6.08,6.08,6.08,6.08,200
2020-02-05,6.08,6.08,6.08,6.08,10
2020-02-06,6.08,6.08,6.08,6.08,0
2020-02-07,5.97,6.0,5.97,6.0,110
2020-02-10,5.97,6.03,5.68,6.0,7300
2020-02-11,6.0,6.0,6.0,6.0,150
2020-02-12,5.79,5.87,5.79,5.87,610
2020-02-13,6.03,6.03,6.03,6.03,1640
2020-02-14,5.63,5.63,5.63,5.63,3080
2020-02-17,5.97,5.97,5.97,5.97,240
2020-02-18,5.97,5.97,5.97,5.97,120
2020-02-19,5.57,5.95,5.57,5.95,3370
2020-02-20,5.95,6.0,5.81,6.0,3500
2020-02-21,6.0,6.0,6.0,6.0,400
2020-02-24,5.76,5.92,5.63,5.92,28520
2020-02-25,5.92,5.92,5.92,5.92,0
2020-02-26,5.92,5.92,5.92,5.92,0
2020-02-27,5.87,5.97,5.87,5.92,750
2020-02-28,5.55,5.81,5.55,5.6,2780
2020-03-02,5.6,5.87,5.36,5.87,300
2020-03-03,5.87,5.87,5.87,5.87,180
2020-03-04,5.47,5.81,5.47,5.52,3390
2020-03-05,5.81,5.81,5.55,5.65,1300
2020-03-06,5.87,5.87,5.65,5.84,1270
2020-03-09,5.44,5.81,5.44,5.81,5010
2020-03-10,5.44,5.57,5.44,5.57,4810
2020-03-11,5.25,5.57,5.23,5.57,3200
2020-03-12,5.18,5.57,5.18,5.57,110
2020-03-13,5.57,5.57,5.57,5.57,0
2020-03-16,5.57,5.57,5.57,5.57,0
2020-03-17,5.33,5.55,5.18,5.18,7820
2020-03-18,5.33,5.33,5.33,5.33,220
2020-03-19,5.55,5.55,5.06,5.55,350
2020-03-20,5.44,5.44,5.17,5.36,3410
2020-03-23,5.57,5.57,5.28,5.28,30
2020-03-24,5.23,5.23,5.17,5.17,120
2020-03-25,5.33,5.33,5.33,5.33,210
2020-03-26,5.28,5.33,5.28,5.33,20
2020-03-27,5.33,5.33,5.23,5.23,1010
2020-03-30,5.25,5.28,5.17,5.28,280
2020-03-31,5.33,5.33,5.33,5.33,10
2020-04-01,5.33,5.33,5.33,5.33,0
2020-04-03,5.33,5.44,5.33,5.44,12580
2020-04-06,5.33,5.33,5.33,5.33,10
2020-04-07,5.23,5.28,5.07,5.28,5850
2020-04-08,5.17,5.17,5.17,5.17,300
2020-04-09,5.28,5.28,4.99,5.28,2360
2020-04-10,5.33,5.33,4.93,5.33,1230
2020-04-13,5.33,5.33,5.33,5.33,50
2020-04-14,5.33,5.33,5.33,5.33,160
2020-04-15,5.33,5.71,5.07,5.33,510
2020-04-16,5.33,5.33,5.33,5.33,100
2020-04-17,5.33,5.52,4.99,5.44,1290
2020-04-20,5.44,5.52,5.09,5.17,1590
2020-04-21,5.2,5.52,5.12,5.41,5340
2020-04-22,5.44,5.44,5.12,5.39,1230
2020-04-23,5.12,5.47,5.12,5.39,420
2020-04-24,5.16,5.44,5.16,5.41,1590
2020-04-27,5.52,5.52,5.39,5.44,420
2020-04-28,5.44,5.44,5.33,5.33,1360
2020-04-29,5.33,5.33,5.28,5.28,480
2020-05-04,5.6,5.6,5.33,5.33,210
2020-05-05,5.33,5.33,4.96,5.28,6120
2020-05-06,5.44,5.44,5.39,5.39,1110
2020-05-07,5.41,5.41,5.23,5.36,350
2020-05-08,5.33,5.47,5.32,5.47,7010
2020-05-11,5.44,5.47,5.33,5.33,5180
2020-05-12,5.47,5.47,5.33,5.47,3000
2020-05-13,5.41,5.41,5.41,5.41,100
2020-05-14,5.41,5.44,5.33,5.44,730
2020-05-15,5.28,5.44,5.28,5.36,7480
2020-05-18,5.36,5.47,5.36,5.47,9940
2020-05-19,5.47,5.47,5.33,5.47,870
2020-05-20,5.49,5.55,5.39,5.47,5270
2020-05-21,5.33,5.47,5.28,5.47,1650
2020-05-22,5.52,5.52,5.52,5.52,120
2020-05-25,5.52,5.55,5.52,5.55,320
2020-05-26,5.23,5.44,5.23,5.44,40
2020-05-27,5.44,5.44,5.39,5.39,1470
2020-05-28,5.39,5.44,5.39,5.44,20
2020-05-29,5.39,5.39,5.39,5.39,1060
2020-06-01,5.6,5.6,5.33,5.57,280
2020-06-02,5.57,5.57,5.52,5.52,800
2020-06-03,5.6,5.6,5.6,5.6,120
2020-06-04,5.6,5.6,5.52,5.52,890
2020-06-05,5.49,5.52,5.49,5.52,2030
2020-06-08,5.52,5.52,5.33,5.41,36720
2020-06-09,5.44,5.79,5.44,5.71,61240
2020-06-10,5.87,5.87,5.65,5.71,12790
2020-06-11,5.71,5.71,5.68,5.71,15540
2020-06-12,5.44,5.71,5.44,5.6,4120
2020-06-15,5.6,5.81,5.6,5.73,13170
2020-06-16,5.6,5.81,5.6,5.81,2820
2020-06-17,5.81,5.81,5.6,5.79,5950
2020-06-18,5.79,5.79,5.79,5.79,0
2020-06-19,5.76,5.81,5.76,5.81,9620
2020-06-22,5.81,5.81,5.68,5.81,1090
2020-06-23,5.81,5.81,5.76,5.79,14530
2020-06-24,5.79,5.79,5.76,5.76,13200
2020-06-25,5.79,5.79,5.79,5.79,60
2020-06-26,5.81,5.81,5.81,5.81,100
2020-06-29,5.68,5.68,5.68,5.68,100
2020-06-30,5.68,5.68,5.63,5.63,4940
2020-07-01,5.63,5.63,5.63,5.63,2500
2020-07-02,5.71,5.71,5.71,5.71,4420
2020-07-03,5.81,5.81,5.81,5.81,9580
2020-07-06,5.81,5.81,5.81,5.81,0
2020-07-07,5.81,5.87,5.81,5.87,12700
2020-07-08,5.87,5.92,5.87,5.92,10210
2020-07-09,5.92,5.92,5.92,5.92,0
2020-07-10,5.92,5.92,5.87,5.87,6600
2020-07-13,6.03,6.03,5.84,5.97,12790
2020-07-14,6.05,6.05,5.97,6.0,32680
2020-07-15,6.05,6.13,6.0,6.11,39750
2020-07-16,6.21,6.21,6.13,6.13,30270
2020-07-17,6.19,6.32,6.11,6.13,34570
2020-07-20,6.19,6.19,6.11,6.16,15710
2020-07-21,6.16,6.24,6.13,6.21,62450
2020-07-22,6.24,6.24,6.19,6.19,18250
2020-07-23,6.34,6.34,6.01,6.16,5580
2020-07-24,6.1,6.1,6.01,6.01,5310
2020-07-27,5.59,5.6,5.59,5.59,11140
2020-07-28,5.59,5.86,5.59,5.71,4900
2020-07-29,5.41,5.71,5.35,5.53,5270
2020-07-30,5.53,5.53,5.32,5.53,1780
2020-07-31,5.53,5.53,5.35,5.53,15790
2020-08-03,5.53,5.69,5.53,5.65,1310
2020-08-04,5.69,5.77,5.55,5.65,3720
2020-08-05,5.74,5.79,5.68,5.77,1740
2020-08-06,5.83,6.07,5.83,6.0,21290
2020-08-07,6.0,6.01,5.71,6.0,2290
2020-08-10,6.07,6.07,5.83,6.07,1860
2020-08-11,5.83,6.13,5.83,6.13,2320
2020-08-12,5.89,6.07,5.89,5.9,440
2020-08-13,6.01,6.01,5.95,6.01,9040
2020-08-14,5.97,6.01,5.97,5.97,2080
2020-08-17,5.97,6.1,5.96,6.1,15330
2020-08-18,6.01,6.07,6.01,6.01,4020
2020-08-19,6.07,6.13,6.07,6.07,4340
2020-08-20,6.16,6.19,6.07,6.13,4710
2020-08-21,6.19,6.19,6.13,6.19,390
2020-08-24,6.16,6.25,6.16,6.25,3620
2020-08-25,6.13,6.19,6.01,6.19,2750
2020-08-26,6.19,6.19,5.92,5.92,4910
2020-08-27,6.19,6.25,6.01,6.25,12020
2020-08-28,6.28,6.28,6.25,6.25,950
2020-08-31,6.31,6.31,5.95,6.31,2090
2020-09-01,6.28,6.31,6.28,6.31,2500
2020-09-03,5.95,6.31,5.95,6.31,4670
2020-09-04,6.16,6.22,6.16,6.22,650
2020-09-07,6.22,6.28,6.22,6.22,310
2020-09-08,6.22,6.31,6.1,6.25,4440
2020-09-09,6.25,6.25,6.25,6.25,2190
2020-09-10,6.25,6.25,6.01,6.22,21460
2020-09-11,6.01,6.22,6.01,6.22,440
2020-09-14,6.31,6.31,6.13,6.28,7020
2020-09-15,6.22,6.25,6.22,6.25,1700
2020-09-16,6.31,6.31,6.19,6.25,3410
2020-09-17,6.19,6.28,6.1,6.28,12180
2020-09-18,6.31,6.31,6.04,6.31,8230
2020-09-21,6.19,6.31,6.19,6.31,2040
2020-09-22,6.31,6.31,6.13,6.22,3380
2020-09-23,6.22,6.34,6.22,6.34,2940
2020-09-24,6.31,6.37,6.19,6.19,6690
2020-09-25,6.34,6.61,6.19,6.61,101850
2020-09-28,6.61,6.94,6.61,6.88,31550
2020-09-29,6.88,6.88,6.4,6.85,3900
2020-09-30,6.85,6.85,6.49,6.55,1560
2020-10-01,6.76,6.79,6.43,6.7,9680
2020-10-02,6.85,6.85,6.49,6.67,430
2020-10-05,6.88,6.88,6.67,6.88,1410
2020-10-06,6.88,6.88,6.88,6.88,0
2020-10-07,6.94,6.94,6.91,6.91,150
2020-10-08,6.91,6.91,6.79,6.91,25410
2020-10-09,6.91,6.94,6.61,6.91,18880
2020-10-12,6.91,7.03,6.61,6.94,29440
2020-10-13,6.97,6.97,6.97,6.97,10
2020-10-14,6.97,6.97,6.97,6.97,0
2020-10-15,6.97,6.97,6.91,6.91,5580
2020-10-16,6.97,6.97,6.79,6.94,7640
2020-10-19,6.94,6.94,6.94,6.94,0
2020-10-20,6.94,6.94,6.91,6.94,1270
2020-10-21,6.91,6.94,6.91,6.94,590
2020-10-22,6.94,6.94,6.94,6.94,0
2020-10-23,6.94,6.94,6.91,6.94,1990
2020-10-26,6.94,6.94,6.94,6.94,0
2020-10-27,6.61,6.61,6.61,6.61,10
2020-10-28,6.61,6.88,6.61,6.88,2160
2020-10-29,6.61,6.88,6.61,6.88,110
2020-10-30,6.88,6.88,6.88,6.88,0
2020-11-02,6.43,6.73,6.43,6.46,770
2020-11-03,6.67,6.67,6.58,6.58,50
2020-11-04,6.88,6.88,6.88,6.88,10
2020-11-05,6.61,6.61,6.61,6.61,500
2020-11-06,6.85,6.85,6.73,6.73,100
2020-11-09,6.88,6.88,6.88,6.88,10
2020-11-10,6.49,6.49,6.49,6.49,120
2020-11-11,6.49,6.49,6.49,6.49,10
2020-11-12,6.55,6.55,6.52,6.52,520
2020-11-13,6.61,6.61,6.61,6.61,6220
2020-11-16,6.85,6.85,6.85,6.85,10
2020-11-17,6.97,6.97,6.82,6.82,1600
2020-11-18,6.82,6.82,6.82,6.82,0
2020-11-19,6.82,6.82,6.82,6.82,0
2020-11-20,6.82,6.82,6.49,6.55,2960
2020-11-23,6.58,6.58,6.49,6.58,1410
2020-11-24,6.43,6.49,6.43,6.43,3040
2020-11-25,6.43,6.76,6.43,6.76,40
2020-11-26,6.37,6.73,6.37,6.73,510
2020-11-27,6.79,6.79,6.43,6.73,1150
2020-11-30,6.73,6.73,6.73,6.73,0
2020-12-01,6.73,6.73,6.73,6.73,0
2020-12-02,6.46,6.46,6.46,6.46,10
2020-12-03,6.46,6.46,6.46,6.46,17970
2020-12-04,6.46,6.61,6.46,6.61,22510
2020-12-07,6.58,6.61,6.55,6.58,12990
2020-12-08,6.61,6.73,6.58,6.61,5060
2020-12-09,6.61,6.64,6.46,6.64,9980
2020-12-10,6.64,6.64,6.55,6.55,4510
2020-12-11,6.55,6.73,6.55,6.61,46720
2020-12-14,6.61,6.61,6.61,6.61,1040
2020-12-15,6.61,6.7,6.61,6.7,1670
2020-12-16,6.52,6.73,6.34,6.46,16960
2020-12-17,6.67,6.67,6.49,6.61,8310
2020-12-18,6.61,6.73,6.55,6.73,1010
2020-12-21,6.55,6.64,6.55,6.55,2780
2020-12-22,6.61,6.61,6.61,6.61,19970
2020-12-23,6.61,6.61,6.61,6.61,6300
2020-12-24,6.73,6.73,6.58,6.61,5840
2020-12-25,6.61,6.76,6.61,6.7,3980
2020-12-28,6.7,7.15,6.7,7.06,41580
2020-12-29,6.91,7.06,6.91,6.97,2390
2020-12-30,7.12,7.18,6.88,6.91,6730
2020-12-31,7.12,7.12,6.79,6.79,1770
2021-01-04,6.85,7.06,6.85,7.06,1100
2021-01-05,7.06,7.06,7.03,7.03,2400
2021-01-06,7.03,7.06,7.03,7.06,11000
2021-01-07,7.09,7.09,6.91,6.91,11800
2021-01-08,7.06,7.06,7.06,7.06,100
2021-01-11,6.91,6.91,6.73,6.73,171800
2021-01-12,6.79,7.18,6.79,7.15,37000
2021-01-13,7.21,7.21,7.15,7.21,9600
2021-01-14,7.09,7.09,7.03,7.09,3500
2021-01-15,7.21,7.33,7.03,7.27,47600
2021-01-18,7.42,7.75,7.42,7.72,312100
2021-01-19,8.17,8.17,7.42,7.42,26600
2021-01-20,7.42,7.48,6.94,7.48,28000
2021-01-21,7.51,7.69,7.36,7.63,45700
2021-01-22,7.48,7.48,7.45,7.45,18200
2021-01-25,7.45,7.75,7.45,7.63,71500
2021-01-26,7.63,7.69,7.39,7.54,44600
2021-01-27,7.45,7.57,7.21,7.33,43000
2021-01-28,6.91,6.94,6.82,6.82,45200
2021-01-29,6.91,7.21,6.91,6.97,20300
2021-02-01,6.97,7.15,6.67,6.97,12900
2021-02-02,6.97,7.06,6.97,7.06,6800
2021-02-03,7.09,7.33,7.09,7.24,5900
2021-02-04,7.18,7.27,7.15,7.27,6100
2021-02-05,7.18,7.21,7.09,7.09,124500
2021-02-08,7.15,7.21,7.09,7.15,8300
2021-02-09,7.15,7.3,7.09,7.3,80900
2021-02-17,7.3,7.33,7.27,7.3,20500
2021-02-18,7.3,7.51,7.27,7.33,22200
2021-02-19,7.21,7.45,6.97,7.45,51200
2021-02-22,7.45,7.54,7.42,7.42,27200
2021-02-23,7.48,7.48,7.27,7.48,16900
2021-02-24,7.48,7.48,7.27,7.27,21800
2021-02-25,7.42,7.42,7.18,7.39,74100
2021-02-26,7.21,7.33,7.21,7.33,9800
2021-03-01,7.39,7.42,7.36,7.42,30800
2021-03-02,7.42,7.42,7.36,7.36,23300
2021-03-03,7.45,7.45,7.42,7.45,23800
2021-03-04,7.45,7.66,7.45,7.48,43000
2021-03-05,7.63,7.75,7.6,7.69,68900
2021-03-08,7.99,7.99,7.87,7.9,35400
2021-03-09,7.9,7.9,7.69,7.69,18800
2021-03-10,7.87,7.9,7.84,7.87,15800
2021-03-11,7.69,7.87,7.69,7.87,16500
2021-03-12,7.81,7.96,7.75,7.75,29800
2021-03-15,7.87,7.87,7.75,7.81,15100
2021-03-16,7.93,7.93,7.72,7.75,44100
2021-03-17,7.75,7.81,7.75,7.81,11700
2021-03-18,7.84,7.84,7.69,7.69,86500
2021-03-19,7.69,7.78,7.69,7.75,7100
2021-03-22,7.87,7.87,7.63,7.63,92300
2021-03-23,7.63,7.78,7.6,7.63,17600
2021-03-24,7.75,7.75,7.63,7.63,10600
2021-03-25,7.66,7.66,7.6,7.6,9300
2021-03-26,7.63,7.63,7.51,7.54,8100
2021-03-29,7.69,7.69,7.54,7.57,13600
2021-03-30,7.57,7.69,7.48,7.57,87000
2021-03-31,7.6,7.63,7.57,7.57,13200
2021-04-01,7.57,7.63,7.51,7.57,31600
2021-04-02,7.57,7.63,7.57,7.57,32700
2021-04-05,7.6,7.63,7.51,7.57,68800
2021-04-06,7.57,7.84,7.57,7.81,173700
